"year","common_name","sci_name","count"
2024,"Red-winged Blackbird","Agelaius phoeniceus",5.5821
1923,"Great Blue Heron","Ardea herodias herodias Group",0
1928,"Great Blue Heron","Ardea herodias herodias Group",0
1929,"Great Blue Heron","Ardea herodias herodias Group",0
1930,"Great Blue Heron","Ardea herodias herodias Group",0
1931,"Great Blue Heron","Ardea herodias herodias Group",0
1932,"Great Blue Heron","Ardea herodias herodias Group",0
1933,"Great Blue Heron","Ardea herodias herodias Group",0
1934,"Great Blue Heron","Ardea herodias herodias Group",0
1935,"Great Blue Heron","Ardea herodias herodias Group",0
1936,"Great Blue Heron","Ardea herodias herodias Group",0
1937,"Great Blue Heron","Ardea herodias herodias Group",0
1938,"Great Blue Heron","Ardea herodias herodias Group",0
1940,"Great Blue Heron","Ardea herodias herodias Group",0
1941,"Great Blue Heron","Ardea herodias herodias Group",0.04
1943,"Great Blue Heron","Ardea herodias herodias Group",0.0556
1944,"Great Blue Heron","Ardea herodias herodias Group",0
1945,"Great Blue Heron","Ardea herodias herodias Group",0
1946,"Great Blue Heron","Ardea herodias herodias Group",0.0909
1947,"Great Blue Heron","Ardea herodias herodias Group",0.0909
1948,"Great Blue Heron","Ardea herodias herodias Group",0.0323
1950,"Great Blue Heron","Ardea herodias herodias Group",0
1951,"Great Blue Heron","Ardea herodias herodias Group",0.0577
1952,"Great Blue Heron","Ardea herodias herodias Group",0.0385
1953,"Great Blue Heron","Ardea herodias herodias Group",0.0526
1954,"Great Blue Heron","Ardea herodias herodias Group",0.1647
1956,"Great Blue Heron","Ardea herodias herodias Group",0.1154
1957,"Great Blue Heron","Ardea herodias herodias Group",0.0877
1958,"Great Blue Heron","Ardea herodias herodias Group",0.25
1959,"Great Blue Heron","Ardea herodias herodias Group",0.0357
1960,"Great Blue Heron","Ardea herodias herodias Group",0
1961,"Great Blue Heron","Ardea herodias herodias Group",0.1818
1962,"Great Blue Heron","Ardea herodias herodias Group",0.1132
1963,"Great Blue Heron","Ardea herodias herodias Group",0.0952
1964,"Great Blue Heron","Ardea herodias herodias Group",0.037
1965,"Great Blue Heron","Ardea herodias herodias Group",0.1818
1966,"Great Blue Heron","Ardea herodias herodias Group",0.1311
1967,"Great Blue Heron","Ardea herodias herodias Group",0.1429
1968,"Great Blue Heron","Ardea herodias herodias Group",0.0714
1969,"Great Blue Heron","Ardea herodias herodias Group",0.0986
1970,"Great Blue Heron","Ardea herodias herodias Group",0.2308
1971,"Great Blue Heron","Ardea herodias herodias Group",0.0175
1972,"Great Blue Heron","Ardea herodias herodias Group",0.1786
1973,"Great Blue Heron","Ardea herodias herodias Group",0.08
1974,"Great Blue Heron","Ardea herodias herodias Group",0.1045
1975,"Great Blue Heron","Ardea herodias herodias Group",0.0816
1976,"Great Blue Heron","Ardea herodias herodias Group",0.0537
1977,"Great Blue Heron","Ardea herodias herodias Group",0.0563
1978,"Great Blue Heron","Ardea herodias herodias Group",0.0595
1979,"Great Blue Heron","Ardea herodias herodias Group",0.1083
1980,"Great Blue Heron","Ardea herodias herodias Group",0.2308
1981,"Great Blue Heron","Ardea herodias herodias Group",0.089
1982,"Great Blue Heron","Ardea herodias herodias Group",0.1921
1983,"Great Blue Heron","Ardea herodias herodias Group",0.1375
1984,"Great Blue Heron","Ardea herodias herodias Group",0.2963
1985,"Great Blue Heron","Ardea herodias herodias Group",0.3598
1986,"Great Blue Heron","Ardea herodias herodias Group",0.992
1987,"Great Blue Heron","Ardea herodias herodias Group",0.3556
1988,"Great Blue Heron","Ardea herodias herodias Group",0.1824
1989,"Great Blue Heron","Ardea herodias herodias Group",0.0463
1990,"Great Blue Heron","Ardea herodias herodias Group",0.1739
1991,"Great Blue Heron","Ardea herodias herodias Group",0.9842
1992,"Great Blue Heron","Ardea herodias herodias Group",0.3162
1993,"Great Blue Heron","Ardea herodias herodias Group",0.2474
1994,"Great Blue Heron","Ardea herodias herodias Group",0.2252
1995,"Great Blue Heron","Ardea herodias herodias Group",0.1526
1996,"Great Blue Heron","Ardea herodias herodias Group",0.1273
1997,"Great Blue Heron","Ardea herodias herodias Group",0.1549
1998,"Great Blue Heron","Ardea herodias herodias Group",0.7028
1999,"Great Blue Heron","Ardea herodias herodias Group",0.1935
2000,"Great Blue Heron","Ardea herodias herodias Group",0.592
2001,"Great Blue Heron","Ardea herodias herodias Group",0.8351
2002,"Great Blue Heron","Ardea herodias herodias Group",0.339
2003,"Great Blue Heron","Ardea herodias herodias Group",0.2496
2004,"Great Blue Heron","Ardea herodias herodias Group",0.2399
2005,"Great Blue Heron","Ardea herodias herodias Group",0.2705
2006,"Great Blue Heron","Ardea herodias herodias Group",0.3569
2007,"Great Blue Heron","Ardea herodias herodias Group",0.8844
2008,"Great Blue Heron","Ardea herodias herodias Group",0.2985
2009,"Great Blue Heron","Ardea herodias herodias Group",0.3028
2010,"Great Blue Heron","Ardea herodias herodias Group",0.2707
2011,"Great Blue Heron","Ardea herodias herodias Group",0.3042
2012,"Great Blue Heron","Ardea herodias herodias Group",0.6429
2013,"Great Blue Heron","Ardea herodias herodias Group",0.2034
2014,"Great Blue Heron","Ardea herodias herodias Group",0.3353
2015,"Great Blue Heron","Ardea herodias herodias Group",0.1419
2016,"Great Blue Heron","Ardea herodias herodias Group",0.1751
2017,"Great Blue Heron","Ardea herodias herodias Group",0.4421
2018,"Great Blue Heron","Ardea herodias herodias Group",0.165
2019,"Great Blue Heron","Ardea herodias herodias Group",0.3836
2020,"Great Blue Heron","Ardea herodias herodias Group",0.2476
2021,"Great Blue Heron","Ardea herodias herodias Group",0.325
2022,"Great Blue Heron","Ardea herodias herodias Group",0.148
2023,"Great Blue Heron","Ardea herodias herodias Group",0.2273
2024,"Great Blue Heron","Ardea herodias herodias Group",0.2871
1923,"Tufted Titmouse","Baeolophus bicolor",0
1928,"Tufted Titmouse","Baeolophus bicolor",0
1929,"Tufted Titmouse","Baeolophus bicolor",0
1930,"Tufted Titmouse","Baeolophus bicolor",0
1931,"Tufted Titmouse","Baeolophus bicolor",0
1932,"Tufted Titmouse","Baeolophus bicolor",0
1933,"Tufted Titmouse","Baeolophus bicolor",0
1934,"Tufted Titmouse","Baeolophus bicolor",0
1935,"Tufted Titmouse","Baeolophus bicolor",0
1936,"Tufted Titmouse","Baeolophus bicolor",0
1937,"Tufted Titmouse","Baeolophus bicolor",0
1938,"Tufted Titmouse","Baeolophus bicolor",0
1940,"Tufted Titmouse","Baeolophus bicolor",0
1941,"Tufted Titmouse","Baeolophus bicolor",1.28
1943,"Tufted Titmouse","Baeolophus bicolor",0.6667
1944,"Tufted Titmouse","Baeolophus bicolor",0
1945,"Tufted Titmouse","Baeolophus bicolor",0
1946,"Tufted Titmouse","Baeolophus bicolor",1.4545
1947,"Tufted Titmouse","Baeolophus bicolor",0.8636
1948,"Tufted Titmouse","Baeolophus bicolor",1.1935
1950,"Tufted Titmouse","Baeolophus bicolor",1.1714
1951,"Tufted Titmouse","Baeolophus bicolor",0.5769
1952,"Tufted Titmouse","Baeolophus bicolor",0.6154
1953,"Tufted Titmouse","Baeolophus bicolor",2.7632
1954,"Tufted Titmouse","Baeolophus bicolor",0.4706
1956,"Tufted Titmouse","Baeolophus bicolor",0.9808
1957,"Tufted Titmouse","Baeolophus bicolor",1.2456
1958,"Tufted Titmouse","Baeolophus bicolor",1.25
1959,"Tufted Titmouse","Baeolophus bicolor",1.2857
1960,"Tufted Titmouse","Baeolophus bicolor",0
1961,"Tufted Titmouse","Baeolophus bicolor",1.3636
1962,"Tufted Titmouse","Baeolophus bicolor",1.1132
1963,"Tufted Titmouse","Baeolophus bicolor",1.3333
1964,"Tufted Titmouse","Baeolophus bicolor",1.2778
1965,"Tufted Titmouse","Baeolophus bicolor",2.2727
1966,"Tufted Titmouse","Baeolophus bicolor",1.9672
1967,"Tufted Titmouse","Baeolophus bicolor",2.2449
1968,"Tufted Titmouse","Baeolophus bicolor",2.2857
1969,"Tufted Titmouse","Baeolophus bicolor",1.4085
1970,"Tufted Titmouse","Baeolophus bicolor",0.8769
1971,"Tufted Titmouse","Baeolophus bicolor",1.3158
1972,"Tufted Titmouse","Baeolophus bicolor",1.6429
1973,"Tufted Titmouse","Baeolophus bicolor",1.3733
1974,"Tufted Titmouse","Baeolophus bicolor",1.4627
1975,"Tufted Titmouse","Baeolophus bicolor",1.4857
1976,"Tufted Titmouse","Baeolophus bicolor",1.6242
1977,"Tufted Titmouse","Baeolophus bicolor",1.2
1978,"Tufted Titmouse","Baeolophus bicolor",1.6729
1979,"Tufted Titmouse","Baeolophus bicolor",2.1917
1980,"Tufted Titmouse","Baeolophus bicolor",1.8881
1981,"Tufted Titmouse","Baeolophus bicolor",1.8219
1982,"Tufted Titmouse","Baeolophus bicolor",1.5894
1983,"Tufted Titmouse","Baeolophus bicolor",1.3063
1984,"Tufted Titmouse","Baeolophus bicolor",1.3951
1985,"Tufted Titmouse","Baeolophus bicolor",1.3841
1986,"Tufted Titmouse","Baeolophus bicolor",1.248
1987,"Tufted Titmouse","Baeolophus bicolor",0.9556
1988,"Tufted Titmouse","Baeolophus bicolor",1.2905
1989,"Tufted Titmouse","Baeolophus bicolor",0.6481
1990,"Tufted Titmouse","Baeolophus bicolor",1.9217
1991,"Tufted Titmouse","Baeolophus bicolor",2.082
1992,"Tufted Titmouse","Baeolophus bicolor",1.9573
1993,"Tufted Titmouse","Baeolophus bicolor",1.4502
1994,"Tufted Titmouse","Baeolophus bicolor",1.4685
1995,"Tufted Titmouse","Baeolophus bicolor",2.241
1996,"Tufted Titmouse","Baeolophus bicolor",2.397
1997,"Tufted Titmouse","Baeolophus bicolor",2.7535
1998,"Tufted Titmouse","Baeolophus bicolor",2.6542
1999,"Tufted Titmouse","Baeolophus bicolor",2.0258
2000,"Tufted Titmouse","Baeolophus bicolor",3.176
2001,"Tufted Titmouse","Baeolophus bicolor",2.9193
2002,"Tufted Titmouse","Baeolophus bicolor",2.6169
2003,"Tufted Titmouse","Baeolophus bicolor",2.7395
2004,"Tufted Titmouse","Baeolophus bicolor",2.5679
2005,"Tufted Titmouse","Baeolophus bicolor",2.2191
2006,"Tufted Titmouse","Baeolophus bicolor",2.6543
2007,"Tufted Titmouse","Baeolophus bicolor",2.3422
2008,"Tufted Titmouse","Baeolophus bicolor",2.3731
2009,"Tufted Titmouse","Baeolophus bicolor",3.5139
2010,"Tufted Titmouse","Baeolophus bicolor",2.3459
2011,"Tufted Titmouse","Baeolophus bicolor",4.289
2012,"Tufted Titmouse","Baeolophus bicolor",3.3143
2013,"Tufted Titmouse","Baeolophus bicolor",3.1495
2014,"Tufted Titmouse","Baeolophus bicolor",2.9706
2015,"Tufted Titmouse","Baeolophus bicolor",2.8305
2016,"Tufted Titmouse","Baeolophus bicolor",3.4343
2017,"Tufted Titmouse","Baeolophus bicolor",2.8175
2018,"Tufted Titmouse","Baeolophus bicolor",2.6184
2019,"Tufted Titmouse","Baeolophus bicolor",3.498
2020,"Tufted Titmouse","Baeolophus bicolor",3.4375
2021,"Tufted Titmouse","Baeolophus bicolor",2.7406
2022,"Tufted Titmouse","Baeolophus bicolor",3.1009
2023,"Tufted Titmouse","Baeolophus bicolor",2.9848
2024,"Tufted Titmouse","Baeolophus bicolor",3.1659
1923,"Canada Goose","Branta canadensis",0
1928,"Canada Goose","Branta canadensis",0
1929,"Canada Goose","Branta canadensis",0
1930,"Canada Goose","Branta canadensis",0
1931,"Canada Goose","Branta canadensis",0
1932,"Canada Goose","Branta canadensis",0
1933,"Canada Goose","Branta canadensis",0
1934,"Canada Goose","Branta canadensis",0
1935,"Canada Goose","Branta canadensis",0
1936,"Canada Goose","Branta canadensis",0
1937,"Canada Goose","Branta canadensis",0
1938,"Canada Goose","Branta canadensis",0
1940,"Canada Goose","Branta canadensis",0
1941,"Canada Goose","Branta canadensis",0
1943,"Canada Goose","Branta canadensis",0
1944,"Canada Goose","Branta canadensis",0
1945,"Canada Goose","Branta canadensis",0
1946,"Canada Goose","Branta canadensis",0
1947,"Canada Goose","Branta canadensis",0
1948,"Canada Goose","Branta canadensis",0
1950,"Canada Goose","Branta canadensis",0.1429
1951,"Canada Goose","Branta canadensis",0.0385
1952,"Canada Goose","Branta canadensis",0
1953,"Canada Goose","Branta canadensis",0
1954,"Canada Goose","Branta canadensis",0
1956,"Canada Goose","Branta canadensis",0
1957,"Canada Goose","Branta canadensis",0
1958,"Canada Goose","Branta canadensis",0
1959,"Canada Goose","Branta canadensis",0
1960,"Canada Goose","Branta canadensis",0
1961,"Canada Goose","Branta canadensis",0
1962,"Canada Goose","Branta canadensis",0
1963,"Canada Goose","Branta canadensis",0
1964,"Canada Goose","Branta canadensis",0
1965,"Canada Goose","Branta canadensis",0
1966,"Canada Goose","Branta canadensis",0
1967,"Canada Goose","Branta canadensis",0.0204
1968,"Canada Goose","Branta canadensis",0
1969,"Canada Goose","Branta canadensis",0
1970,"Canada Goose","Branta canadensis",0
1971,"Canada Goose","Branta canadensis",0.0351
1972,"Canada Goose","Branta canadensis",0
1973,"Canada Goose","Branta canadensis",0
1974,"Canada Goose","Branta canadensis",0
1975,"Canada Goose","Branta canadensis",0
1976,"Canada Goose","Branta canadensis",0.0067
1977,"Canada Goose","Branta canadensis",0.075
1978,"Canada Goose","Branta canadensis",0.5799
1979,"Canada Goose","Branta canadensis",0.675
1980,"Canada Goose","Branta canadensis",0.7762
1981,"Canada Goose","Branta canadensis",0.6575
1982,"Canada Goose","Branta canadensis",0.4371
1983,"Canada Goose","Branta canadensis",0.1375
1984,"Canada Goose","Branta canadensis",0.0062
1985,"Canada Goose","Branta canadensis",0.0732
1986,"Canada Goose","Branta canadensis",0.2
1987,"Canada Goose","Branta canadensis",0.0074
1988,"Canada Goose","Branta canadensis",0.3716
1989,"Canada Goose","Branta canadensis",0.0093
1990,"Canada Goose","Branta canadensis",1.3391
1991,"Canada Goose","Branta canadensis",2.3533
1992,"Canada Goose","Branta canadensis",2.6154
1993,"Canada Goose","Branta canadensis",1.8625
1994,"Canada Goose","Branta canadensis",3.0811
1995,"Canada Goose","Branta canadensis",3.3092
1996,"Canada Goose","Branta canadensis",3.5805
1997,"Canada Goose","Branta canadensis",2.8099
1998,"Canada Goose","Branta canadensis",4.4112
1999,"Canada Goose","Branta canadensis",2.3677
2000,"Canada Goose","Branta canadensis",3.696
2001,"Canada Goose","Branta canadensis",3.3474
2002,"Canada Goose","Branta canadensis",4.1898
2003,"Canada Goose","Branta canadensis",4.6615
2004,"Canada Goose","Branta canadensis",3.3721
2005,"Canada Goose","Branta canadensis",4.5007
2006,"Canada Goose","Branta canadensis",6.5651
2007,"Canada Goose","Branta canadensis",4.0683
2008,"Canada Goose","Branta canadensis",3.8134
2009,"Canada Goose","Branta canadensis",6.0876
2010,"Canada Goose","Branta canadensis",3.3684
2011,"Canada Goose","Branta canadensis",3.8099
2012,"Canada Goose","Branta canadensis",2.9357
2013,"Canada Goose","Branta canadensis",2.7612
2014,"Canada Goose","Branta canadensis",3.1118
2015,"Canada Goose","Branta canadensis",2.36
2016,"Canada Goose","Branta canadensis",2.9764
2017,"Canada Goose","Branta canadensis",3.2447
2018,"Canada Goose","Branta canadensis",2.0445
2019,"Canada Goose","Branta canadensis",1.5475
2020,"Canada Goose","Branta canadensis",1.8514
2021,"Canada Goose","Branta canadensis",2.4341
2022,"Canada Goose","Branta canadensis",3.1866
2023,"Canada Goose","Branta canadensis",2.7424
2024,"Canada Goose","Branta canadensis",1.9697
1923,"Red-shouldered Hawk","Buteo lineatus",0
1928,"Red-shouldered Hawk","Buteo lineatus",0
1929,"Red-shouldered Hawk","Buteo lineatus",0
1930,"Red-shouldered Hawk","Buteo lineatus",0
1931,"Red-shouldered Hawk","Buteo lineatus",0
1932,"Red-shouldered Hawk","Buteo lineatus",0
1933,"Red-shouldered Hawk","Buteo lineatus",0
1934,"Red-shouldered Hawk","Buteo lineatus",0
1935,"Red-shouldered Hawk","Buteo lineatus",0
1936,"Red-shouldered Hawk","Buteo lineatus",0
1937,"Red-shouldered Hawk","Buteo lineatus",0
1938,"Red-shouldered Hawk","Buteo lineatus",0
1940,"Red-shouldered Hawk","Buteo lineatus",0
1941,"Red-shouldered Hawk","Buteo lineatus",0.04
1943,"Red-shouldered Hawk","Buteo lineatus",0.1111
1944,"Red-shouldered Hawk","Buteo lineatus",0
1945,"Red-shouldered Hawk","Buteo lineatus",0.0526
1946,"Red-shouldered Hawk","Buteo lineatus",0.0909
1947,"Red-shouldered Hawk","Buteo lineatus",0.1364
1948,"Red-shouldered Hawk","Buteo lineatus",0.129
1950,"Red-shouldered Hawk","Buteo lineatus",0.0571
1951,"Red-shouldered Hawk","Buteo lineatus",0.0577
1952,"Red-shouldered Hawk","Buteo lineatus",0.0769
1953,"Red-shouldered Hawk","Buteo lineatus",0
1954,"Red-shouldered Hawk","Buteo lineatus",0.0235
1956,"Red-shouldered Hawk","Buteo lineatus",0.0385
1957,"Red-shouldered Hawk","Buteo lineatus",0.1404
1958,"Red-shouldered Hawk","Buteo lineatus",0
1959,"Red-shouldered Hawk","Buteo lineatus",0.0179
1960,"Red-shouldered Hawk","Buteo lineatus",0
1961,"Red-shouldered Hawk","Buteo lineatus",0.0182
1962,"Red-shouldered Hawk","Buteo lineatus",0.0189
1963,"Red-shouldered Hawk","Buteo lineatus",0.0238
1964,"Red-shouldered Hawk","Buteo lineatus",0.0556
1965,"Red-shouldered Hawk","Buteo lineatus",0.0227
1966,"Red-shouldered Hawk","Buteo lineatus",0.0328
1967,"Red-shouldered Hawk","Buteo lineatus",0.1429
1968,"Red-shouldered Hawk","Buteo lineatus",0.0357
1969,"Red-shouldered Hawk","Buteo lineatus",0.0704
1970,"Red-shouldered Hawk","Buteo lineatus",0.0615
1971,"Red-shouldered Hawk","Buteo lineatus",0.1053
1972,"Red-shouldered Hawk","Buteo lineatus",0.0357
1973,"Red-shouldered Hawk","Buteo lineatus",0.0533
1974,"Red-shouldered Hawk","Buteo lineatus",0.0896
1975,"Red-shouldered Hawk","Buteo lineatus",0.0163
1976,"Red-shouldered Hawk","Buteo lineatus",0.0134
1977,"Red-shouldered Hawk","Buteo lineatus",0.0375
1978,"Red-shouldered Hawk","Buteo lineatus",0.052
1979,"Red-shouldered Hawk","Buteo lineatus",0.0833
1980,"Red-shouldered Hawk","Buteo lineatus",0.1259
1981,"Red-shouldered Hawk","Buteo lineatus",0.1164
1982,"Red-shouldered Hawk","Buteo lineatus",0.0132
1983,"Red-shouldered Hawk","Buteo lineatus",0.0813
1984,"Red-shouldered Hawk","Buteo lineatus",0.0679
1985,"Red-shouldered Hawk","Buteo lineatus",0.0915
1986,"Red-shouldered Hawk","Buteo lineatus",0.064
1987,"Red-shouldered Hawk","Buteo lineatus",0.0222
1988,"Red-shouldered Hawk","Buteo lineatus",0.0473
1989,"Red-shouldered Hawk","Buteo lineatus",0.0278
1990,"Red-shouldered Hawk","Buteo lineatus",0.1043
1991,"Red-shouldered Hawk","Buteo lineatus",0.1009
1992,"Red-shouldered Hawk","Buteo lineatus",0.1795
1993,"Red-shouldered Hawk","Buteo lineatus",0.0756
1994,"Red-shouldered Hawk","Buteo lineatus",0.0721
1995,"Red-shouldered Hawk","Buteo lineatus",0.0964
1996,"Red-shouldered Hawk","Buteo lineatus",0.1423
1997,"Red-shouldered Hawk","Buteo lineatus",0.1479
1998,"Red-shouldered Hawk","Buteo lineatus",0.2019
1999,"Red-shouldered Hawk","Buteo lineatus",0.129
2000,"Red-shouldered Hawk","Buteo lineatus",0.144
2001,"Red-shouldered Hawk","Buteo lineatus",0.2596
2002,"Red-shouldered Hawk","Buteo lineatus",0.1288
2003,"Red-shouldered Hawk","Buteo lineatus",0.1872
2004,"Red-shouldered Hawk","Buteo lineatus",0.1552
2005,"Red-shouldered Hawk","Buteo lineatus",0.1734
2006,"Red-shouldered Hawk","Buteo lineatus",0.2528
2007,"Red-shouldered Hawk","Buteo lineatus",0.2013
2008,"Red-shouldered Hawk","Buteo lineatus",0.2015
2009,"Red-shouldered Hawk","Buteo lineatus",0.2231
2010,"Red-shouldered Hawk","Buteo lineatus",0.0902
2011,"Red-shouldered Hawk","Buteo lineatus",0.289
2012,"Red-shouldered Hawk","Buteo lineatus",0.4071
2013,"Red-shouldered Hawk","Buteo lineatus",0.2589
2014,"Red-shouldered Hawk","Buteo lineatus",0.3353
2015,"Red-shouldered Hawk","Buteo lineatus",0.2614
2016,"Red-shouldered Hawk","Buteo lineatus",0.2626
2017,"Red-shouldered Hawk","Buteo lineatus",0.2548
2018,"Red-shouldered Hawk","Buteo lineatus",0.2798
2019,"Red-shouldered Hawk","Buteo lineatus",0.4551
2020,"Red-shouldered Hawk","Buteo lineatus",0.4245
2021,"Red-shouldered Hawk","Buteo lineatus",0.3127
2022,"Red-shouldered Hawk","Buteo lineatus",0.4597
2023,"Red-shouldered Hawk","Buteo lineatus",0.447
2024,"Red-shouldered Hawk","Buteo lineatus",0.303
1923,"Northern Cardinal","Cardinalis cardinalis",0
1928,"Northern Cardinal","Cardinalis cardinalis",0
1929,"Northern Cardinal","Cardinalis cardinalis",0
1930,"Northern Cardinal","Cardinalis cardinalis",0
1931,"Northern Cardinal","Cardinalis cardinalis",0
1932,"Northern Cardinal","Cardinalis cardinalis",0
1933,"Northern Cardinal","Cardinalis cardinalis",0
1934,"Northern Cardinal","Cardinalis cardinalis",0
1935,"Northern Cardinal","Cardinalis cardinalis",0
1936,"Northern Cardinal","Cardinalis cardinalis",0
1937,"Northern Cardinal","Cardinalis cardinalis",0
1938,"Northern Cardinal","Cardinalis cardinalis",0
1940,"Northern Cardinal","Cardinalis cardinalis",0
1941,"Northern Cardinal","Cardinalis cardinalis",1.96
1943,"Northern Cardinal","Cardinalis cardinalis",3.8333
1944,"Northern Cardinal","Cardinalis cardinalis",0
1945,"Northern Cardinal","Cardinalis cardinalis",3.0526
1946,"Northern Cardinal","Cardinalis cardinalis",3
