"year","common_name","sci_name","count"
1923,"Red-winged Blackbird","Agelaius phoeniceus",0
1928,"Red-winged Blackbird","Agelaius phoeniceus",0
1929,"Red-winged Blackbird","Agelaius phoeniceus",0
1930,"Red-winged Blackbird","Agelaius phoeniceus",0
1931,"Red-winged Blackbird","Agelaius phoeniceus",0
1932,"Red-winged Blackbird","Agelaius phoeniceus",0
1933,"Red-winged Blackbird","Agelaius phoeniceus",0
1934,"Red-winged Blackbird","Agelaius phoeniceus",0
1935,"Red-winged Blackbird","Agelaius phoeniceus",0
1936,"Red-winged Blackbird","Agelaius phoeniceus",0
1937,"Red-winged Blackbird","Agelaius phoeniceus",0
1938,"Red-winged Blackbird","Agelaius phoeniceus",0
1940,"Red-winged Blackbird","Agelaius phoeniceus",0
1941,"Red-winged Blackbird","Agelaius phoeniceus",0.72
1943,"Red-winged Blackbird","Agelaius phoeniceus",14.4444
1944,"Red-winged Blackbird","Agelaius phoeniceus",0
1945,"Red-winged Blackbird","Agelaius phoeniceus",5.2632
1946,"Red-winged Blackbird","Agelaius phoeniceus",0.3636
1947,"Red-winged Blackbird","Agelaius phoeniceus",18.4091
1948,"Red-winged Blackbird","Agelaius phoeniceus",2.0968
1950,"Red-winged Blackbird","Agelaius phoeniceus",0
1951,"Red-winged Blackbird","Agelaius phoeniceus",1.25
1952,"Red-winged Blackbird","Agelaius phoeniceus",0.6538
1953,"Red-winged Blackbird","Agelaius phoeniceus",1
1954,"Red-winged Blackbird","Agelaius phoeniceus",0.2353
1956,"Red-winged Blackbird","Agelaius phoeniceus",0
1957,"Red-winged Blackbird","Agelaius phoeniceus",0.0175
1958,"Red-winged Blackbird","Agelaius phoeniceus",0.05
1959,"Red-winged Blackbird","Agelaius phoeniceus",0.0714
1960,"Red-winged Blackbird","Agelaius phoeniceus",0
1961,"Red-winged Blackbird","Agelaius phoeniceus",0.3636
1962,"Red-winged Blackbird","Agelaius phoeniceus",0
1963,"Red-winged Blackbird","Agelaius phoeniceus",0.4048
1964,"Red-winged Blackbird","Agelaius phoeniceus",1.8519
1965,"Red-winged Blackbird","Agelaius phoeniceus",0.8636
1966,"Red-winged Blackbird","Agelaius phoeniceus",1.8033
1967,"Red-winged Blackbird","Agelaius phoeniceus",8.5714
1968,"Red-winged Blackbird","Agelaius phoeniceus",4.2857
1969,"Red-winged Blackbird","Agelaius phoeniceus",9.7183
1970,"Red-winged Blackbird","Agelaius phoeniceus",5.8462
1971,"Red-winged Blackbird","Agelaius phoeniceus",13.8596
1972,"Red-winged Blackbird","Agelaius phoeniceus",14.8571
1973,"Red-winged Blackbird","Agelaius phoeniceus",3.5467
1974,"Red-winged Blackbird","Agelaius phoeniceus",14.7463
1975,"Red-winged Blackbird","Agelaius phoeniceus",6.3837
1976,"Red-winged Blackbird","Agelaius phoeniceus",5.9866
1977,"Red-winged Blackbird","Agelaius phoeniceus",4.1563
1978,"Red-winged Blackbird","Agelaius phoeniceus",6.9294
1979,"Red-winged Blackbird","Agelaius phoeniceus",2.5917
1980,"Red-winged Blackbird","Agelaius phoeniceus",9.5804
1981,"Red-winged Blackbird","Agelaius phoeniceus",22.2808
1982,"Red-winged Blackbird","Agelaius phoeniceus",7.6093
1983,"Red-winged Blackbird","Agelaius phoeniceus",0.4938
1984,"Red-winged Blackbird","Agelaius phoeniceus",5.3457
1985,"Red-winged Blackbird","Agelaius phoeniceus",1.4878
1986,"Red-winged Blackbird","Agelaius phoeniceus",1.064
1987,"Red-winged Blackbird","Agelaius phoeniceus",1.5407
1988,"Red-winged Blackbird","Agelaius phoeniceus",21.3176
1989,"Red-winged Blackbird","Agelaius phoeniceus",0.5926
1990,"Red-winged Blackbird","Agelaius phoeniceus",1.9478
1991,"Red-winged Blackbird","Agelaius phoeniceus",0.3533
1992,"Red-winged Blackbird","Agelaius phoeniceus",0.8205
1993,"Red-winged Blackbird","Agelaius phoeniceus",0.7148
1994,"Red-winged Blackbird","Agelaius phoeniceus",3.3333
1995,"Red-winged Blackbird","Agelaius phoeniceus",6.6104
1996,"Red-winged Blackbird","Agelaius phoeniceus",0.1798
1997,"Red-winged Blackbird","Agelaius phoeniceus",0.9437
1998,"Red-winged Blackbird","Agelaius phoeniceus",1.2486
1999,"Red-winged Blackbird","Agelaius phoeniceus",8.1419
2000,"Red-winged Blackbird","Agelaius phoeniceus",0.816
2001,"Red-winged Blackbird","Agelaius phoeniceus",7.0807
2002,"Red-winged Blackbird","Agelaius phoeniceus",1.4644
2003,"Red-winged Blackbird","Agelaius phoeniceus",0.7613
2004,"Red-winged Blackbird","Agelaius phoeniceus",1.9894
2005,"Red-winged Blackbird","Agelaius phoeniceus",4.9861
2006,"Red-winged Blackbird","Agelaius phoeniceus",1.2193
2007,"Red-winged Blackbird","Agelaius phoeniceus",6.2214
2008,"Red-winged Blackbird","Agelaius phoeniceus",3.0522
2009,"Red-winged Blackbird","Agelaius phoeniceus",0.9004
2010,"Red-winged Blackbird","Agelaius phoeniceus",0.5263
2011,"Red-winged Blackbird","Agelaius phoeniceus",5.0266
2012,"Red-winged Blackbird","Agelaius phoeniceus",7.8
2013,"Red-winged Blackbird","Agelaius phoeniceus",5.9291
2014,"Red-winged Blackbird","Agelaius phoeniceus",5.0824
2015,"Red-winged Blackbird","Agelaius phoeniceus",10.5153
2016,"Red-winged Blackbird","Agelaius phoeniceus",12.4444
2017,"Red-winged Blackbird","Agelaius phoeniceus",2.8475
2018,"Red-winged Blackbird","Agelaius phoeniceus",1.9082
2019,"Red-winged Blackbird","Agelaius phoeniceus",5.6372
2020,"Red-winged Blackbird","Agelaius phoeniceus",5.9139
2021,"Red-winged Blackbird","Agelaius phoeniceus",4.0282
2022,"Red-winged Blackbird","Agelaius phoeniceus",3.3892
2023,"Red-winged Blackbird","Agelaius phoeniceus",17.8788
