"common_name","year","yoy_change"
"American Crow",2000,16.6277673871383
"American Crow",2001,74.5350606846124
"American Crow",2002,-96.9450814511316
"American Crow",2003,-35.1685802541089
"American Crow",2004,-42.4840674505884
"American Crow",2005,-12.3473522953027
"American Crow",2006,118
"American Crow",2007,-15
"American Crow",2008,57
"American Crow",2009,-37.0330329105666
"American Crow",2010,-93.5821383399244
"American Crow",2011,53.1765677351995
"American Crow",2012,137.84385039837
"American Crow",2013,-59.5618452907855
"American Crow",2014,-3.62727933037036
"American Crow",2015,-92.8205105079563
"American Crow",2016,1.9108279132987
"American Crow",2017,22.6912954705741
"American Crow",2018,-37.5604064272095
"American Crow",2019,-113.568970264952
"American Crow",2020,1.13164155432241
"American Crow",2021,-27.8158789570289
"American Crow",2022,101.56431720787
"American Crow",2023,-1.74843825084099
"American Crow",2024,-18
"American Crow",2025,-22
"American Goldfinch",2000,-31.6721691288756
"American Goldfinch",2001,23.9860125423806
"American Goldfinch",2002,86.8797153293246
"American Goldfinch",2003,-104.013754516844
"American Goldfinch",2004,-17.6080201430112
"American Goldfinch",2005,22.6217746598549
"American Goldfinch",2006,76
"American Goldfinch",2007,-65
"American Goldfinch",2008,-23
"American Goldfinch",2009,-64.9275722849802
"American Goldfinch",2010,57.6915011751903
"American Goldfinch",2011,0.811965999154211
"American Goldfinch",2012,-19.6501045674409
"American Goldfinch",2013,-11.7965149427649
"American Goldfinch",2014,27.9911844917163
"American Goldfinch",2015,-23.5975479160354
"American Goldfinch",2016,6.61114623533123
"American Goldfinch",2017,-42.9833895598635
"American Goldfinch",2018,16.6559989513776
"American Goldfinch",2019,-35.663130706189
"American Goldfinch",2020,38.8564631245043
"American Goldfinch",2021,-12.1007789953712
"American Goldfinch",2022,-9.01238775138518
"American Goldfinch",2023,-2.88683325324365
"American Goldfinch",2024,27
"American Goldfinch",2025,-17
"American Robin",2000,-13.7929530829455
"American Robin",2001,3.09885082218796
"American Robin",2002,18.4489069777833
"American Robin",2003,2.1225375917939
"American Robin",2004,-59.6450871813925
"American Robin",2005,2.52254958959855
"American Robin",2006,21
"American Robin",2007,8
"American Robin",2008,-10
"American Robin",2009,23.896904693936
"American Robin",2010,6.27736354941268
"American Robin",2011,-50.879968187541
"American Robin",2012,3.20685837119055
"American Robin",2013,9.1165223091682
"American Robin",2014,-13.2823179891016
"American Robin",2015,15.7991928535647
"American Robin",2016,-28.4298827923434
"American Robin",2017,6.48882410008213
"American Robin",2018,-26.9645883791486
"American Robin",2019,-35.1036111461903
"American Robin",2020,-0.12529738302932
"American Robin",2021,-4.5009886185663
"American Robin",2022,21.7064187002579
"American Robin",2023,-29.2054300816916
"American Robin",2024,35
"American Robin",2025,-23
"Blue Jay",2000,-26.7647939726746
"Blue Jay",2001,56.3470740640666
"Blue Jay",2002,-14.7289244708516
"Blue Jay",2003,-11.0571744958621
"Blue Jay",2004,-4.21171980401431
"Blue Jay",2005,-2.73110570012363
"Blue Jay",2006,-14
"Blue Jay",2007,0
"Blue Jay",2008,-12
"Blue Jay",2009,13.3026793360793
"Blue Jay",2010,-7.73468143677525
"Blue Jay",2011,31.295468887765
"Blue Jay",2012,4.90294832923948
"Blue Jay",2013,-42.6098414756919
"Blue Jay",2014,9.93805158858515
"Blue Jay",2015,-9.38992442028142
"Blue Jay",2016,-16.9420651974458
"Blue Jay",2017,-13.7721699771957
"Blue Jay",2018,6.7742352978004
"Blue Jay",2019,9.45734506316268
"Blue Jay",2020,-9.2220459952419
"Blue Jay",2021,22.073109695193
"Blue Jay",2022,-1.2511490993256
"Blue Jay",2023,-20.8219605958674
"Blue Jay",2024,14
"Blue Jay",2025,-9
"Blue-gray Gnatcatcher",2000,-5.46981364228566
"Blue-gray Gnatcatcher",2001,8.1351036481125
"Blue-gray Gnatcatcher",2002,-69.6408523204838
"Blue-gray Gnatcatcher",2003,40.3721004779113
"Blue-gray Gnatcatcher",2004,79.7091637076014
"Blue-gray Gnatcatcher",2005,-82.0812641855127
"Blue-gray Gnatcatcher",2006,-7
"Blue-gray Gnatcatcher",2007,22
"Blue-gray Gnatcatcher",2008,36
"Blue-gray Gnatcatcher",2009,12.5754659271644
"Blue-gray Gnatcatcher",2010,-64.4148119106763
"Blue-gray Gnatcatcher",2011,-1.77984338882493
"Blue-gray Gnatcatcher",2012,-46.2258061317983
"Blue-gray Gnatcatcher",2013,42.2146138350922
"Blue-gray Gnatcatcher",2014,49.7482439133025
"Blue-gray Gnatcatcher",2015,-11.3160676892021
"Blue-gray Gnatcatcher",2016,-49.6623898514681
"Blue-gray Gnatcatcher",2017,40.2885293169498
"Blue-gray Gnatcatcher",2018,15.0284404950682
"Blue-gray Gnatcatcher",2019,14.2581377762244
"Blue-gray Gnatcatcher",2020,34.2854877081681
"Blue-gray Gnatcatcher",2021,-98.6353962707746
"Blue-gray Gnatcatcher",2022,64.501326112197
"Blue-gray Gnatcatcher",2023,-15.8659298414224
"Blue-gray Gnatcatcher",2024,37
"Blue-gray Gnatcatcher",2025,40
"Brown Thrasher",2000,12.0110522278953
"Brown Thrasher",2001,-19.8600498694509
"Brown Thrasher",2002,17.1817123159367
"Brown Thrasher",2003,-21.328476512414
"Brown Thrasher",2004,26.9297268388766
"Brown Thrasher",2005,-7.60125032646252
"Brown Thrasher",2006,-6
"Brown Thrasher",2007,-2
"Brown Thrasher",2008,-5
"Brown Thrasher",2009,13.6739529382978
