"year","American Crow","American Goldfinch","American Robin","Blue Jay","Blue-gray Gnatcatcher","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Chipping Sparrow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","House Finch","House Sparrow","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Mockingbird","Pileated Woodpecker","Pine Warbler","Red-bellied Woodpecker","Red-winged Blackbird","Song Sparrow","Tufted Titmouse","White-breasted Nuthatch"
2000,16.6277673871383,-31.6721691288756,-13.7929530829455,-26.7647939726746,-5.46981364228566,12.0110522278953,-7.92739840685161,0.363408713529115,-17.5286015039476,-138.903517469247,-41.1773428881811,-150.983532618951,-19.9031072422324,12.4427916159785,9.19965172172894,-59.9818826702013,-31.4218743594857,-39.7298605954515,-13.2678310730811,-31.3440341459266,3.39103308529794,-12.0763459131735,-22.801884355117,-14.4130737382782,-25.8953357291199,-3.00419441601936,-61.6917820029812,-39.9418253278562,-0.293113420113936,-22.3033655549634,-36.7266615542465,-28.9125913854335,4.59338942882683,20.486663082925,12.3628056822923
2001,74.5350606846124,23.9860125423806,3.09885082218796,56.3470740640666,8.1351036481125,-19.8600498694509,26.3222441195367,16.9967861188031,10.5140809477634,95.8611899501585,55.1061098962361,-13.7341406758434,7.88172581743838,1.33943542320371,29.0116668686398,28.9317693378462,14.2299342520905,11.7354203984498,-36.6833267232381,8.82328199305137,0.905726537306816,3.00337028144169,10.2471737671534,4.83272939453499,-17.5134024018639,17.7174825562769,36.5295420274992,21.0939596438259,2.10618592718773,15.977223021572,15.4098438926455,1.12431013340245,-6.68490585223195,12.4643949863069,-9.81791962575996
2002,-96.9450814511316,86.8797153293246,18.4489069777833,-14.7289244708516,-69.6408523204838,17.1817123159367,5.64784041725309,11.134381059501,-12.8206938740075,-40.4944294963793,-5.52941061803051,50.7885034729951,15.9349757276853,-14.2557454028003,-39.0985016682678,-35.911469878198,-6.73010208037477,35.7052746008092,20.6474604425379,20.3453037472781,-10.5902724305782,-0.640847356819396,32.8944779049754,2.05516404164531,53.5546050405624,-8.47787826931391,-2.62987207302376,83.4778580308143,-0.611262782166618,16.4226605964085,50.7899189106293,19.3899934294731,1.59464850999868,-3.83867639936892,-1.62936706931438
2003,-35.1685802541089,-104.013754516844,2.1225375917939,-11.0571744958621,40.3721004779113,-21.328476512414,-45.4033686909896,-32.404068073202,-35.6113474763958,38.6736216342231,-3.59788436880751,-60.2516027509034,3.25664413101761,-13.3091269378716,-43.7188483506236,9.80854411936122,-2.61143489917242,-22.031239072153,-24.8704977270079,-26.7905933092435,-0.743443291758936,-2.64990092085326,-18.9471092201889,-10.8841356801492,-127.575154446905,-21,-6.61073551695995,-101.226774682364,-0.00877141858026675,-60.2351672689125,-53.2447254924816,-16.8773167035785,-5,12.2244142673973,-2.70465671989743
2004,-42.4840674505884,-17.6080201430112,-59.6450871813925,-4.21171980401431,79.7091637076014,26.9297268388766,12.5732144778503,11.9812605435807,-11.4774310922897,75.3516956040644,-8.6980673777615,-63.5356911517092,10.407776830587,5.00956686461721,20.4212483401609,3.30120879561663,-3.46556426976015,25.8039985092464,-76.5416958589906,20.1455468792468,3.32391039365611,-3.99539815839384,13.0944885440084,-14.1158643198508,62.9745825084495,12.8214918115882,14.0687143982565,11.3173539961965,-0.731228327779682,-23.1677389306443,28.7108216474178,7.8294576037866,5.22958445440246,-38.8933633971147,5.67822742859545
2005,-12.3473522953027,22.6217746598549,2.52254958959855,-2.73110570012363,-82.0812641855127,-7.60125032646252,43.8301542131393,-0.577192470378641,-0.911221431314516,15.9746827617124,34.295951746569,68.7872939026127,-12.6644209616046,-17.7004399267457,32.2976000104627,4.89024708502215,10.0769991689326,-7.77275943709333,8.41219358599844,-11.3549535700033,-4.58046710189717,11.6452990792471,-24.1473793238195,21,-43.3994280615442,-1.82149181158822,34.5420211187035,-34.0905793138325,2.73999974635995,25.4029061995568,-12.4660961549361,21.0478590997919,0.770415545597544,-83.3310508702826,-1.97357070869802
2006,118,76,21,-14,-7,-6,4,-7,10,140,-42,-23,-14,40,19,8,15,63,-23,-3,17,-12,25,-29,12,-15,50,33,8,24,-4,-23,0,35,10
2007,-15,-65,8,0,22,-2,-53,9,-14,-78,43,-24,12,-19,3,-22,-3,-47,32,3,-5,13,-8,21,-29,11,-71,32,-6,-35,12,8,-1,-68,-12
2008,57,-23,-10,-12,36,-5,20,-8,63,-145,20,59,-4,6,-31,34,9,17,-98,2,15,8,47,6,124,-5,-14,-22,1,50,19,-8,8,191,3
2009,-37.0330329105666,-64.9275722849802,23.896904693936,13.3026793360793,12.5754659271644,13.6739529382978,-1.45817870396795,-5.94151951388602,-41.8081644304882,134.172382855512,-9.15929203539798,-3.46556013213183,-9.07034786509522,-22.7345132743363,80.2602667101668,-26,-7.82753558174623,-53.6538477223604,180.242812283349,-14.4995717956038,0.38477223604275,-17.8050242649158,-34.2318828759019,-19.6933240895559,3.92846947514386,-12.6578850780963,-18.8498837730925,23.426042983565,4.07401818849152,-44.8564903552056,-21.5532808613024,-20,-10.9090575425146,-112.572284980221,-0.163370172505182
