"common_name","year","seasonal_change","yoy_change"
"American Crow",1999,-8.5292090734416,0
"American Crow",2000,-5.85945073056953,2.66975834287207
"American Crow",2001,-6.92190693612139,-1.06245620555186
"American Crow",2002,-4.36414744928274,2.55775948683865
"American Crow",2003,-1.85185727940581,2.51229016987693
"American Crow",2004,-6.94095843154879,-5.08910115214298
"American Crow",2005,-8.39226564108024,-1.45130720953145
"American Crow",2006,-7.14786549144603,1.24440014963421
"American Crow",2007,-5.35009241434741,1.79777307709862
"American Crow",2008,-6.03946005509642,-0.689367640749011
"American Crow",2009,-10.0419217277657,-4.00246167266924
"American Crow",2010,-8.76364982741887,1.27827190034679
"American Crow",2011,-11.1119207206396,-2.34827089322069
"American Crow",2012,-11.3945039513443,-0.28258323070475
"American Crow",2013,-9.45831122163847,1.93619272970584
"American Crow",2014,-9.87830278275352,-0.419991561115051
"American Crow",2015,-7.1956351848264,2.68266759792712
"American Crow",2016,-12.621932838008,-5.42629765318163
"American Crow",2017,-7.32119743696291,5.30073540104512
"American Crow",2018,-6.22480874133691,1.096388695626
"American Crow",2019,-7.02204259340874,-0.797233852071829
"American Crow",2020,-9.57050124223603,-2.54845864882729
"American Crow",2021,-5.72555070763442,3.84495053460161
"American Crow",2022,-8.86147074033296,-3.13592003269854
"American Crow",2023,-6.72358808230131,2.13788265803165
"American Crow",2024,-5.36651984860536,1.35706823369595
"American Goldfinch",1999,-3.65947390299134,0
"American Goldfinch",2000,-1.59031620615908,2.06915769683226
"American Goldfinch",2001,-8.99330109614782,-7.40298488998874
"American Goldfinch",2002,-1.44228702759385,7.55101406855397
"American Goldfinch",2003,-2.58411435110312,-1.14182732350927
"American Goldfinch",2004,-4.8753538595361,-2.29123950843298
"American Goldfinch",2005,-8.44012043917098,-3.56476657963488
"American Goldfinch",2006,-3.6343624829232,4.80575795624778
"American Goldfinch",2007,-5.83446016134938,-2.20009767842618
"American Goldfinch",2008,-7.486802940695,-1.65234277934562
"American Goldfinch",2009,-1.07148956267471,6.41531337802029
"American Goldfinch",2010,-12.4046591722861,-11.3331696096114
"American Goldfinch",2011,-1.03397603604842,11.3706831362377
"American Goldfinch",2012,-5.63715237891332,-4.6031763428649
"American Goldfinch",2013,-2.97569655719551,2.66145582171781
"American Goldfinch",2014,-5.42658135350803,-2.45088479631252
"American Goldfinch",2015,-4.17739216677399,1.24918918673404
"American Goldfinch",2016,-4.21957121688732,-0.0421790501133303
"American Goldfinch",2017,-4.2339380492666,-0.01436683237928
"American Goldfinch",2018,-5.15613606393606,-0.92219801466946
"American Goldfinch",2019,-2.1128840711878,3.04325199274826
"American Goldfinch",2020,-5.10073950953678,-2.98785543834898
"American Goldfinch",2021,0.44549310322388,5.54623261276066
"American Goldfinch",2022,-5.55609063408959,-6.00158373731347
"American Goldfinch",2023,-1.50657732342007,4.04951331066952
"American Goldfinch",2024,-1.11620690408126,0.39037041933881
"American Robin",1999,-23.9329403598972,0
"American Robin",2000,-27.8677485521162,-3.93480819221904
"American Robin",2001,-1.75245398342075,26.1152945686955
"American Robin",2002,-18.4754042059725,-16.7229502225517
"American Robin",2003,-7.64803715013353,10.8273670558389
"American Robin",2004,-8.68792546687056,-1.03988831673703
"American Robin",2005,-40.1852877473312,-31.4973622804606
"American Robin",2006,-7.02517127577105,33.1601164715602
"American Robin",2007,-8.31083503789686,-1.28566376212581
"American Robin",2008,-18.0695015903812,-9.75866655248437
"American Robin",2009,-7.99013696684785,10.0793646235334
"American Robin",2010,-11.1499657675016,-3.15982880065375
"American Robin",2011,-12.8752085167541,-1.7252427492525
"American Robin",2012,-11.0509657711471,1.82424274560699
"American Robin",2013,-16.5600220193829,-5.50905624823577
"American Robin",2014,-17.8790589215955,-1.31903690221264
"American Robin",2015,-7.88216524006537,9.99689368153015
"American Robin",2016,-6.38983675741691,1.49232848264846
"American Robin",2017,-19.9465128807774,-13.5566761233605
"American Robin",2018,-22.0219282434796,-2.07541536270213
"American Robin",2019,-3.1257048079439,18.8962234355357
"American Robin",2020,-50.6738151862464,-47.5481103783025
"American Robin",2021,-4.7513945857915,45.9224206004549
"American Robin",2022,-21.7593745093864,-17.0079799235949
"American Robin",2023,-21.6736530676743,0.0857214417121419
"American Robin",2024,-5.69482688939619,15.9788261782781
"Blue Jay",1999,-4.44017128555758,0
"Blue Jay",2000,-1.07462326934264,3.36554801621494
"Blue Jay",2001,-5.15607476121206,-4.08145149186942
"Blue Jay",2002,-0.75186195119251,4.40421281001955
"Blue Jay",2003,-2.06321011567688,-1.31134816448437
"Blue Jay",2004,-3.44926735097172,-1.38605723529484
"Blue Jay",2005,0.72014261548953,4.16940996646125
"Blue Jay",2006,-5.32039530909115,-6.04053792458068
"Blue Jay",2007,-3.68287749012978,1.63751781896137
"Blue Jay",2008,-3.94062551532046,-0.257748025190681
"Blue Jay",2009,-5.57500967740239,-1.63438416208193
"Blue Jay",2010,-3.91813623827749,1.6568734391249
"Blue Jay",2011,-3.23452296046729,0.6836132778102
"Blue Jay",2012,-3.61935752096949,-0.384834560502199
"Blue Jay",2013,-4.9614105819385,-1.34205306096901
"Blue Jay",2014,-3.54941543210028,1.41199514983822
"Blue Jay",2015,-3.06488494623656,0.484530485863721
"Blue Jay",2016,-4.75462021324659,-1.68973526701003
"Blue Jay",2017,-3.78968670753405,0.96493350571254
"Blue Jay",2018,-6.69323096715234,-2.90354425961829
"Blue Jay",2019,-2.81545613498085,3.87777483217149
"Blue Jay",2020,-7.86284117647059,-5.04738504148974
"Blue Jay",2021,-3.88539781991787,3.97744335655272
"Blue Jay",2022,-6.79015919147225,-2.90476137155438
"Blue Jay",2023,-2.83365202431246,3.95650716715979
"Blue Jay",2024,-4.19498953873677,-1.36133751442431
"Brown Thrasher",1999,0.56084705951095,0
"Brown Thrasher",2000,0.86252962072076,0.30168256120981
"Brown Thrasher",2001,0.85146542553552,-0.0110641951852399
"Brown Thrasher",2002,1.23436371558487,0.38289829004935
"Brown Thrasher",2003,0.91765266171313,-0.31671105387174
"Brown Thrasher",2004,-0.032741033645508,-0.950393695358638
"Brown Thrasher",2005,0.0490171996462321,0.08175823329174
"Brown Thrasher",2006,0.53195438081317,0.482937181166938
"Brown Thrasher",2007,0.103278814233623,-0.428675566579547
"Brown Thrasher",2008,0.332427100891908,0.229148286658285
"Brown Thrasher",2009,0.167882211606583,-0.164544889285325
"Brown Thrasher",2010,0.36969096753034,0.201808755923757
"Brown Thrasher",2011,0.230971930974224,-0.138719036556116
"Brown Thrasher",2012,0.152812411118294,-0.0781595198559301
"Brown Thrasher",2013,-0.264832288035583,-0.417644699153877
"Brown Thrasher",2014,0.00471832577991604,0.269550613815499
"Brown Thrasher",2015,0.0522979989726111,0.047579673192695
"Brown Thrasher",2016,0.111478715649828,0.059180716677217
"Brown Thrasher",2017,-0.331876479846026,-0.443355195495854
"Brown Thrasher",2018,0.150282989009372,0.482159468855398
"Brown Thrasher",2019,0.0681614917565629,-0.082121497252809
"Brown Thrasher",2020,-0.179946970481616,-0.248108462238179
"Brown Thrasher",2021,-0.215008349389852,-0.035061378908236
"Brown Thrasher",2022,0.128143581445523,0.343151930835375
"Brown Thrasher",2023,-0.00773513982224194,-0.135878721267765
"Brown Thrasher",2024,-0.560434443622355,-0.552699303800113
"Brown-headed Cowbird",1999,0.82277573606463,0
"Brown-headed Cowbird",2000,1.75771072191552,0.93493498585089
"Brown-headed Cowbird",2001,-0.28599446097656,-2.04370518289208
"Brown-headed Cowbird",2002,2.17467055102236,2.46066501199892
"Brown-headed Cowbird",2003,2.19798998557591,0.0233194345535503
"Brown-headed Cowbird",2004,1.65014381404043,-0.54784617153548
"Brown-headed Cowbird",2005,0.19807944962273,-1.4520643644177
"Brown-headed Cowbird",2006,2.0091991216513,1.81111967202857
"Brown-headed Cowbird",2007,2.08448165731766,0.0752825356663602
"Brown-headed Cowbird",2008,1.82381856049775,-0.26066309681991
"Brown-headed Cowbird",2009,0.79404105331288,-1.02977750718487
"Brown-headed Cowbird",2010,1.15721792114696,0.36317686783408
"Brown-headed Cowbird",2011,2.17895357823352,1.02173565708656
"Brown-headed Cowbird",2012,2.33328235772232,0.1543287794888
"Brown-headed Cowbird",2013,2.03992189250652,-0.2933604652158
"Brown-headed Cowbird",2014,1.53490030682478,-0.50502158568174
"Brown-headed Cowbird",2015,1.1640072577401,-0.37089304908468
"Brown-headed Cowbird",2016,1.15577253489656,-0.00823472284354021
"Brown-headed Cowbird",2017,-10.5799668624595,-11.735739397356
"Brown-headed Cowbird",2018,0.72429180134764,11.3042586638071
"Brown-headed Cowbird",2019,2.5806576255235,1.85636582417586
"Brown-headed Cowbird",2020,1.94257582534611,-0.63808180017739
"Brown-headed Cowbird",2021,0.55693097731239,-1.38564484803372
"Brown-headed Cowbird",2022,1.11131169181427,0.55438071450188
"Brown-headed Cowbird",2023,1.86734432349387,0.7560326316796
"Brown-headed Cowbird",2024,0.13797601564443,-1.72936830784944
"Brown-headed Nuthatch",1999,-0.662589290436316,0
"Brown-headed Nuthatch",2000,-0.685835217830116,-0.0232459273937999
"Brown-headed Nuthatch",2001,-0.9271340731027,-0.241298855272584
"Brown-headed Nuthatch",2002,-1.16522119372787,-0.23808712062517
"Brown-headed Nuthatch",2003,-0.05945458674723,1.10576660698064
"Brown-headed Nuthatch",2004,-0.91205583246677,-0.85260124571954
"Brown-headed Nuthatch",2005,-1.0194390878471,-0.10738325538033
"Brown-headed Nuthatch",2006,-2.23375928828676,-1.21432020043966
"Brown-headed Nuthatch",2007,-0.627694283649964,1.60606500463679
"Brown-headed Nuthatch",2008,-1.55002444314624,-0.922330159496278
"Brown-headed Nuthatch",2009,-1.87054528974466,-0.320520846598418
"Brown-headed Nuthatch",2010,-1.50644048214302,0.36410480760164
"Brown-headed Nuthatch",2011,-2.34630477660669,-0.839864294463673
"Brown-headed Nuthatch",2012,-1.27010219834068,1.07620257826601
"Brown-headed Nuthatch",2013,-1.30579708788501,-0.0356948895443301
"Brown-headed Nuthatch",2014,-1.26042727272727,0.0453698151577402
"Brown-headed Nuthatch",2015,-1.26807932643494,-0.00765205370767386
"Brown-headed Nuthatch",2016,-0.93880787704591,0.329271449389034
"Brown-headed Nuthatch",2017,-1.02923825370165,-0.0904303766557402
"Brown-headed Nuthatch",2018,-1.83317473747825,-0.803936483776596
"Brown-headed Nuthatch",2019,-1.24631772731663,0.586857010161616
"Brown-headed Nuthatch",2020,-2.24407532467532,-0.997757597358695
"Brown-headed Nuthatch",2021,-0.9158106729338,1.32826465174152
"Brown-headed Nuthatch",2022,-2.2661507006957,-1.3503400277619
