"year","American Crow","American Goldfinch","American Robin","Blue Jay","Blue-gray Gnatcatcher","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Chipping Sparrow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","House Finch","House Sparrow","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Mockingbird","Pileated Woodpecker","Pine Warbler","Red-bellied Woodpecker","Red-winged Blackbird","Song Sparrow","Tufted Titmouse","White-breasted Nuthatch"
1999,802.782253379381,209.80644125717,237.245195282974,150.14664437946,225.975562314657,49.6672853256189,82.9573138700618,28.5054241081668,229.835214430192,481.536757015468,293.600643609975,476.929169821799,67.0864056971087,52.4735183636181,236.887183077899,144.961583210553,60.9220421877699,252.289165596192,303.303697353781,56.1754484055971,18.2935128079735,36.7138229885512,97.6602326829882,54.525180302098,543.854133090421,32.7645901290564,875.792112048506,284.370007653216,6.79819027509283,230.903481936983,198.526898750972,69.398287822558,13.4968679134064,359.887618330137,30.084481012782
2000,819.410020766519,178.134272128295,223.452242200029,123.381850406785,220.505748672371,61.6783375535142,75.0299154632102,28.8688328216959,212.306612926244,342.633239546221,252.423300721794,325.945637202848,47.1832984548763,64.9163099795966,246.086834799628,84.9797005403519,29.5001678282843,212.559305000741,290.0358662807,24.8314142596706,21.6845458932714,24.6374770753777,74.8583483278712,40.1121065638197,517.958797361302,29.760395713037,814.100330045525,244.42818232536,6.50507685497889,208.600116382019,161.800237196725,40.4856964371245,18.0902573422333,380.374281413062,42.4472866950743
2001,893.945081451132,202.120284670675,226.551093022217,179.728924470852,228.640852320484,41.8182876840633,101.352159582747,45.865618940499,222.820693874007,438.494429496379,307.52941061803,312.211496527005,55.0650242723147,66.2557454028003,275.098501668268,113.911469878198,43.7301020803748,224.294725399191,253.352539557462,33.6546962527219,22.5902724305782,27.6408473568194,85.1055220950246,44.9448359583547,500.445394959438,47.4778782693139,850.629872073024,265.522141969186,8.61126278216662,224.577339403591,177.210081089371,41.6100065705269,11.4053514900013,392.838676399369,32.6293670693144
2002,797,289,245,165,159,59,107,57,210,398,302,363,71,52,236,78,37,260,274,54,12,27,118,47,554,39,848,349,8,241,228,61,13,389,31
2003,761.831419745891,184.986245483156,247.122537591794,153.942825504138,199.372100477911,37.671523487586,61.5966313090104,24.595931926798,174.388652523604,436.673621634223,298.402115631192,302.748397249097,74.2566441310176,38.6908730621284,192.281151649376,87.8085441193612,34.3885651008276,237.968760927847,249.129502272992,27.2094066907565,11.2565567082411,24.3500990791467,99.0528907798111,36.1158643198508,426.424845553095,18,841.38926448304,247.773225317636,7.99122858141973,180.764832731088,174.755274507518,44.1226832964215,8,401.224414267397,28.2953432801026
2004,719.347352295303,167.378225340145,187.477450410401,149.731105700124,279.081264185513,64.6012503264625,74.1698457868607,36.5771924703786,162.911221431315,512.025317238288,289.704048253431,239.212706097387,84.6644209616046,43.7004399267457,212.702399989537,91.1097529149778,30.9230008310674,263.772759437093,172.587806414002,47.3549535700033,14.5804671018972,20.3547009207529,112.147379323819,22,489.399428061544,30.8214918115882,855.457978881297,259.090579313833,7.26000025364005,157.597093800443,203.466096154936,51.9521409002081,13.2295844544025,362.331050870283,33.973570708698
2005,707,190,190,147,197,57,118,36,162,528,324,308,72,26,245,96,41,256,181,36,10,32,88,43,446,29,890,225,10,183,191,73,14,279,32
2006,825,266,211,133,190,51,122,29,172,668,282,285,58,66,264,104,56,319,158,33,27,20,113,14,458,14,940,258,18,207,187,50,14,314,42
2007,810,201,219,133,212,49,69,38,158,590,325,261,70,47,267,82,53,272,190,36,22,33,105,35,429,25,869,290,12,172,199,58,13,246,30
2008,867,178,209,121,248,44,89,30,221,445,345,320,66,53,236,116,62,289,92,38,37,41,152,41,553,20,855,268,13,222,218,50,21,437,33
2009,829.966967089433,113.07242771502,232.896904693936,134.302679336079,260.575465927164,57.6739529382978,87.541821296032,24.058480486114,179.191835569512,579.172382855512,335.840707964602,316.534439867868,56.9296521349048,30.2654867256637,316.260266710167,90,54.1724644182538,235.34615227764,272.242812283349,23.5004282043962,37.3847722360427,23.1949757350842,117.768117124098,21.3066759104441,556.928469475144,7.34211492190365,836.150116226907,291.426042983565,17.0740181884915,177.143509644794,196.446719138698,30,10.0909424574854,324.427715019779,32.8366298274948
2010,736.384828749509,170.76392889021,239.174268243349,126.567997899304,196.160654016488,55.081853885623,114.322061062016,40.2888054304105,227.671218417956,617.507655215755,332.307274266847,399.831833420662,37.5027150935765,51.7780163580173,293.61929390099,134.562341581984,86.7714548770611,244.10825019549,201.712237235767,28.6203559890239,49.1761015516694,40.8196168952104,117.862181210917,23.0902617813881,450.557108076773,14.282452375352,921.093424357935,321.975265979932,23.3022696501679,201.433051289248,192.693735042292,36.8206912012231,30.0473949032395,348.362391042269,41.153793581611
2011,789.561396484708,171.575894889364,188.294300055808,157.863466787069,194.380810627663,55.7816082778942,101.022970090901,41.9284580807376,254.353051299851,521.673605491862,355.280128285551,353.63142117051,44.1431274607399,60.4122087513856,254.685801079735,95.9080917413831,60.8165718426693,208.716450180706,170.295504544079,27.1081287767875,41.8917399258225,27.2257694299199,132.376870010851,22.2803314507042,457.088171147735,2.80226392832239,947.228353400368,345.809801439038,13.7604184580097,194.895608209777,252.172644268115,42.1032842129944,27.3405356931028,431.411297940572,45.2932293084844
2012,927.405246883078,151.925790321923,191.501158426998,162.766415116308,148.155004495865,79.929481323603,85.1409975397203,44.9791884857373,232.388509579275,514.883301794024,360.705505665614,309.854613987755,42.5577910254377,74.7330645473151,284.637783680722,93.2098934220077,72.0476291277282,227.641785783831,269.499936429531,18.4472212823385,51.5861552479735,28.7302362636003,106.419740687037,23.2907417779456,519.057001997712,10.9601655602619,846.783331920746,377.545284723825,17.4501150697542,211.594502628841,277.767666411323,26.5426120943285,12.9741240096471,391.433882048384,35.190149451129
2013,867.843401592293,140.129275379158,200.617680736166,120.156573640617,190.369618330957,79.0799001819056,101.835681989755,33.3761376546914,222.951923693973,550.918924762955,383.347933991175,170.500711689354,29.1211797047735,54.252068292499,293.502362887437,102.861142416971,82.5309050654196,181.17506365133,157.691317978011,22.9003077380138,66.3092331436631,17.884307316356,61.1318967188863,21.046960570996,430.706387105326,5.438186999877,811.177726806364,293.546306475475,11.5342117155301,176.365392023873,233.452798325304,26.2960741423943,15.0309138065713,409.286500285092,33.7247481152603
2014,864.216122261922,168.120459870875,187.335362747065,130.094625229202,240.11786224426,58.0451186427706,117.727305645712,26.8717677284449,173.552279575604,560.690927932315,337.38918558123,181.702233498761,44.2798291914081,55.4557300594236,254.08010942164,88.9566600592627,73.5845901090964,227.833605732661,114.864714122606,18.0196569245122,42.0006329196738,30.3630122564063,45.0072103707111,22.2651171989079,510.038829040289,4.90514478069485,819.074713333308,257.10442575941,12.4492798981492,174.246975375389,250.035657767315,36.3510765928618,15.856277840392,398.949505955598,38.6310324947485
2015,771.395611753966,144.522911954839,203.13455560063,120.70470080892,228.801794555058,69.5844468808354,104.874528102404,27.2741722295897,202.100544082832,463.353349421986,360.432900609279,184.10481898828,47.0209698960959,55.5292238384313,188.41558140621,70.7729781728474,26.2399271910138,206.412025495236,194.727030535672,26.9854171266191,53.7655235270755,21.0171869300054,68.8356333603445,12.5581080398187,424.218249262519,4.43536078456651,869.145102673657,253.559748308314,11.428422362343,168.135624353834,227.902750912378,22.6147066122891,19.9523128860345,492.139603137541,27.9641486641119
2016,773.306439667265,151.134058190171,174.704672808286,103.762635611475,179.139404703589,53.9414824436858,80.0254000640051,41.4605435870641,154.647116328071,456.550719837094,341.18270714143,113.091474058237,39.6555616280048,43.9801367051383,242.733152267494,72.7571197690043,33.1296769937526,168.06594113966,112.213036645403,24.0268421380189,163.13842703567,22.6673131524092,106.638980515008,8.51099622413507,398.759097327431,7.15516297960878,829.408846051909,234.83918782359,16.0752050583835,167.71081141797,203.988635932908,54.4381449836705,27.9354088957316,372.061053990413,28.9269421149743
