"year","American Crow","American Goldfinch","American Robin","Blue Jay","Blue-gray Gnatcatcher","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Chipping Sparrow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","House Finch","House Sparrow","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Mockingbird","Pileated Woodpecker","Pine Warbler","Red-bellied Woodpecker","Red-winged Blackbird","Song Sparrow","Tufted Titmouse","White-breasted Nuthatch"
2000,-0.8531,-1.8473,3.4111,-3.0135,0.0487,0.00530000000000008,-0.00120000000000003,-0.1042,-0.225399999999999,-3.6011,-0.6144,-2.5298,0.0506,-0.0520999999999998,-1.0386,0.8285,-0.2192,0.3529,-7.4138,-0.8985,0,0.0111,-1.4925,-0.7482,-0.0336000000000007,-0.1956,-1.4865,0.1751,-0.0569,2.2203,-0.3283,-4.9894,-1.477,0.576200000000001,0.0396000000000001
2001,0.68,7.8681,-25.3016,3.0819,-0.0299,-0.0184,1.8726,0.5587,-0.553700000000003,1.4427,1.9567,-1.0888,0.0314,0.1678,0.537999999999999,-0.7024,0.1951,0.4149,-2.0503,0.9598,0.0133,-0.017,0.9031,0.2655,2.6778,0.0362,0.5214,0.0587999999999997,0.0514,-0.895,0.24,5.0043,2.9144,0.294499999999999,0.0895999999999999
2002,-2.3796,-4.3086,16.6442,-3.7922,-0.034,0.1116,-1.5902,0.4275,0.603400000000001,1.4266,0.3246,-10.8826,-0.056,-0.422699999999999,-0.845699999999999,-0.3254,0.2891,-0.1788,-6.6845,-0.0451000000000001,-0.0065,-0.007,-0.0210999999999997,0.0107999999999999,-4.2416,-0.00480000000000001,0.952399999999999,0.5873,-0.0025,-1.2365,-0.0055000000000005,-13.0202,-3.3493,-0.852399999999999,-0.0717999999999999
2003,-2.8581,-0.3331,-10.4544,1.3679,0,0.00479999999999997,-0.3589,-1.0998,-1.1097,-1.0814,1.4524,-3.0645,0.0221,-0.3377,-1.5173,0.4821,-0.7124,0.2576,-0.998799999999999,-0.9799,-0.0068,0.0311,-1.4137,-1.012,0.3038,0.0185,-0.303399999999998,-0.8159,-0.0263,-0.0362,-0.243,29.0508,3.4654,0.0995999999999988,-0.1298
2004,2.9419,0.716100000000001,0.1921,0.9736,0.0278,0.2989,-0.1086,0.7592,0.815199999999999,3.0252,2.9478,-0.266,-0.0103,0.4593,0.8069,-0.3737,0.3745,0.3264,3.6136,0.9148,0,0.0044,0.6664,0.0429,1.5759,-0.0285,2.7677,0.7886,0.0677,0.8137,-0.1469,-26.4105,-0.808199999999999,1.8684,0.472
2005,1.8546,4.5038,30.3736,-0.3682,-0.0278,-0.1583,2.0715,-0.3135,1.4723,-0.429,-1.3384,4.7533,-0.0378,0.145999999999999,1.1291,-0.3428,0.683,1.3477,-0.6545,0.7559,0.0148,0.0404,0.6625,0.3135,3.7482,0.1265,-0.1746,-0.9579,-0.00980000000000003,-0.6526,1.113,19.8373,5.9373,-0.860499999999999,-0.0384
2006,-0.689799999999998,-6.7151,-32.166,1.6985,0,-0.0437000000000001,-2.0622,1.4136,-0.811299999999999,0.477099999999998,-0.395499999999999,14.6632,0.0506,0.2794,0.9722,0.2453,-0.7508,-0.9638,-3.0876,-0.9408,0.0053,-0.0311,0.765100000000001,0.3326,-3.9772,-0.1479,-0.742800000000001,0.7257,0.0429,1.1493,0.5349,3.7695,-4.1201,-0.183000000000001,-0.1931
2007,-0.302100000000001,1.6667,-0.00799999999999912,-1.8728,0,-0.0591999999999999,0.1079,-1.8322,-1.7511,-3.2174,-4.2614,57.3432,-0.0506,-1.0276,-0.948599999999999,-0.144,-0.303,-0.375,4.3497,-0.8529,-0.0201,-0.0231,-1.0048,-0.6041,0.5475,0.0366,0.6684,-0.6063,-0.1516,-1.6095,-2.1915,-17.5442,-5.0997,-0.9858,-0.5497
2008,0.273400000000001,2.7472,11.1377,1.0614,0.0074,-0.0362000000000001,-0.1722,1.123,2.2709,1.1599,7.3303,-75.8667,0.0089,0.3168,0.602699999999999,0.5268,0.5374,-0.6513,-0.718999999999999,3.0395,0.0163,6e-04,0.2403,0.7567,0.1502,-0.0218,-0.0808,0.6253,0.1824,0.6595,0.8481,-2.9322,3.7197,1.836,0.2233
2009,2.4227,-7.3737,-10.6309,1.2449,-0.0074,0.2163,0.9829,0.4105,-2.0586,0.6446,-2.6292,0.9146,0.0111,0.0906,-0.3737,-0.0507,0.0943,1.033,-4.9153,-2.472,-0.0163,-0.0023,-0.7192,-0.7586,-3.2804,-0.0148,1.2772,0.0225,0.0266999999999999,-0.0317999999999998,0.8335,-11.4856,-3.389,0.0753000000000004,0.5464
2010,-0.494999999999999,9.9079,2.9836,-1.8636,0,0.0315000000000001,-0.0176000000000001,-0.571,-0.0758000000000001,-0.9407,0.0407000000000002,52.2407,-0.0103,0.287,1.1099,0.0988000000000002,-0.3499,-0.9313,3.2447,0.7479,0,-0.005,2.0386,-0.397,1.9469,0.059,-1.5368,0.0316999999999998,-0.0788,0.2577,-0.380199999999999,10.7466,2.6621,-0.407300000000001,-0.5453
2011,1.7449,-9.4001,2.4834,-0.5036,0,-0.0647000000000001,-0.8676,1.009,3.8266,0.8261,4.569,-43.0151,-0.0021,-0.3174,-0.289800000000001,-0.5355,0.1002,1.3323,-1.6799,-0.6677,0,0.000200000000000001,-2.1947,0.7641,0.138,-0.059,0.473099999999999,-0.1819,0.1216,-0.9374,0.6518,5.3245,1.5321,2.9388,0.7671
2012,1.0037,4.4145,-1.8412,0.3874,0,-0.0599000000000001,0.5205,-0.5106,-2.1543,0.2645,-0.557499999999999,-10.4993,0.0278,0.3381,-0.306699999999999,0.2038,0.3722,-0.531899999999998,1.6434,1.0425,0.0071,0.0084,1.3256,-0.1943,-0.7733,0,-1.5766,0.1417,-0.116,0.9018,-0.3359,5.4346,1.3275,-0.9978,-0.36
2013,-1.7786,-4.0538,4.0243,0.788100000000001,0,0.263,-0.4749,-0.4343,0.963800000000001,2.0754,1.1978,16.6044,-0.0218,0.5613,-1.0744,-0.4103,0.1186,0.462499999999999,-1.468,-1.4943,-0.000900000000000001,0.0036,-1.6195,-0.4985,0.6549,0,1.0537,-0.4659,-0.0241,-0.3602,0.8076,-8.6129,-7.3559,0.114000000000001,-0.0934000000000004
2014,-0.276899999999999,2.8484,2.8376,0.0492999999999988,0.0156,-0.1675,0.185,0.6139,-0.167400000000001,-1.5079,-3.2155,-6.8414,-0.0136,-0.3073,1.1356,0.0105,-0.1106,-0.412199999999999,3.2794,1.6519,0.1808,-0.0079,0.6273,0.2678,0.344400000000001,0.0244,-0.9602,-0.1588,0.3821,-0.5602,-0.9308,3.3691,3.9918,-1.2328,0.2172
2015,-1.8266,-1.3235,-10.4018,-0.9021,-0.0156,-0.2446,0.0935,-0.7216,-1.3666,-0.8683,1.8935,-6.9264,0.0117,-0.1155,-2.4306,-0.1789,-0.5191,-0.439700000000001,-5.8508,-1.2821,-0.1696,-0.0193,-0.4305,-0.0439,-1.8036,-0.0244,0.968399999999999,-0.2457,-0.0837,0.7243,-0.0129000000000001,3.8902,-2.7965,-0.640700000000001,-0.107
2016,3.2871,0.2457,-2.4403,0.3556,0.0387,0.087,-0.2773,-0.198,0.4436,-0.6981,-1.4208,-3.1074,-0.005,-0.3367,-0.290399999999999,0.6132,-0.1019,-0.2669,0.7471,-0.325,0.0182,0.0399,0.0962000000000001,-0.2776,0.728200000000001,0,0.313300000000002,-0.2901,-0.1808,0.06,-0.3801,21.3322,0.683800000000002,0.114000000000001,0.00749999999999984
2017,-2.5225,0.2502,14.1151,-0.364599999999999,-0.0209,0.2295,12.0738,0.0442999999999998,-1.6921,0.1081,-2.3142,24.2914,0.0019,0.1649,3.897,0.1209,0.6283,0.836299999999999,1.2741,-0.3831,-0.027,-0.0399,0.9741,0.1554,2.1526,0,0.637899999999998,0.1216,-0.0565,1.0593,0.069,-14.9642,-0.2887,-0.4394,-0.2013
2018,-3.5228,-0.1432,1.2,2.9198,-0.0178,-0.0852,-10.852,0.5447,0.922700000000001,0.838,3.4656,0.996500000000001,0.0204,0.2711,-3.0613,-0.2277,-0.3448,-0.100699999999999,-0.426200000000001,-0.3253,-0.0086,0.0593,-1.3689,0.291,-1.2136,0.0072,-0.1586,0.2275,0.163,-1.2493,2.338,2.825,0.217699999999999,0.3659,0.5624
2019,1.4768,-2.5596,-18.4897,-3.8819,0.0306,0.0239,-0.9957,-0.1283,-0.448700000000001,0.7997,0.757900000000001,21.4462,0.003,0.3027,1.6786,-0.2266,0.3688,-0.432100000000001,-0.0646000000000004,1.33,0.0161,-0.0318,-0.107,-0.2246,-2.5868,0.0073,-0.691800000000001,-0.4621,-0.1566,2.5703,-1.8203,-23.2937,2.0085,0.427500000000001,-0.4188
2020,0.472899999999999,1.2616,47.183,5.0559,-0.0241,0.0249,-0.2264,0.3906,0.435799999999999,0.4979,3.5472,-42.7144,0.025,-0.3157,0.0285000000000011,-0.3205,-0.3222,-0.301699999999999,1.6773,-0.6973,-0.0161,0.0203,0.2971,-0.15,1.7273,-0.0049,0.388900000000001,0.2321,0.5392,-2.1813,0.493600000000001,13.0221,2.0926,-0.139600000000001,0.2908
2021,-2.079,-1.8426,-45.9103,-3.8146,0.0095,0.1619,2.0534,-0.191,1.5216,-1.8707,-4.0862,-0.7546,-0.0361,0.359999999999999,2.8508,0.8593,0.1717,0.7756,-0.892099999999999,0.4,0.032,-0.0214,1.1522,0.2802,3.1173,-0.0096,-0.452500000000001,0.1758,-0.3832,0.1037,-1.0468,-0.339999999999996,-0.431100000000002,0.800700000000002,0.0549000000000002
2022,3.2828,3.1651,17.1635,3.2595,-0.016,-0.1648,-2.058,0.9386,-2.0905,0.735,-0.146999999999998,89.3798,-0.0209,0.2278,-1.3566,-0.8103,0.0396000000000001,-0.1011,-2.4223,-0.6007,-0.0242,0.0425,0.0617999999999999,-0.00719999999999998,-3.227,0.008,-3.3461,0.1099,0.1808,0.4357,2.0015,12.4103,-0.2516,-0.811100000000001,0.2756
2023,-1.9181,-2.787,0.141699999999997,-4.4513,0.016,-0.0972999999999999,0.0357,-0.2896,0.516999999999999,0.1675,-1.4606,-91.2228,0.016,-0.2887,-3.266,0.7832,0.0651999999999999,-0.5998,0.843799999999999,-0.2504,0.1043,-0.0462,-0.2084,0.178,-0.2337,-0.008,2.6312,-0.1899,-0.0226000000000001,-0.8546,-1.9304,27.1129,-0.079699999999999,0.484,-0.4162
2024,-2.2567,-1.6207,-16.1319,0.5976,-0.0021,0.2216,1.1815,-0.6378,-1.0149,-1.6214,1.6227,-1.4895,-0.008,-0.0339999999999998,-0.136899999999999,-0.1256,0.269,-0.6318,-3.7167,0.0878000000000001,-0.0763,-0.007,-1.4281,-0.4972,-0.1332,0,-1.308,0.1649,-0.118,-0.2553,0.5355,-44.437,-2.1398,-0.5999,0.6118
