"year","American Crow","American Goldfinch","American Robin","Blue Jay","Blue-gray Gnatcatcher","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Chipping Sparrow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","House Finch","House Sparrow","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Mockingbird","Pileated Woodpecker","Pine Warbler","Red-bellied Woodpecker","Red-winged Blackbird","Song Sparrow","Tufted Titmouse","White-breasted Nuthatch"
1999,12.5558,7.922,27.2117,7.0881,0.0152,0.3906,0.2738,1.5379,8.9947,7.1917,1.126,17.8813,0,2.4212,8.1939,0.9945,0.9127,2.7027,25.2633,2.4013,0,0.0129,4.1581,2.0268,5.4232,0.1956,8.2116,1.9414,0.3765,0.7273,3.5226,23.1008,12.4365,5.8801,1.4059
2000,11.7027,6.0747,30.6228,4.0746,0.0639,0.3959,0.2726,1.4337,8.7693,3.5906,0.5116,15.3515,0.0506,2.3691,7.1553,1.823,0.6935,3.0556,17.8495,1.5028,0,0.024,2.6656,1.2786,5.3896,0,6.7251,2.1165,0.3196,2.9476,3.1943,18.1114,10.9595,6.4563,1.4455
2001,12.3827,13.9428,5.3212,7.1565,0.034,0.3775,2.1452,1.9924,8.2156,5.0333,2.4683,14.2627,0.082,2.5369,7.6933,1.1206,0.8886,3.4705,15.7992,2.4626,0.0133,0.007,3.5687,1.5441,8.0674,0.0362,7.2465,2.1753,0.371,2.0526,3.4343,23.1157,13.8739,6.7508,1.5351
2002,10.0031,9.6342,21.9654,3.3643,0,0.4891,0.555,2.4199,8.819,6.4599,2.7929,3.3801,0.026,2.1142,6.8476,0.7952,1.1777,3.2917,9.1147,2.4175,0.0068,0,3.5476,1.5549,3.8258,0.0314,8.1989,2.7626,0.3685,0.8161,3.4288,10.0955,10.5246,5.8984,1.4633
2003,7.145,9.3011,11.511,4.7322,0,0.4939,0.1961,1.3201,7.7093,5.3785,4.2453,0.3156,0.0481,1.7765,5.3303,1.2773,0.4653,3.5493,8.1159,1.4376,0,0.0311,2.1339,0.5429,4.1296,0.0499,7.8955,1.9467,0.3422,0.7799,3.1858,39.1463,13.99,5.998,1.3335
2004,10.0869,10.0172,11.7031,5.7058,0.0278,0.7928,0.0875,2.0793,8.5245,8.4037,7.1931,0.0496,0.0378,2.2358,6.1372,0.9036,0.8398,3.8757,11.7295,2.3524,0,0.0355,2.8003,0.5858,5.7055,0.0214,10.6632,2.7353,0.4099,1.5936,3.0389,12.7358,13.1818,7.8664,1.8055
2005,11.9415,14.521,42.0767,5.3376,0,0.6345,2.159,1.7658,9.9968,7.9747,5.8547,4.8029,0,2.3818,7.2663,0.5608,1.5228,5.2234,11.075,3.1083,0.0148,0.0759,3.4628,0.8993,9.4537,0.1479,10.4886,1.7774,0.4001,0.941,4.1519,32.5731,19.1191,7.0059,1.7671
2006,11.2517,7.8059,9.9107,7.0361,0,0.5908,0.0968,3.1794,9.1855,8.4518,5.4592,19.4661,0.0506,2.6612,8.2385,0.8061,0.772,4.2596,7.9874,2.1675,0.0201,0.0448,4.2279,1.2319,5.4765,0,9.7458,2.5031,0.443,2.0903,4.6868,36.3426,14.999,6.8229,1.574
2007,10.9496,9.4726,9.9027,5.1633,0,0.5316,0.2047,1.3472,7.4344,5.2344,1.1978,76.8093,0,1.6336,7.2899,0.6621,0.469,3.8846,12.3371,1.3146,0,0.0217,3.2231,0.6278,6.024,0.0366,10.4142,1.8968,0.2914,0.4808,2.4953,18.7984,9.8993,5.8371,1.0243
2008,11.223,12.2198,21.0404,6.2247,0.0074,0.4954,0.0325,2.4702,9.7053,6.3943,8.5281,0.9426,0.0089,1.9504,7.8926,1.1889,1.0064,3.2333,11.6181,4.3541,0.0163,0.0223,3.4634,1.3845,6.1742,0.0148,10.3334,2.5221,0.4738,1.1403,3.3434,15.8662,13.619,7.6731,1.2476
2009,13.6457,4.8461,10.4095,7.4696,0,0.7117,1.0154,2.8807,7.6467,7.0389,5.8989,1.8572,0.02,2.041,7.5189,1.1382,1.1007,4.2663,6.7028,1.8821,0,0.02,2.7442,0.6259,2.8938,0,11.6106,2.5446,0.5005,1.1085,4.1769,4.3806,10.23,7.7484,1.794
2010,13.1507,14.754,13.3931,5.606,0,0.7432,0.9978,2.3097,7.5709,6.0982,5.9396,54.0979,0.0097,2.328,8.6288,1.237,0.7508,3.335,9.9475,2.63,0,0.015,4.7828,0.2289,4.8407,0.059,10.0738,2.5763,0.4217,1.3662,3.7967,15.1272,12.8921,7.3411,1.2487
2011,14.8956,5.3539,15.8765,5.1024,0,0.6785,0.1302,3.3187,11.3975,6.9243,10.5086,11.0828,0.0076,2.0106,8.339,0.7015,0.851,4.6673,8.2676,1.9623,0,0.0152,2.5881,0.993,4.9787,0,10.5469,2.3944,0.5433,0.4288,4.4485,20.4517,14.4242,10.2799,2.0158
2012,15.8993,9.7684,14.0353,5.4898,0,0.6186,0.6507,2.8081,9.2432,7.1888,9.9511,0.5835,0.0354,2.3487,8.0323,0.9053,1.2232,4.1354,9.911,3.0048,0.0071,0.0236,3.9137,0.7987,4.2054,0,8.9703,2.5361,0.4273,1.3306,4.1126,25.8863,15.7517,9.2821,1.6558
2013,14.1207,5.7146,18.0596,6.2779,0,0.8816,0.1758,2.3738,10.207,9.2642,11.1489,17.1879,0.0136,2.91,6.9579,0.495,1.3418,4.5979,8.443,1.5105,0.0062,0.0272,2.2942,0.3002,4.8603,0,10.024,2.0702,0.4032,0.9704,4.9202,17.2734,8.3958,9.3961,1.5624
2014,13.8438,8.563,20.8972,6.3272,0.0156,0.7141,0.3608,2.9877,10.0396,7.7563,7.9334,10.3465,0,2.6027,8.0935,0.5055,1.2312,4.1857,11.7224,3.1624,0.187,0.0193,2.9215,0.568,5.2047,0.0244,9.0638,1.9114,0.7853,0.4102,3.9894,20.6425,12.3876,8.1633,1.7796
2015,12.0172,7.2395,10.4954,5.4251,0,0.4695,0.4543,2.2661,8.673,6.888,9.8269,3.4201,0.0117,2.4872,5.6629,0.3266,0.7121,3.746,5.8716,1.8803,0.0174,0,2.491,0.5241,3.4011,0,10.0322,1.6657,0.7016,1.1345,3.9765,24.5327,9.5911,7.5226,1.6726
