"year","common_name","sci_name","count"
1923,"Common Redpoll","Acanthis flammea",0
1928,"Common Redpoll","Acanthis flammea",0
1929,"Common Redpoll","Acanthis flammea",0
1930,"Common Redpoll","Acanthis flammea",0
1931,"Common Redpoll","Acanthis flammea",0
1932,"Common Redpoll","Acanthis flammea",0
1933,"Common Redpoll","Acanthis flammea",0
1934,"Common Redpoll","Acanthis flammea",0
1935,"Common Redpoll","Acanthis flammea",0
1936,"Common Redpoll","Acanthis flammea",0
1937,"Common Redpoll","Acanthis flammea",0
1938,"Common Redpoll","Acanthis flammea",0
1940,"Common Redpoll","Acanthis flammea",0
1941,"Common Redpoll","Acanthis flammea",0
1943,"Common Redpoll","Acanthis flammea",0
1944,"Common Redpoll","Acanthis flammea",0
1945,"Common Redpoll","Acanthis flammea",0
1946,"Common Redpoll","Acanthis flammea",0
1947,"Common Redpoll","Acanthis flammea",0
1948,"Common Redpoll","Acanthis flammea",0
1950,"Common Redpoll","Acanthis flammea",0
1951,"Common Redpoll","Acanthis flammea",0
1952,"Common Redpoll","Acanthis flammea",0
1953,"Common Redpoll","Acanthis flammea",0
1954,"Common Redpoll","Acanthis flammea",0
1956,"Common Redpoll","Acanthis flammea",0
1957,"Common Redpoll","Acanthis flammea",0
1958,"Common Redpoll","Acanthis flammea",0.15
1959,"Common Redpoll","Acanthis flammea",0
1960,"Common Redpoll","Acanthis flammea",0
1961,"Common Redpoll","Acanthis flammea",0
1962,"Common Redpoll","Acanthis flammea",0
1963,"Common Redpoll","Acanthis flammea",0.7143
1964,"Common Redpoll","Acanthis flammea",0
1965,"Common Redpoll","Acanthis flammea",0
1966,"Common Redpoll","Acanthis flammea",0
1967,"Common Redpoll","Acanthis flammea",0
1968,"Common Redpoll","Acanthis flammea",0
1969,"Common Redpoll","Acanthis flammea",0
1970,"Common Redpoll","Acanthis flammea",0
1971,"Common Redpoll","Acanthis flammea",0
1972,"Common Redpoll","Acanthis flammea",0
1973,"Common Redpoll","Acanthis flammea",0
1974,"Common Redpoll","Acanthis flammea",0
1975,"Common Redpoll","Acanthis flammea",0
1976,"Common Redpoll","Acanthis flammea",0
