"common_name","year","yoy_change"
"American Coot",1999,0
"American Coot",2000,3.7863
"American Coot",2001,-3.6233
"American Coot",2002,2.7338
"American Coot",2003,-5.7433
"American Coot",2004,-0.7384
"American Coot",2005,0.5359
"American Coot",2006,14.4283
"American Coot",2007,5.5873
"American Coot",2008,-8.9511
"American Coot",2009,-10.6581
"American Coot",2010,8.8651
"American Coot",2011,-7.1563
"American Coot",2012,0.6872
"American Coot",2013,2.0295
"American Coot",2014,-4.3778
"American Coot",2015,-0.6553
"American Coot",2016,-0.5482
"American Coot",2017,0.351
"American Coot",2018,0.0697
"American Coot",2019,-0.4367
"American Coot",2020,0
"American Coot",2021,0
"American Coot",2022,0
"American Coot",2023,0
"American Coot",2024,0.0278
"American Crow",1999,0
"American Crow",2000,-0.8531
"American Crow",2001,0.68
"American Crow",2002,-2.3796
"American Crow",2003,-2.8581
"American Crow",2004,2.9419
"American Crow",2005,1.8546
"American Crow",2006,-0.6898
"American Crow",2007,-0.302099999999999
"American Crow",2008,0.273400000000001
"American Crow",2009,2.4227
"American Crow",2010,-0.494999999999999
"American Crow",2011,1.7449
"American Crow",2012,1.0037
"American Crow",2013,-1.7786
"American Crow",2014,-0.276899999999999
"American Crow",2015,-1.8266
"American Crow",2016,3.2871
"American Crow",2017,-2.5225
"American Crow",2018,-3.5228
"American Crow",2019,1.4768
"American Crow",2020,0.472900000000001
"American Crow",2021,-2.079
"American Crow",2022,3.2828
"American Crow",2023,-1.9181
"American Crow",2024,-2.2567
"American Goldfinch",1999,0
"American Goldfinch",2000,-1.8473
"American Goldfinch",2001,7.8681
"American Goldfinch",2002,-4.3086
"American Goldfinch",2003,-0.3331
"American Goldfinch",2004,0.716100000000001
"American Goldfinch",2005,4.5038
"American Goldfinch",2006,-6.7151
"American Goldfinch",2007,1.6667
"American Goldfinch",2008,2.7472
"American Goldfinch",2009,-7.3737
"American Goldfinch",2010,9.9079
"American Goldfinch",2011,-9.4001
"American Goldfinch",2012,4.4145
"American Goldfinch",2013,-4.0538
"American Goldfinch",2014,2.8484
"American Goldfinch",2015,-1.3235
"American Goldfinch",2016,0.2457
"American Goldfinch",2017,0.2502
"American Goldfinch",2018,-0.1432
"American Goldfinch",2019,-2.5596
"American Goldfinch",2020,1.2616
"American Goldfinch",2021,-1.8426
"American Goldfinch",2022,3.1651
"American Goldfinch",2023,-2.787
"American Goldfinch",2024,-1.6207
"American Pipit",1999,0
"American Pipit",2000,0.3372
"American Pipit",2001,2.6635
"American Pipit",2002,-2.6676
"American Pipit",2003,0.5369
"American Pipit",2004,0.1969
"American Pipit",2005,-0.9759
"American Pipit",2006,0.5671
"American Pipit",2007,4.4773
"American Pipit",2008,-3.8031
"American Pipit",2009,-0.6607
"American Pipit",2010,1.4903
"American Pipit",2011,3.0771
"American Pipit",2012,-3.3021
"American Pipit",2013,-0.9766
"American Pipit",2014,-0.2323
"American Pipit",2015,1.2777
"American Pipit",2016,-1.5212
"American Pipit",2017,0.3519
"American Pipit",2018,-0.4821
"American Pipit",2019,1.2555
"American Pipit",2020,1.2105
"American Pipit",2021,-2.6548
"American Pipit",2022,0.7719
"American Pipit",2023,-0.1497
"American Pipit",2024,-0.8054
"American Robin",1999,0
"American Robin",2000,3.4111
"American Robin",2001,-25.3016
"American Robin",2002,16.6442
"American Robin",2003,-10.4544
"American Robin",2004,0.1921
"American Robin",2005,30.3736
"American Robin",2006,-32.166
"American Robin",2007,-0.0080000000000009
"American Robin",2008,11.1377
"American Robin",2009,-10.6309
"American Robin",2010,2.9836
"American Robin",2011,2.4834
"American Robin",2012,-1.8412
"American Robin",2013,4.0243
"American Robin",2014,2.8376
"American Robin",2015,-10.4018
"American Robin",2016,-2.4403
"American Robin",2017,14.1151
"American Robin",2018,1.2
"American Robin",2019,-18.4897
"American Robin",2020,47.183
"American Robin",2021,-45.9103
"American Robin",2022,17.1635
"American Robin",2023,0.1417
"American Robin",2024,-16.1319
"Blue Jay",1999,0
"Blue Jay",2000,-3.0135
"Blue Jay",2001,3.0819
"Blue Jay",2002,-3.7922
"Blue Jay",2003,1.3679
"Blue Jay",2004,0.9736
"Blue Jay",2005,-0.3682
"Blue Jay",2006,1.6985
"Blue Jay",2007,-1.8728
"Blue Jay",2008,1.0614
"Blue Jay",2009,1.2449
"Blue Jay",2010,-1.8636
"Blue Jay",2011,-0.5036
"Blue Jay",2012,0.3874
"Blue Jay",2013,0.7881
"Blue Jay",2014,0.0493000000000006
"Blue Jay",2015,-0.902100000000001
"Blue Jay",2016,0.355600000000001
"Blue Jay",2017,-0.3646
"Blue Jay",2018,2.9198
"Blue Jay",2019,-3.8819
"Blue Jay",2020,5.0559
"Blue Jay",2021,-3.8146
"Blue Jay",2022,3.2595
"Blue Jay",2023,-4.4513
"Blue Jay",2024,0.5976
"Bonaparte's Gull",1999,0
"Bonaparte's Gull",2000,-3.41
"Bonaparte's Gull",2001,2.3238
"Bonaparte's Gull",2002,1.7517
"Bonaparte's Gull",2003,-2.5577
"Bonaparte's Gull",2004,-0.5934
"Bonaparte's Gull",2005,2.7969
"Bonaparte's Gull",2006,-2.4763
"Bonaparte's Gull",2007,0.742
"Bonaparte's Gull",2008,-0.2371
"Bonaparte's Gull",2009,-1.5427
"Bonaparte's Gull",2010,0.455
"Bonaparte's Gull",2011,1.9668
"Bonaparte's Gull",2012,2.3455
"Bonaparte's Gull",2013,-3.2596
"Bonaparte's Gull",2014,2.3548
"Bonaparte's Gull",2015,-3.1823
"Bonaparte's Gull",2016,0.3276
"Bonaparte's Gull",2017,5.6402
"Bonaparte's Gull",2018,-3.1194
"Bonaparte's Gull",2019,2.3357
"Bonaparte's Gull",2020,-4.7412
"Bonaparte's Gull",2021,4.7714
"Bonaparte's Gull",2022,3.1547
"Bonaparte's Gull",2023,0.286200000000001
"Bonaparte's Gull",2024,-4.8165
"Brown Thrasher",1999,0
"Brown Thrasher",2000,0.00529999999999997
"Brown Thrasher",2001,-0.0184
"Brown Thrasher",2002,0.1116
"Brown Thrasher",2003,0.00480000000000003
