"year","American Crow","American Goldfinch","American Pipit","American Robin","American Woodcock","Baltimore Oriole","Black-and-white Warbler","Blue Jay","Blue-gray Gnatcatcher","Blue-headed Vireo","Brown Creeper","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chipping Sparrow","Common Grackle","Common Merganser","Common Raven","Common Yellowthroat","Dark-eyed Junco","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Fox Sparrow","Golden-crowned Kinglet","Gray Catbird","Hermit Thrush","House Finch","House Sparrow","House Wren","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Orange-crowned Warbler","Palm Warbler","Pileated Woodpecker","Pine Siskin","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-breasted Nuthatch","Red-headed Woodpecker","Red-winged Blackbird","Ruby-crowned Kinglet","Rusty Blackbird","Savannah Sparrow","Song Sparrow","Swamp Sparrow","Tufted Titmouse","Vesper Sparrow","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Winter Wren","Yellow-bellied Sapsucker","Yellow-rumped Warbler"
2000,-0.8531,-1.8473,0.3372,3.4111,-0.1434,0.008,0.0133,-3.0135,0.0487,-0.0078,-0.4,0.00530000000000008,-0.00120000000000003,-0.1042,-0.225399999999999,-3.6011,-4.6775,-0.6144,-2.5298,-0.0019,0,0.0506,-13.9092,-0.0520999999999998,-1.0386,0.8285,-0.2192,0.3529,-7.4138,-0.8985,0,-0.4327,3.0181,0.0111,0.0709,-1.4925,-0.7482,0.0798,-0.0336000000000007,-0.1956,-1.4865,-0.9735,0.1751,0.0148,0.0717,-0.0569,-0.3046,2.2203,-0.8392,-0.3283,-0.1457,0.6859,-4.9894,4.3176,-4.8147,0.1529,-1.477,0.8873,0.576200000000001,0,0.0396000000000001,-0.0186,-8.458,-0.4733,-0.1485,-1.2715
2001,0.68,7.8681,2.6635,-25.3016,0.0198,-0.001,0.0148,3.0819,-0.0299,-0.0207,0.0454,-0.0184,1.8726,0.5587,-0.553700000000003,1.4427,-12.6548,1.9567,-1.0888,0.0015,0,0.0314,7.5858,0.1678,0.537999999999999,-0.7024,0.1951,0.4149,-2.0503,0.9598,0.0133,0.2665,0.6447,-0.017,-0.1464,0.9031,0.2655,-0.065,2.6778,0.0362,0.5214,0.5775,0.0587999999999997,-0.0148,-0.00839999999999999,0.0514,0.0845,-0.895,0.4177,0.24,0.0176,0.0678000000000003,5.0043,-0.0539999999999985,-0.2651,-0.4739,2.9144,0.0119000000000002,0.294499999999999,0,0.0895999999999999,0.0402,4.6307,0.3209,0.1617,-2.543
2002,-2.3796,-4.3086,-2.6676,16.6442,0.1058,-0.000200000000000001,-0.0213,-3.7922,-0.034,0.0439,0.0748,0.1116,-1.5902,0.4275,0.603400000000001,1.4266,1.4113,0.3246,-10.8826,-0.0148,0,-0.056,-3.6698,-0.422699999999999,-0.845699999999999,-0.3254,0.2891,-0.1788,-6.6845,-0.0451000000000001,-0.0065,-0.2209,-2.8342,-0.007,0.2881,-0.0210999999999997,0.0107999999999999,0.0781,-4.2416,-0.00480000000000001,0.952399999999999,-0.0368999999999997,0.5873,0.0068,-0.0125,-0.0025,-0.0937,-1.2365,-0.3973,-0.0055000000000005,0.0071,-1.0166,-13.0202,-3.6686,0.6441,0.118,-3.3493,-0.2461,-0.852399999999999,0,-0.0717999999999999,0.0881,-3.3453,-0.0811000000000002,-0.1931,-0.997199999999999
2003,-2.8581,-0.3331,0.5369,-10.4544,-0.113,-6e-04,-0.0068,1.3679,0,-0.00319999999999999,-0.0388000000000001,0.00479999999999997,-0.3589,-1.0998,-1.1097,-1.0814,8.6829,1.4524,-3.0645,0,0,0.0221,3.3372,-0.3377,-1.5173,0.4821,-0.7124,0.2576,-0.998799999999999,-0.9799,-0.0068,0.2011,-0.7902,0.0311,-0.467,-1.4137,-1.012,-0.0222,0.3038,0.0185,-0.303399999999998,0.0919000000000003,-0.8159,-0.0068,-0.0569,-0.0263,-0.0068,-0.0362,0.9813,-0.243,-0.0095,0.2395,29.0508,2.3626,-0.6617,-0.156,3.4654,-0.8107,0.0995999999999988,0,-0.1298,-0.2471,5.0601,-0.499,0.1329,3.4578
2004,2.9419,0.716100000000001,0.1969,0.1921,0.1288,0.022,0,0.9736,0.0278,-0.0196,0.0175,0.2989,-0.1086,0.7592,0.815199999999999,3.0252,-10.8549,2.9478,-0.266,0,0,-0.0103,12.5119,0.4593,0.8069,-0.3737,0.3745,0.3264,3.6136,0.9148,0,0.2368,5.9947,0.0044,-0.1009,0.6664,0.0429,-0.039,1.5759,-0.0285,2.7677,-0.2403,0.7886,0,-0.0152,0.0677,0.6588,0.8137,-0.9474,-0.1469,0.089,-0.2515,-26.4105,2.8356,0.454,-0.0447,-0.808199999999999,-0.0780000000000003,1.8684,0,0.472,-0.1182,9.2365,0.5992,-0.1824,-0.373999999999999
2005,1.8546,4.5038,-0.9759,30.3736,-0.0294,0.0203,0.0074,-0.3682,-0.0278,6e-04,0.0126,-0.1583,2.0715,-0.3135,1.4723,-0.429,20.8291,-1.3384,4.7533,0.0112,0,-0.0378,-5.8494,0.145999999999999,1.1291,-0.3428,0.683,1.3477,-0.6545,0.7559,0.0148,-0.0998999999999999,-4.778,0.0404,0.0971000000000002,0.6625,0.3135,0.0175,3.7482,0.1265,-0.1746,0.7259,-0.9579,0.0325,-0.0071,-0.00980000000000003,-0.6184,-0.6526,0.0846,1.113,-0.0836,0.224,19.8373,-3.9211,-0.5454,0.2681,5.9373,1.6406,-0.860499999999999,0,-0.0384,0.3352,-1.2245,-0.3477,0.0239,2.503
2006,-0.689799999999998,-6.7151,0.5671,-32.166,0.0508,-0.0262,-0.0074,1.6985,0,-0.0291,-0.0414,-0.0437000000000001,-2.0622,1.4136,-0.811299999999999,0.477099999999998,-19.7364,-0.395499999999999,14.6632,-0.0112,0.0297,0.0506,4.077,0.2794,0.9722,0.2453,-0.7508,-0.9638,-3.0876,-0.9408,0.0053,0.3397,1.7277,-0.0311,-0.2429,0.765100000000001,0.3326,0.0564,-3.9772,-0.1479,-0.742800000000001,0.00360000000000005,0.7257,-0.0325,0.035,0.0429,-0.0404,1.1493,-0.1631,0.5349,-0.0217,0.5048,3.7695,1.3017,-0.0102,-0.1796,-4.1201,-2.4807,-0.183000000000001,0,-0.1931,-0.2999,-5.4065,0.0383000000000001,-0.1599,-6.9426
2007,-0.302100000000001,1.6667,4.4773,-0.00799999999999912,-0.1582,-0.0162,0,-1.8728,0,0.0167,-0.152,-0.0591999999999999,0.1079,-1.8322,-1.7511,-3.2174,3.0033,-4.2614,57.3432,0,-0.008,-0.0506,-7.9663,-1.0276,-0.948599999999999,-0.144,-0.303,-0.375,4.3497,-0.8529,-0.0201,0.3172,-3.5971,-0.0231,-0.5388,-1.0048,-0.6041,-0.0459,0.5475,0.0366,0.6684,-1.028,-0.6063,0,0.0314,-0.1516,0.3184,-1.6095,0.2386,-2.1915,0.2572,-0.3339,-17.5442,-3.3794,6.5571,0.0133,-5.0997,-0.9989,-0.9858,0,-0.5497,-0.0194,-8.7106,-0.475,0.1947,-1.3619
2008,0.273400000000001,2.7472,-3.8031,11.1377,0.0937,0.0014,0.0075,1.0614,0.0074,0.0144,0.1023,-0.0362000000000001,-0.1722,1.123,2.2709,1.1599,12.5575,7.3303,-75.8667,0,-0.0217,0.0089,-5.1528,0.3168,0.602699999999999,0.5268,0.5374,-0.6513,-0.718999999999999,3.0395,0.0163,-1.0165,2.5252,6e-04,0.5736,0.2403,0.7567,-0.0292,0.1502,-0.0218,-0.0808,0.6669,0.6253,0,-0.0339,0.1824,5.4652,0.6595,0.5585,0.8481,-0.2572,0.0595,-2.9322,1.4803,-6.295,0.3393,3.7197,0.4986,1.836,0,0.2233,0.0569,6.6946,0.3229,0.1503,5.3084
2009,2.4227,-7.3737,-0.6607,-10.6309,0.0398,5e-04,-0.0075,1.2449,-0.0074,0.000599999999999996,0.1054,0.2163,0.9829,0.4105,-2.0586,0.6446,-12.4927,-2.6292,0.9146,0,0,0.0111,2.5695,0.0906,-0.3737,-0.0507,0.0943,1.033,-4.9153,-2.472,-0.0163,0.9028,-0.4924,-0.0023,0.2971,-0.7192,-0.7586,-0.0107,-3.2804,-0.0148,1.2772,-0.4981,0.0225,0.0072,0.0263,0.0266999999999999,-5.7736,-0.0317999999999998,-0.6107,0.8335,-0.0077,0.3126,-11.4856,-1.4439,0.3994,-0.2444,-3.389,0.3295,0.0753000000000004,0,0.5464,-0.0662,-2.1088,0.1492,0.33,-2.9164
