"","common_name","Unsexed.MinMass","Average.Mass","Elevational.Range","corr"
"1","Tufted Titmouse",17.5,21.8,610,0.644078144078144
"2","Carolina Chickadee",8,10.4166666666667,1850,0.644078144078144
