"","Fish.Crow","Great.Crested.Flycatcher","Summer.Tanager","Brown.headed.Nuthatch","Chipping.Sparrow","White.eyed.Vireo","Northern.Parula","Yellow.throated.Warbler","N..Rough.winged.Swallow","Acadian.Flycatcher","Eastern.Wood.Pewee","Eastern.Phoebe","Brown.headed.Cowbird","Orchard.Oriole","Carolina.Wren","Prothonotary.Warbler","Prairie.Warbler","Hooded.Warbler","Ovenbird","Northern.Cardinal","Red.bellied.Woodpecker","Tufted.Titmouse","Downy.Woodpecker","White.breasted.Nuthatch","Common.Yellowthroat","American.Redstart","Black.thr.Blue.Warbler","Ring.billed.Gull","Yellow.rumped.Warbler","Blue.Jay","White.throated.Sparrow","Yellow.rumped..Myrtle..Warbler","Black.throated.Blue.Warbler","Black.and.white.Warbler","Gray.Catbird","Purple.Martin","Barn.Swallow","Cliff.Swallow","Cedar.Waxwing","House.Finch","American.Robin","Northern.Mockingbird","Blue.Grosbeak","Indigo.Bunting","Yellow.breasted.Chat","Eastern.Bluebird","American.Crow","Carolina.Chickadee","Pine.Warbler","European.Starling","House.Sparrow","Red.eyed.Vireo","Eastern.Kingbird","Scarlet.Tanager","Common.Grackle","Red.winged.Blackbird","Brown.Thrasher","Mourning.Dove","Blue.gray.Gnatcatcher","Wood.Thrush","American.Goldfinch","Eastern.Towhee","Chimney.Swift","Bobolink","Ruby.throated.Hummingbird"
"Fish.Crow",1,0.639090308230205,0.654459156438777,0.638370860688086,0.744850519057768,0.585638774600424,0.488902970896626,0.485042330025611,0.366149355853718,0.418071990056588,0.538227823005632,0.297558105483156,0.386998518903307,0.46745242832447,0.329702371009905,0.311307276472584,0.340364920753952,0.245397911395018,0.178439352695441,0.361284124848095,0.232166875893753,0.262811533468229,0.22396785204177,0.145408564473577,0.152824158298277,0.0480455229149923,0.389587374923841,0.142015117185211,0.107020333031137,-0.000393265537200169,-0.0110001846419685,-0.142613855698887,0.0977809003234938,0.388016978618034,0.439270787607127,-0.106836356629047,-0.29475494486897,0.0211816162301974,-0.211837144036417,-0.175052178308334,-0.15961900535359,-0.0347921806098039,0.0428103282812165,-0.098363451316751,-0.0221045164815011,0.0909213297739367,-0.0311766886630071,-0.0162297745108464,0.0783408070041916,-0.307595600932082,-0.2670689185899,0.0382304257423836,-0.129242018421443,-0.156130408426901,-0.452504956564375,-0.215306237454576,-0.0894611326132915,-0.0681706576006429,-0.189685477972631,-0.41944756776362,-0.303312887441263,-0.0912169258810228,-0.14961073389589,-0.436982559393525,-0.0105065846050914
"Great.Crested.Flycatcher",0.639090308230205,1,0.870272496523573,0.780808370569662,0.730662289239677,0.501087075864352,0.5826433126517,0.698443638905725,0.344745844781474,0.51746630378823,0.679483918730399,0.483326654760668,0.631893670093977,0.709001660359717,0.477160160079646,0.589819032208261,0.558321922400359,0.614463986305155,0.504044363613346,0.600534103399848,0.664746158743533,0.658396114549847,0.491793996314964,0.455635354525005,0.458979318846031,0.292927486576279,0.388875390367167,0.14299319536881,0.0368504991478225,0.323403102436943,-0.00340248582950441,-0.0318409788591882,0.0773983247854312,0.269151427229663,0.382710988453038,-0.219660512326392,-0.0830337611388504,0.117214243460503,0.0777280093259506,0.290413722471677,0.361930855744313,0.385843727192756,0.447928609175386,0.351175900399099,0.388344246201131,0.440928699839373,0.441278166271005,0.403997376814862,0.416906501203119,0.0594553315472361,0.142921425295832,0.451227555132767,0.306180020527192,0.267830826718836,0.00729967536111057,0.142871142088909,0.325369636132512,0.445744768385766,0.367436500727433,0.085778180700328,0.245686620325184,0.304048497368288,0.233210618734859,-0.226440415160101,0.296492809134786
"Summer.Tanager",0.654459156438777,0.870272496523573,1,0.755373843953529,0.783613993107671,0.575683810564593,0.711267115107338,0.747711501846844,0.303352460552117,0.5588855251448,0.706270153355188,0.377762274764985,0.658142355601052,0.656050130654688,0.503195646102786,0.552885441546807,0.648829819003359,0.762284276853762,0.633399842553244,0.698378075795996,0.696006912815783,0.626962983806096,0.417673824454071,0.454219813539348,0.509111884417666,0.216071599300553,0.414489051286945,0.209919473032254,0.133190980211502,0.357363386552353,0.0239702182209192,-0.0237594511262311,0.13108996410202,0.396110736644834,0.492226085756407,-0.261157533068909,-0.0744891937822816,0.249729764613948,-0.0823558203243109,0.223735093473456,0.265329331298137,0.295502510428959,0.449649705194922,0.389754993383931,0.445094775066481,0.445450600401132,0.444078406171417,0.385769120838238,0.465785665333237,0.0571185725352588,0.158631472648122,0.551196552605151,0.36889536577051,0.34605333825917,0.0637294288203444,0.223806677146617,0.359264655790251,0.488423645233352,0.427963568519614,0.167520334936942,0.27732723521406,0.400230121102793,0.231069864834251,-0.245667451901019,0.290379256831398
"Brown.headed.Nuthatch",0.638370860688086,0.780808370569662,0.755373843953529,1,0.763335392794864,0.537573243141601,0.619522589106322,0.554306195528241,0.355905785908604,0.48668106820178,0.636721315725783,0.561860138516638,0.594508179830466,0.655846904079672,0.556532633768513,0.50744115681478,0.729593543071967,0.57308932631528,0.640992959043435,0.694207822670893,0.72274863388446,0.725429847334269,0.613029287856488,0.608007351573762,0.630304771223212,0.502926727858543,0.611261323531814,0.187443552014077,0.241313406103521,0.264116007952637,-0.097462124406542,-0.171999520428189,0.107691640593443,0.521184609715815,0.512726743573454,-0.0531168708882219,0.0522307869377618,0.219616327043073,0.20087233331881,0.321187051975414,0.462930348158794,0.456880145177412,0.399572897719717,0.423474439985038,0.35131090182413,0.558028296583247,0.542335013777861,0.535082122080884,0.556990948483161,0.0686151915874114,0.0560279904275553,0.419778548405935,0.309896589257841,0.279598413230419,0.141529172361229,0.253973322019202,0.404625495344367,0.435945228013688,0.317872798843979,0.119541827611393,0.236172893901913,0.44315987413123,0.180556712054814,-0.0361316135904422,0.256892101276952
"Chipping.Sparrow",0.744850519057768,0.730662289239677,0.783613993107671,0.763335392794864,1,0.553125703215353,0.543917326897296,0.638371769977321,0.445451180722088,0.380744367771368,0.652399712057917,0.529125127382555,0.709206479145975,0.677463703954854,0.634747217667786,0.576831542523741,0.618139921230358,0.634307370526473,0.589657815334512,0.666264370207396,0.522017898006941,0.610951810778114,0.320937065128932,0.384276395381126,0.437308953833358,0.324543171543355,0.435755504633188,0.0765570753015322,0.300675949242791,0.359132358923765,0.0594859268412688,-0.0549845892346095,0.0474753191644159,0.44500330380784,0.373730116519669,-0.052121882054215,0.0367713820538163,0.345097826501182,-0.0607343007244307,0.298964653538184,0.198188219983119,0.380226818246028,0.417606188266583,0.293172132571829,0.330577010554661,0.516345640441476,0.416635341237499,0.372964872410005,0.4769231102285,0.0741093579705007,0.0274604463682253,0.353491141112055,0.243599460837826,0.225742305890989,0.00206387153484626,0.139632285148219,0.33309548707887,0.358574195535525,0.202408530348563,-0.0336067243153846,0.186584804681762,0.347893595051407,0.031854365514403,-0.248766987274807,0.334382037300388
"White.eyed.Vireo",0.585638774600424,0.501087075864352,0.575683810564593,0.537573243141601,0.553125703215353,1,0.609563529163083,0.670695716871441,0.184803839110884,0.478275482441233,0.514469289652474,0.0876989602438128,0.0833225716135537,0.198977346399308,0.132181867231866,0.0399251282959496,0.37790252003755,0.34078769405325,0.208987970036416,0.208342161268553,0.287072911336943,0.253117695794074,0.506323434965026,0.234174424246753,0.324227364464853,0.0305119628434659,0.286732083102337,-0.110454460382186,0.0807323931765768,-0.106093577516541,-0.130544555825891,-0.107821418221515,0.0451735715680743,0.437524919646148,0.337765975549826,-0.495686690463498,-0.385199993774054,-0.233280229777141,-0.226538233055578,0.0364397889779991,-0.225043619016801,-0.196675500065452,0.0955586109999744,0.00871886997524996,0.0804181743873019,0.00704504576203829,-0.0614707039909441,0.120566595236341,0.219315136035483,-0.279685692421246,-0.212343114852906,0.191768224018276,-0.0390674625494057,-0.157811905517448,-0.422320436021719,-0.223740403230434,0.0225024804590312,-0.0308992930705888,-0.0113016836685387,-0.240282075437901,-0.164635602081335,-0.0961704757841405,-0.0570181447893776,-0.217084702192019,-0.136976461856552
"Northern.Parula",0.488902970896626,0.5826433126517,0.711267115107338,0.619522589106322,0.543917326897296,0.609563529163083,1,0.704982095673802,0.108866474641189,0.207302638762818,0.253617856384045,0.345100691181162,0.475764935670581,0.399831046096314,0.459877048457056,0.544766954975982,0.487705794211078,0.56143311457059,0.56845501191506,0.497442545858014,0.622710110310233,0.393753880097568,0.580930016093194,0.481854213488828,0.598230936632638,0.273210043398246,0.471037781713359,0.130294665298559,0.248381662410818,0.291845170511013,0.189517971334978,0.267628709309192,0.600367999645962,0.68694050503394,0.703102844133667,-0.119978331438997,1.2272512897596e-05,0.108619306183488,-0.00994493434958784,0.0106486040485624,0.0970158752853134,0.112956755815451,0.233033388728715,0.150089423752049,0.187597865117957,0.382203221221606,0.253001194318199,0.318052382247049,0.388370686085977,-0.0179700385559434,0.0803762313052189,0.527493167428817,0.357191151274014,0.394052746001571,-0.00866563464953454,0.173044344082218,0.24407265812746,0.233837643934399,0.38352817511151,0.144720890887869,0.219873099425526,0.25965505885041,0.245684504518962,-0.0656351588361811,0.134138354031455
"Yellow.throated.Warbler",0.485042330025611,0.698443638905725,0.747711501846844,0.554306195528241,0.638371769977321,0.670695716871441,0.704982095673802,1,0.347007673174284,0.280350909385683,0.603802473049633,0.376086393151281,0.368770780456409,0.527078399262,0.415256846975302,0.440537884196289,0.569970131044704,0.627908653936953,0.49277098478942,0.400610516873465,0.507359841862486,0.473801303370987,0.481556564575632,0.211422506805415,0.551096682549625,0.265771944518033,0.361088663235653,0.0391801325392548,0.142105877639277,0.266143768512831,0.233974870678658,0.20619485727101,0.0803991092371001,0.397570467023892,0.370471385185853,-0.298044740479152,0.0340955688428729,0.0749877501274783,-0.10088126269366,0.127253775269924,0.0657585563078845,0.200722967894898,0.385093426959051,0.266850003233317,0.340491564791795,0.393786177799225,0.347124479851603,0.35034761868219,0.48883845172288,0.0852251309539477,0.0399888030086972,0.531402687269257,0.353948195609282,0.229214115184636,-0.00449812582366194,0.0717710039418573,0.222467427044541,0.280863973190347,0.292481017278011,0.0610702197330761,0.154872349848001,0.13725779340033,0.00748040474298959,-0.285696715440354,0.147805551282434
"N..Rough.winged.Swallow",0.366149355853718,0.344745844781474,0.303352460552117,0.355905785908604,0.445451180722088,0.184803839110884,0.108866474641189,0.347007673174284,1,0.30909656982216,0.416741947228165,0.427897091436873,0.250628478519483,0.177041828610835,-0.0389991837064489,0.212900402189194,-0.0202073532422278,0.140789980983551,0.0931628757870976,0.00889502592302777,-0.0536027316049116,0.196009581181291,-0.00519242081111491,-0.125173131976026,0.0900176942517252,0.199849940476329,0.183868193253234,-0.00544924312750223,-0.0360752214085834,-0.191144451676934,-0.177274125526746,-0.308479590919248,-0.0605091592464891,0.100997250946734,0.00409058672557894,-0.0091378369932829,0.240141310050793,0.236966370000968,-0.0539248604906194,-0.209526782178967,-0.0934481605857411,-0.0755004974002728,-0.0853144716242684,-0.173765897270972,-0.091061710957822,-0.0134825998950434,0.184242130627642,-0.111057025273734,-0.0223592218887094,-0.35490899908125,-0.434614366016181,-0.217161780322847,-0.150608036533065,-0.255626948688803,-0.203573545426202,-0.319097671219172,-0.206667931225017,-0.0947202588582422,-0.237199124805715,-0.386960473548507,-0.219098962976931,-0.160114777779138,-0.131191353254065,-0.223836424104194,0.052314313074492
"Acadian.Flycatcher",0.418071990056588,0.51746630378823,0.5588855251448,0.48668106820178,0.380744367771368,0.478275482441233,0.207302638762818,0.280350909385683,0.30909656982216,1,0.640846746839262,0.0378098473292892,0.200078691449844,0.224167343881253,0.0764734585240929,0.0604691241854396,0.176199128601485,0.387672194059292,0.113549642705051,0.264869318534894,0.335019140678627,0.276254445203255,0.321121239457286,0.401247236304728,-0.0352686912857279,0.0536158215426807,0.109728511845495,-0.0594535464289717,-0.106223371058256,-0.0958655921069676,-0.380204507521215,-0.463728621240595,-0.210649812453225,0.116211061941898,0.155459200979995,-0.307793133042794,-0.30004872202131,-0.0477810359724105,0.00559809201744426,0.0356011819563778,0.0503212108718322,-0.0394377615993449,0.0352788180760392,0.0983595714064932,0.09119171144304,-0.0704707187161257,-0.00883997771439402,0.0224536628413136,-0.00848813281567354,-0.246329019745047,-0.130842599595179,0.0462404531623083,-0.195853113152967,-0.155869577196567,-0.24276501474069,-0.169936293810311,0.0344344050185519,0.157386812630418,0.0395144103109288,-0.143805137219397,-0.114259636603712,0.00907424914268049,0.123922203803552,0.0505247009788404,0.147673983229132
