"","Red.eyed.Vireo","Red.winged.Blackbird","Common.Yellowthroat","Wood.Thrush","European.Starling","Blue.Jay","Chimney.Swift","Northern.Mockingbird","American.Crow","Mourning.Dove","Barn.Swallow","American.Goldfinch","Eastern.Towhee","Indigo.Bunting","Yellow.breasted.Chat","American.Robin","Common.Grackle","Eastern.Meadowlark","Northern.Cardinal","Ovenbird","Carolina.Chickadee","Pine.Warbler","Eastern.Wood.Pewee","Tufted.Titmouse","Fish.Crow","Summer.Tanager","Great.Crested.Flycatcher","Chipping.Sparrow","White.eyed.Vireo","Blue.Grosbeak","Downy.Woodpecker","White.breasted.Nuthatch","Blue.gray.Gnatcatcher","Brown.headed.Nuthatch","House.Finch","Brown.headed.Cowbird","Eastern.Bluebird","Carolina.Wren","Eastern.Phoebe","Purple.Martin","Yellow.billed.Cuckoo","Brown.Thrasher","Red.bellied.Woodpecker"
"Red.eyed.Vireo",1,0.277909191691572,0.388795811615133,0.565515723770801,0.367248678819572,0.275064160496546,0.385402567707714,-0.169987678809679,-0.263199958942495,0.174553290701193,0.225698299537151,0.253396975065943,0.00187458247098657,0.365887707349606,0.214882427422179,0.017517462127096,0.220993133971558,0.0174024147333555,-0.119045103568717,0.304880222871146,0.207700067933022,0.577912477106838,0.149970550332182,-0.240948508606667,-0.441496011375607,-0.123968875438353,-0.287569927790328,-0.2617255150851,0.00838845881885188,-0.124923636593897,0.257776218337519,0.104489182321597,0.181136930264396,0.163055575080463,0.0290925193163251,-0.0873287295235867,-0.0789207369460902,-0.255112545072599,-0.273831800986298,-0.475010017413649,-0.292808637148424,-0.467552731191207,-0.559548577360367
"Red.winged.Blackbird",0.277909191691572,1,0.642940023614105,0.58617258543364,0.0928939768551959,0.313364618834193,0.431166872688005,0.00166634225643598,0.0563008174744964,0.260161963275662,0.197436577886189,0.545061654151612,0.463673742408961,0.539874464308318,0.463527642741155,0.297783001120775,0.405958471511535,0.363836640716063,0.308806490356325,-0.0860469929252125,-0.33350827982757,0.111101398823507,-0.207426498713371,-0.497098603798148,-0.300035140348014,-0.517938579543118,-0.514318410090489,-0.411130009270063,-0.432504867949973,-0.484357693307824,-0.19385641261272,-0.320098057833863,-0.2226590328871,-0.144060723699124,0.16670007402172,-0.154631293584912,-0.0320795328634921,-0.181270455115078,-0.225554983826312,-0.361473809781786,-0.155010480276244,-0.367247609061777,-0.308760392551572
"Common.Yellowthroat",0.388795811615133,0.642940023614105,1,0.752478884326793,0.375202799691592,0.601135809234121,0.619487814419565,0.184641992526571,0.109899836908981,0.47641209121041,0.302368752277491,0.610180740174156,0.720142978737128,0.725094367229367,0.677867367150979,0.528994881153435,0.573262136482313,0.354636446558361,0.413235534721943,-0.114901406934596,-0.312943932836726,0.0889547083367585,-0.0435226735766031,-0.449060209396314,-0.621904849679637,-0.545247060169291,-0.625981568882884,-0.552370582265799,-0.594709890502841,-0.620485219448646,-0.364612441075778,-0.530035792993924,-0.0629305042976289,-0.296512845396949,0.0705951403404595,-0.311097026428401,-0.249758942527915,-0.207590518939356,-0.417843433266797,-0.292660301434028,-0.225550214141374,-0.263236708168921,-0.285934073884272
"Wood.Thrush",0.565515723770801,0.58617258543364,0.752478884326793,1,0.549603971884197,0.625055791114641,0.711952518706995,0.1825197992787,0.318139410688641,0.543186697007803,0.582632488027215,0.730187251401136,0.698997978949206,0.842411293534587,0.77127600704714,0.691993049653506,0.696803860705133,0.536339063728037,0.443510735008333,0.0540103886712196,-0.187528472829633,0.269873103070995,0.170763070655484,-0.380208898076917,-0.63772859684502,-0.651132787636792,-0.831826345870797,-0.750294217806358,-0.700043152489807,-0.505247551815433,-0.184713739884394,-0.464267733441977,-0.142581460379387,-0.295208548551744,-0.13495840665264,-0.297709618464897,-0.139853434502401,-0.427351321007404,-0.409205774934407,-0.310288805015796,-0.245807167649184,-0.177015935306346,-0.405912627259532
"European.Starling",0.367248678819572,0.0928939768551959,0.375202799691592,0.549603971884197,1,0.644798744948424,0.634042764341408,0.49325037664598,0.300768643184023,0.522433981024091,0.38791562974105,0.414490015307123,0.423646204219188,0.637264100629458,0.486280998391711,0.602008182251163,0.647094367792519,0.422575212676952,0.268961049116265,-0.0848584997864997,0.205350958939468,0.385019113184124,0.15819730569994,-0.313232618013469,-0.489671684088839,-0.417467679766343,-0.537833818951767,-0.489862730059848,-0.611749941095591,-0.378805870412716,-0.199710636271862,-0.451233944391581,-0.430910186352191,-0.238324671615241,-0.253701205244788,-0.197383262119154,0.162775968456727,-0.300255013657962,-0.211173731898793,0.0404631115964202,-0.365811398793759,0.0924559581292451,-0.239797394275588
"Blue.Jay",0.275064160496546,0.313364618834193,0.601135809234121,0.625055791114641,0.644798744948424,1,0.770915503554723,0.661710263032402,0.490257400711708,0.623223931816892,0.638442101155508,0.67322302804378,0.663940293062853,0.802667998212501,0.67774680774643,0.66872389952606,0.741420926634957,0.577714712332641,0.57509949337097,0.0921882949650633,0.144678483425966,0.359865746582623,-0.0191359590388965,-0.280865399802958,-0.539794080796343,-0.595544745554333,-0.641474673116996,-0.475472970265026,-0.635971484925665,-0.451803263219404,-0.0280879743481163,-0.432569371756135,-0.424267431440417,-0.132147054655639,-0.048354321315642,-0.0512513968179754,0.140384150842443,-0.177390182214955,-0.0966604925457366,-0.0252378034438513,-0.255406676550774,0.074172881731449,0.00842462689226089
"Chimney.Swift",0.385402567707714,0.431166872688005,0.619487814419565,0.711952518706995,0.634042764341408,0.770915503554723,1,0.462461330380597,0.248486153134456,0.530129245319121,0.575822626176934,0.625814476925104,0.519598135660299,0.707228903985113,0.527118432227351,0.65696002651621,0.699952727719707,0.417824684785071,0.430540553754998,0.165380735525626,0.0609678955178973,0.250645160958535,0.277051281794136,-0.0953679807483484,-0.540934781311695,-0.58881037208501,-0.671876512571666,-0.550680701338247,-0.637343842669929,-0.477438090959247,-0.244705251035483,-0.470995448518044,-0.305816789607962,-0.12686442839836,-0.113152329779797,-0.204043492612891,-0.200406762029094,-0.559288596993337,-0.390990239032316,-0.240292344807998,-0.210876827157151,0.0896388048251088,-0.0502047038300388
"Northern.Mockingbird",-0.169987678809679,0.00166634225643598,0.184641992526571,0.1825197992787,0.49325037664598,0.661710263032402,0.462461330380597,1,0.589384939930826,0.574436286064055,0.48372432581662,0.489121668846088,0.553432703850448,0.455542891238598,0.468763261376421,0.618646715590007,0.683599004418027,0.522022318492297,0.576951614501806,-0.0580430856906439,0.300672028613443,0.282239171264835,-0.0343306714966387,-0.0983476156803802,-0.220660354585201,-0.378201478797587,-0.39488235995813,-0.279581844331931,-0.467174936847444,-0.173991647008327,-0.00378458606447761,-0.321173797616398,-0.537769456850165,-0.0738612265886,0.0455193514506248,-0.087876276709019,0.276071147310324,-0.0604163705083053,0.248481329668842,0.389792606398238,-0.0611934790109491,0.459189770130088,0.440680762970189
"American.Crow",-0.263199958942495,0.0563008174744964,0.109899836908981,0.318139410688641,0.300768643184023,0.490257400711708,0.248486153134456,0.589384939930826,1,0.604346499694503,0.432506280352541,0.438777910685622,0.597927947836193,0.5278593922557,0.553832414474909,0.673794683757624,0.496420106551002,0.536028120471162,0.389001702206364,-0.00308442538898251,-0.0291552852987211,0.0748904333947592,-0.12648913948518,0.038449453919844,-0.16886913505629,-0.546624636311529,-0.536701913445265,-0.367603700031268,-0.550293010509235,-0.36843523004177,0.0120798803969186,-0.456097464518709,-0.39106945181529,-0.353602847428425,-0.153418866414445,-0.24326446993277,0.198210649023662,-0.28860190784001,0.123021657528989,0.185729718164683,-0.0825429429508949,0.355000354513594,0.339667243719857
"Mourning.Dove",0.174553290701193,0.260161963275662,0.47641209121041,0.543186697007803,0.522433981024091,0.623223931816892,0.530129245319121,0.574436286064055,0.604346499694503,1,0.586907334066351,0.537728910016259,0.642756821899736,0.62702473825699,0.620936066104447,0.632298421319684,0.71926739381001,0.599236317087301,0.346975807121537,0.103836825130875,0.12739581014554,0.43262517666113,-0.00329143768566719,-0.149038933163444,-0.452940952329367,-0.485051627187353,-0.584249179264392,-0.511700401473093,-0.555740912331241,-0.564081712351591,-0.0087447442270277,-0.2896128185926,-0.114594071614171,-0.262878782889844,0.0591242376875142,-0.0919383433284836,0.234702458407846,-0.29543334603975,0.0389157164208334,-0.108788650779492,-0.300942046655092,0.148299342223108,0.0906170655011108
"Barn.Swallow",0.225698299537151,0.197436577886189,0.302368752277491,0.582632488027215,0.38791562974105,0.638442101155508,0.575822626176934,0.48372432581662,0.432506280352541,0.586907334066351,1,0.653792727066242,0.533463487377848,0.634310017139283,0.497301626503076,0.570903889566064,0.617389357316712,0.491789466051041,0.529553219918651,0.182558013673491,0.0842596291884741,0.321160402141581,0.215773602674515,-0.118872025035427,-0.38392704148249,-0.372044184198293,-0.563950976477291,-0.586057801037846,-0.510896877611275,-0.243262520801019,0.105771852125593,-0.0805592846242621,-0.111974847694502,-0.0392628117245662,-0.10141563752111,0.0493474657005153,0.0539629496774196,-0.244490753197791,-0.0658834182644752,-0.0646519342983668,-0.140577790542657,0.19064994553077,0.106503155813589
"American.Goldfinch",0.253396975065943,0.545061654151612,0.610180740174156,0.730187251401136,0.414490015307123,0.67322302804378,0.625814476925104,0.489121668846088,0.438777910685622,0.537728910016259,0.653792727066242,1,0.790903727025869,0.808126405895752,0.676151508672553,0.713239647812758,0.69133341260198,0.544204711947615,0.609375038930325,0.057279469059608,-0.0850282586256604,0.386790478080954,0.141400580312005,-0.331135164435749,-0.453590213129582,-0.594535280202516,-0.780447577957747,-0.641910530400327,-0.654016734522935,-0.493192337033397,-0.0426197820296375,-0.356905539697306,-0.466905636784828,-0.126675222834316,0.0152561907667074,0.0396101716606716,-0.029006315193187,-0.203266035177813,-0.142642635437367,-0.192554410306742,-0.324951212250969,-0.0353759912479239,-0.0652024545524803
"Eastern.Towhee",0.00187458247098657,0.463673742408961,0.720142978737128,0.698997978949206,0.423646204219188,0.663940293062853,0.519598135660299,0.553432703850448,0.597927947836193,0.642756821899736,0.533463487377848,0.790903727025869,1,0.841780326962931,0.842735830053744,0.83826030858457,0.800601908435932,0.712118348205744,0.776582296308168,-0.219282920291529,-0.226857657374543,0.0966541567704353,-0.101459556018901,-0.404580302091772,-0.54755149455535,-0.701612332945762,-0.767609181961623,-0.701342562558644,-0.844147148056666,-0.561984767722061,-0.348836048262933,-0.627573055830545,-0.376097174168327,-0.518254181593758,-0.085962200866648,-0.188510043921503,0.00591593643018744,-0.115893481991309,-0.13979621201417,0.0986254084513782,-0.195645312593096,0.0843220784972222,-0.0177349269445919
"Indigo.Bunting",0.365887707349606,0.539874464308318,0.725094367229367,0.842411293534587,0.637264100629458,0.802667998212501,0.707228903985113,0.455542891238598,0.5278593922557,0.62702473825699,0.634310017139283,0.808126405895752,0.841780326962931,1,0.853410785348856,0.80149018795334,0.844251399223006,0.665367272182294,0.641442978067979,-0.0852255717340865,-0.107538859284355,0.330694991867549,0.0106595588236618,-0.418165632636492,-0.63061391682801,-0.72978830171221,-0.847553543301122,-0.750013871122512,-0.825012012429903,-0.518076608988525,-0.192111377601464,-0.517940716648987,-0.374543328277586,-0.374155377480212,-0.100609721886278,-0.232958506630473,-0.00831977793653756,-0.315076416498118,-0.24198220237008,-0.169166054951968,-0.279747978232029,-0.110429202798504,-0.218328192562174
"Yellow.breasted.Chat",0.214882427422179,0.463527642741155,0.677867367150979,0.77127600704714,0.486280998391711,0.67774680774643,0.527118432227351,0.468763261376421,0.553832414474909,0.620936066104447,0.497301626503076,0.676151508672553,0.842735830053744,0.853410785348856,1,0.753270625778671,0.795836534266771,0.704935072203294,0.61743002555661,-0.102321317491716,-0.0502971462484486,0.290848089461686,0.0557280498456914,-0.434848641902716,-0.609150308603482,-0.581061530963418,-0.667645436450987,-0.629441414396229,-0.737642858086234,-0.502841014610264,-0.287857475004691,-0.486480593498204,-0.267337143318653,-0.348414410070733,0.0318496422973065,-0.23588389996819,0.115448801713039,-0.252606563973771,-0.102285902602561,-0.0538260443452384,-0.288753563778353,-0.10974738270315,-0.169537974011507
"American.Robin",0.017517462127096,0.297783001120775,0.528994881153435,0.691993049653506,0.602008182251163,0.66872389952606,0.65696002651621,0.618646715590007,0.673794683757624,0.632298421319684,0.570903889566064,0.713239647812758,0.83826030858457,0.80149018795334,0.753270625778671,1,0.835884607383621,0.719058937256368,0.664579901913123,-0.131644956513001,-0.145511566790429,0.107622869213914,0.174898018650259,-0.205327359038767,-0.438361996920632,-0.747424878311677,-0.833328409903229,-0.702634601835061,-0.82486837670941,-0.418007974165883,-0.29631500076958,-0.626944556978452,-0.421925720219157,-0.487310794562821,-0.154893944047821,-0.332383512971612,0.0157072547847135,-0.332278593813042,-0.137261697389746,0.22760528961777,-0.236341004378463,0.145301529195585,-0.0535800068010963
"Common.Grackle",0.220993133971558,0.405958471511535,0.573262136482313,0.696803860705133,0.647094367792519,0.741420926634957,0.699952727719707,0.683599004418027,0.496420106551002,0.71926739381001,0.617389357316712,0.69133341260198,0.800601908435932,0.844251399223006,0.795836534266771,0.835884607383621,1,0.801290410280186,0.720807553515516,-0.0170663096978438,0.189511907151804,0.383788392871762,0.127277756198943,-0.272918971496744,-0.541862295448408,-0.660773366877234,-0.714595523859013,-0.58927422120698,-0.737678802022211,-0.353239887349766,-0.156519688152932,-0.46042332808587,-0.331411471389593,-0.305575046562901,0.0603705330005902,-0.178533589029402,0.0508167685623856,-0.24684813185238,-0.0137201159889361,0.124955533792311,-0.259042979687352,0.0498236838246954,-0.0154061677323031
