"","Brown.headed.Cowbird","Eastern.Bluebird","Bonaparte.s.Gull","Eastern.Phoebe","Hermit.Thrush","House.Finch","Pine.Siskin","American.Goldfinch","Northern.Flicker..Yellow.shafted.","Swamp.Sparrow","Field.Sparrow","Song.Sparrow","House.Sparrow","Ring.necked.Duck","Cedar.Waxwing","Yellow.rumped.Warbler..Myrtle.","Red.winged.Blackbird","Rock.Pigeon..Feral.Pigeon.","European.Starling","Great.Blue.Heron..Blue.form.","Mourning.Dove","Eastern.Meadowlark","Herring.Gull","Carolina.Chickadee","Tufted.Titmouse","Brown.headed.Nuthatch","Northern.Mockingbird","Carolina.Wren","Chipping.Sparrow","Brown.Thrasher","Golden.crowned.Kinglet","Downy.Woodpecker","Pine.Warbler","Ruby.crowned.Kinglet","White.breasted.Nuthatch","Red.headed.Woodpecker","Blue.Jay","Red.bellied.Woodpecker","American.Crow","Ring.billed.Gull","White.throated.Sparrow","American.Robin","Yellow.bellied.Sapsucker","American.Pipit","Hooded.Merganser","Pied.billed.Grebe","Northern.Cardinal","Eastern.Towhee","Yellow.rumped.Warbler","Ruddy.Duck","Horned.Grebe","Bufflehead","Common.Grackle","American.Coot","Rusty.Blackbird","Dark.eyed.Junco..Slate.colored.","Fox.Sparrow"
"Brown.headed.Cowbird",1,0.649124859479362,0.455470204447844,0.448892484852847,0.549954543277493,0.350497918368549,-0.0418387873483461,0.119290173145899,0.154700003863415,0.0981797080227637,0.047211952904823,0.0672484872027476,-0.0387437183741399,0.0123608724656936,0.207476470895477,0.459239239473439,-0.158108121311145,0.104789424685636,0.112211675449105,0.521708638317634,0.425762629355225,0.148041953409281,-0.155656431166612,-0.231243922916039,-0.127814598298836,-0.192461387502426,-0.108322725097334,-0.14589562493177,-0.356698616489258,0.335632661640349,0.13056928908828,-0.00215948160409484,0.221031877521788,0.176497176080879,-0.251288419784611,-0.158344908975163,-0.191566599540794,-0.302584341079763,0.0274631795852597,0.067411974056362,0.0187870412411246,0.0369821189298959,0.225144661870732,0.0174009447163646,0.298559350687315,-0.0565094625743001,0.128930711838211,0.317694774511068,-0.205973338223315,0.087461932783357,-0.0436313080753688,0.478822011412107,0.0380508733978689,-0.0849203721192767,-0.0331704518674193,0.175432046804022,0.049991742377608
"Eastern.Bluebird",0.649124859479362,1,0.554298218121123,0.445393263801159,0.360564284122201,0.584230933893891,0.0811007923792022,0.179110946694986,0.17685872570766,0.114264804876043,0.406248866467021,0.264339219217033,0.240822705775141,0.0190341872125343,-0.109963643771499,0.236050376651086,-0.29249154078915,-0.16325855009281,0.283680657265946,0.357844833398172,0.403303841946683,0.0547814559318425,0.2022850919055,0.0542832619367347,0.0358769189176209,0.180045266145484,0.156793761796207,0.00536370376031316,-0.231289613458809,0.380929811050675,0.0857288314737714,0.323273067771865,0.317680957034861,0.124025992933682,-0.0889284017693041,-0.0564987685661247,-0.0876025243794802,-0.157610863326777,0.171438643670055,0.314686948401396,0.213892364526134,-0.138549812480807,0.0650403972417562,-0.0942916868334934,-0.0502863240198349,-0.0796390724206917,-0.145038916881969,0.231988494626378,-0.235317677322739,0.203901908971029,0.171531015498007,0.348802509418968,0.200918870454701,0.0682906829626596,0.080184472405214,0.212551687540967,-0.0359247085559856
"Bonaparte.s.Gull",0.455470204447844,0.554298218121123,1,0.55090503413608,0.462647812106776,0.515847048787687,0.0242466668552238,0.247586155878883,0.102589638211829,0.282657329046616,0.403214167846949,0.335896852914397,0.422940614692997,0.110115185503115,0.226439872894736,0.329659473672068,0.0888530072199746,0.217595995898374,0.30161379213611,0.367155980492862,0.222952963323932,-0.0424856821540167,0.173219567085787,0.038720815731157,-0.0440558426007536,0.0965499725023063,-0.0947366407494987,0.0544389346182342,-0.410419708181343,-0.080040220983224,-0.240064483605909,0.0760918595683834,0.111826891567468,-0.0663089253009748,-0.256025354518955,-0.275684921053705,-0.3400004932709,-0.246988972350169,0.24676190117519,0.117293207386222,0.174666760478249,-0.0637248692269881,0.0965002234027752,-0.0637314852729528,-0.02519052715013,0.256646624761506,-0.108327458747865,0.308021565539275,-0.175582742791623,0.348520913261527,0.235105758618583,0.384496626478168,0.206652115779574,-0.096958513116213,0.379140478580962,0.0258464723692138,-0.185636567089441
"Eastern.Phoebe",0.448892484852847,0.445393263801159,0.55090503413608,1,0.598602174274593,0.227340938898285,-0.0241812476346253,0.115786593937832,0.0956899446046154,0.531802399467232,0.488139963287641,0.218048084836623,0.344543685092804,0.1652767324446,0.140824852612871,0.428558430833687,-0.361431764716731,0.299725545617342,0.0831831459152502,0.190033120080999,0.266514471450955,-0.16287897633858,0.0686682032149661,0.222653058262093,0.152829250673001,0.153117548931364,0.0739442722444688,0.348680271282911,0.0335937724365156,0.323642012274023,0.0927535126248313,0.339777351761625,0.121780534850115,0.0331338067939804,0.12618065739889,-0.101634801883292,-0.189162743339225,0.0409979979684983,0.279201628347058,0.274459250883281,0.219177649161047,0.201557604704131,0.16711478520344,-0.408415636824815,-0.13174374394767,-0.0231622623488669,0.131531116800103,0.385613796522819,-0.0118229115191252,0.511415782780775,0.262283858947944,0.359227967942056,-0.149112376567233,-0.351368399613388,-0.0507516463722096,-0.0640380007559148,-0.288621141328454
"Hermit.Thrush",0.549954543277493,0.360564284122201,0.462647812106776,0.598602174274593,1,0.32745142831402,0.104646781652312,0.0422468122875533,0.058754712340337,0.446132302757982,0.227946103022236,0.100525523923079,0.0841909682241066,0.0522020596423054,0.28000831843319,0.482820509869594,-0.0920430847031271,0.472954422274662,-0.0597614672873611,-0.0666917797564515,-0.154468871048289,0.0002077736345484,-0.114327344465599,-0.170916849085644,-0.0487229757658115,0.207820468320118,0.0953887242069812,0.267378519847981,-0.0786974511989735,0.136130336851128,0.207366833958895,0.259443658761707,0.455679821629243,0.364359568060741,-0.246604167485735,-0.265375459311351,-0.2175720518828,-0.0941837254381373,0.333281461903441,0.377296155829938,0.17454689519965,0.267979936661462,0.354980710496065,-0.245821185408785,0.0315112610898803,-0.15044204658099,-0.0851603637721058,0.0347122257040095,0.112646625673162,0.420691586199086,-0.0146360772461971,0.421398705014701,0.00748469330249531,-0.138856971981184,-0.0190934598379273,0.270346984309871,-0.0657688004910651
"House.Finch",0.350497918368549,0.584230933893891,0.515847048787687,0.227340938898285,0.32745142831402,1,0.547585610577241,0.605734910474966,0.539586214231607,0.126202695266764,0.51436254705891,0.370284863532843,0.288329849221273,0.00343484401504459,0.179354373548773,0.0597451872977283,0.165551535194013,0.182983634960449,0.402997487894549,0.0513365650192442,0.267967969779967,0.101669286986382,-0.286607000670743,-0.163777847996368,-0.282151361529493,0.155775896530583,0.296424388274747,0.124509791661432,-0.254172141361627,-0.0267589856422016,0.15170941407601,0.3438699446114,0.169355110137318,-0.129354540834424,-0.401579811852582,-0.206802471887343,-0.0211588457908634,-0.171057608810107,0.207191537195267,0.140649143381676,0.29013273904356,-0.0245919284853701,-0.17199165607248,-0.233628559874552,-0.433898616509213,-0.272020674146895,-0.134994014464589,-0.240126314120559,-0.437101251749012,0.102844226636031,-0.255159511991054,0.0414493576300659,0.138729627154405,0.285056936454524,0.295298244421331,0.553705412610742,0.0324156047515421
"Pine.Siskin",-0.0418387873483461,0.0811007923792022,0.0242466668552238,-0.0241812476346253,0.104646781652312,0.547585610577241,1,0.673011775778443,0.631101958635907,0.441437410833529,0.548053343831102,0.499412759352978,0.0332171503220646,-0.00615839853244835,0.0961181376682984,0.0788237798233219,0.168575613550056,-0.0395302264597685,0.443154434709772,-0.214185496858866,0.0815247822197794,0.130380135669388,-0.251401802988968,-0.239334321938327,-0.316629907298739,0.015553435102081,0.269052600279975,-0.0802129156053313,0.116036056260955,-0.276891730201623,0.159150554297385,-0.042719492178082,0.00833636619218853,-0.111760340780611,-0.264079278214525,-0.0205234614210352,0.201720748401175,-0.0881107921577887,0.0775364332351463,0.113575055243533,0.301202712277672,0.348080421203558,0.0227687050077984,-0.15021010827814,-0.385602923629014,-0.465359669282021,-0.33143763207529,-0.597057766591608,-0.635533859787635,-0.0756306885070822,-0.350794488183104,-0.0690767032553836,-0.0582886471103527,0.182064891889721,0.349149199767486,0.336362221999331,-0.0582865292827836
"American.Goldfinch",0.119290173145899,0.179110946694986,0.247586155878883,0.115786593937832,0.0422468122875533,0.605734910474966,0.673011775778443,1,0.757461477962219,0.347691395544398,0.552423904564373,0.539897553978293,0.00556950929583484,0.17875349747894,0.237028385906842,0.245762417122648,0.227063402483648,0.0346015675003513,0.480163115226423,0.144398203482838,0.511799778739433,-0.0912072663402124,-0.28800856038603,-0.20316024140029,-0.358470598667999,-0.210943318219116,-0.0867755306628669,-0.115387938594019,-0.0152980553042259,-0.25146624461707,-0.00585656741802537,0.128457107869559,-0.0591038448288286,-0.189514254626919,-0.318467287413679,0.0500094076207415,0.206600308768293,-0.0262511677691143,0.126030188616859,0.1455831961737,0.34505667005878,0.225451565369244,0.0107257659877046,0.0264618421264625,-0.471513766978718,-0.247445004986682,-0.326904856553702,-0.259497299352914,-0.603894469725626,-0.118062927315759,-0.110136856817961,0.174804684212656,0.269010907507258,0.109957498393388,0.275073075983615,0.425213341065969,0.0410447866158547
"Northern.Flicker..Yellow.shafted.",0.154700003863415,0.17685872570766,0.102589638211829,0.0956899446046154,0.058754712340337,0.539586214231607,0.631101958635907,0.757461477962219,1,0.135892114724631,0.454724952354426,0.43174277131547,0.0516023437481056,0.301067914412048,0.248019081685836,0.274661389578278,0.162675934706776,-0.148676416706642,0.308229319823965,0.000881976696758429,0.38316055534113,-0.0204740422075861,-0.351462737167089,-0.0757361933431769,-0.259230166404431,-0.263562840995912,0.0187538039484807,-0.0384541288913449,0.217773503484002,-0.126929591497891,0.0943133945565801,0.121956146232613,-0.0181132239458247,-0.132654823706126,-0.355585418091039,0.00862956808323629,0.0953551809376424,0.0257866012621092,-0.05823622640397,0.0964948229022923,0.18494531083666,0.227010085710717,-0.113260089711932,-0.0789550004309154,-0.495123832442712,-0.412642440223652,-0.276537544743266,-0.383431390096003,-0.573048495264727,-0.0366271921089897,-0.295801725210262,0.21200586332026,0.119154212247614,0.271877397518024,0.213797534594525,0.316287962497546,-0.076432327930147
"Swamp.Sparrow",0.0981797080227637,0.114264804876043,0.282657329046616,0.531802399467232,0.446132302757982,0.126202695266764,0.441437410833529,0.347691395544398,0.135892114724631,1,0.495072742177695,0.572157503772077,0.0109343309378415,0.05531819125752,0.056190141741295,0.264558880366378,-0.0523727951169493,0.230853396675188,0.199413936518564,0.0941991125573885,0.0797661270788098,-0.0712233100470989,0.108884707536094,-0.0397842313743617,-0.112405742224152,0.0370274135922679,-0.174115769479732,-0.00251005854483398,-0.0143775979481103,-0.144530727098052,-0.123584638860723,0.04512973235161,0.183639334006739,0.0500246658098469,0.0217695462105748,-0.0735440319969077,-0.112029267510501,-0.0695509351910056,0.346626347202895,0.25192270219121,0.28510285439408,0.371076590671297,0.159724124291525,-0.144567333594231,-0.0332577823810657,-0.111313418305529,-0.231203462739642,0.0221182464959961,-0.307092659247407,0.215579029906259,0.0923969345413187,0.116920421221562,-0.0826525592787049,-0.316204497107149,0.0858910852813085,-0.0240134574619976,-0.233980448301722
