"","Brown.headed.Nuthatch","Tufted.Titmouse","Eastern.Wood.Pewee","Yellow.throated.Warbler","Acadian.Flycatcher","White.eyed.Vireo","Fish.Crow","Chipping.Sparrow","Great.Crested.Flycatcher","Summer.Tanager","Eastern.Phoebe","N..Rough.winged.Swallow","Black.and.white.Warbler","Gray.Catbird","Northern.Parula","Black.throated.Blue.Warbler","Yellow.rumped..Myrtle..Warbler","American.Redstart","Common.Yellowthroat","Black.thr.Blue.Warbler","Yellow.rumped.Warbler","Ring.billed.Gull","White.throated.Sparrow","Purple.Martin","Bobolink","Cedar.Waxwing","Downy.Woodpecker","White.breasted.Nuthatch","Hooded.Warbler","Ovenbird","Red.eyed.Vireo","Blue.Jay","Red.bellied.Woodpecker","Ruby.throated.Hummingbird","Eastern.Kingbird","Red.winged.Blackbird","Blue.gray.Gnatcatcher","Scarlet.Tanager","American.Goldfinch","Eastern.Towhee","Wood.Thrush","Brown.headed.Cowbird","Orchard.Oriole","Prothonotary.Warbler","Carolina.Wren","Northern.Cardinal","Prairie.Warbler","Blue.Grosbeak","Yellow.breasted.Chat","American.Crow","Carolina.Chickadee","Pine.Warbler","American.Robin","Northern.Mockingbird","Eastern.Bluebird","European.Starling","House.Finch","Indigo.Bunting","Brown.Thrasher","House.Sparrow","Mourning.Dove","Cliff.Swallow","Barn.Swallow","Chimney.Swift","Common.Grackle"
"Brown.headed.Nuthatch",1,0.75573045818443,0.629832400868056,0.496235455167693,0.522326782665783,0.447791878346609,0.585386721423683,0.734473920073439,0.766889103851105,0.73584261128252,0.547289280179201,0.518898648769905,0.43742515613754,0.386865109926672,0.482039029235791,0.0684579849149614,-0.064841746030243,0.325637121706624,0.524550905880541,0.510193959477357,0.240499842919337,0.169033364321583,0.0360992306395284,0.0622754500132149,-0.0636659259709141,0.126582285888746,0.481464707831284,0.547089169424196,0.560616569857533,0.617450821696958,0.415939852936192,0.425590172015134,0.654010689814145,0.229095485979904,0.185318275154004,0.178895183458576,0.2223362700728,0.170685844255888,0.186078355260928,0.291481371830301,0.149136328848832,0.458012716349968,0.519095925889553,0.493493266441482,0.488455682559936,0.653326578213921,0.636036960985626,0.404208029128522,0.369888799254315,0.407388457933392,0.49085007316072,0.488105432443675,0.411734543424609,0.348101286194051,0.455960381549296,0.0706707734428474,0.305165943277733,0.464853832352209,0.306297056810404,0.0802532511978097,0.39941842912192,0.170343788455776,0.101779000140275,0.18471013206048,0.0930391776304641
"Tufted.Titmouse",0.75573045818443,1,0.67749658002736,0.587410229381017,0.332820254568287,0.328542171415088,0.305337000420826,0.587138712195749,0.725936068055467,0.621173260324777,0.310822367339811,0.252350832889748,0.230361200207867,0.227389300639136,0.369870041039672,-0.0821214821598654,-0.0521635034138373,0.400068393605698,0.452026686959908,0.312211365907953,0.130390174280363,0.151530701720196,-0.042756970011342,0.120916711192075,0.145765630833761,0.0919972640218878,0.570696565666269,0.589524446491925,0.761383489545901,0.709765702188278,0.679774330331733,0.700752393980848,0.78816892928302,0.461117497307154,0.45073557204979,0.328945123631351,0.481449827518652,0.480082072326837,0.474269112761626,0.474179206566347,0.456830234065993,0.428107375037892,0.581407710787212,0.456008456868318,0.436997783784685,0.722516680075931,0.672767743784374,0.652872777017784,0.639644271369677,0.696187392633505,0.756026682275383,0.691873487196866,0.618331053351573,0.58515731874145,0.621302795881669,0.42182691486709,0.640218878248974,0.676013003554243,0.532671943591289,0.394628829115319,0.581395348837209,0.337835532378145,0.280095759233926,0.485553093094095,0.324499919257955
"Eastern.Wood.Pewee",0.629832400868056,0.67749658002736,1,0.642490629456931,0.616213451803462,0.511978217121845,0.511289800704677,0.642380717450403,0.672251676776754,0.7015563639461,0.242776546547047,0.459223805651668,0.0982372428821069,0.124123783657152,0.135430916552668,-0.264841779965566,-0.323071665405701,0.171653276572701,0.226440913180068,0.204658575019201,0.029431902855935,-0.0230887638061247,-0.238412864783243,-0.303745514960574,-0.0711719512052166,-0.0400136798905609,0.396364722395996,0.26395084102513,0.610578891009494,0.352488460773504,0.406565230766816,0.342681258549932,0.558386057058209,0.412813212670967,0.18816285740219,0.149427254705718,0.126859294040781,0.0892460262658864,0.120020518081709,0.0978112175102599,0.0577876568541563,0.310138489743904,0.557096787662422,0.143101752981199,0.28688665148306,0.509146870152892,0.424050657727298,0.476060191518468,0.428253811633602,0.289622161866689,0.390152168465044,0.383233583412705,0.284541723666211,0.229822161422709,0.265686446009938,0.107423885862341,0.294117647058824,0.38981022966709,0.267704428940388,0.125384885887095,0.425102599179207,0.066336126802996,0.0311217510259918,0.254060526879516,-0.0581295956521099
"Yellow.throated.Warbler",0.496235455167693,0.587410229381017,0.642490629456931,1,0.368006848841828,0.478774420388174,0.319986310746064,0.593669811939164,0.710791952632737,0.696492739021423,0.37113054312152,0.371814654721744,0.276664991122609,0.122113920639984,0.454669886340927,-0.142050318698545,0.0195038497294135,0.378655770723984,0.385115488955348,0.436868568390618,0.203355027322542,0.199315657322515,0.110179642331073,-0.294097523551419,-0.30189971347498,-0.127095457318024,0.33745440841223,0.178424699386545,0.740924831329733,0.534645003547518,0.603386431397569,0.454327772054741,0.565418237585137,0.116175571798336,0.31211498973306,0.019155124806272,0.378997826524096,0.230203553475376,0.229861497675264,0.0704755429542746,0.153583054250288,0.236360557877392,0.421647696977921,0.282363079931299,0.371472598921632,0.298272657697664,0.584360027378508,0.437222057745451,0.523695473874865,0.3762613801232,0.389259500527456,0.612014385139755,0.163530628796812,0.182004800250845,0.362921203918832,0.18788501026694,0.299863171841853,0.412519294935072,0.366872005475702,0.157939767282683,0.39411565768604,0.163160616653424,0.145056457342779,0.234650278876832,0.0690952716226241
"Acadian.Flycatcher",0.522326782665783,0.332820254568287,0.616213451803462,0.368006848841828,1,0.490843809348712,0.50316510573864,0.383681149503934,0.540355708755161,0.598015737256244,0.0174418614851349,0.391928887489503,0.186922330703587,0.213406305229886,0.202154954213625,-0.168035601900591,-0.396510434485118,0.0129958967928456,-0.0311323982210058,0.0748544724738267,-0.151976744317174,-0.073041395826206,-0.269072870338693,-0.251453985631201,-0.0737508598973061,0.00171027880045368,0.409475319056347,0.369971030945835,0.338640767797714,0.141806363325351,-0.00786593753251183,-0.00957756128254062,0.316005490436562,0.114099844386116,-0.243284862414263,-0.248632025484178,-0.0372777039584256,-0.254787976596579,-0.209644335105641,-0.108089620188673,-0.210670326957708,0.068741454088473,0.148458982462188,0.0926211604542788,0.0772913861890293,0.256155965732668,0.146792132174007,-0.0537027543342456,0.0708176530961341,-0.0639534921121614,0.000341997284022254,0.0130047920004531,0.0136822304036295,-0.147426032599107,-0.148426821265658,-0.276646710635628,0.00513083640136105,0.0964432340942755,-0.0278870833850386,-0.162703167479581,0.13955875011702,-0.0147058832129569,-0.315033355043568,-0.103283179774721,-0.306771563767961
"White.eyed.Vireo",0.447791878346609,0.328542171415088,0.511978217121845,0.478774420388174,0.490843809348712,1,0.304347843922122,0.437275429876555,0.436954821978273,0.494266708995495,0.0790419450876908,0.314456915738475,0.201061828603724,0.0852010576919264,0.346680437128629,-0.121554530115611,-0.131610491418814,-0.118391831170307,0.12835873675437,0.141902365722314,-0.0616438356164384,-0.108505918803028,-0.244737324744999,-0.511038917264733,-0.265365523491827,-0.273785142845907,0.301855534718423,0.248030161865526,0.377869155438777,0.253979153791314,0.118391831170307,-0.0429500442839516,0.224807610054601,-0.110216033605831,-0.0783978135637411,-0.325748622179574,-0.0732250054059127,-0.256287518920694,-0.192301182421135,-0.23545522284748,-0.307613457289325,0.0153977815105891,0.0897721550812587,-0.070572117878865,0.0215568941148248,0.107784470574124,0.285861023256436,0.0718685999970505,0.14273491527086,-0.047904209144055,0.0848588847694689,0.195856876693323,-0.228268362847775,-0.244695471418529,-0.0253207962618576,-0.367682322128637,-0.0273785142845907,-0.0314799088660933,0.00273878824676825,-0.285689848991013,-0.00992471142816411,-0.255945345998237,-0.407426515697565,-0.217621978682993,-0.45269477641132
"Fish.Crow",0.585386721423683,0.305337000420826,0.511289800704677,0.319986310746064,0.50316510573864,0.304347843922122,1,0.697005998224829,0.621515388803505,0.607527810431116,0.333162349309088,0.545921056978753,0.265879165354834,0.3762613801232,0.352890886200652,0.139311999301947,-0.0383233538542861,-0.022575682807392,0.00342172802270412,0.294843453411864,0.120506682857803,0.104362704692476,0.063986314024567,-0.0701454244654344,-0.441040567814639,-0.207834428857873,0.10161394190236,0.138013731003412,0.244520605301331,0.180153980395372,0.011629897203808,-0.0294218286119787,0.220283935272128,0.0519191714673978,-0.289356605065024,-0.2052334800672,-0.234992334676944,-0.151188663649504,-0.29245770909576,-0.160622657364233,-0.317769838304048,0.351975418315248,0.422504008304034,0.361472687528788,0.3078502201008,0.399521174530816,0.121834360027379,0.0218953143158911,-0.0444824642951535,-0.15563538905096,0.0342055800112,0.0280677738151342,-0.121108457309773,-0.0913445144116084,0.012998120404256,-0.242470910335387,-0.13684571447432,-0.0933812334305761,-0.0532169746748802,-0.163757700205339,-0.0571330857930284,-0.010603729803472,-0.30379748613299,-0.296904434497216,-0.452539823548177
"Chipping.Sparrow",0.734473920073439,0.587138712195749,0.642380717450403,0.593669811939164,0.383681149503934,0.437275429876555,0.697005998224829,1,0.710328358914221,0.740506329113924,0.501368018376624,0.448700436637197,0.312906612203441,0.253761984744512,0.433726703795054,-0.00513347052649463,-0.0172767704413274,0.231874158567088,0.323811152925077,0.42257662149412,0.294369369623356,0.0641464249059186,-0.00786862812179268,-0.0757783099555251,-0.247433279377041,-0.0667008732176936,0.177450745978316,0.310563373501038,0.644581643457227,0.499657885733835,0.382010966252857,0.344108094651281,0.496922053684334,0.338701790317346,0.122155690410537,0.130642962496501,0.129958967928456,0.190834484484417,0.14876881854968,0.180263385567818,0.0396716849465814,0.633036972725191,0.609760595787601,0.537408174983329,0.663474731003172,0.596785260618832,0.510179648185184,0.476141618046305,0.382141635306192,0.210670326957708,0.389534906501347,0.476386064858701,0.173764326126094,0.286129643315901,0.469562270962554,0.188879386853267,0.30169318040003,0.341655286738231,0.338922160648843,0.140633021733139,0.391311789543802,0.238030109679488,0.0993671983063589,0.147742826697614,-0.0273597827217803
"Great.Crested.Flycatcher",0.766889103851105,0.725936068055467,0.672251676776754,0.710791952632737,0.540355708755161,0.436954821978273,0.621515388803505,0.710328358914221,1,0.873803060676858,0.489230769230769,0.401709401709402,0.196440897510996,0.297777777777778,0.491707991457259,0.042080064588568,0.00170998642011127,0.247863247863248,0.385088941809058,0.406507445269609,0.109495335186411,0.195964443744751,0.0335157338341808,-0.0167578669170904,-0.305508111199928,-0.0222260218669832,0.434725758260971,0.371042539072572,0.690056973035337,0.579343399133698,0.505641025641026,0.511882380536521,0.677948717948718,0.27333496011737,0.230545609275488,0.150769230769231,0.365470085470085,0.256068376068376,0.274529914529914,0.213369809923039,0.156239316239316,0.52,0.633002989956131,0.541845331505426,0.458461538461538,0.61982905982906,0.509321086366769,0.442126865753989,0.420998656631394,0.426324786324786,0.474188034188034,0.479986427786674,0.371003595779643,0.311848183733672,0.40991452991453,0.12314008804032,0.41272012912998,0.435897435897436,0.422096857338208,0.235676446277168,0.50606942097131,0.0577777777777778,0.0198324502813081,0.181538461538462,0.0105982905982906
"Summer.Tanager",0.73584261128252,0.621173260324777,0.7015563639461,0.696492739021423,0.598015737256244,0.494266708995495,0.607527810431116,0.740506329113924,0.873803060676858,1,0.314979498584496,0.375513017856434,0.272680652757156,0.353967188963032,0.586625628555613,0.041067764211957,0.00513171399247349,0.145348845709458,0.43089291823469,0.354231233583235,0.143419495200216,0.228874444064317,-0.0174478275744099,-0.155490933971947,-0.340006864538161,-0.130152216714525,0.375495388975393,0.394453149143546,0.770416306920988,0.63616147793363,0.538987719619072,0.434410815315235,0.682284581624396,0.250642751256589,0.24088965279837,0.163132704478615,0.393638873909614,0.238714104247533,0.243160068939822,0.255857708547871,0.193228465472573,0.538987719619072,0.539212613348823,0.445814236271612,0.440492501820663,0.624145043340613,0.593327639136894,0.443304265077594,0.477933629832364,0.288645707714782,0.38850891464928,0.411704336224869,0.240465199343788,0.181802636488226,0.299247623519472,0.0386655266565565,0.316401578083931,0.400820816874081,0.400684351458652,0.228058172713229,0.556866777427719,0.173734620283305,-0.0523345312938827,0.101573193354609,0.00923392666860085
