"","Carolina.Wren","White.breasted.Nuthatch","Red.bellied.Woodpecker","Brown.headed.Nuthatch","Yellow.rumped.Warbler","Brown.Thrasher","Chipping.Sparrow","Tufted.Titmouse","Downy.Woodpecker","Red.headed.Woodpecker","Hermit.Thrush","Yellow.bellied.Sapsucker","Bufflehead","Horned.Grebe","Ruddy.Duck","Bonaparte.s.Gull","Eastern.Phoebe","Red.winged.Blackbird","Song.Sparrow","White.throated.Sparrow","Swamp.Sparrow","Golden.crowned.Kinglet","Pine.Warbler","Ruby.crowned.Kinglet","Eastern.Meadowlark","Brown.headed.Cowbird","Great.Blue.Heron..Blue.form.","American.Coot","Northern.Mockingbird","Ring.necked.Duck","House.Sparrow","Rock.Pigeon..Feral.Pigeon.","Yellow.rumped.Warbler..Myrtle.","American.Robin","Cedar.Waxwing","American.Goldfinch","Northern.Flicker..Yellow.shafted.","European.Starling","Mourning.Dove","American.Pipit","Rusty.Blackbird","Dark.eyed.Junco..Slate.colored.","Fox.Sparrow","Blue.Jay","Pine.Siskin","Common.Grackle","Eastern.Bluebird","House.Finch","Hooded.Merganser","Eastern.Towhee","Northern.Cardinal","Carolina.Chickadee","Field.Sparrow","Pied.billed.Grebe","American.Crow","Herring.Gull","Ring.billed.Gull"
"Carolina.Wren",1,0.392136752136752,0.572649572649573,0.487863247863248,0.470230529920204,0.408547008547008,0.427008547008547,0.499487179487179,0.47965811965812,0.0625641025641026,0.0112820512820513,0.208205128205128,0.259487179487179,0.188376068376068,0.185641025641026,0.149401709401709,0.443418803418803,0.0728205128205128,0.231150627416625,0.305982905982906,0.096068376068376,0.0441025641025641,0.0290598290598291,0.141196581196581,-0.617094017094017,-0.305982905982906,-0.28,-0.274101098310947,-0.0823931623931624,0.128888888888889,-0.0523076923076923,-0.284786324786325,-0.0700854700854701,0.286837606837607,-0.0064957264957265,-0.114529914529915,-0.135042735042735,-0.10974358974359,-0.0694017094017094,-0.0304273504273504,-0.101538461538462,0.0406837606837607,0.143931623931624,0.36,0.13550680079202,0.0673504273504273,0.15965811965812,-0.00923076923076923,-0.109059829059829,0.476923076923077,0.237606837606838,0.418803418803419,0.145299145299145,0.0229059829059829,0.12,0.192478632478632,0.16034188034188
"White.breasted.Nuthatch",0.392136752136752,1,0.617777777777778,0.658803418803419,0.663145619118236,0.552136752136752,0.578803418803419,0.622564102564103,0.506324786324786,0.387350427350427,0.0707692307692308,0.402393162393162,0.19042735042735,0.396923076923077,0.437948717948718,0.331965811965812,0.344273504273504,0.230769230769231,0.173704909360423,0.312136752136752,-0.0762393162393162,-0.294358974358974,-0.00991452991452991,-0.0666666666666667,-0.355897435897436,0.0796581196581197,-0.12957264957265,-0.720758958136796,-0.333333333333333,-0.304615384615385,-0.217777777777778,-0.440683760683761,-0.501538461538461,0.0331623931623932,-0.393504273504273,-0.550769230769231,-0.52957264957265,-0.555555555555555,-0.258803418803419,-0.18974358974359,-0.162393162393162,-0.441367521367521,-0.0147008547008547,0.251965811965812,-0.13550680079202,-0.203418803418803,-0.000341880341880342,-0.32034188034188,-0.15965811965812,0.34974358974359,0.167179487179487,0.0837606837606838,-0.344273504273504,-0.0167521367521367,-0.0905982905982906,0.229401709401709,0.32034188034188
"Red.bellied.Woodpecker",0.572649572649573,0.617777777777778,1,0.686837606837607,0.698951828855749,0.476239316239316,0.624615384615385,0.489230769230769,0.591111111111111,0.618461538461538,0.0994871794871795,0.452991452991453,0.15965811965812,0.29982905982906,0.372307692307692,0.218461538461538,0.447521367521367,0.179487179487179,0.0909557202556544,0.0365811965811966,-0.081025641025641,-0.225982905982906,0.0413675213675214,-0.168547008547009,-0.52957264957265,0.0358974358974359,-0.197264957264957,-0.29674274097493,-0.242393162393162,-0.0461538461538461,-0.254017094017094,-0.47965811965812,-0.431111111111111,0.126837606837607,-0.231452991452991,-0.406495726495726,-0.338119658119658,-0.533675213675214,-0.315555555555556,-0.0229059829059829,-0.253333333333333,-0.349059829059829,0.13025641025641,0.397606837606838,-0.0881651843127827,0.304615384615385,0.251965811965812,-0.180854700854701,-0.170598290598291,0.484444444444444,0.141880341880342,0.126837606837607,-0.204786324786325,-0.0803418803418803,0.226666666666667,0.298461538461538,0.493333333333333
"Brown.headed.Nuthatch",0.487863247863248,0.658803418803419,0.686837606837607,1,0.773487204227717,0.452991452991453,0.576068376068376,0.677948717948718,0.466666666666667,0.444786324786325,0.161025641025641,0.46051282051282,0.130940170940171,0.149401709401709,0.448205128205128,0.383247863247863,0.40034188034188,0.0864957264957265,0.271499405575149,0.219145299145299,-0.250598290598291,-0.275897435897436,0.0386324786324786,-0.181538461538462,-0.306666666666667,-0.16034188034188,-0.13025641025641,-0.324187156325213,-0.04,-0.241025641025641,-0.0447863247863248,-0.440683760683761,-0.461196581196581,0.0673504273504273,-0.235555555555556,-0.431794871794872,-0.463247863247863,-0.491282051282051,-0.353846153846154,0.0611965811965812,0.0352136752136752,-0.271111111111111,-0.0235897435897436,0.271111111111111,-0.0216124770883475,0.00581196581196581,0.385299145299145,0.0564102564102564,-0.378461538461538,0.314871794871795,0.0447863247863248,0.154188034188034,-0.0858119658119658,0.0167521367521367,0.112478632478632,0.524102564102564,0.477606837606838
"Yellow.rumped.Warbler",0.470230529920204,0.663145619118236,0.698951828855749,0.773487204227717,1,0.534535559652881,0.517728563245477,0.633185321174602,0.56084216272534,0.489229743250313,0.198395631504795,0.459269445306679,0.223240756628784,0.495075655044193,0.445385404796215,0.241509230984658,0.350389338145668,0.111437693570833,0.0135209824999858,0.19912637047903,-0.301429826871925,-0.272931006876762,-0.0719777889621446,-0.0851310904983741,-0.298506870974986,-0.227625190474193,-0.123860256132828,-0.400721186279838,-0.245893664830068,-0.281699874567581,-0.247355142778538,-0.454885011461269,-0.492152699147253,-0.0281334505080464,-0.245162925855833,-0.717220303211624,-0.643415666813892,-0.578379898106979,-0.392041459677062,-0.0800159176787293,-0.0171723658945218,-0.333582341738264,0.012787932049112,0.257585488417827,-0.335461926300139,0.0515170976835654,0.120206561261653,-0.278776918670641,-0.142859469462937,0.370850029424248,0.0390945351215709,0.086592568446844,-0.402271805316351,0.233471102268073,0.0770929617817894,0.422732496594931,0.403733283264821
"Brown.Thrasher",0.408547008547008,0.552136752136752,0.476239316239316,0.452991452991453,0.534535559652881,1,0.589059829059829,0.65059829059829,0.440683760683761,0.368888888888889,0.158290598290598,0.261538461538461,0.468717948717949,0.461196581196581,0.417435897435897,0.281367521367521,0.496752136752137,-0.15008547008547,-0.0430842885421521,0.277264957264957,-0.185641025641026,-0.0297435897435897,0.158290598290598,0.00786324786324786,-0.215042735042735,0.0762393162393162,0.0454700854700855,-0.511495291090891,-0.216410256410256,-0.29025641025641,-0.636239316239316,-0.644444444444444,-0.37982905982906,-0.0673504273504273,-0.247863247863248,-0.385299145299145,-0.29025641025641,-0.359316239316239,-0.0673504273504273,-0.0242735042735043,-0.155555555555556,-0.257435897435897,0.0584615384615385,0.16991452991453,-0.0854207427777545,0.0434188034188034,0.27042735042735,-0.200683760683761,-0.0899145299145299,0.437264957264957,0.359316239316239,-0.0974358974358974,-0.273846153846154,-0.0577777777777778,-0.055042735042735,0.398290598290598,0.524786324786325
"Chipping.Sparrow",0.427008547008547,0.578803418803419,0.624615384615385,0.576068376068376,0.517728563245477,0.589059829059829,1,0.822905982905983,0.407179487179487,0.39965811965812,0.0201709401709402,0.409230769230769,0.28957264957265,0.132307692307692,0.374358974358974,0.249230769230769,0.379145299145299,0.0297435897435897,0.050606942097131,-0.0379487179487179,-0.174700854700855,-0.271111111111111,0.0598290598290598,-0.13025641025641,-0.474188034188034,-0.143931623931624,-0.165128205128205,-0.516984174160948,-0.366153846153846,-0.188376068376068,-0.489230769230769,-0.760683760683761,-0.517264957264957,-0.0741880341880342,-0.21025641025641,-0.469401709401709,-0.386666666666667,-0.504273504273504,-0.367521367521367,0.30051282051282,-0.151452991452991,-0.653333333333333,-0.184957264957265,0.142564102564103,0.0634652104975284,-0.132307692307692,0.0782905982905983,-0.425641025641026,-0.35042735042735,0.284786324786325,0.242393162393162,0.225982905982906,-0.150769230769231,-0.0536752136752137,0.127521367521368,0.528888888888889,0.491965811965812
"Tufted.Titmouse",0.499487179487179,0.622564102564103,0.489230769230769,0.677948717948718,0.633185321174602,0.65059829059829,0.822905982905983,1,0.405128205128205,0.37982905982906,0.108376068376068,0.331282051282051,0.171282051282051,0.182222222222222,0.264273504273504,0.284102564102564,0.446837606837607,-0.0632478632478632,0.172337154168608,0.147350427350427,-0.137094017094017,-0.101538461538462,0.0488888888888889,-0.0994871794871795,-0.256752136752137,-0.165128205128205,0.00786324786324786,-0.466898116146682,-0.126153846153846,-0.235555555555556,-0.32034188034188,-0.64991452991453,-0.313504273504273,-0.0694017094017094,-0.145982905982906,-0.463247863247863,-0.46051282051282,-0.322393162393162,-0.235555555555556,0.219145299145299,0.0495726495726496,-0.448888888888889,-0.226666666666667,0.128888888888889,0.0387652366822741,-0.222564102564103,0.188376068376068,-0.241025641025641,-0.221196581196581,0.414017094017094,0.211623931623932,0.362735042735043,0.00239316239316239,0.204786324786325,0.247863247863248,0.664273504273504,0.556923076923077
"Downy.Woodpecker",0.47965811965812,0.506324786324786,0.591111111111111,0.466666666666667,0.56084216272534,0.440683760683761,0.407179487179487,0.405128205128205,1,0.669059829059829,0.358632478632479,0.37982905982906,0.476239316239316,0.558974358974359,0.345641025641026,0.443418803418803,0.496752136752137,0.215726495726496,0.0574457180562028,0.101538461538462,0.0981196581196581,-0.153504273504273,0.303247863247863,0.228034188034188,-0.328547008547008,0.149401709401709,-0.0577777777777778,-0.465525895379168,-0.435897435897436,-0.0317948717948718,-0.191111111111111,-0.454358974358974,-0.435213675213675,0.00786324786324786,-0.10017094017094,-0.445470085470085,-0.364786324786325,-0.342222222222222,-0.117264957264957,-0.245128205128205,-0.250598290598291,-0.375042735042735,-0.237606837606838,0.24991452991453,-0.0854207427777545,0.272478632478632,0.21025641025641,-0.0358974358974359,-0.458461538461538,0.135042735042735,-0.322393162393162,0.0953846153846154,-0.223247863247863,0.0406837606837607,-0.111794871794872,0.0543589743589744,0.0105982905982906
"Red.headed.Woodpecker",0.0625641025641026,0.387350427350427,0.618461538461538,0.444786324786325,0.489229743250313,0.368888888888889,0.39965811965812,0.37982905982906,0.669059829059829,1,0.292307692307692,0.513162393162393,0.276581196581197,0.39008547008547,0.291623931623932,0.275897435897436,0.346324786324786,0.000341880341880342,-0.0892460262658864,-0.266324786324786,-0.00512820512820513,-0.0584615384615385,0.317606837606838,0.0317948717948718,-0.078974358974359,0.251965811965812,0.0823931623931624,-0.178045644584958,-0.191111111111111,-0.0570940170940171,-0.174700854700855,-0.483076923076923,-0.444102564102564,-0.122051282051282,-0.276581196581197,-0.418119658119658,-0.360683760683761,-0.280683760683761,-0.162393162393162,0.0188034188034188,-0.163076923076923,-0.482393162393162,-0.204102564102564,0.321709401709402,-0.0257291393908899,0.365470085470085,0.268376068376068,-0.141196581196581,-0.204786324786325,0.12957264957265,-0.238974358974359,-0.133675213675214,-0.291623931623932,0.0543589743589744,0.0837606837606838,0.252649572649573,0.24034188034188
"Hermit.Thrush",0.0112820512820513,0.0707692307692308,0.0994871794871795,0.161025641025641,0.198395631504795,0.158290598290598,0.0201709401709402,0.108376068376068,0.358632478632479,0.292307692307692,1,0.545299145299145,0.366153846153846,0.349059829059829,0.372307692307692,0.455042735042735,0.558290598290598,-0.091965811965812,-0.0820653115088611,0.0974358974358974,0.474188034188034,-0.0406837606837607,0.151452991452991,0.288888888888889,0.042051282051282,0.221880341880342,0.247863247863248,-0.252831676414478,-0.102222222222222,-0.0748717948717949,-0.0700854700854701,0.102222222222222,0.0967521367521367,0.272478632478632,0.10017094017094,-0.241025641025641,-0.0741880341880342,-0.141196581196581,-0.333333333333333,-0.172649572649573,0.163076923076923,-0.12,-0.215042735042735,-0.279316239316239,-0.131390138489478,0.0495726495726496,0.0741880341880342,0.0564102564102564,-0.123418803418803,-0.229401709401709,-0.470769230769231,-0.283418803418803,-0.176752136752137,0.273162393162393,0.0625641025641026,-0.166495726495726,0.109059829059829
"Yellow.bellied.Sapsucker",0.208205128205128,0.402393162393162,0.452991452991453,0.46051282051282,0.459269445306679,0.261538461538461,0.409230769230769,0.331282051282051,0.37982905982906,0.513162393162393,0.545299145299145,1,0.528888888888889,0.375042735042735,0.448205128205128,0.372307692307692,0.481709401709402,0.0926495726495726,-0.168575827391119,0.00512820512820513,0.068034188034188,-0.28957264957265,-0.0454700854700855,0.014017094017094,-0.297094017094017,0.0974358974358974,-0.0728205128205128,-0.407206512759818,-0.32991452991453,-0.154188034188034,-0.193846153846154,-0.299145299145299,-0.26017094017094,0.259487179487179,0.0475213675213675,-0.411965811965812,-0.419487179487179,-0.406495726495726,-0.410598290598291,0.0974358974358974,-0.0543589743589744,-0.326495726495727,0.0133333333333333,0.236239316239316,0.146484566932133,0.0208547008547009,0.0201709401709402,-0.264273504273504,-0.154188034188034,0.052991452991453,-0.104273504273504,-0.312820512820513,-0.393504273504273,0.0482051282051282,0.055042735042735,0.00512820512820513,0.137094017094017
"Bufflehead",0.259487179487179,0.19042735042735,0.15965811965812,0.130940170940171,0.223240756628784,0.468717948717949,0.28957264957265,0.171282051282051,0.476239316239316,0.276581196581197,0.366153846153846,0.528888888888889,1,0.622564102564103,0.534358974358974,0.617094017094017,0.550769230769231,0.0543589743589744,-0.0475294929155487,0.2,0.0276923076923077,-0.273162393162393,0.105641025641026,0.331965811965812,-0.301196581196581,0.0379487179487179,0.215042735042735,-0.455234239622812,-0.511111111111111,0.0468376068376068,-0.224615384615385,-0.394871794871795,-0.267692307692308,0.117948717948718,0.00786324786324786,-0.208888888888889,-0.081025641025641,-0.171282051282051,0.055042735042735,-0.0188034188034188,-0.0905982905982906,-0.180854700854701,-0.0646153846153846,0.024957264957265,0.0675818728000708,0.206153846153846,0.13982905982906,-0.143931623931624,-0.142564102564103,0.0488888888888889,-0.0386324786324786,-0.301880341880342,-0.362051282051282,0.0837606837606838,-0.381880341880342,-0.0447863247863248,-0.135042735042735
"Horned.Grebe",0.188376068376068,0.396923076923077,0.29982905982906,0.149401709401709,0.495075655044193,0.461196581196581,0.132307692307692,0.182222222222222,0.558974358974359,0.39008547008547,0.349059829059829,0.375042735042735,0.622564102564103,1,0.599316239316239,0.517264957264957,0.492649572649573,0.081025641025641,-0.298854509411436,0.15008547008547,0.0372649572649573,-0.358632478632479,-0.166495726495726,0.0441025641025641,-0.250598290598291,0.167863247863248,0.0352136752136752,-0.455234239622812,-0.517264957264957,-0.115213675213675,-0.260854700854701,-0.388034188034188,-0.354529914529914,0.0926495726495726,-0.0830769230769231,-0.503589743589744,-0.484444444444444,-0.315555555555556,-0.115213675213675,-0.463931623931624,-0.22051282051282,-0.353846153846154,-0.243760683760684,-0.0605128205128205,-0.311837169417586,0.246495726495726,-0.0358974358974359,-0.368205128205128,0.00102564102564103,0.23008547008547,-0.128205128205128,-0.10974358974359,-0.498803418803419,0.358632478632479,-0.256752136752137,0.0379487179487179,0.0748717948717949
