"","Red.winged.Blackbird","Common.Yellowthroat","Eastern.Kingbird","Common.Grackle","Eastern.Phoebe","N..Rough.winged.Swallow","House.Finch","Indigo.Bunting","Brown.Thrasher","Ovenbird","White.eyed.Vireo","Brown.headed.Nuthatch","Eastern.Towhee","Northern.Cardinal","Fish.Crow","Prairie.Warbler","Chipping.Sparrow","Eastern.Bluebird","Carolina.Wren","Pine.Warbler","European.Starling","Orchard.Oriole","American.Crow","Brown.headed.Cowbird","American.Goldfinch","Red.eyed.Vireo","Red.bellied.Woodpecker","Great.Crested.Flycatcher","Summer.Tanager","Hooded.Warbler","Prothonotary.Warbler","Yellow.throated.Warbler","Northern.Parula","Scarlet.Tanager","Downy.Woodpecker","Gray.Catbird","Acadian.Flycatcher","White.breasted.Nuthatch","House.Sparrow","Blue.gray.Gnatcatcher","Wood.Thrush","Yellow.breasted.Chat","Blue.Grosbeak","Mourning.Dove","Ruby.throated.Hummingbird","American.Robin","Carolina.Chickadee","Tufted.Titmouse","Eastern.Wood.Pewee","Northern.Mockingbird","Black.throated.Blue.Warbler","Chimney.Swift","Bobolink","Cedar.Waxwing","Purple.Martin","Barn.Swallow","Cliff.Swallow","White.throated.Sparrow","Yellow.rumped..Myrtle..Warbler","Black.and.white.Warbler","Blue.Jay","Ring.billed.Gull","Yellow.rumped.Warbler","American.Redstart","Black.thr.Blue.Warbler"
"Red.winged.Blackbird",1,0.549835750713674,0.532432387679472,0.36783789022247,0.370807505368305,0.15294540129113,0.143513800665882,0.388670870005294,0.0859842578186368,0.0161437934442245,0.0679772342032496,0.343278191906854,0.163654952789106,0.258517728506492,0.30465443000467,0.244720179481315,0.211167384704275,0.306958883201988,0.104827985546734,0.152796269824489,0.153098256368469,0.432706695506558,0.31410098141809,0.198051323152908,0.205780722922486,0.178683051811485,0.161641574549973,0.338792140611041,0.31086710683151,-0.0620523423267328,-0.00179487834083306,0.267458488507545,0.0971225375709157,-0.0300394799463146,0.0765060210849004,0.318801061332449,-0.0871225005979861,-0.200886758059534,0.169315854209268,0.060182677481822,0.0708790746839091,0.147519178404066,0.500623987013647,0.384821216752451,0.241146683608795,0.337210139710783,0.136772906477328,0.180474088123819,0.364535070794844,0.373414644070623,0.136037364705305,-0.0495971321821906,-0.135560757175712,0.176714004209778,-0.548259609647375,-0.0138497658158874,-0.193559245471935,-0.0694889303747102,-0.128949165988031,0.0548274552738875,0.0577539978761456,-0.0329499887747689,0.093422037988123,0.0988973836355138,0.22793456196299
"Common.Yellowthroat",0.549835750713674,1,0.668046348687398,0.239146610395047,0.569967881970152,0.462601667095808,0.259971366474395,0.314385156263808,0.352339328957781,0.64708042633614,0.542848535733721,0.699904249492364,0.496900113206567,0.549853127489216,0.468427878752385,0.587352552542018,0.575005260393601,0.522837999554943,0.463780751609359,0.637056709066806,0.00299174815869115,0.450648363442488,0.575785127721915,0.422893008335753,0.319227700638106,0.451028413359804,0.470733497893047,0.52978184240186,0.52582041703353,0.34386527074953,0.368476178028227,0.633832677142285,0.552836307635278,0.240020599998125,0.45487189109432,0.550453240918556,-0.0558288165063957,-0.0637403576824277,0.0678876589086187,0.478309003086591,0.241143260849836,0.302274035592193,0.448419235470988,0.448119165755064,0.210696946315811,0.374337216345327,0.454328030043805,0.488300061990795,0.493602879345544,0.481611458340886,0.197416096133882,-0.183258842152246,-0.153269178165556,0.0639689395565379,-0.486109359932481,0.0595953410222575,-0.00432484955398376,0.133984212851994,0.0391014433799097,0.521552653855467,0.313415648706934,0.289663084332548,0.394678300725259,0.662525627354777,0.652675158453099
"Eastern.Kingbird",0.532432387679472,0.668046348687398,1,0.213892878088636,0.379461128014996,0.378638093668662,0.147695689889002,0.422019559010823,0.4463653440434,0.585681489073432,0.507509247220438,0.601051654693002,0.423182044163773,0.561239933326581,0.603006814428668,0.48442761282395,0.573007330743439,0.55159519386746,0.390695666404129,0.514574110169225,0.437234447461169,0.424263685296615,0.587469182816314,0.63024432040006,0.478686100518544,0.629164150268082,0.5155810029889,0.65711088382911,0.644084702439821,0.407962513872469,0.473253277395035,0.568676962331022,0.590161606707465,0.515990766208274,0.336893606742714,0.356518578019512,-0.0717425501503693,0.0722792503508292,0.411938106940687,0.442422342117868,0.361250432862313,0.458921069814184,0.68668538662094,0.613006610226124,0.149568021860358,0.463692480156851,0.470251488491103,0.5871582726563,0.484154483322878,0.441813721085085,0.262606563768106,0.273853988891927,-0.234363310981397,0.0300062078357147,-0.3703770123537,-0.01842199760904,0.210710128580415,0.222017975683109,0.226792272784422,0.420688763304113,0.468420818748206,0.254734613264987,0.0814167893199842,0.278307873805546,0.285571618491556
"Common.Grackle",0.36783789022247,0.239146610395047,0.213892878088636,1,0.489802617905227,0.451243435743286,0.294913926957779,0.493062184992553,0.17030030650227,0.0232454286400297,-0.0134745629684385,0.23288513993174,-0.00427022410988725,0.0580947249443377,0.102504189138555,0.285895224561181,0.200104043143867,0.331317470879348,0.18053150669356,0.294857055677996,0.101210088659764,0.108870771192567,0.42787045871571,0.091017561206995,0.12916849381022,-0.0296526318650442,-0.201724872999199,0.155259503424671,0.146989042453899,0.0251022598296304,0.131861615879666,0.20279681318482,-0.0761179138410892,-0.285461243012157,-0.162194666005553,-0.0951184873743377,0.102637095632816,-0.0795608272976251,0.113637898608512,-0.0633436601476961,-0.0751645432837387,0.172995399336358,0.194119916688954,0.293422375040598,-0.0421816041519034,0.109157841934956,0.0102124322622931,0.0128375363868286,0.0168394740589011,0.155370651068997,-0.296949169872975,-0.127604148198801,-0.142638837306767,0.0720109565804041,-0.0516382191272978,0.409746533179284,0.253977709086067,-0.150275266976097,-0.388240121915486,-0.0278917776796758,-0.23951752361118,-0.235689539858511,0.182114553800838,0.0471790892439822,-0.168003370310981
"Eastern.Phoebe",0.370807505368305,0.569967881970152,0.379461128014996,0.489802617905227,1,0.597853957263027,0.4221602692827,0.287068961694516,0.50415553928176,0.277282978643208,0.209260484056391,0.469976944814131,0.293029300068945,0.326051321024927,0.327020753973193,0.26124722808655,0.45709204148964,0.686665222668834,0.457598929941386,0.466614123712559,0.216360762400325,0.320675464473869,0.547020564056673,0.428559962472881,0.358054808782505,0.158000574710154,0.140502730963768,0.389760409640376,0.269562249292557,0.13439063742271,0.249229398250733,0.45329773439331,0.219931621645267,0.0690679214436308,0.114028692563878,0.0701881655655646,-0.101561070186964,-0.140965682594408,0.0128517683469,0.121764817012351,-0.101070956845179,0.135205133950076,0.297318660509474,0.299339624652185,0.180568473424932,0.402843047178523,0.285844784459421,0.214404682678712,0.306070643889543,0.476716146171659,0.0441437407702267,-0.142610265954197,-0.230886063426399,0.112490321979667,-0.191700121306002,0.30761961916339,-0.153326861838655,0.119328081065596,0.0712018108977257,0.112391442627042,0.114654284516917,0.0243229077075569,0.473221372198901,0.489536847271303,0.441826304625473
"N..Rough.winged.Swallow",0.15294540129113,0.462601667095808,0.378638093668662,0.451243435743286,0.597853957263027,1,0.127857250675142,0.167075010581646,0.111416079723184,0.197334060614349,0.0915372273301737,0.3168513244462,0.0669707616124472,0.122773259130519,0.214942722413839,0.179438171463803,0.445696943765469,0.489788756705725,0.389170646352262,0.43786484074538,0.214045883588154,0.293805587029675,0.661101675255026,0.476259960944953,0.23725422554233,0.19054083598959,0.0352835401165033,0.367685721773101,0.230567919326464,0.165624833552781,0.413148563299889,0.494226058779197,0.219332378645854,0.14129283644112,0.133062135824449,-0.047574539375591,-0.196506912578175,-0.0271822581698707,0.00838447582619043,0.0781687816131879,-0.0553789551107171,0.280286201912673,0.418123514438237,0.346731539195104,0.365664741061969,0.287311554447091,0.25739170012198,0.327556791833554,0.24228824757214,0.307934710200197,-0.0187085950275186,0.0678336315374208,-0.133711780388695,0.00377289466258125,-0.0572617553450761,0.572766069180978,0.27748846253848,0.0408022302553844,-0.0258283098669264,-0.00763848751801493,0.0267085936478199,-0.205296854640836,0.0554951726261018,0.396947938646102,0.00954482452828469
"House.Finch",0.143513800665882,0.259971366474395,0.147695689889002,0.294913926957779,0.4221602692827,0.127857250675142,1,0.708836055144294,0.695009672934348,0.388916740927869,0.495926621148905,0.495235021715921,0.600662789793632,0.604504767063939,0.314490147135505,0.446022510757651,0.539286313278309,0.55553128358015,0.317340489404636,0.559192516479986,0.251505077803313,0.500071294561173,0.51003809448004,0.334155929668713,0.63027466094051,0.266786426987628,0.391772856677656,0.464125182906989,0.341272866604356,0.452322354982554,0.333576184903719,0.311490642261373,-0.0596173841572676,0.0580885807410181,0.355822523524678,0.0516616553603833,0.419978423923132,0.301975671258923,0.366575887639228,0.451847748557765,0.222672167272262,0.461229346689423,0.397942707068375,0.437463900641657,0.304420398963331,0.449985885349864,0.641540602946483,0.577339989959936,0.624523834908685,0.721608938450631,-0.376335500076271,-0.109607699261453,0.0805652512901385,-0.0198044073437589,-0.295445890761394,-0.122414351344628,-0.0709243113062468,-0.0910449965672087,-0.248403215096337,0.00193622619511957,0.241920393420452,0.118370250513959,0.393452313280598,0.171722572866791,0.183875422091802
"Indigo.Bunting",0.388670870005294,0.314385156263808,0.422019559010823,0.493062184992553,0.287068961694516,0.167075010581646,0.708836055144294,1,0.554215804280189,0.373281059391171,0.483538296202851,0.621354320107126,0.546609197553499,0.65168723386802,0.584396299900708,0.672860884714136,0.553905770181235,0.562621823686185,0.389644637396759,0.533190026613893,0.323612482289082,0.466325103566122,0.592028609437309,0.40793842658249,0.493809009903258,0.554032018278562,0.46751057992997,0.631603134311108,0.639191808728115,0.506955294436729,0.335917534239129,0.414452961862483,0.145669692523567,0.121821963251838,0.194537329057566,0.0648684179266346,0.515908677168437,0.367430822239418,0.544576426135868,0.467645712097793,0.456655170550407,0.776286914750198,0.682372288384642,0.735582900676909,0.266829241400192,0.539200458140124,0.551341952504205,0.692191354854626,0.703884223623755,0.695452029071491,-0.339266875178579,0.179741984602915,-0.0656766565600269,-0.0620974952067147,-0.417183564644598,-0.132665372287884,0.159185649205304,-0.287697277316794,-0.441180439961438,-0.0522569328719736,0.0914353800410692,0.0141456674370612,-0.0235779743147506,0.0569328679294083,-0.0535723846131309
"Brown.Thrasher",0.0859842578186368,0.352339328957781,0.4463653440434,0.17030030650227,0.50415553928176,0.111416079723184,0.695009672934348,0.554215804280189,1,0.626389733689287,0.690429511909234,0.649926192657202,0.794369207838947,0.73900152175319,0.523144670175159,0.487228277500013,0.591721186107511,0.57685086111728,0.534117701649418,0.633247049367079,0.260284393786057,0.398915594793726,0.554118123574997,0.599173551869998,0.574747611710655,0.374205328729104,0.568097571344655,0.534609314670312,0.485638145066046,0.557123890610018,0.423966089391264,0.373088919274389,0.297070751800102,0.353856512514782,0.528384317366913,0.198780327862586,0.400430977214706,0.375807985155609,0.43669080261305,0.527001938900755,0.421132305895493,0.445171304158303,0.476931834782356,0.630932576525014,0.257497603659754,0.603303701802251,0.740995703717143,0.591295937891813,0.606007324013975,0.669379185791278,-0.0662805423650705,0.181004792973954,0.0143180613864697,-0.0364145331819196,-0.0713351019595704,-0.182773796068069,-0.100337876897883,-0.0875867883526884,-0.0804930563174478,0.162975253497067,0.230100197598975,0.13966614508894,0.431757263682988,0.313258837475854,0.334392579468676
"Ovenbird",0.0161437934442245,0.64708042633614,0.585681489073432,0.0232454286400297,0.277282978643208,0.197334060614349,0.388916740927869,0.373281059391171,0.626389733689287,1,0.830946012044206,0.708398955538019,0.735724659050428,0.762809101521502,0.596868292424599,0.702006590903848,0.758113629303011,0.55024115835247,0.538137581174217,0.722613481316345,0.247556868474138,0.418687280389353,0.604139800383324,0.626639324212249,0.525211894499844,0.698424984503823,0.725042495779429,0.578709664751543,0.692249814929797,0.821813124576156,0.627182498391399,0.65463973558678,0.725441190002346,0.60712538608361,0.554874670171067,0.472253231972487,0.179087946887278,0.40576372336524,0.273012402498408,0.657757669974707,0.471448267413356,0.4480853767062,0.41249164905297,0.494918902141345,0.113364334514907,0.280408802202336,0.682260380619492,0.69837767174119,0.550016310089476,0.454186862912828,0.0812650759635288,0.0642067297464618,-0.248728337666795,-0.204946105217771,-0.0843912265371348,-0.0937225436442717,0.329912208135076,0.315122522691051,0.193616711731093,0.646706361734859,0.613236425272686,0.511009137270384,0.364005603733657,0.4967903044113,0.506963283024669
