"","Bobolink","Cedar.Waxwing","Purple.Martin","Black.throated.Blue.Warbler","Yellow.rumped..Myrtle..Warbler","White.throated.Sparrow","Yellow.rumped.Warbler","Cliff.Swallow","House.Sparrow","European.Starling","Fish.Crow","Common.Grackle","Eastern.Phoebe","Barn.Swallow","N..Rough.winged.Swallow","Red.winged.Blackbird","Ruby.throated.Hummingbird","Eastern.Kingbird","American.Goldfinch","Chimney.Swift","Yellow.breasted.Chat","Blue.Grosbeak","Mourning.Dove","Northern.Mockingbird","American.Robin","Brown.headed.Nuthatch","Northern.Parula","Red.bellied.Woodpecker","Scarlet.Tanager","Downy.Woodpecker","Gray.Catbird","Common.Yellowthroat","American.Redstart","Black.thr.Blue.Warbler","Black.and.white.Warbler","Ring.billed.Gull","Acadian.Flycatcher","White.breasted.Nuthatch","Wood.Thrush","Eastern.Bluebird","Carolina.Wren","Chipping.Sparrow","Pine.Warbler","Brown.headed.Cowbird","American.Crow","Orchard.Oriole","Eastern.Wood.Pewee","Northern.Cardinal","Red.eyed.Vireo","Great.Crested.Flycatcher","Summer.Tanager","Prothonotary.Warbler","Yellow.throated.Warbler","Prairie.Warbler","House.Finch","Indigo.Bunting","Brown.Thrasher","White.eyed.Vireo","Carolina.Chickadee","Eastern.Towhee","Hooded.Warbler","Ovenbird","Blue.gray.Gnatcatcher","Blue.Jay","Tufted.Titmouse"
"Bobolink",1,0.214139043690648,-0.0258605929464756,0.118754340481386,-0.0667579752512811,-0.329909305627021,-0.0171262204943547,-0.304928292129437,0.147063878325694,-0.134200647684627,-0.257749618440038,-0.122518887297799,-0.138308830777013,-0.198870516078412,-0.117767915315081,0.0383364850271637,0.298817185043588,-0.0371511776445582,0.00616122080793702,0.385760880585834,0.0998287729773865,-0.0058219181496246,0.12698960665248,0.199931577162811,0.345311612523684,-0.0407394823328331,-0.20640089706589,-0.0376454681641281,-0.0407604047765642,0.302859139415776,0.0174567922891549,-0.0208796927380088,0.0588940327637236,-0.182082905104488,-0.0926369917337326,-0.253465778237631,0.204004866751692,0.258948453874643,0.26628957851194,-0.181849325732392,-0.182409404831639,-0.302978503063507,-0.111244264587752,-0.253251331285953,-0.187574944597194,-0.278101455672636,-0.0400410888654817,-0.131759138574448,-0.079055483144669,-0.210508377604515,-0.422385915388571,-0.104469945015564,-0.447107259888067,-0.272415666686323,0.0154030520198425,0.0249957232078594,0.0383627339073545,-0.0029109590748123,0.138946000678509,0.0395345001842625,-0.229412802044737,-0.217011888457337,0.112594172963619,-0.0547664071816624,0.0838610609969205
"Cedar.Waxwing",0.214139043690648,1,-0.201951079160209,0.261285924993002,-0.0492644543277455,-0.262446539341406,-0.145815524952965,-0.385088941809058,-0.240205307193829,-0.283270612384536,-0.214444662870968,-0.0222298234614465,0.0673965104344851,-0.0803831036213231,-0.00410537119397879,0.0619120925764233,-0.338187827054345,0.0545765619621307,-0.206601679094805,0.0923550552244988,-0.365674217170634,-0.306981537484379,-0.0649905944172399,-0.311323982210058,0.132352948916612,0.0427642832706124,0.1440054749982,-0.00136798913608901,-0.0119801487637412,0.0436270322894775,0.0858559957827748,0.0714896538589639,0.0982035942516082,0.10373162308276,0.0959958988454495,-0.31605952232384,0.338635202489829,-0.099264089756713,0.0789925765542056,-0.181553740953693,-0.0448016442069152,-0.390181320561067,-0.279801611754222,-0.256155965732668,-0.107234480788446,-0.127568560477889,-0.188440503496262,-0.10020520421852,-0.11388509557941,0.0600307858959242,-0.00598597580158789,-0.223173056970265,-0.227334929866575,-0.351550871892359,-0.154780231441058,-0.0848588549630621,-0.126818431913318,-0.217830266007589,-0.230848166715021,-0.149649395039697,-0.375876823294047,-0.187104500769633,-0.172366631147216,-0.194629727491629,-0.274841803232907
"Purple.Martin",-0.0258605929464756,-0.201951079160209,1,-0.0119760522860138,0.128187591772031,0.252310867233525,-0.00136986301369863,0.160136927710127,0.00753166767861268,0.0249871674215174,-0.104794520547945,-0.162874311089787,-0.147355829794017,0.084360047139395,-0.197159019654713,-0.539698962834993,-0.140555439435118,-0.369907587579136,-0.237850842847381,-0.163244391421872,-0.387091257170981,-0.330080470511124,-0.234428528561808,-0.300359444005226,-0.237810181107987,-0.188259480573076,-0.0985626514245264,-0.135842650215642,-0.0251712328767123,0.0491270141764054,-0.138432612851462,-0.452429948552861,-0.0467305744604832,-0.135982190725176,0.0612908757484349,0.0157426457136396,-0.118925421423691,0.144691780821918,-0.0737185512833397,-0.194487248184978,-0.071514140793625,-0.0746192122998739,-0.171800177135806,0.0783575992427757,-0.102327197138658,-0.133287665368739,-0.337040328620673,-0.26381532321476,-0.380154116850322,-0.341204734271711,-0.334702337129121,-0.0897260273972603,-0.23036114622851,-0.228488293618308,-0.210472328562791,-0.363402965493062,0.131335616438356,-0.103578155943584,-0.0410607506949043,-0.0655373185687389,0.022081480239569,0.0253251257132464,-0.126261808386831,-0.164613317136101,-0.325119857129514
"Black.throated.Blue.Warbler",0.118754340481386,0.261285924993002,-0.0119760522860138,1,0.742476103612313,0.216179265670784,0.199144640870286,-0.108376068376068,-0.020181292206608,-0.318057474140696,0.0232677587271124,-0.317606837606838,0.171340639295149,0.267054201201752,0.0372777039584256,0.205505217570106,-0.126734254691011,0.327347400707184,0.127201232838735,0.195247053631499,-0.313718855509893,-0.191241919552923,-0.0926654142454223,-0.319767460560807,-0.00991452991452991,-0.0547195654435606,0.642503001354791,0.229401709401709,0.457143024403268,0.231229720875712,0.498888706214285,0.223627973861646,0.0896186196293441,0.183093867889168,0.489565629481632,0.173362970562469,-0.270473589181288,0.0133447439758439,0.232614400279938,-0.104344875605799,-0.171282051282051,-0.223324226466532,-0.288254406674875,0.121367521367521,-0.0523166360868989,0.0188291857477486,-0.211623931623932,0.0242735042735043,0.0871794871794872,0.0259873486444727,-0.0106001027365612,0.0222412399597398,-0.0653214812482504,-0.44117221632979,-0.304325530178693,-0.285958648893632,0.0355859839355837,-0.00478960084747928,-0.0447863247863248,-0.0844588830945362,-0.028732687209408,0.101897761790169,-0.0112820512820513,0.0126517355242827,-0.0943751082351902
"Yellow.rumped..Myrtle..Warbler",-0.0667579752512811,-0.0492644543277455,0.128187591772031,0.742476103612313,1,0.482634737602416,0.16909124255109,0.11080712002321,-0.170059882728395,-0.0443037974683544,0.227793971493422,-0.420656659347372,0.0501197399931577,0.238754920543334,-0.0453301402668491,-0.0379681893700717,-0.174747509420178,0.331394358998894,0.254660513387553,0.0434410815315235,-0.217316918954939,-0.119096516214675,-0.224730634379614,-0.226650701334246,-0.195280449176707,-0.0431063975367773,0.673165735858569,0.300615612655561,0.626390635361327,0.121471344805996,0.29946981795944,0.0658457338174668,-0.0874251509800902,0.082848359029795,0.48032172559568,0.23670258598279,-0.478707036246986,0.161389718345828,0.0173063996355201,0.109000690845903,0.10020520421852,0.169859733150872,-0.0783307690607786,0.279411781046181,-0.076620490260325,0.0590753736441231,-0.158344742502303,0.103625177058743,0.132352948916612,0.0350607154093005,0.0773046017805064,0.289577310117859,0.0997263085870681,-0.164982207423168,-0.258936210388687,-0.34046193825906,0.0301215168916922,0.190280640848734,0.0632694975441169,0.0386523008902532,0.150213860196711,0.241833422384151,-0.0198358424732907,0.168633489724733,0.027877544447395
"White.throated.Sparrow",-0.329909305627021,-0.262446539341406,0.252310867233525,0.216179265670784,0.482634737602416,1,0.369394064782867,0.265435300886912,0.135865845311431,0.051497006741697,0.193426919928008,0.12485036704088,0.150556032998981,0.399589486265013,0.0920444838107407,-0.0424221714870391,-0.0709390659653553,0.118754277891855,0.146767028773708,-0.140437914479271,-0.214615782708404,-0.100975527749568,-0.144714343056593,-0.0857142869687381,-0.35402775311592,-0.093926434223228,0.230242914603043,0.0591756534193761,0.365970579474407,0.148357289527721,0.472630886365681,0.160793714507326,0.00735797399041752,0.112823161602598,0.455930179533643,0.338351029037755,-0.411392429138423,-0.077541942236626,-0.111739635916229,0.0580181422154298,0.147768105648384,0.241916171205181,0.0951077715596521,0.184368076260368,0.154806714499074,0.34235326817988,-0.002736446400896,0.204207312666864,0.0742261086243041,0.0619226857996296,0.0265138571793994,0.455665894556067,0.401197610662058,0.0169636896873676,-0.069791314381903,-0.187371663244353,0.00239643971592222,-0.0510011987616463,0.019497180606384,-0.0932261429856303,0.281998631074606,0.233493000321808,0.0926971218303521,0.196031485984463,-0.0531987715018918
"Yellow.rumped.Warbler",-0.0171262204943547,-0.145815524952965,-0.00136986301369863,0.199144640870286,0.16909124255109,0.369394064782867,1,-0.263473150292303,0.0679561833729372,-0.219750157323482,-0.0212328767123288,0.0875962681491292,0.316960507292125,0.150581828565249,0.0496320448783565,0.136379224280117,-0.0174837253931489,0.1703183940959,0.202943237134528,0.0297741342844923,-0.300462254018165,-0.262968673602223,-0.0896646342820344,0.13041247654244,-0.0280581796415179,-0.0932740153748424,-0.0797399228538703,-0.0646706823444742,-0.048458904109589,0.10955152987073,0.234770759990365,0.369609942841974,0.257959617992484,0.619626657485753,0.358842669186367,0.359000768556695,-0.202601005705971,-0.340753424657534,0.0509172319329114,0.0277349772939845,0.0516681112910879,-0.017114498233916,0.011635868570951,-0.0290846984088905,-0.120807694280756,-0.0585917500721192,0.0472198632991399,0.102994049659718,-0.142001762819877,-0.0999315771387559,-0.221594849990906,-0.0386986301369863,0.00376518961146153,-0.119986350737296,0.0236139685704594,-0.246490942209142,0.308561643835616,0.0703646646162199,0.0828058472347236,-0.00136892571422953,-0.033378981757488,0.214921337134037,-0.0304533900987207,0.0770020714254112,-0.093771411424723
"Cliff.Swallow",-0.304928292129437,-0.385088941809058,0.160136927710127,-0.108376068376068,0.11080712002321,0.265435300886912,-0.263473150292303,1,0.335556739909872,0.469904268246576,0.253207962618576,0.2,-0.146374837561525,0.408274924756584,0.265047895117247,-0.177124297339958,-0.0267169509889159,0.155977444851072,0.0902718426597472,0.0820653115088611,0.361614863984686,0.293191994734982,0.0871943934781649,-0.0837893345854521,-0.137094017094017,0.0560875545796496,0.0424004109462449,0.0796581196581197,0.219675016217738,-0.105353186434496,-0.0550521464705276,-0.113865619718545,0.0673849926220641,-0.186173951648052,0.0451590937048047,0.287912467876921,-0.207898789155781,0.226518474666889,0.0613225002210735,0.125555965073207,0.0482051282051282,0.329001387229408,0.227389300639136,0.353846153846154,0.349461451508567,0.221157345328102,0.0728205128205128,0.120683760683761,0.224615384615385,0.107368782557427,0.249273383708166,0.249444060471544,0.183994538803972,0.195239257226693,0.0636006164193673,0.187104522661264,-0.134816131448269,0.034211434624852,0.102905982905983,0.0936912306392831,0.423465080538657,0.243118485345001,0.0947008547008547,0.0988203126085869,0.312190122531626
"House.Sparrow",0.147063878325694,-0.240205307193829,0.00753166767861268,-0.020181292206608,-0.170059882728395,0.135865845311431,0.0679561833729372,0.335556739909872,1,0.462446542268461,0.404313614929163,0.152898942650064,0.0614200180075389,0.0578173143654,0.124208727224159,0.190386600262397,0.366347157086787,0.42299794661191,0.356140971919417,0.443380114896796,0.550059908791715,0.468594906742911,0.591002429385968,0.350042776722631,0.357790366917152,0.16201882187504,-0.113753000156778,0.264067077686464,0.20267033026085,0.29072553045859,0.248032857484704,0.0850154001171711,0.148699520876112,0.0328710880541713,-0.0588738670268668,0.326034914735067,0.252822457491305,0.188291691965317,0.564010953681459,0.0871127858042884,-0.0742261086243041,0.14131736733768,0.206808085999316,0.340687576911552,0.337324686179198,0.379345917467951,0.45151365614784,0.40533612313272,0.514109867568337,0.39411565768604,0.270954514659153,0.222184196519074,0.237639011176801,0.143420285538653,0.419261057720697,0.493326488706366,0.384970922936362,0.0792401175390678,0.31127077810192,0.192781400265698,0.44113620807666,0.275059886093382,0.491192128960832,0.441669543465867,0.460485829206086
"European.Starling",-0.134200647684627,-0.283270612384536,0.0249871674215174,-0.318057474140696,-0.0443037974683544,0.051497006741697,-0.219750157323482,0.469904268246576,0.462446542268461,1,0.589423319176068,0.168262663738949,0.221518987341772,0.1255344639533,0.230756072528224,0.0690952635383287,0.353949367119695,0.356715146366904,0.342055760090736,0.211390459736075,0.493155401911917,0.553730354124554,0.351291265613186,0.477078344166952,0.377223004276546,0.363667464933288,-0.0665298453376482,0.222640231898487,0.278966321212831,0.159965785061417,-0.0856849679027295,-0.0424149142512513,0.0937553478220928,-0.0525505087234444,-0.186516095795971,0.0632803156167862,-0.00239439032063515,0.298476849199496,0.0563743116840209,0.59240249875748,0.356019172667166,0.609476565172768,0.470326670124763,0.570109472465097,0.491876183010479,0.434589270460245,0.444254471944907,0.448016442069152,0.546169662583539,0.481443482327711,0.377287503380082,0.328769511073527,0.250085528566541,0.284050363351623,0.401573462346525,0.414884522752874,0.218894432411786,0.112765235898665,0.44767444478513,0.287668894236309,0.331907618202299,0.221994188298888,0.308823547472095,0.531212595420914,0.561484530188944
