"","Ring.necked.Duck","American.Goldfinch","Northern.Flicker..Yellow.shafted.","Golden.crowned.Kinglet","Northern.Mockingbird","Eastern.Meadowlark","House.Sparrow","Rock.Pigeon..Feral.Pigeon.","European.Starling","Yellow.rumped.Warbler..Myrtle.","American.Pipit","Hooded.Merganser","Pied.billed.Grebe","American.Coot","Dark.eyed.Junco..Slate.colored.","Fox.Sparrow","Eastern.Bluebird","House.Finch","Common.Grackle","Rusty.Blackbird","Field.Sparrow","Pine.Siskin","Northern.Cardinal","Carolina.Wren","Eastern.Towhee","Carolina.Chickadee","Herring.Gull","American.Crow","Ring.billed.Gull","Brown.headed.Cowbird","Great.Blue.Heron..Blue.form.","Mourning.Dove","American.Robin","Cedar.Waxwing","Red.winged.Blackbird","Song.Sparrow","White.throated.Sparrow","Blue.Jay","Red.bellied.Woodpecker","Red.headed.Woodpecker","Brown.Thrasher","Chipping.Sparrow","Tufted.Titmouse","Brown.headed.Nuthatch","Yellow.rumped.Warbler","Downy.Woodpecker","White.breasted.Nuthatch","Yellow.bellied.Sapsucker","Bonaparte.s.Gull","Bufflehead","Horned.Grebe","Ruddy.Duck","Eastern.Phoebe","Hermit.Thrush","Swamp.Sparrow","Pine.Warbler","Ruby.crowned.Kinglet"
"Ring.necked.Duck",1,0.356248792928089,0.398989376522367,0.186655402110308,0.105848348697186,0.118344600887309,0.347577712683199,0.268908980428471,0.0599593654299789,0.349948802599601,-0.187638401037316,-0.0481371439360665,-0.247221285103086,0.175731428518082,0.128605944281306,-0.22958903510934,-0.126731229227362,-0.00405393475079902,-0.15505509772612,-0.295371355835179,0.325793855476707,-0.129488737323999,0.0230033421681495,0.0850087701470706,0.187064844203536,0.132310403002734,-0.184758170946802,-0.328861256135017,-0.334969065103278,0.0228072287461814,-0.0219306577300932,0.345463237501144,0.00242619073562963,0.165812494057865,0.114475701511991,0.359620268261935,0.00532391714159235,-0.0265998995905432,0.0925863699681145,0.00619733626341391,-0.280836846481829,-0.131824210524786,-0.230350228001188,-0.191160997934092,-0.201517274612064,-0.0871799256633248,-0.239880744210196,-0.272571370416163,-0.109672345019612,-0.0341072160867062,-0.22344021025533,-0.0913375907789707,0.0202964831701531,-0.218724304740171,0.188907331376424,0.222450898801722,0.40622591968565
"American.Goldfinch",0.356248792928089,1,0.665127940090751,0.295993933556115,0.393643081661583,0.0699941792895854,0.270930391783261,0.392773427965667,0.359232788806218,0.502658225751741,0.141750382061031,-0.0369294861322956,-0.128738355140491,0.338196021734727,0.588740903456001,0.204561782308969,0.0255618580660543,0.543838019834249,0.117564248601627,0.0680016528677616,0.610074606296661,0.369781354933098,-0.0519842421186997,-0.139094046289043,0.0256678748138657,0.00981819946160653,-0.188987808894495,0.121858223059095,-0.0166520353666432,0.0405525537079025,0.171534340443203,0.559475013790106,0.114620757641791,0.199154716920512,-0.0564536479420866,0.404783345110407,0.172839158493014,0.00270024072283189,-0.273471196263749,-0.341606769367193,-0.39041232820433,-0.385776123846862,-0.36638987615582,-0.385876688296187,-0.594428459345111,-0.375073213336017,-0.514302576683761,-0.373712723596191,-0.255187477702593,-0.297457600486121,-0.454408592266016,-0.265641952550034,-0.165619015569443,-0.242926075745665,0.227159208613413,-0.0895310844741725,0.0319499734264288
"Northern.Flicker..Yellow.shafted.",0.398989376522367,0.665127940090751,1,0.277006598376455,0.361438299584878,0.21035707338263,0.414197120396217,0.394884676426441,0.441219240635646,0.540536776892598,0.0352272188023015,-0.00577349987505714,-0.268734852575933,0.339847682959533,0.49224720335524,0.0810471604852377,0.10795564857263,0.498292964776864,0.0191711661626933,0.202524530479361,0.388183045606612,0.307121451989808,-0.212769103063704,-0.119785368909077,-0.176541638146827,0.0397327910890956,-0.312839001863731,-0.118131869149567,-0.214034795870464,0.0325633129402141,0.224082855235871,0.483067310696355,0.223672694597873,0.163266577987225,-0.0347325639337784,0.499185097637615,0.160509067896357,-0.0765313990298915,-0.219204254420616,-0.27462469246454,-0.289868130624147,-0.326846655332873,-0.339163637372638,-0.419711054240494,-0.52028830677518,-0.255593360734248,-0.387861844583273,-0.370532160683475,-0.144862226755887,-0.0817830301997376,-0.436457766535385,-0.132454610238854,-0.0888484050600802,-0.0910242518163435,0.237637984025598,-0.00675469357966494,0.178824590354293
"Golden.crowned.Kinglet",0.186655402110308,0.295993933556115,0.277006598376455,1,0.450461767138974,0.242000859200616,0.126930114886347,0.264390308126352,0.246363081844745,0.384982822279955,-0.199163515798616,0.222930360331772,0.055357839749841,0.131998442079962,0.397350618224218,0.023982382316759,-0.0674170496229154,0.156226971027316,-0.275481419574124,-0.0700325829623249,0.227920461372824,0.0578460519587816,-0.00746461840981992,0.110110119641173,0.0936376004666241,0.128324332149411,-0.219892396214121,0.23180314248631,0.022176816518157,0.124688681894118,0.016435617486989,0.333835872143399,-0.0334289828316351,-0.0797826558737674,-0.141881068298855,-0.00331639432849223,0.220581366430888,0.0477614810071962,-0.188198635572453,-0.118662046387667,-0.0273082534753079,-0.183612817437979,-0.00208775257781783,-0.237834830843323,-0.133534201252131,-0.0716081159577822,-0.221902842178426,-0.261243568005988,-0.364584091383055,-0.20531927525216,-0.322926962371653,-0.300882335593136,-0.00178699737398487,-0.00127304095262019,0.118573902234422,0.23401815675533,0.534036097072701
"Northern.Mockingbird",0.105848348697186,0.393643081661583,0.361438299584878,0.450461767138974,1,0.2758735608806,0.410714931966689,0.415363358843812,0.215976778460751,0.434456418074053,0.11489181806832,0.0321035047711452,-0.127346477774041,0.446065814852883,0.560143327018008,0.269790032908275,0.0521460403267616,0.406566335258517,-0.14787290945846,0.115649786559288,0.497340742339209,0.278092012297955,-0.0489356798311133,-0.0258770848932007,-0.0249757131594589,0.196929350118419,0.105900743570421,0.14898209811611,0.142096719298786,-0.255704815321259,-0.0251178113449759,0.0667942443989662,-0.151581312318042,-0.065929503251446,-0.456384789117611,0.135623460556274,0.0543520140100025,-0.111709934612619,-0.189358100502595,-0.247805381817238,-0.178299303893702,-0.312256859364933,-0.0154759566546426,0.0298945518629476,-0.121049562379697,-0.403322306999842,-0.268336578740428,-0.314783595224753,-0.421054893340697,-0.521606962106132,-0.484383465469448,-0.18953907569603,-0.123680084891693,-0.136436300573681,-0.0567409317940266,-0.196904227518927,-0.0107110529710254
"Eastern.Meadowlark",0.118344600887309,0.0699941792895854,0.21035707338263,0.242000859200616,0.2758735608806,1,0.284029609706118,0.524771237512426,0.315214102608141,0.35585702996152,-0.257413539584675,0.263292235447461,-0.143282376312375,0.151483757143477,0.0954958030375696,-0.193876210647901,-0.0299555366108271,0.18273938550839,-0.249650623044818,-0.167548055054587,0.0230457244215221,-0.0299705269803768,-0.245131762983755,-0.67714233822203,-0.432034909604341,-0.185083308322035,-0.184896436465365,-0.184557266897477,-0.0730740798195504,0.145426915802087,0.168331099112158,0.137326598401782,-0.206765726276032,0.194619507984806,0.00258021566566463,-0.0388425524806103,-0.0648192753609342,-0.379263587020757,-0.486224117776625,-0.0893038598000413,-0.283882825278653,-0.53569492647398,-0.274095213985516,-0.37516758557307,-0.269899153593859,-0.28753203558248,-0.312080434679027,-0.380606608475718,-0.182663662431698,-0.34385487809776,-0.275217530683773,-0.242702560721183,-0.251670539176848,0.125020502079288,0.00175753784700598,0.223918439057639,0.190630504605532
"House.Sparrow",0.347577712683199,0.270930391783261,0.414197120396217,0.126930114886347,0.410714931966689,0.284029609706118,1,0.710374161771976,0.710152293301654,0.543924063658452,-0.0597315691632039,0.0237322227046331,-0.0763018931469988,0.315764863770277,0.287819541388583,-0.121530102628331,0.126742603010515,0.423067189187512,-0.142318372597193,0.131685493378237,0.411164113221575,-0.123529404801764,-0.399720348163097,-0.207184312263886,-0.290569679062666,0.275090398845859,-0.0697399239067742,-0.00751485911828249,-0.425002490937457,-0.149189226031603,0.169291429565667,0.322317828213766,0.142476239720638,0.240715864715942,-0.0919284045400701,0.224813925276221,-0.0549586860525982,-0.0618054268409068,-0.236046881083882,-0.246006548218666,-0.702693208006204,-0.597019364098876,-0.397558221072286,-0.193904262860102,-0.26696442673052,-0.182465484803309,-0.306826707841899,-0.212597797735882,-0.0654763194477657,-0.266520804232033,-0.326364855084884,-0.0382775830581669,-0.082696938370554,0.0121384570390367,0.242567539598592,-0.0020301603415765,0.148775200293444
"Rock.Pigeon..Feral.Pigeon.",0.268908980428471,0.392773427965667,0.394884676426441,0.264390308126352,0.415363358843812,0.524771237512426,0.710374161771976,1,0.564432989738164,0.671279825202607,-0.19983837933301,0.120465014348198,-0.153839382044938,0.150152822876207,0.455715529146241,-0.0283307775892692,-0.19949113443079,0.288661615113183,-0.219636978625652,-0.143058952438722,0.181988733819798,-0.255991419737442,-0.421686551931428,-0.392696988969835,-0.360671860985353,-0.0872576503616574,-0.411300294797136,-0.18383664891816,-0.434696158258612,-0.0584159927087791,0.0864759673358265,0.248731835892448,0.15487857341956,0.323587082280594,-0.0502719454627516,0.135881601480018,0.011601012085831,-0.27304386972432,-0.435813235933159,-0.421167655432251,-0.662476497891627,-0.77586457917065,-0.619218307653095,-0.453883616843897,-0.32222433222587,-0.315021920131874,-0.389979465945375,-0.295960145784079,-0.234246934013325,-0.378334878406958,-0.380987650572709,-0.0300168087787165,-0.180134958800129,0.20573933163456,0.409234817413216,0.0783762894086283,0.339987259570018
"European.Starling",0.0599593654299789,0.359232788806218,0.441219240635646,0.246363081844745,0.215976778460751,0.315214102608141,0.710152293301654,0.564432989738164,1,0.643985311440133,0.0212103039200848,0.284996913864914,0.0660850630198005,0.290601401840576,0.372406313616356,-0.00939537432077391,0.16424979678011,0.375959229517988,0.00986025864352737,0.169689834497811,0.354608312647082,0.0668532640522424,-0.312273241392827,-0.234045066409216,-0.347546054339587,0.170561327543811,-0.135488950704954,0.145675422620117,-0.342189056311841,-0.0911697337100237,0.205332059553016,0.42314655871825,0.260285886714087,0.29824050582251,-0.199947527344426,0.113375656825219,-0.0334812353491608,0.0213883413135942,-0.41777805390085,-0.270899195721691,-0.577734116599068,-0.643328351885923,-0.423365335134426,-0.550055559578243,-0.437978125041355,-0.226801038519214,-0.498221979292753,-0.278816625229129,-0.260223514242822,-0.209230179489077,-0.293089178572253,-0.366836826323068,-0.238573677727834,-0.0829019496303801,0.331386555136126,0.031342372682498,0.153112131367512
"Yellow.rumped.Warbler..Myrtle.",0.349948802599601,0.502658225751741,0.540536776892598,0.384982822279955,0.434456418074053,0.35585702996152,0.543924063658452,0.671279825202607,0.643985311440133,1,-0.126110642990833,0.287082541830091,-0.104862093724133,0.0938836228280791,0.574958781532743,0.00128294308332062,-0.0131950018321041,0.283048498271111,-0.242586756332307,-0.0346911037954921,0.46169896894793,-0.0226510422634782,-0.190732150614352,-0.111798300386571,-0.00135761469305313,0.272174530878527,-0.0792773437798042,0.0540247978730986,-0.157028998141038,0.0413697719689677,0.0527232747961736,0.475891865455593,0.327567625357781,0.518060074821111,-0.110701016772505,0.375917076110921,0.273795091045048,-0.199233908430102,-0.379851248626308,-0.491251892021768,-0.42214279673826,-0.525649602368477,-0.283460783434538,-0.495044797898862,-0.333288037119851,-0.385871735630882,-0.402468367429823,-0.25204869748244,-0.276401661546949,-0.292523566302989,-0.37326851205668,-0.395726752463173,-0.0483311019474442,0.0798229967117615,0.3357102031738,-0.0819513400175779,0.283172633823921
