"","Ring.necked.Duck","American.Goldfinch","Northern.Flicker..Yellow.shafted.","Golden.crowned.Kinglet","Northern.Mockingbird","Eastern.Meadowlark","House.Sparrow","Rock.Pigeon..Feral.Pigeon.","European.Starling","Yellow.rumped.Warbler..Myrtle.","American.Pipit","Hooded.Merganser","Pied.billed.Grebe","American.Coot","Dark.eyed.Junco..Slate.colored.","Fox.Sparrow","Eastern.Bluebird","House.Finch","Common.Grackle","Rusty.Blackbird","Field.Sparrow","Pine.Siskin","Northern.Cardinal","Carolina.Wren","Eastern.Towhee","Carolina.Chickadee","Herring.Gull","American.Crow","Ring.billed.Gull","Brown.headed.Cowbird","Great.Blue.Heron..Blue.form.","Mourning.Dove","American.Robin","Cedar.Waxwing","Red.winged.Blackbird","Song.Sparrow","White.throated.Sparrow","Blue.Jay","Red.bellied.Woodpecker","Red.headed.Woodpecker","Brown.Thrasher","Chipping.Sparrow","Tufted.Titmouse","Brown.headed.Nuthatch","Yellow.rumped.Warbler","Downy.Woodpecker","White.breasted.Nuthatch","Yellow.bellied.Sapsucker","Bonaparte.s.Gull","Bufflehead","Horned.Grebe","Ruddy.Duck","Eastern.Phoebe","Hermit.Thrush","Swamp.Sparrow","Pine.Warbler","Ruby.crowned.Kinglet"
"American.Pipit",-0.187638401037316,0.141750382061031,0.0352272188023015,-0.199163515798616,0.11489181806832,-0.257413539584675,-0.0597315691632039,-0.19983837933301,0.0212103039200848,-0.126110642990833,1,0.240827919538135,0.252931063695868,0.387419049255572,0.03949398440432,0.332141795005871,0.109041835660731,-0.0121591011893461,0.32118066644926,0.216375146428497,0.00650095298481723,0.195452129975573,0.19524063137393,-0.125709164570979,0.127224535782108,0.072748429803607,0.385919950082535,0.270030535441395,0.067820639124127,-0.124505928982937,0.463098776136209,0.0235140794531827,-0.115596242554783,-0.182599484818973,-0.179301460626986,0.0366517120378835,-0.329191351457136,0.0202083079856906,-0.156721658787211,-0.0903397257081786,-0.126490680485961,0.0568342395668161,0.20405973351661,0.0166918105940579,-0.0296308929486715,-0.388204633948132,-0.231488247737493,-0.0380856836136948,-0.204617250226385,-0.0681044918812048,-0.35928931821076,-0.247682652755555,-0.398874062786789,-0.385311873848666,-0.209482437278598,-0.146634233375062,-0.17130515588045
"Hooded.Merganser",-0.0481371439360665,-0.0369294861322956,-0.00577349987505714,0.222930360331772,0.0321035047711452,0.263292235447461,0.0237322227046331,0.120465014348198,0.284996913864914,0.287082541830091,0.240827919538135,1,0.36319880014469,0.297144645672383,0.296822472188606,0.378637301779705,-0.0837231722344335,-0.0618327820746593,0.129116809076765,0.11492342995818,-0.215841975993158,-0.243835982683572,0.20713883767308,-0.280264476731641,0.15014644216405,-0.155224538955545,-0.0092177050843347,0.210216267770054,-0.00972038161729546,0.282415838212232,0.370112655977775,0.168319258037936,0.0102875065339015,-0.0277595683039231,-0.064629239507217,-0.145907514293246,-0.0151690005113408,-0.116659601734447,-0.332631171627555,-0.203342059170733,-0.175344425503131,-0.468803093464314,-0.236026301636107,-0.45888296435751,-0.172023504090627,-0.525402868873259,-0.303809639979979,-0.180677666803264,-0.301874906855128,-0.111434862100895,-0.217738801070187,-0.342686087952557,-0.302529344453127,-0.227369896184666,-0.0960120455273042,0.0512483959822048,0.118732214236288
"Pied.billed.Grebe",-0.247221285103086,-0.128738355140491,-0.268734852575933,0.055357839749841,-0.127346477774041,-0.143282376312375,-0.0763018931469988,-0.153839382044938,0.0660850630198005,-0.104862093724133,0.252931063695868,0.36319880014469,1,0.288070749165509,-0.0292113112712833,0.087396144962161,-0.0907899507303081,-0.092795360969038,0.276662657539601,0.310788865390052,-0.160632660758835,-0.284091454496134,-0.040516942585025,-0.0352092981990855,0.214727345007118,0.144206605477553,0.225122523766814,0.265102565484044,0.0701027309918787,-0.0987941037391137,0.400099605768549,0.0711488600735099,-0.221888857370824,-0.0384160808498183,0.118242596320996,-0.282192467655245,-0.00132003557077711,-0.247338319225643,-0.250442491319589,-0.0454729476007843,0.00141336320224986,-0.20092285656557,0.0702226461509768,-0.129121363407719,0.272262440206838,-0.110549718800127,-0.191910724566445,-0.0239556160097953,0.171203788512214,0.18106064580055,0.315888151372391,-0.0684574430718658,0.00876099388748715,-0.0999674707663288,-0.207189403762601,-0.255659545971391,-0.093000806351366
"American.Coot",0.175731428518082,0.338196021734727,0.339847682959533,0.131998442079962,0.446065814852883,0.151483757143477,0.315764863770277,0.150152822876207,0.290601401840576,0.0938836228280791,0.387419049255572,0.297144645672383,0.288070749165509,1,0.426154067691921,0.39743970108122,0.116093324669233,0.424566474586172,0.359922981497214,0.182214473581171,0.23926475196113,0.141995231265185,0.00323196528780095,-0.242401727461691,-0.126551976666985,-0.00584944368226245,-0.0759042931729889,0.0362107417912677,-0.117066643712818,-0.193550522315881,0.280152629260114,0.196654559662494,-0.13112142207238,0.0479819907918045,-0.214636767285824,-0.0845150156744921,-0.287290486422818,-0.132382029686688,-0.33262925946708,-0.163336093077662,-0.35373994077222,-0.485777465777126,-0.366469017857548,-0.256323555368179,-0.197069419836525,-0.418961811549666,-0.668920905398261,-0.415712479283195,-0.375991038020557,-0.162348537442675,-0.358937324363521,-0.229534771820924,-0.410738666111321,-0.456610363009124,-0.321106612420664,-0.0697398540006226,-0.0928455261750967
"Dark.eyed.Junco..Slate.colored.",0.128605944281306,0.588740903456001,0.49224720335524,0.397350618224218,0.560143327018008,0.0954958030375696,0.287819541388583,0.455715529146241,0.372406313616356,0.574958781532743,0.03949398440432,0.296822472188606,-0.0292113112712833,0.426154067691921,1,0.634226844272396,-0.0141137437752695,0.567692260688169,0.107096028530271,0.127679130657711,0.330304075516137,0.0417013992045137,-0.0280743626639042,0.0778316624951311,-0.0291971182248195,-0.0971751053478015,-0.276242903031632,0.0541928455506106,-0.0887004289509187,-0.0919760057679632,0.0549545345742476,0.326407029854839,0.0368986998093266,0.183472838274538,-0.0522074883291912,0.324029038345227,0.490894247946634,0.057628090749418,-0.324618658187096,-0.513955925208364,-0.24221443287028,-0.514455373510868,-0.415643931778451,-0.263182245078158,-0.21443414087255,-0.340069621825376,-0.376397315285037,-0.278658755366873,-0.344688237000317,-0.24258190713446,-0.378248596922913,-0.397090865321953,-0.243671308244015,-0.130006514714656,-0.0291901908493434,-0.163948503812602,0.166212418798997
"Fox.Sparrow",-0.22958903510934,0.204561782308969,0.0810471604852377,0.023982382316759,0.269790032908275,-0.193876210647901,-0.121530102628331,-0.0283307775892692,-0.00939537432077391,0.00128294308332062,0.332141795005871,0.378637301779705,0.087396144962161,0.39743970108122,0.634226844272396,1,0.167218277353608,0.360048865542614,0.537777003155024,0.394144319541809,-0.14976722173873,0.0297011056127664,0.153812665653043,0.0765185416040281,0.168811345408448,-0.360549296050144,-0.188770797925215,0.160137527151672,0.13534464405992,-0.0586078519347943,0.104253962347196,0.00791997953423787,-0.0116010602065564,-0.0918754273474403,-0.0810233983881457,0.0264970711969494,0.162660028010287,0.424127953662298,0.0752786610245149,-0.0582876402109311,0.0576772807102617,-0.204655670429492,-0.205601254811687,0.0409687800869701,0.11818172181035,-0.208364148540941,-0.110346645950547,0.135998074184107,-0.206618220948294,-0.00290725587600886,-0.0948724104181859,-0.228682970318242,-0.289033635657217,-0.263201949905137,-0.430553939501611,-0.175908723064873,-0.174418801224865
"Eastern.Bluebird",-0.126731229227362,0.0255618580660543,0.10795564857263,-0.0674170496229154,0.0521460403267616,-0.0299555366108271,0.126742603010515,-0.19949113443079,0.16424979678011,-0.0131950018321041,0.109041835660731,-0.0837231722344335,-0.0907899507303081,0.116093324669233,-0.0141137437752695,0.167218277353608,1,0.552368040113976,0.370521353290753,0.25309551164879,0.228095562555158,0.215202435354958,0.0211877743367834,0.0908601207657453,0.261004556730321,0.175156218542466,0.27449700062198,0.230561751973554,0.27408384816896,0.332257228299715,0.311206037253413,0.324208849063729,0.075429872794937,-0.0939062994524368,-0.221517340765648,0.274668555663783,0.00793318081293047,0.264369887510481,0.138882120898946,0.181822978366818,0.304625119285053,0.0685225105300191,0.21661999748389,0.322501837199359,0.0565944773912346,0.286878336721975,0.0294126529774255,0.143901968953109,0.339166385750714,0.217888458999576,0.126514288881994,0.0616426410680045,0.255305981567281,0.0686819190914287,-0.122090111602402,0.260718549946028,-0.0909081948330007
"House.Finch",-0.00405393475079902,0.543838019834249,0.498292964776864,0.156226971027316,0.406566335258517,0.18273938550839,0.423067189187512,0.288661615113183,0.375959229517988,0.283048498271111,-0.0121591011893461,-0.0618327820746593,-0.092795360969038,0.424566474586172,0.567692260688169,0.360048865542614,0.552368040113976,1,0.246157492390321,0.381708376401945,0.428371684185176,0.32715434713742,-0.111151835409508,-0.0281485097389056,-0.0340563182945313,0.03053509854985,-0.132630756433788,0.269066687510393,0.0963860956924349,0.159700682841235,0.206910198798429,0.385306934772452,0.0333289266296764,0.265620044203553,0.0810386948166654,0.364540400761119,0.212138086484094,0.04364599341611,-0.180464578618828,-0.245162833992568,-0.197761843593768,-0.388342944297722,-0.214708138461926,0.0441713096067768,-0.223356404471644,-0.0181034902939412,-0.372102153573582,-0.227742803812035,0.147722355666078,-0.177601675566875,-0.294615032614131,-0.143349365258242,-0.00421746794486173,0.0594823197400701,-0.100612304306049,0.0206099691809964,-0.157984263109322
"Common.Grackle",-0.15505509772612,0.117564248601627,0.0191711661626933,-0.275481419574124,-0.14787290945846,-0.249650623044818,-0.142318372597193,-0.219636978625652,0.00986025864352737,-0.242586756332307,0.32118066644926,0.129116809076765,0.276662657539601,0.359922981497214,0.107096028530271,0.537777003155024,0.370521353290753,0.246157492390321,1,0.480730518733726,-0.227853292794976,-0.0476285390137691,-0.152419236493049,-0.0798674981200648,0.0771681816451545,-0.381503005739434,-0.074923626279729,0.0544850400364858,0.147402914120031,0.0183512628451132,0.183041179366424,-0.0460100065875361,-0.0702184060843243,-0.166950165054793,-0.0507906420526508,-0.138904449583712,-0.148378356767588,0.221994830559586,0.199472696040466,0.309775563818847,0.0845059119904253,-0.131679135428698,-0.171540637080864,0.050420603196847,0.0696785663317271,0.155436016008851,-0.131245153703393,0.243740527841618,0.267383198322814,0.419482721375615,0.365319966677467,0.194524932027923,-0.144380389668672,-0.0968572178053847,-0.268763516471476,0.245999640976948,-0.0805966040337096
"Rusty.Blackbird",-0.295371355835179,0.0680016528677616,0.202524530479361,-0.0700325829623249,0.115649786559288,-0.167548055054587,0.131685493378237,-0.143058952438722,0.169689834497811,-0.0346911037954921,0.216375146428497,0.11492342995818,0.310788865390052,0.182214473581171,0.127679130657711,0.394144319541809,0.25309551164879,0.381708376401945,0.480730518733726,1,0.00814145217954317,0.301914373155126,-0.314272573148821,-0.0107166593703583,0.00265282838526833,-0.119954446988317,0.0134542827301373,0.303201278751751,0.0874112273750057,-0.15878440000117,0.168436459153291,-0.114444424850504,0.0134586309875012,-0.00713600975344072,0.10439481473592,0.157484694984399,0.0583319116223763,0.161377613954715,0.0622931734006742,0.135212523491647,-0.108911325247767,-0.0718330878794772,0.0458585306745442,0.126222067233336,0.0271263953033738,0.0230444123147975,-0.0205118997575473,0.323618840588495,0.369569052621369,0.235131006305091,0.140655637054124,0.0142708515660511,0.00957739245913905,0.0367114568655564,-0.153184432167174,-0.0887852858379415,-0.178860911525329
"Field.Sparrow",0.325793855476707,0.610074606296661,0.388183045606612,0.227920461372824,0.497340742339209,0.0230457244215221,0.411164113221575,0.181988733819798,0.354608312647082,0.46169896894793,0.00650095298481723,-0.215841975993158,-0.160632660758835,0.23926475196113,0.330304075516137,-0.14976722173873,0.228095562555158,0.428371684185176,-0.227853292794976,0.00814145217954317,1,0.498786594967129,0.0578955068905301,0.126073461799472,0.00965308600111999,0.44617100598094,0.28625765105309,0.277805799342848,0.141814869818571,-0.184751194700577,-0.0060754420292296,0.328818396738122,0.0328050832542066,0.181229985793325,-0.363174544680742,0.457034390084227,0.181285327663094,-0.0902408382588341,-0.263337877454026,-0.35059800223134,-0.258676249176821,-0.0849637645107586,0.033388476721844,-0.048751423404244,-0.393670139480668,-0.236493092812364,-0.340157515333073,-0.322454943247704,-0.217282521759819,-0.300863718661093,-0.391376423230343,-0.23702240747167,0.157428656918571,-0.170140999412651,0.256893956956166,-0.0793008217458685,-0.0360093222071383
"Pine.Siskin",-0.129488737323999,0.369781354933098,0.307121451989808,0.0578460519587816,0.278092012297955,-0.0299705269803768,-0.123529404801764,-0.255991419737442,0.0668532640522424,-0.0226510422634782,0.195452129975573,-0.243835982683572,-0.284091454496134,0.141995231265185,0.0417013992045137,0.0297011056127664,0.215202435354958,0.32715434713742,-0.0476285390137691,0.301914373155126,0.498786594967129,1,0.104710062800606,0.109778612613601,-0.118265474107147,0.0631398863952125,0.176982220784633,0.328787016035289,0.36370810457264,-0.124708601907981,-0.130622817277251,-0.07016555157322,0.229009621723842,0.0324786429019598,-0.147063827682919,0.294637812390767,-0.000430707468411857,0.199696239682821,0.0388449455741693,0.0633944684799997,0.0627993029427975,0.295238494603631,0.25208021447139,0.178632765612915,-0.215967205983242,-0.0981758414628791,-0.161669809112222,0.0237214994646553,-0.113735504630281,-0.138658089368265,-0.300644035303487,-0.186261540204677,0.0363549531394815,-0.053803256985261,0.116197627977571,-0.104607206454068,-0.304882814603135
"Northern.Cardinal",0.0230033421681495,-0.0519842421186997,-0.212769103063704,-0.00746461840981992,-0.0489356798311133,-0.245131762983755,-0.399720348163097,-0.421686551931428,-0.312273241392827,-0.190732150614352,0.19524063137393,0.20713883767308,-0.040516942585025,0.00323196528780095,-0.0280743626639042,0.153812665653043,0.0211877743367834,-0.111151835409508,-0.152419236493049,-0.314272573148821,0.0578955068905301,0.104710062800606,1,0.450786973353377,0.475285535921223,0.147578134802658,0.206453313422428,0.174702151459562,0.263097367742717,0.214580582759787,-0.05958990738187,0.0220271446588623,-0.0074183161182586,-0.0152509896802437,-0.118954247101779,-0.0985103156271529,-0.0326155288270714,0.10478993041883,0.0829655546719264,-0.200673097373751,0.410394402998947,0.383880608346351,0.331303661729412,0.108632388703808,0.0580714323549776,-0.247250987130234,-0.0445577279279742,-0.245363909988401,-0.20806814315342,-0.129674002374588,-0.284670589006046,-0.146704961206732,0.0256978917704309,-0.427503668654223,-0.359893196645509,-0.17220327021609,-0.286024322953125
"Carolina.Wren",0.0850087701470706,-0.139094046289043,-0.119785368909077,0.110110119641173,-0.0258770848932007,-0.67714233822203,-0.207184312263886,-0.392696988969835,-0.234045066409216,-0.111798300386571,-0.125709164570979,-0.280264476731641,-0.0352092981990855,-0.242401727461691,0.0778316624951311,0.0765185416040281,0.0908601207657453,-0.0281485097389056,-0.0798674981200648,-0.0107166593703583,0.126073461799472,0.109778612613601,0.450786973353377,1,0.48837335878099,0.336132355304473,0.137120592320698,0.178073678350872,0.162710214585892,-0.139368133217052,-0.374937404811585,-0.115918201926664,0.220296270107982,-0.0127743791222063,0.0397081530053458,0.193805114183638,0.345757632397917,0.369122496287469,0.519134797847693,0.039849761141404,0.505260755247911,0.590911875992592,0.465725024543496,0.495174777349322,0.469098515830586,0.415971168845613,0.31161861392275,0.19434670182909,0.166469830990618,0.221529750876927,0.166308063554118,0.069757150051487,0.442920553845988,0.0337199465466087,0.0150260681842771,-0.101206089372202,0.00381539663882752
"Eastern.Towhee",0.187064844203536,0.0256678748138657,-0.176541638146827,0.0936376004666241,-0.0249757131594589,-0.432034909604341,-0.290569679062666,-0.360671860985353,-0.347546054339587,-0.00135761469305313,0.127224535782108,0.15014644216405,0.214727345007118,-0.126551976666985,-0.0291971182248195,0.168811345408448,0.261004556730321,-0.0340563182945313,0.0771681816451545,0.00265282838526833,0.00965308600111999,-0.118265474107147,0.475285535921223,0.48837335878099,1,0.416914377021651,0.351015246535169,0.290142894083178,0.283308612789368,0.224798851680916,0.132937549269283,0.318172399535067,0.0632681962588414,-0.0591789539543371,0.0856476901865218,0.263431972983952,0.136666816590525,0.13312217534934,0.412642703307797,0.118152163438542,0.4407790034108,0.326702941581055,0.472144701589124,0.289395321473889,0.297502681932044,0.100418982822537,0.231899273182961,0.0242511361000159,0.15055047393092,0.00487139747960223,0.123271723619683,-0.110435838795134,0.311771371778165,-0.227880793674646,-0.106422990275791,-0.086442952811477,-0.0739303406628717
