"","Herring.Gull","Carolina.Chickadee","Tufted.Titmouse","Northern.Mockingbird","Brown.headed.Nuthatch","House.Sparrow","Chipping.Sparrow","White.breasted.Nuthatch","Blue.Jay","Red.bellied.Woodpecker","Northern.Cardinal","Carolina.Wren","Yellow.rumped.Warbler","Brown.Thrasher","Ring.billed.Gull","Downy.Woodpecker","Golden.crowned.Kinglet","Pine.Warbler","Ruby.crowned.Kinglet","Eastern.Towhee","Horned.Grebe","Pied.billed.Grebe","Swamp.Sparrow","Eastern.Phoebe","Ruddy.Duck","Red.headed.Woodpecker","Ring.necked.Duck","Red.winged.Blackbird","American.Goldfinch","Northern.Flicker..Yellow.shafted.","Mourning.Dove","Brown.headed.Cowbird","Great.Blue.Heron..Blue.form.","Bonaparte.s.Gull","Eastern.Bluebird","House.Finch","American.Coot","Eastern.Meadowlark","Dark.eyed.Junco..Slate.colored.","Fox.Sparrow","American.Pipit","Bufflehead","Common.Grackle","American.Crow","Rusty.Blackbird","Hooded.Merganser","Yellow.bellied.Sapsucker","European.Starling","Pine.Siskin","White.throated.Sparrow","Field.Sparrow","Song.Sparrow","Hermit.Thrush","Rock.Pigeon..Feral.Pigeon.","American.Robin","Cedar.Waxwing","Yellow.rumped.Warbler..Myrtle."
"Herring.Gull",1,0.516581196581197,0.367521367521367,0.121367521367521,0.396239316239316,0.332649572649573,0.0605128205128205,0.303931623931624,-0.224615384615385,-0.128888888888889,-0.205470085470085,-0.0482051282051282,-0.00416277266393335,0.014017094017094,0.409230769230769,-0.096068376068376,-0.0844444444444444,0.0413675213675214,0.0899145299145299,-0.00170940170940171,0.196581196581197,0.23965811965812,0.0926495726495726,0.106324786324786,0.273846153846154,-0.200683760683761,-0.0892307692307692,-0.221880341880342,-0.179487179487179,-0.316239316239316,0.0290598290598291,-0.275213675213675,0.10017094017094,0.124786324786325,0.333333333333333,-0.132991452991453,-0.21029283262154,0.115213675213675,-0.374358974358974,-0.561025641025641,-0.125470085470085,-0.196581196581197,-0.163076923076923,0.178803418803419,-0.122051282051282,0.0625641025641026,-0.232136752136752,-0.024957264957265,-0.173333333333333,0.277948717948718,0.366153846153846,0.183589743589744,-0.139145299145299,-0.205470085470085,-0.0769230769230769,-0.429059829059829,0.0126495726495726
"Carolina.Chickadee",0.516581196581197,1,0.565128205128205,0.124786324786325,0.275213675213675,0.538461538461538,0.32991452991453,0.309401709401709,-0.183589743589744,0.154188034188034,0.230769230769231,0.30051282051282,0.242134609952123,0.0947008547008547,0.124786324786325,0.141196581196581,-0.0666666666666667,-0.308034188034188,-0.150769230769231,0.225982905982906,0.00581196581196581,0.135726495726496,-0.11042735042735,0.228034188034188,-0.12,-0.237606837606838,0.276581196581197,0.0564102564102564,-0.163076923076923,-0.116581196581197,0.342222222222222,-0.215042735042735,-0.0201709401709402,-0.0372649572649573,0.167863247863248,-0.0646153846153846,-0.110120716593009,-0.0605128205128205,-0.441367521367521,-0.647863247863248,-0.31965811965812,-0.351111111111111,-0.322393162393162,-0.0181196581196581,-0.323076923076923,-0.344273504273504,-0.411965811965812,0.0687179487179487,-0.154188034188034,0.176068376068376,0.261538461538461,0.243076923076923,-0.0817094017094017,0.115213675213675,0.284786324786325,0.11042735042735,0.29982905982906
"Tufted.Titmouse",0.367521367521367,0.565128205128205,1,0.199316239316239,0.318290598290598,0.198632478632479,0.394871794871795,0.323076923076923,-0.0324786324786325,0.0406837606837607,0.263589743589744,0.341538461538462,0.456864299866685,0.288205128205128,0.042051282051282,0.283418803418803,0.342222222222222,0.120683760683761,0.459145299145299,0.253333333333333,-0.207521367521368,0.247179487179487,-0.116581196581197,0.104957264957265,-0.303931623931624,0.0160683760683761,0.275213675213675,-0.0830769230769231,-0.385982905982906,-0.323760683760684,0.122051282051282,-0.24991452991453,0.140512820512821,-0.229401709401709,-0.0064957264957265,-0.228717948717949,-0.38799542201462,0.121367521367521,-0.233504273504273,-0.412649572649573,0.00923076923076923,-0.256068376068376,-0.223931623931624,0.0495726495726496,-0.288888888888889,0.0167521367521367,-0.241025641025641,-0.115213675213675,-0.241025641025641,0.150769230769231,0.0112820512820513,0.0495726495726496,-0.0523076923076923,0.0338461538461538,-0.184273504273504,-0.138461538461538,0.146666666666667
"Northern.Mockingbird",0.121367521367521,0.124786324786325,0.199316239316239,1,0.587692307692308,0.338803418803419,0.286153846153846,0.397606837606838,0.299145299145299,0.23965811965812,-0.120683760683761,0.295726495726496,-0.0280987154815501,0.264957264957265,0.182222222222222,0.338119658119658,0.466666666666667,0.197948717948718,0.0748717948717949,-0.208205128205128,-0.208888888888889,-0.463247863247863,-0.123418803418803,0.115213675213675,-0.0700854700854701,0.254017094017094,-0.137094017094017,-0.303247863247863,-0.0215384615384615,0.0858119658119658,-0.16991452991453,-0.161025641025641,-0.38051282051282,-0.163076923076923,0.200683760683761,0.340854700854701,0.127959586570692,0.0864957264957265,0.161025641025641,0.014017094017094,-0.238290598290598,-0.262905982905983,-0.174017094017094,-0.12,0.161025641025641,-0.391452991452991,-0.122735042735043,-0.115213675213675,0.349059829059829,0.0741880341880342,0.197264957264957,-0.168547008547009,0.00512820512820513,-0.00239316239316239,0.0878632478632479,-0.296410256410256,-0.223247863247863
"Brown.headed.Nuthatch",0.396239316239316,0.275213675213675,0.318290598290598,0.587692307692308,1,0.638974358974359,0.271794871794872,0.54051282051282,0.394871794871795,0.448888888888889,0.0222222222222222,0.583589743589744,0.424949709443196,-0.0823931623931624,0.217777777777778,0.197948717948718,0.158290598290598,0.0543589743589744,0.126153846153846,0.118632478632479,-0.0981196581196581,-0.094017094017094,-0.00239316239316239,0.153504273504273,0.205470085470085,0.0782905982905983,-0.00512820512820513,-0.0926495726495726,-0.0933333333333333,-0.299145299145299,-0.191111111111111,-0.355897435897436,-0.287521367521367,0.154871794871795,0.258803418803419,0.176068376068376,-0.297428851358687,-0.241709401709402,0.171282051282051,-0.0461538461538461,-0.0126495726495726,-0.28,-0.107692307692308,0.308034188034188,0.091965811965812,-0.143247863247863,0.189059829059829,-0.136410256410256,0.114529914529915,0.249230769230769,0.181538461538462,0.115897435897436,0.210940170940171,0.187008547008547,0.195897435897436,-0.42017094017094,0.014017094017094
"House.Sparrow",0.332649572649573,0.538461538461538,0.198632478632479,0.338803418803419,0.638974358974359,1,0.193162393162393,0.260854700854701,0.0352136752136752,0.28957264957265,0.0311111111111111,0.337435897435897,0.0898465099965614,-0.39008547008547,-0.195213675213675,0.208888888888889,-0.153504273504273,-0.104957264957265,-0.148717948717949,0.0468376068376068,-0.173333333333333,-0.147350427350427,-0.0372649572649573,0.26974358974359,0.00786324786324786,-0.0666666666666667,0.431794871794872,0.135726495726496,0.0694017094017094,-0.00991452991452991,0.112478632478632,-0.0393162393162393,-0.014017094017094,0.388034188034188,0.364786324786325,0.352478632478632,-0.142367904629591,-0.117264957264957,-0.202051282051282,-0.358632478632479,-0.101538461538462,-0.227350427350427,-0.225982905982906,0.0365811965811966,-0.102905982905983,-0.415384615384615,-0.0851282051282051,0.0577777777777778,0.0994871794871795,0.0844444444444444,0.417435897435897,0.31965811965812,-0.00991452991452991,0.156923076923077,0.134358974358974,0.0229059829059829,0.16034188034188
"Chipping.Sparrow",0.0605128205128205,0.32991452991453,0.394871794871795,0.286153846153846,0.271794871794872,0.193162393162393,1,0.417435897435897,0.422222222222222,0.471452991452991,0.0974358974358974,0.572649572649573,0.227218007906362,0.0167521367521367,-0.0324786324786325,0.141880341880342,0.181538461538462,-0.125470085470085,0.238290598290598,-0.101538461538462,-0.361367521367521,-0.378461538461538,-0.191111111111111,0.0133333333333333,-0.154188034188034,0.0317948717948718,0.305982905982906,0.0188034188034188,-0.00991452991452991,0.264273504273504,-0.0748717948717949,-0.461196581196581,-0.375726495726496,-0.45982905982906,-0.148034188034188,-0.226666666666667,-0.291939968288631,-0.459145299145299,0.065982905982906,-0.00307692307692308,0.15965811965812,0.0495726495726496,-0.308034188034188,0.00102564102564103,-0.0618803418803419,-0.34017094017094,0.121367521367521,-0.187008547008547,0.126837606837607,0.232820512820513,0.0666666666666667,0.235555555555556,-0.188376068376068,-0.155555555555556,0.140512820512821,-0.0441025641025641,0.144615384615385
"White.breasted.Nuthatch",0.303931623931624,0.309401709401709,0.323076923076923,0.397606837606838,0.54051282051282,0.260854700854701,0.417435897435897,1,0.496752136752137,0.600683760683761,0.0324786324786325,0.278632478632479,0.290700291031345,0.0741880341880342,0.265641025641026,0.00307692307692308,0.134358974358974,-0.271794871794872,-0.119316239316239,0.341538461538462,0.234188034188034,-0.0974358974358974,-0.0181196581196581,0.117264957264957,0.155555555555556,0.307350427350427,-0.0509401709401709,-0.106324786324786,-0.101538461538462,-0.158290598290598,-0.0153846153846154,-0.0755555555555555,-0.165128205128205,-0.238290598290598,-0.0317948717948718,-0.242393162393162,-0.503948076869564,-0.328547008547008,-0.0488888888888889,0.0338461538461538,-0.174017094017094,-0.327863247863248,-0.267008547008547,0.231452991452991,-0.00444444444444444,0.0652991452991453,0.237606837606838,-0.282051282051282,-0.0974358974358974,0.356581196581197,0.014017094017094,0.0823931623931624,-0.191794871794872,0.0564102564102564,0.11042735042735,-0.528205128205128,-0.118632478632479
"Blue.Jay",-0.224615384615385,-0.183589743589744,-0.0324786324786325,0.299145299145299,0.394871794871795,0.0352136752136752,0.422222222222222,0.496752136752137,1,0.649230769230769,-0.0769230769230769,0.39965811965812,0.329552835894723,0.00444444444444444,0.0646153846153846,0.171965811965812,0.347692307692308,-0.124786324786325,0.0735042735042735,0.0358974358974359,-0.00991452991452991,-0.290940170940171,-0.202735042735043,-0.161709401709402,-0.0864957264957265,0.486495726495726,0.0762393162393162,0.19042735042735,0.256752136752137,0.187008547008547,-0.0133333333333333,-0.231452991452991,-0.426324786324786,-0.304615384615385,-0.10974358974359,0.0673504273504273,-0.252145566030721,-0.322393162393162,0.553504273504273,0.61025641025641,0.00854700854700855,-0.0153846153846154,0.0728205128205128,0.20957264957265,0.00854700854700855,-0.0611965811965812,0.465982905982906,-0.068034188034188,0.31008547008547,0.381880341880342,-0.15965811965812,0.132307692307692,-0.156923076923077,-0.127521367521368,0.055042735042735,-0.324444444444444,-0.118632478632479
"Red.bellied.Woodpecker",-0.128888888888889,0.154188034188034,0.0406837606837607,0.23965811965812,0.448888888888889,0.28957264957265,0.471452991452991,0.600683760683761,0.649230769230769,1,0.0222222222222222,0.497435897435897,0.494329253842085,-0.0482051282051282,0.18974358974359,0.206837606837607,0.0502564102564102,-0.161709401709402,-0.0516239316239316,0.305299145299145,0.182222222222222,-0.24991452991453,-0.104273504273504,0.156923076923077,0.248547008547009,0.575384615384615,0.347692307692308,0.0112820512820513,-0.04,0.103589743589744,-0.145982905982906,-0.213675213675214,-0.418803418803419,-0.219145299145299,-0.125470085470085,-0.191794871794872,-0.116295710046822,-0.492649572649573,0.0475213675213675,0.271794871794872,-0.158290598290598,-0.0331623931623932,0.10017094017094,0.107692307692308,-0.113846153846154,-0.12957264957265,0.39965811965812,-0.444102564102564,-0.13982905982906,-0.011965811965812,-0.215726495726496,-0.00102564102564103,0.091965811965812,0.197948717948718,0.344957264957265,-0.127521367521368,0.0755555555555555
