"","Eastern.Bluebird","Fish.Crow","American.Crow","Mourning.Dove","Downy.Woodpecker","Barn.Swallow","White.breasted.Nuthatch","White.eyed.Vireo","Red.eyed.Vireo","Wood.Thrush","Blue.gray.Gnatcatcher","Yellow.billed.Cuckoo","Carolina.Wren","Eastern.Meadowlark","Eastern.Phoebe","Blue.Grosbeak","American.Robin","Purple.Martin","House.Finch","Tufted.Titmouse","Great.Crested.Flycatcher","Carolina.Chickadee","Chipping.Sparrow","Eastern.Wood.Pewee","Yellow.breasted.Chat","Blue.Jay","Indigo.Bunting","Common.Grackle","Ovenbird","Pine.Warbler","Northern.Cardinal","Brown.headed.Cowbird","American.Goldfinch","Eastern.Towhee","Chimney.Swift","Common.Yellowthroat","Red.winged.Blackbird","European.Starling","Summer.Tanager","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Brown.Thrasher","Northern.Mockingbird"
"Eastern.Bluebird",1,0.395305224563288,0.230909886916076,0.154244114727367,0.00869508375377021,0.139540386388666,0.275701293554678,-0.198279000833294,-0.156532249465346,-0.0465450915891359,-0.124457271878303,0.0465378046926369,0.416460141878342,0.108689902833404,0.309459773706833,-0.0674232279062759,0.0883968119271228,0.0653382922051301,-0.150765591404639,-0.655417518726645,-0.348440318490817,-0.459260496694362,-0.316703454672714,-0.29928980800139,-0.0844823777512872,0.135867829559516,-0.0275305412603197,-0.356512398658115,-0.158290347507168,-0.0619915225905581,-0.154238074293893,0.156459822290676,0.0602891909751784,-0.19902817238076,-0.208252364509903,-0.340730277170311,0.101949658236692,0.113324444211268,-0.0254446558616106,0.126347561183597,-0.205686745818647,0.137830953445227,0.105361900639063
"Fish.Crow",0.395305224563288,1,-0.0109538740604578,-0.0579494643465971,0.0970805663056076,-0.00843513717085508,0.114220894246455,-0.00915176119516404,-0.0975993237630191,-0.186203503477199,-0.233338581215682,-0.0609549314053806,0.0276232474138212,0.181588666821704,0.0191703799036262,-0.106946250041895,-0.0658355196525156,-0.23568583371275,0.368810938297141,-0.287312301976301,-0.328902596051376,-0.112085512975821,-0.160168747636475,-0.169486270347981,-0.148261043433196,-0.0888562390027894,-0.129134857290965,-0.228736673179219,-0.0331562868346142,0.0356393937132141,0.0235334539876271,-0.0223323314239722,0.186594514567482,-0.127326908271663,-0.182901034153462,-0.211637130194255,0.256150888858821,-0.252855887824599,-0.132566753005688,0.236367854854395,-0.162009214607854,-0.0839188995137176,-0.0270890734123363
"American.Crow",0.230909886916076,-0.0109538740604578,1,0.375121907112694,0.350526657870499,0.211802524794016,0.151291135180471,0.084961440083635,-0.229626616431543,-0.224937222162183,0.115250246575877,-0.0867671093379611,-0.0765510812892547,0.0441965026883871,0.163222582637277,-0.0635167946721925,0.084760215463239,-0.220632827169397,0.180079910832777,0.181404179886938,-0.129360980131316,-0.0916089574776596,-0.0590492827019465,-0.20584972379325,0.35522102723324,0.209888987600301,0.405943243439085,-0.197772547616243,0.157467745071824,0.188468959817097,-0.142210497152952,-0.00550706724548538,0.0584605954646589,0.287590099403977,-0.456623043777379,-0.238520739701266,-0.233915801751801,-0.0845601365038739,0.136755643361274,0.060359999205323,0.347201695466763,0.0877201267699083,0.0877223594090397
"Mourning.Dove",0.154244114727367,-0.0579494643465971,0.375121907112694,1,0.23477252032557,0.398705577594178,0.230500541109721,-0.0927214507574103,-0.168294970606603,-0.143886694172264,0.157827671752342,0.0195306116247468,-0.091174764774048,-0.0602812961381221,0.0364718001101632,-0.398297431334266,-0.175642681409745,-0.494668417101543,0.29759804269123,0.138268760428008,-0.172724340970246,-0.0716922488130592,-0.279508248315173,-0.21229715324512,-0.0714484887641974,0.225920418309788,0.0729585662666721,0.130237898770826,0.184818510400569,0.383662500888985,-0.125940483266247,0.212003268270135,0.279002727438621,0.47978795875265,0.0546483243947597,0.292596998973578,0.0179360283804309,-0.0207299141638492,0.253375095968148,0.109729926483551,0.484165210090912,0.260875807229247,0.395799327664324
"Downy.Woodpecker",0.00869508375377021,0.0970805663056076,0.350526657870499,0.23477252032557,1,0.377271317177042,0.36609821500917,0.292597977788989,0.345471333215495,0.10131169582087,-0.0181257319462295,0.108008879741635,0.116174260325058,0.246414995739031,0.200514454809261,0.332336214836518,0.0330412351470526,-0.100001053736427,0.122765789744179,0.276327235195728,-0.243539352162225,0.134126871865949,-0.422647624489189,-0.169810690355155,-0.0140323720812264,0.160324404916216,0.233784454337439,0.0725277064682638,0.0281783026340145,0.475131343573418,0.333855415484187,0.0440841821536077,0.38147241665077,0.463307139244736,-0.412709076985133,-0.165515940611271,-0.225019156982735,-0.273614517051544,-0.0754550480939421,-0.0103034398491108,0.0047377132684881,0.0830953993162197,0.286382133585697
"Barn.Swallow",0.139540386388666,-0.00843513717085508,0.211802524794016,0.398705577594178,0.377271317177042,1,0.65307706150883,0.166633899818505,-0.0914820012639069,0.126594126146516,0.3605719878373,0.172758500850856,0.160091076206321,0.0110854662721454,0.137744956519667,0.125065744635316,0.0174673384689311,-0.100075166874727,0.143340895321177,0.0027047853673163,-0.127067003797486,-0.120603509528895,-0.47562570866272,0.0737612630632171,0.0800424226258961,0.2336798190153,0.178540600722778,0.0958412839088254,0.239484569817369,0.19866509534566,0.412765175648733,0.343880442136512,0.453163572247037,0.424658247351842,-0.0416113314563305,-0.0979397331469811,-0.122188779255517,-0.350314408984008,0.436179070692168,0.397712595370163,0.479966962639264,0.290854347690283,0.35379433809978
"White.breasted.Nuthatch",0.275701293554678,0.114220894246455,0.151291135180471,0.230500541109721,0.36609821500917,0.65307706150883,1,0.0540686477765131,-0.212050140504887,-0.117771307641402,0.336184979821428,0.103998828341111,-0.0623836856154075,-0.0173950521624833,0.175343126660178,0.323712629007415,0.10224041428379,-0.344627966748443,0.199361770246552,0.0587751865331861,-0.196541609350113,-0.17879028218528,-0.69779437827997,0.267731520327181,0.103277162287669,-0.21810242081155,0.0498602795114153,-0.14567297872757,-0.181547935170637,0.0697936071393973,0.222659447392507,0.3162105440699,0.384110111159462,0.117318152141544,-0.19773510005266,-0.48344375947844,-0.232501622035406,-0.382933352372144,0.332346782191089,0.22184418986745,0.239887196414771,0.363072791824454,0.0769532051385637
"White.eyed.Vireo",-0.198279000833294,-0.00915176119516404,0.084961440083635,-0.0927214507574103,0.292597977788989,0.166633899818505,0.0540686477765131,1,0.378543306830501,0.320360963723408,0.161792301486655,-0.101215536845282,-0.103287196947283,0.284492992257619,0.345344538579027,0.291019648398416,0.16948643579887,0.173378793489962,0.0701706755816586,0.229611726927899,0.034523007552343,0.351933463371332,0.165663094049328,0.252449069879657,0.229589314394811,-0.14884528827181,-0.216828285656775,0.157072795371112,0.528301187354971,0.340554759266081,0.0655069276641758,-0.0542409409902388,0.0866922433217826,0.146758916528545,-0.0236513291588266,-0.103484389953664,-0.13952425518931,-0.391129718352668,0.23147841968188,0.255261298531873,0.157384958932913,0.133947314034415,0.173357607642657
"Red.eyed.Vireo",-0.156532249465346,-0.0975993237630191,-0.229626616431543,-0.168294970606603,0.345471333215495,-0.0914820012639069,-0.212050140504887,0.378543306830501,1,0.413722485569995,-0.00264221517353752,0.21223948533191,0.0519610049428944,-0.0703190991721478,-0.0619223901529615,0.201003274479746,-0.136960475440252,0.217369502537055,-0.380402008776079,-0.125329480321424,-0.166592540891624,0.0988371341567804,-0.00540056438137035,-0.286710809931797,-0.0844801663817526,0.126013941033169,0.174833332717599,0.176538747145303,0.13394356675028,0.231016989904428,0.095115445421029,-0.298197092272361,-0.183941030654098,-0.051889143997524,-0.0274393353857808,0.22791553103084,-0.0223487794622609,-0.0391318600710968,-0.193923138413786,-0.211909100042572,-0.368359998965128,-0.24493170136762,-0.0271723876288833
"Wood.Thrush",-0.0465450915891359,-0.186203503477199,-0.224937222162183,-0.143886694172264,0.10131169582087,0.126594126146516,-0.117771307641402,0.320360963723408,0.413722485569995,1,0.115023412091296,0.242008696727759,0.00399043802431189,0.0507480291248501,0.0554749232177937,0.250206790505988,-0.0884964909382816,0.225649634212167,-0.443475163240347,-0.163675700902978,-0.0520082204002358,-0.126410938869151,0.0113095598993861,0.119459153823146,0.193204985406009,0.0367739291928961,-0.238323489655583,-0.0170499068115661,0.330022410968987,-0.0234685308755259,-0.00237055210141766,-0.0680848679086189,-0.143125051141636,-0.0887439567158225,0.053431838467568,0.111097272724118,0.0846673318722741,-0.164311109745133,0.187772984604635,0.0875155741409949,-0.19811100143467,0.0234681061989164,-0.0992017662413027
