"","Yellow.throated.Warbler","Chipping.Sparrow","White.eyed.Vireo","Fish.Crow","Red.headed.Woodpecker","Acadian.Flycatcher","Eastern.Wood.Pewee","Summer.Tanager","N..Rough.winged.Swallow","Eastern.Phoebe","Brown.headed.Nuthatch","Great.Crested.Flycatcher","Blue.Grosbeak","Yellow.breasted.Chat","House.Finch","Mourning.Dove","Orchard.Oriole","Pine.Warbler","Prairie.Warbler","Red.bellied.Woodpecker","Tufted.Titmouse","Hooded.Warbler","Ovenbird","Eastern.Towhee","Blue.Jay","Wood.Thrush","Carolina.Chickadee","Eastern.Bluebird","American.Robin","Northern.Mockingbird","Brown.Thrasher","European.Starling","Indigo.Bunting","Ring.billed.Gull","White.throated.Sparrow","Common.Yellowthroat","Black.thr.Blue.Warbler","Yellow.rumped.Warbler","House.Wren","Gray.Catbird","Black.throated.Blue.Warbler","Yellow.rumped..Myrtle..Warbler","Black.and.white.Warbler","Northern.Parula","Cliff.Swallow","American.Redstart","Carolina.Wren","Bobolink","Cedar.Waxwing","Barn.Swallow","Common.Grackle","American.Goldfinch","Chimney.Swift","Eastern.Kingbird","House.Sparrow","Red.winged.Blackbird","American.Crow","Purple.Martin","Downy.Woodpecker","White.breasted.Nuthatch","Brown.headed.Cowbird","Ruby.throated.Hummingbird","Prothonotary.Warbler","Blue.gray.Gnatcatcher","Red.eyed.Vireo","Northern.Cardinal","Scarlet.Tanager"
"Yellow.throated.Warbler",1,0.481074481074481,0.509157509157509,0.154456654456654,0.310744810744811,0.0409035409035409,0.225274725274725,0.401709401709402,0.0537240537240537,0.374847374847375,0.348595848595849,0.512210012210012,0.413308913308913,0.216117216117216,0.137973137973138,0.00305250305250305,0.307692307692308,0.514041514041514,0.419413919413919,0.141636141636142,0.0769230769230769,0.122710622710623,0.191086691086691,-0.238705738705739,0.068986568986569,-0.172161172161172,0.0305250305250305,-0.00549450549450549,-0.10989010989011,-0.152014652014652,-0.221611721611722,0.0128205128205128,-0.0335775335775336,-0.247252747252747,0.0598290598290598,0.522588522588523,0.117216117216117,0.00854700854700855,-0.156898656898657,-0.156898656898657,-0.319340562413894,-0.150206077158352,0.319291819291819,-0.00122100122100122,-0.043956043956044,0.18009768009768,0.254578754578755,-0.42772096361555,-0.184371184371184,-0.153235653235653,-0.114774114774115,0.0427350427350427,-0.144078144078144,0.152625152625153,-0.161172161172161,-0.104395604395604,0.00061050061050061,-0.474358974358974,0.0702075702075702,-0.111111111111111,-0.206349206349206,-0.0238095238095238,0,0.323565323565324,0.337606837606838,-0.0879120879120879,-0.195360195360195
"Chipping.Sparrow",0.481074481074481,1,0.582417582417582,0.535409035409035,0.448107448107448,0.157509157509158,0.337606837606838,0.307081807081807,0.390720390720391,0.448717948717949,0.324175824175824,0.481074481074481,0.224053724053724,0.0726495726495726,0.0811965811965812,0.0891330891330891,0.225885225885226,0.353479853479853,0.101953601953602,0.0213675213675214,0.0927960927960928,0.117826617826618,0.317460317460317,-0.109279609279609,-0.321733821733822,-0.381562881562882,-0.0702075702075702,-0.134310134310134,-0.312576312576313,-0.186202686202686,-0.123931623931624,-0.129426129426129,-0.104395604395604,-0.324786324786325,-0.183760683760684,0.0995115995115995,0.245421245421245,0.0866910866910867,0.0384615384615385,-0.0848595848595848,-0.171271563589096,-0.202106550973229,0.235653235653236,0.0726495726495726,0.0769230769230769,0.090964590964591,0.396214896214896,-0.386200584563648,-0.166056166056166,-0.13980463980464,-0.330891330891331,-0.094017094017094,-0.07997557997558,-0.0982905982905983,-0.273504273504273,-0.265567765567766,0.0378510378510378,-0.251526251526252,0.137973137973138,0.00671550671550672,0.318681318681319,0.0842490842490842,0.306471306471306,0.114774114774115,0.0708180708180708,0.117826617826618,-0.196581196581197
"White.eyed.Vireo",0.509157509157509,0.582417582417582,1,0.405982905982906,0.536630036630036,0.261294261294261,0.380952380952381,0.436507936507936,0.291819291819292,0.0592185592185592,0.358363858363858,0.38949938949939,0.162393162393162,0.0488400488400488,-0.126373626373626,-0.144688644688645,-0.0824175824175824,0.170940170940171,0.16971916971917,0.192307692307692,0.251526251526252,0.191697191697192,0.155677655677656,-0.192307692307692,-0.211843711843712,-0.481684981684982,-0.108058608058608,-0.223443223443223,-0.385225885225885,-0.435897435897436,-0.316239316239316,-0.4004884004884,-0.218559218559219,-0.305860805860806,-0.167277167277167,0.235653235653236,0.106837606837607,-0.0995115995115995,-0.191697191697192,0.0311355311355311,-0.235994507405297,-0.188062893352733,0.564102564102564,0.334554334554335,-0.103785103785104,-0.036019536019536,0.14041514041514,-0.279957261695546,-0.217948717948718,-0.484737484737485,-0.559218559218559,-0.257020757020757,-0.38949938949939,-0.184371184371184,-0.512820512820513,-0.369352869352869,-0.233821733821734,-0.5,0.182539682539683,0.0500610500610501,-0.0989010989010989,-0.0677655677655678,-0.0989010989010989,0.0122100122100122,0.0695970695970696,-0.094017094017094,-0.427960927960928
"Fish.Crow",0.154456654456654,0.535409035409035,0.405982905982906,1,0.722222222222222,0.378510378510378,0.358974358974359,0.463980463980464,0.327838827838828,0.224053724053724,0.392551892551892,0.584859584859585,0.0573870573870574,-0.025030525030525,-0.122710622710623,-0.043956043956044,0.295482295482295,0.0702075702075702,0.00305250305250305,0.0982905982905983,0.145299145299145,0.136141636141636,-0.0604395604395604,-0.183760683760684,-0.189255189255189,-0.419413919413919,-0.0763125763125763,-0.0946275946275946,-0.222832722832723,-0.161172161172161,-0.15995115995116,-0.196581196581197,-0.0274725274725275,-0.208180708180708,-0.144688644688645,-0.0134310134310134,0.068986568986569,-0.192307692307692,-0.246031746031746,0.068986568986569,-0.186536408828766,-0.187452299543146,0.0598290598290598,0.233211233211233,-0.0323565323565324,-0.105006105006105,0.261904761904762,-0.374904599086293,-0.283272283272283,-0.390720390720391,-0.634310134310134,-0.344322344322344,-0.36019536019536,-0.367521367521367,-0.416971916971917,-0.351037851037851,-0.248473748473748,-0.0671550671550672,0.317460317460317,0.14957264957265,0.202686202686203,0.00061050061050061,0.236263736263736,-0.109279609279609,0.103174603174603,0.199023199023199,-0.26984126984127
"Red.headed.Woodpecker",0.310744810744811,0.448107448107448,0.536630036630036,0.722222222222222,1,0.332722832722833,0.377289377289377,0.572649572649573,0.328449328449328,0.362026862026862,0.443223443223443,0.598290598290598,0.0463980463980464,-0.0592185592185592,-0.1996336996337,-0.0592185592185592,0.288766788766789,0.0811965811965812,0.27045177045177,0.216117216117216,0.256410256410256,0.266788766788767,0.0573870573870574,-0.236263736263736,-0.0207570207570208,-0.434676434676435,-0.10989010989011,-0.0903540903540904,-0.230769230769231,-0.16971916971917,-0.166056166056166,-0.296092796092796,-0.148351648351648,-0.16971916971917,-0.0531135531135531,0.0879120879120879,0.233211233211233,-0.126984126984127,-0.244200244200244,0.231379731379731,-0.183178142876039,-0.147458405015211,0.365689865689866,0.455433455433455,-0.263125763125763,-0.0604395604395604,0.0946275946275946,-0.504655783623487,-0.253357753357753,-0.516483516483516,-0.627594627594628,-0.36019536019536,-0.542735042735043,-0.347374847374847,-0.318681318681319,-0.26007326007326,-0.169108669108669,-0.0494505494505494,0.42002442002442,0.26984126984127,0.17032967032967,-0.00244200244200244,0.134310134310134,0.100732600732601,0.236874236874237,0.0347985347985348,-0.297924297924298
"Acadian.Flycatcher",0.0409035409035409,0.157509157509158,0.261294261294261,0.378510378510378,0.332722832722833,1,0.528083028083028,0.384004884004884,0.234432234432234,0.189255189255189,0.644078144078144,0.486568986568987,0.043956043956044,-0.00915750915750916,0.222222222222222,0.365689865689866,0.136141636141636,-0.143467643467643,0.0732600732600732,0.178876678876679,0.105616605616606,0.174603174603175,0.122710622710623,-0.0061050061050061,-0.00122100122100122,-0.117826617826618,0.0488400488400488,-0.0866910866910867,0.0128205128205128,0.111111111111111,-0.00793650793650794,-0.00854700854700855,0.0518925518925519,-0.0549450549450549,-0.217948717948718,0.0628815628815629,0.241147741147741,-0.083028083028083,-0.275335775335775,0.0793650793650794,-0.184704627400006,-0.325141203604969,0.0390720390720391,0.326617826617827,0.0836385836385836,0.227716727716728,0.112332112332112,0.0280873152409926,0.0958485958485958,-0.0634920634920635,-0.183760683760684,-0.00366300366300366,0.068986568986569,-0.21001221001221,-0.129426129426129,0.0366300366300366,-0.347374847374847,-0.00122100122100122,0.310744810744811,0.428571428571429,0.232600732600733,0.241147741147741,0.043956043956044,-0.153846153846154,0.00366300366300366,0.0543345543345543,-0.308302808302808
"Eastern.Wood.Pewee",0.225274725274725,0.337606837606838,0.380952380952381,0.358974358974359,0.377289377289377,0.528083028083028,1,0.550671550671551,0.241147741147741,0.228937728937729,0.446886446886447,0.446886446886447,0.360805860805861,0.288766788766789,0.32967032967033,0.517094017094017,0.535409035409035,0.304029304029304,0.322344322344322,0.35042735042735,0.540903540903541,0.32967032967033,0.310744810744811,0.0787545787545788,0.183760683760684,-0.0158730158730159,0.322954822954823,0.206349206349206,0.151404151404151,0.123321123321123,0.130647130647131,0.0976800976800977,0.347985347985348,-0.133089133089133,-0.391941391941392,0.129426129426129,0.156898656898657,-0.188034188034188,-0.176434676434676,-0.036019536019536,-0.370019848609598,-0.402076023612905,0.00061050061050061,0.00549450549450549,0.00183150183150183,0.0665445665445665,0.0231990231990232,-0.0244237523834718,0.0702075702075702,-0.00976800976800977,-0.036019536019536,0.2002442002442,0.252747252747253,0.043956043956044,0.0714285714285714,0.187423687423687,-0.0653235653235653,-0.181929181929182,0.300976800976801,0.304029304029304,0.308913308913309,0.377289377289377,-0.0897435897435897,0.115995115995116,0.369352869352869,0.341269841269841,-0.0750915750915751
"Summer.Tanager",0.401709401709402,0.307081807081807,0.436507936507936,0.463980463980464,0.572649572649573,0.384004884004884,0.550671550671551,1,0.12026862026862,0.147130647130647,0.45054945054945,0.648962148962149,0.166056166056166,0.156898656898657,0.118437118437118,0.382783882783883,0.368742368742369,0.311965811965812,0.436507936507936,0.537240537240537,0.523809523809524,0.47985347985348,0.371184371184371,0.105006105006105,0.35958485958486,0.128815628815629,0.27960927960928,0.307692307692308,0.0531135531135531,-0.125152625152625,0.0671550671550672,-0.0061050061050061,0.209401709401709,0.177045177045177,0.0170940170940171,0.374236874236874,0.278998778998779,-0.0793650793650794,-0.161782661782662,0.338217338217338,-0.182872845971245,-0.0607540840538862,0.24053724053724,0.437118437118437,0.0354090354090354,0.105616605616606,0.27960927960928,-0.381926427896541,-0.0995115995115995,-0.168498168498168,-0.180708180708181,0.108058608058608,-0.0231990231990232,0.15995115995116,0.0854700854700855,0.0671550671550672,-0.0177045177045177,-0.268620268620269,0.458485958485958,0.178876678876679,0.114163614163614,0.164835164835165,0.247863247863248,0.378510378510378,0.613553113553113,0.407203907203907,0.0927960927960928
"N..Rough.winged.Swallow",0.0537240537240537,0.390720390720391,0.291819291819292,0.327838827838828,0.328449328449328,0.234432234432234,0.241147741147741,0.12026862026862,1,0.286324786324786,0.367521367521367,0.298534798534798,-0.247252747252747,-0.194139194139194,-0.315018315018315,-0.185592185592186,-0.0494505494505494,-0.261904761904762,-0.121489621489621,-0.172771672771673,0.0195360195360195,-0.111111111111111,-0.122100122100122,-0.271672771672772,-0.565323565323565,-0.573870573870574,-0.327228327228327,-0.358974358974359,-0.401098901098901,-0.342490842490842,-0.435897435897436,-0.54029304029304,-0.340659340659341,-0.136752136752137,-0.308302808302808,-0.294871794871795,0.18986568986569,-0.125763125763126,-0.223443223443223,-0.185592185592186,-0.20302244168761,-0.483895594097536,0.0115995115995116,0.00427350427350427,0.0952380952380952,-0.0525030525030525,-0.434676434676435,-0.434437495521005,-0.180708180708181,-0.0415140415140415,-0.404151404151404,-0.324175824175824,-0.217948717948718,-0.437118437118437,-0.465811965811966,-0.34004884004884,0.101343101343101,-0.183760683760684,-0.346764346764347,-0.34004884004884,0.144688644688645,-0.219169719169719,-0.0238095238095238,-0.378510378510378,-0.30952380952381,-0.277777777777778,-0.44993894993895
"Eastern.Phoebe",0.374847374847375,0.448717948717949,0.0592185592185592,0.224053724053724,0.362026862026862,0.189255189255189,0.228937728937729,0.147130647130647,0.286324786324786,1,0.576923076923077,0.501221001221001,0.201465201465201,0.105006105006105,0.288156288156288,0.213675213675214,0.322954822954823,0.355921855921856,0.363247863247863,0.0170940170940171,0.170940170940171,0.114774114774115,0.304029304029304,0.0659340659340659,0.0488400488400488,-0.0775335775335775,0.057997557997558,0.258852258852259,0.263736263736264,0.277777777777778,0.192307692307692,0.17948717948718,0.068986568986569,-0.187423687423687,-0.109279609279609,0.221611721611722,0.423687423687424,0.128205128205128,-0.123321123321123,-0.142857142857143,-0.0155701421444633,-0.0705235850072749,0.025030525030525,0.148351648351648,-0.152014652014652,0.330891330891331,0.187423687423687,-0.222256146689594,0.181929181929182,0.13980463980464,0.0842490842490842,0.275335775335775,0.137973137973138,0.146520146520146,0.0317460317460317,0.196581196581197,0.0537240537240537,0.118437118437118,-0.0500610500610501,0.136141636141636,0.225885225885226,0.100732600732601,0.23992673992674,0.197191697191697,0.248473748473748,0.0445665445665446,-0.00305250305250305
