"","Blue.Jay","Red.bellied.Woodpecker","Northern.Mockingbird","Brown.headed.Nuthatch","Carolina.Wren","Mourning.Dove","Northern.Cardinal","Rock.Pigeon..Feral.Pigeon.","Evening.Grosbeak","Purple.Finch","Dark.eyed.Junco..Slate.colored.","House.Sparrow","American.Goldfinch","Pine.Siskin","Savannah.Sparrow","Swamp.Sparrow","Field.Sparrow","Song.Sparrow","White.throated.Sparrow","Eastern.Bluebird","Eastern.Phoebe","American.Crow","Ring.billed.Gull","Yellow.rumped.Warbler","Herring.Gull","Carolina.Chickadee","Tufted.Titmouse","sparrow.sp.","American.Robin","Chipping.Sparrow","American.Coot","Golden.crowned.Kinglet","Pine.Warbler","Ruby.crowned.Kinglet","Red.winged.Blackbird","Common.Grackle","European.Starling","Brown.headed.Cowbird","blackbird.sp.","Cedar.Waxwing","Yellow.rumped.Warbler..Myrtle.","American.Pipit","Great.Blue.Heron..Blue.form.","gull.sp.","Fox.Sparrow","Hooded.Merganser","Rusty.Blackbird","Bonaparte.s.Gull","House.Finch","Bufflehead","Hermit.Thrush","Eastern.Towhee","Pied.billed.Grebe","Eastern.Meadowlark","Red.headed.Woodpecker","Spotted.Eastern.Towhee..Rufous.sided.Towhee.","White.breasted.Nuthatch","Downy.Woodpecker","Ring.necked.Duck","Yellow.bellied.Sapsucker","Northern.Bobwhite","Northern.Flicker..Yellow.shafted."
"Blue.Jay",1,0.565968981026157,0.274875450109619,0.302126363849198,0.365359168774168,0.215714337958783,0.286524493946666,0.365254083523347,-0.103922699288785,0.0182801919883852,0.224646615844462,0.00839679872669885,0.213107699105103,0.162705396434074,0.173452656864291,0.187343746518703,0.0971290965778167,0.257474538595753,0.419634907288013,0.161174578489847,-0.0609818833722779,0.382683131153006,0.176010274380799,0.138202167798755,0.0127593139991293,0.0481243015778014,0.182059491261297,0.0428549144852514,0.140787375431096,0.248038551164265,-0.0776224786240071,0.179109379820921,-0.15056192057632,0.00247204297762097,0.00785029590160371,0.0538449500493565,0.0828567049602119,0.192241324521451,0.0686972822584219,-0.00383267838089603,-0.00549636018465395,0.118046089979489,-0.023235361735341,-0.0602715701327614,0.317681131922411,0.150208118557196,0.104463279103654,-0.134306304244708,0.125983646826167,0.392418118593338,0.179522174998741,0.361234937395183,0.00580540954066323,0.131671473010957,0.459792932230808,0.467114935104543,0.309351680437396,0.325841590113084,0.283278941017149,0.330464116257858,0.218827033908449,0.410275720421471
"Red.bellied.Woodpecker",0.565968981026157,1,0.319265598653911,0.513571694058578,0.456834706667963,0.0588370131691176,0.121375670430453,0.17980267416692,0.0860552625078696,0.0994489558109415,0.153714745367581,0.0429384745769283,-0.105582407805692,-0.0393843227138391,-0.0502111330667622,0.149449995753653,0.0235625580053863,0.282872681736528,0.449036827029826,0.187479485155329,0.133533350328688,0.320431789456327,0.303347977316548,0.400100151801826,0.132708223922727,0.374455508840584,0.391742361896837,0.0305853893569033,0.355783189748202,0.418685904707474,-0.00176391081260155,0.161486407041633,-0.0213043831346951,0.0931865652005241,0.0882103456045288,0.117465486774261,0.130447585373996,0.0352781180465416,0.0590933005169046,0.0463985130246978,0.191477834502068,-0.0427317069862826,-0.098861025224383,-0.0396994169851272,0.291728514948437,0.127051731814665,-0.0511697703827907,-0.137731593920512,-0.00604053903834121,0.157059308946887,0.221736872442506,0.399971190437161,0.0242069359374525,-0.0169393156566598,0.377671008972107,0.125494154602087,0.205133179144873,0.176734212955978,0.0885271109663769,0.141060072846755,-0.0335084076002563,0.0650236781461544
"Northern.Mockingbird",0.274875450109619,0.319265598653911,1,0.504976628409656,0.533900880700437,0.186074942641416,0.370932160202651,0.0952272074598838,0.253339008253612,0.176230165507863,0.443714782880163,0.307830952379943,0.101226010093715,0.247593656254451,0.128914434063349,0.165091677966144,0.260948637058727,0.388340479919721,0.50706480132734,0.188012428997599,0.262282767591204,0.138452073948894,0.190321235007858,0.0567407651485132,0.179960463760363,0.248265108256789,0.476839203618633,0.0456793069636697,-0.0981423416878168,0.223892099905439,0.164906782653358,0.431033290392507,0.00664762383631045,0.161405593427331,0.0149066676801093,0.0409993719308605,0.0553377022559754,0.0624580979523797,0.0522322312959271,-0.182165574969643,-0.228993703574355,-0.129922130587634,0.116001538095123,0.27844090838664,0.302972968615956,0.263321125349386,0.091272179793508,0.261175808461108,0.378145645970562,0.314001322628796,0.543761006208918,0.222193243152006,0.19470339369673,0.26804868272207,0.388891463082839,0.390698014668963,0.478636608549653,0.437899147966728,0.418318247087497,0.424663867025262,0.306805370583933,0.324055440462104
"Brown.headed.Nuthatch",0.302126363849198,0.513571694058578,0.504976628409656,1,0.633987162456283,0.0199065162106449,0.150685728509854,0.05359683233359,0.0875118732896482,0.0611728072766799,0.149187651611968,0.159728998954271,0.00549467539787085,0.138451140895744,0.219964309602031,0.178558636367974,0.186236508716187,0.225370106624137,0.31512828871718,0.437075751384195,0.299066554310157,0.379254039496151,0.255880877648841,0.392943816093945,0.481655139846599,0.469732170043992,0.541630431635315,0.0249140728834579,0.13733777748468,0.457882476217816,0.0907132970413803,0.227736775795664,0.136191335921435,0.190015313177671,0.0796241359417948,0.0697162228540508,0.0768234105285091,-0.00135913232711857,0.0190860103787205,-0.267040802454768,0.0454325929675391,-0.0284516240880516,-0.0136102719103002,-0.0977985370514789,0.201274085179248,-0.042313059102448,-0.16304706101857,0.0816509177216958,0.148396750933346,0.10252216039525,0.359781527793981,0.211022210246357,0.0753432471597359,0.126345122454948,0.295719743666625,0.305889151010883,0.44728371533327,0.388135945876375,0.318682173827237,0.339480387200015,0.161485403186213,0.145208536233678
"Carolina.Wren",0.365359168774168,0.456834706667963,0.533900880700437,0.633987162456283,1,0.107794149063152,0.409962639266075,0.0680994705603581,0.0790837814074263,0.0409232704111114,0.227331746576948,0.0978802590707687,0.16362269665262,0.00538956393986587,0.0553919556661167,0.0976233121959047,0.101228008413936,0.131519623532576,0.314810179361498,0.449361155036151,0.528552274573304,0.357398964964293,0.132793033835974,0.396674955339855,0.14470597988102,0.492783986545461,0.62253609657395,0.0502924286135798,0.107029859249159,0.47406615634624,-0.00284259180576531,0.366988675055096,0.0609285365036246,0.248583700688043,0.0713909131719928,0.093323619411924,0.107358081899458,0.111446753998498,0.0524742970065048,-0.00910727319274073,0.104381814964987,0.0670558359338799,0.20691052556754,-0.0143239157045361,0.367967549322172,0.0810124783527088,-0.0388508479416384,0.157903937648469,0.201886208414441,0.484022067297056,0.54187354978145,0.253952591205608,0.351796748962763,0.151956713234575,0.438909629239851,0.54283393056037,0.624061887746868,0.628778251130253,0.552076223982781,0.575736984417108,0.413999922461574,0.534432103038666
"Mourning.Dove",0.215714337958783,0.0588370131691176,0.186074942641416,0.0199065162106449,0.107794149063152,1,0.328886350623697,0.222254385548301,-0.109097891935124,0.279683641266773,0.130123580750857,0.20751396446782,0.342448590222146,0.0751494941652938,0.361526989604797,0.165729479525475,0.232097247734802,0.13832009502272,0.365584664678275,0.156951535407042,0.0870401572003572,0.264061652261062,-0.00209139435587011,-0.193531850671758,0.0632929273560559,0.222345549325885,0.123882986699184,-0.0328049965224215,0.0106312056044791,0.0309542037543657,-0.0521854030511963,-0.0201430503512206,-0.121551667600189,-0.158082022656301,0.0272866932677572,0.0166670495120589,0.00688448480566038,0.0261593882194165,0.113258410163165,0.146679211675672,0.00483523919706311,0.0753878863682943,0.200878880840289,0.175716833490624,0.0373902613124306,-0.0326080273971996,-0.100744362524889,0.0307060445505862,0.0596729582398896,-0.00410431225062003,-0.0374411503685028,-0.0303440875675712,-0.107393092663674,0.183756044197397,0.0483604081819094,0.186822890639642,-0.0112201406291118,0.0372907043459071,0.00309849434234918,0.0103314588313213,-0.00583244588991597,0.21737021182011
"Northern.Cardinal",0.286524493946666,0.121375670430453,0.370932160202651,0.150685728509854,0.409962639266075,0.328886350623697,1,0.348350553023712,0.0301030120254265,0.0349363637961238,0.311054834886117,0.088110091750997,-0.113771122621202,-0.134155446699088,0.046312585658963,0.0368244871079033,0.0964627644552319,0.0833892676053477,0.316778196444902,0.096942417413193,0.0349751055212877,0.357680393993791,-0.0110589661478962,0.215173490212561,0.14529105781449,0.309830405067744,0.450600695758443,-0.0176835635401667,-0.123419923354623,0.198790764154961,-0.102528313902942,0.290077927117254,-0.20985807244213,-0.0120252336667346,-0.114748509036451,-0.0799839926032696,-0.0487053089777508,0.099589710601086,-0.00367905702201028,-0.200973861552584,-0.328348181254048,-0.098524808602365,-0.0983260796566975,0.180259782489948,0.176769449431139,0.272251429705303,-0.157007390323029,-0.0436428988750053,-0.00550125945219734,0.150768851371595,0.162577751047716,0.197854241827916,0.162725711389398,0.00370860908374738,-0.0613126210616827,0.107950330119403,0.0924205869709437,0.0530732254022232,-0.00597861866870904,0.0190630692544061,0.186324703923067,0.0998607365222417
"Rock.Pigeon..Feral.Pigeon.",0.365254083523347,0.17980267416692,0.0952272074598838,0.05359683233359,0.0680994705603581,0.222254385548301,0.348350553023712,1,0.116068762884497,0.0618501834630443,0.0663715338497541,-0.00324912821351881,-0.0482075410195481,-0.0696314277635863,0.0540907972887343,0.133371513780338,0.125153549699826,0.0460117314006881,0.128935053061813,-0.121038519535313,0.0691310462784407,0.277941749314164,0.118667256324228,-0.0288053257598049,-0.049332218065783,-0.00355585364004379,-0.044686693890129,-0.0250729518926046,0.061099744737033,-0.0278236531090256,-0.14401130292335,0.0920058447181549,-0.108987468421297,-0.0808015514879766,0.00068966712635596,-0.0191013817948744,-0.0302077653384995,-0.0100571425535986,0.146506990974015,0.0782467887846942,-0.220789888713239,-0.243997579827122,-0.163872161061007,0.197258204858171,-0.0282195246659944,0.00676260957910147,-0.163027930341355,0.0887309900606802,0.00431520516040222,0.0984893476980645,0.154362920226664,0.124341550354077,-0.0631494328181315,0.00131508233499477,0.0231917525626397,0.169223476139135,0.099553626553488,0.102734129512003,0.0873947184549092,0.0908682998495261,0.156959115242929,0.0965280141540941
"Evening.Grosbeak",-0.103922699288785,0.0860552625078696,0.253339008253612,0.0875118732896482,0.0790837814074263,-0.109097891935124,0.0301030120254265,0.116068762884497,1,0.600718870468921,0.313011770371163,0.442825439886644,0.20355553120642,0.146852891811811,-0.00194607211457836,0.151181803969793,0.241178789524332,0.227721184409505,0.133789616904959,0.0272473026543652,0.0751261101421668,0.135156867553708,0.00420232918064805,-0.285532036042441,0.0455257174246137,0.18970659527042,0.195387982000782,0.0218301174129881,-0.0854658919552879,-0.0969246676172121,-0.0262212397576266,0.136534904828449,-0.0875749221573085,-0.0465866277831879,0.148261066082907,0.102448362070791,0.0495640220412097,-0.1450078949976,0.0491313768464623,0.0994648504131992,0.0164634190999207,-0.21061928744288,0.0676259592722937,-0.0502458687814535,0.0580991969503443,0.136958197043878,0.0667374656238725,0.223281258112595,0.357178315662168,0.206887649284474,0.244421485699285,0.175816377658541,0.238649312669721,0.275632717806929,0.0964438740495934,0.0473447530599655,0.307532602879458,0.257032225156828,0.271271414270004,0.247817907488062,0.222748651242504,0.0697046997298013
"Purple.Finch",0.0182801919883852,0.0994489558109415,0.176230165507863,0.0611728072766799,0.0409232704111114,0.279683641266773,0.0349363637961238,0.0618501834630443,0.600718870468921,1,0.365765458305212,0.479750284301302,0.425881287086773,0.346299964282594,0.152836153312397,0.23914200647777,0.334756707887897,0.264329652674789,0.253275850156643,0.0496032172733873,-0.0116453167690042,0.251741644999607,0.0440339759515431,-0.390549481449898,-0.0435455879585938,0.0870119088042364,0.028881313630483,0.0257932148385544,0.015407502629845,0.0649035905083088,-0.0216440074260963,-0.00926644731216423,-0.109028791136937,-0.135223791257381,0.172679030863413,0.089484879334553,0.015441636343812,-0.234033085961718,-0.0639513994339907,0.145216343633651,0.0603852852989948,-0.139291802620358,0.0137454864449137,-0.0692778602984951,0.074933374664524,-0.0112527937992298,0.06153257275518,0.00550854689230394,0.223805316116741,0.0984340295049289,0.117144588717807,0.0559646738236378,0.0054921692372507,0.135344910562131,0.0600140048738825,-0.00583887626861001,0.10365852738913,0.07913494359003,0.076266872688201,0.0877889948030347,0.126236081489429,0.220763887285837
