"","Dark.eyed.Junco","Fox.Sparrow","American.Pipit","Common.Grackle","American.Crow","Rusty.Blackbird","Vesper.Sparrow","Yellow.bellied.Sapsucker","Eastern.Towhee","Northern.Cardinal","Cedar.Waxwing","Yellow.rumped.Warbler","Blue.headed.Vireo","Hermit.Thrush","American.Robin","Baltimore.Oriole","Red.headed.Woodpecker","Gray.Catbird","Blue.Jay","Red.bellied.Woodpecker","Chipping.Sparrow","Brown.Creeper","White.breasted.Nuthatch","Northern.Mockingbird","Brown.headed.Nuthatch","Pileated.Woodpecker","American.Woodcock","Carolina.Wren","Black.and.white.Warbler","Carolina.Chickadee","Tufted.Titmouse","House.Wren","Orange.crowned.Warbler","Common.Raven","Red.winged.Blackbird","Pine.Siskin","Red.breasted.Nuthatch","Northern.Bobwhite","American.Goldfinch","Purple.Finch","Northern.Flicker","Song.Sparrow","White.throated.Sparrow","Fish.Crow","House.Sparrow","Swamp.Sparrow","Field.Sparrow","White.crowned.Sparrow","European.Starling","Savannah.Sparrow","Eastern.Bluebird","House.Finch","Brown.headed.Cowbird","Mourning.Dove","Downy.Woodpecker","Golden.crowned.Kinglet","Pine.Warbler","Ruby.crowned.Kinglet","Brown.Thrasher","Eastern.Phoebe","Winter.Wren","Blue.gray.Gnatcatcher","Eastern.Meadowlark","Common.Yellowthroat","Palm.Warbler"
"Dark.eyed.Junco",1,0.657692307692308,0.218461538461538,0.270769230769231,0.301538461538462,0.263076923076923,0.0602365920738669,0.223846153846154,-0.165384615384615,-0.0761538461538462,-0.144615384615385,0.0315384615384615,0.0776923076923077,0.199230769230769,-0.00846153846153846,0.325831896775537,0.0146153846153846,0.0650125036069253,0.549230769230769,0.0438461538461538,0.0738461538461539,0.182307692307692,-0.0538461538461538,0.146923076923077,0.152307692307692,0.251538461538462,0.0615384615384615,0.234615384615385,-0.318383208100297,-0.437692307692308,-0.22504328171628,-0.344615384615385,-0.37698293140711,0.17963739480947,0.176153846153846,0.363076923076923,0.410463558275676,0.193051631999758,0.353846153846154,0.416153846153846,0.256923076923077,0.106923076923077,0.483076923076923,-0.145665010274586,-0.206923076923077,-0.0453846153846154,0.0107692307692308,-0.0681525812349382,0.192307692307692,-0.0169230769230769,0.192307692307692,0.485384615384615,-0.0546153846153846,0.07,0.215384615384615,0.323076923076923,0.236153846153846,0.194615384615385,0.222307692307692,-0.125384615384615,-0.0115384615384615,-0.164084373613844,-0.208461538461538,0.143516747829933,-0.244615384615385
"Fox.Sparrow",0.657692307692308,1,0.385384615384615,0.450769230769231,0.18,0.389230769230769,0.18552870358751,0.463846153846154,0.0453846153846154,0.101538461538462,-0.201538461538462,-0.270769230769231,-0.0338461538461538,-0.171538461538462,-0.0946153846153846,-0.0276976346727729,0.250769230769231,0.0915560701683327,0.619230769230769,0.264615384615385,-0.00923076923076923,0.240769230769231,0.0361538461538462,0.000769230769230769,-0.0638461538461539,0.146153846153846,-0.0407692307692308,0.0607692307692308,-0.316073293652169,-0.66,-0.425851133093884,-0.439230769230769,-0.140982346274176,0.184303301168157,-0.0223076923076923,0.106923076923077,0.494325841034905,0.157530131711802,0.184615384615385,0.331538461538462,0.0469230769230769,-0.318461538461538,-0.0576923076923077,-0.635839330563669,-0.353076923076923,-0.359230769230769,-0.468461538461538,-0.267576327462172,-0.0446153846153846,-0.412307692307692,-0.117692307692308,0.0976923076923077,0.0523076923076923,-0.0630769230769231,-0.0353846153846154,0.123076923076923,-0.0253846153846154,-0.06,0.0907692307692308,-0.295384615384615,-0.163846153846154,-0.481366006004596,-0.376923076923077,0.130434792263665,-0.0807692307692308
"American.Pipit",0.218461538461538,0.385384615384615,1,0.302307692307692,0.0930769230769231,0.240769230769231,0.378285798223884,0.301538461538462,-0.0253846153846154,0.0292307692307692,-0.0446153846153846,0.0346153846153846,-0.0815384615384615,-0.271538461538462,-0.105384615384615,-0.153106369441161,-0.186923076923077,-0.261973461279977,0.0215384615384615,-0.169230769230769,0.149230769230769,-0.183076923076923,-0.173846153846154,-0.255384615384615,-0.0246153846153846,0.0684615384615385,-0.286923076923077,-0.0923076923076923,0.0565929039791338,-0.303846153846154,0.0126947492250209,-0.413076923076923,-0.24681566923068,0.205299879782251,0.0884615384615385,0.0392307692307692,0.195806889561686,0.150580272959811,0.0792307692307692,0.128461538461538,-0.269230769230769,0.0261538461538462,-0.126153846153846,-0.319461093961989,-0.0915384615384615,-0.205384615384615,-0.277692307692308,-0.251699873879033,0.0969230769230769,-0.361538461538462,-0.0246153846153846,-0.105384615384615,-0.116153846153846,0.0507692307692308,-0.266923076923077,-0.270769230769231,-0.0738461538461539,0.0807692307692308,-0.250769230769231,-0.46,-0.212307692307692,-0.108093497309594,-0.338461538461538,0.191612172705915,0.0523076923076923
"Common.Grackle",0.270769230769231,0.450769230769231,0.302307692307692,1,0.0661538461538462,0.166153846153846,0.307206619576721,0.0661538461538462,0.164615384615385,-0.193076923076923,-0.103846153846154,-0.0784615384615385,-0.136923076923077,0.0453846153846154,-0.0438461538461538,0.049240239418263,0.331538461538462,-0.045008656343256,0.0838461538461539,0.08,-0.313846153846154,-0.316153846153846,-0.263076923076923,-0.181538461538462,-0.115384615384615,-0.225384615384615,-0.466153846153846,-0.06,0.244080960018849,-0.323076923076923,-0.22504328171628,-0.285384615384615,-0.352648992187184,-0.0178859743749688,-0.303846153846154,-0.111538461538462,0.030005770895504,0.450968612351434,0.187692307692308,0.0423076923076923,-0.164615384615385,-0.270769230769231,-0.232307692307692,-0.306744307350715,-0.233846153846154,-0.0684615384615385,-0.155384615384615,-0.184708984369691,0.116153846153846,0.0376923076923077,0.220769230769231,0.137692307692308,-0.000769230769230769,0.119230769230769,0.350769230769231,-0.173076923076923,0.236923076923077,0.0376923076923077,0.197692307692308,-0.0407692307692308,-0.303846153846154,-0.124424169565001,-0.245384615384615,-0.309349772802321,0.0730769230769231
"American.Crow",0.301538461538462,0.18,0.0930769230769231,0.0661538461538462,1,0.411538461538462,0.272269396173878,0.268461538461538,0.130769230769231,-0.0338461538461538,-0.300769230769231,0.0192307692307692,0.182307692307692,0.324615384615385,0.0738461538461539,0.283516066025467,-0.144615384615385,0.294287368398212,0.196923076923077,0.0930769230769231,-0.00461538461538462,0.286923076923077,0.213076923076923,-0.126923076923077,0.308461538461538,0.178461538461538,0.102307692307692,0.266153846153846,0.198652642539,-0.03,0.0430852094909801,-0.00307692307692308,0.173813851570901,-0.176526790570345,0.160769230769231,0.000769230769230769,0.152721680070706,0.025482815423968,0.263076923076923,0,0.0484615384615385,0.233076923076923,0.471538461538462,0.260116089776046,0.0407692307692308,0.302307692307692,0.220769230769231,-0.0592462780053724,0.183846153846154,0.0569230769230769,0.217692307692308,0.195384615384615,-0.0107692307692308,0.0761538461538462,0.112307692307692,0.211538461538462,0.130769230769231,0.0807692307692308,-0.0946153846153846,0.243076923076923,0.233846153846154,0.182747999048595,-0.32,-0.0908041621658555,0.0384615384615385
"Rusty.Blackbird",0.263076923076923,0.389230769230769,0.240769230769231,0.166153846153846,0.411538461538462,1,0.238536904612513,0.183076923076923,0.00461538461538462,-0.0123076923076923,-0.2,-0.196153846153846,0.199230769230769,-0.00846153846153846,0.00230769230769231,-0.153491058811617,-0.182307692307692,0.066551261088746,0.0284615384615385,-0.0946153846153846,-0.0623076923076923,0.243076923076923,-0.00307692307692308,0.163846153846154,0.0930769230769231,-0.0169230769230769,0.230769230769231,0.135384615384615,-0.32030813680707,-0.344615384615385,-0.291594542805026,-0.137692307692308,0.0583242035271247,-0.207632832961595,-0.0753846153846154,0.158461538461538,0.536641671784975,0.00077220652799903,0.107692307692308,0.0269230769230769,-0.103846153846154,-0.196153846153846,0.00615384615384615,-0.296339663759673,-0.0853846153846154,-0.188461538461538,-0.0261538461538462,-0.0224593733615137,0.159230769230769,-0.0930769230769231,0.0153846153846154,0.247692307692308,-0.144615384615385,-0.245384615384615,-0.0723076923076923,-0.0792307692307692,-0.00769230769230769,-0.192307692307692,-0.03,-0.0323076923076923,-0.0192307692307692,-0.207632832961595,-0.330769230769231,-0.20161602108012,0.00692307692307692
"Vesper.Sparrow",0.0602365920738669,0.18552870358751,0.378285798223884,0.307206619576721,0.272269396173878,0.238536904612513,1,0.397561507687521,0.368647943492065,-0.146977284660235,-0.321663401674449,0.215646999624443,-0.177095580697169,-0.089150156269323,0.225284854356262,-0.226533154455562,0.169867189648305,0.279551552306864,0.266245736966492,0.463821758968775,0.272269396173878,0.377081066382407,0.481892736590935,-0.00602365920738669,0.413223021626727,0.315639742467062,-0.154205675709099,0.151796212026144,0.358149897544499,0.101197474684096,0.102421904940015,-0.28070251906422,0.0798508497366696,-0.154675749990045,-0.0710791786471629,-0.333710720089222,-0.0879623418896598,-0.00120939233022022,-0.0614413239153442,-0.00722839104886402,0.0228899049880694,-0.00120473184147734,0.157819871233531,-0.336164911640356,0.140953625452848,-0.259017345917628,-0.230103781722171,-0.33234101440346,-0.304797155893766,-0.201190217526715,0.0843312289034136,-0.261426809600582,-0.345758038503996,-0.0192757094636374,-0.109630597574438,-0.209623340417057,-0.0674649831227309,0.0457798099761388,-0.0421656144517068,-0.107221133891483,-0.0915596199522776,-0.204610440931713,-0.516829959993778,-0.30611964871237,-0.309616083259676
"Yellow.bellied.Sapsucker",0.223846153846154,0.463846153846154,0.301538461538462,0.0661538461538462,0.268461538461538,0.183076923076923,0.397561507687521,1,0.260769230769231,0.0130769230769231,0.00307692307692308,0.299230769230769,0.301538461538462,0.2,0.267692307692308,-0.116176189877464,0.188461538461538,0.100788615059257,0.472307692307692,0.384615384615385,0.134615384615385,0.415384615384615,0.239230769230769,-0.125384615384615,0.184615384615385,0.385384615384615,-0.0553846153846154,0.143076923076923,-0.0858518203220874,-0.421538461538462,-0.237353341570846,-0.505384615384615,0.153342442385884,-0.482921308124158,-0.0369230769230769,0.0692307692307692,0.0804000784251325,0.125869664063842,0.174615384615385,0.312307692307692,-0.0446153846153846,0.118461538461538,0.127692307692308,-0.436224316483681,-0.0776923076923077,0.05,-0.19,-0.121977631187532,-0.0207692307692308,-0.234615384615385,0.0107692307692308,-0.146923076923077,0.131538461538462,0.00153846153846154,-0.194615384615385,0.0346153846153846,-0.126923076923077,0.122307692307692,-0.108461538461538,0.151538461538462,0.114615384615385,-0.398934993667783,-0.391538461538462,0.0961908497519656,0.0461538461538462
"Eastern.Towhee",-0.165384615384615,0.0453846153846154,-0.0253846153846154,0.164615384615385,0.130769230769231,0.00461538461538462,0.368647943492065,0.260769230769231,1,0.318461538461538,-0.0523076923076923,0.211538461538462,0.0123076923076923,0.0238461538461539,0.176153846153846,0.0692440866819323,0.206923076923077,0.275052899875453,0.0507692307692308,0.31,-0.102307692307692,0.176923076923077,0.353846153846154,-0.214615384615385,0.117692307692308,0.0969230769230769,-0.0838461538461539,0.166923076923077,0.18286822714346,0.22,0.229274864791287,-0.186153846153846,0.189263971710537,-0.181970347988813,-0.0461538461538462,-0.522307692307692,-0.273898831764088,0.00463323916799418,-0.150769230769231,-0.451538461538462,-0.213846153846154,-0.0192307692307692,-0.08,-0.104431793080457,0.0392307692307692,-0.121538461538462,-0.253076923076923,-0.281516628169319,-0.18,-0.126923076923077,0.0476923076923077,-0.179230769230769,0.23,0.361538461538462,-0.0323076923076923,-0.0861538461538462,-0.205384615384615,-0.0215384615384615,0.222307692307692,0.309230769230769,0.00307692307692308,-0.244182432771314,-0.333846153846154,-0.210850342656308,-0.0669230769230769
"Northern.Cardinal",-0.0761538461538462,0.101538461538462,0.0292307692307692,-0.193076923076923,-0.0338461538461538,-0.0123076923076923,-0.146977284660235,0.0130769230769231,0.318461538461538,1,0.153076923076923,0.0238461538461539,0.247692307692308,0,0.0269230769230769,0.13887286273432,-0.44,-0.251202158907232,-0.0746153846153846,0.0253846153846154,0.0923076923076923,0.190769230769231,0.0423076923076923,-0.108461538461538,0.0115384615384615,0.12,0.378461538461538,0.418461538461538,-0.241386059829367,0.226153846153846,0.263896908132253,-0.303846153846154,-0.0478953724328706,0.257402500787595,-0.200769230769231,-0.234615384615385,-0.0473167925659871,-0.271816697855659,-0.346923076923077,-0.456153846153846,-0.377692307692308,-0.350769230769231,-0.197692307692308,-0.144123581594432,0.0246153846153846,-0.359230769230769,-0.291538461538462,-0.235823420295894,0.0330769230769231,-0.314615384615385,-0.234615384615385,-0.226923076923077,0.0715384615384615,0.0730769230769231,-0.176153846153846,-0.00461538461538462,-0.343076923076923,-0.0815384615384615,0.255384615384615,0.153076923076923,0.265384615384615,-0.139199539700844,-0.232307692307692,-0.123509051081524,0.00461538461538462
