"","European.Starling","House.Sparrow","Eastern.Meadowlark","Eastern.Phoebe","American.Goldfinch","Carolina.Wren","Northern.Flicker..Yellow.shafted.","Spotted.Eastern.Towhee..Rufous.sided.Towhee.","American.Crow","Eastern.Bluebird","Purple.Finch","Northern.Bobwhite","Pacific.Winter.Wren","Yellow.rumped.Warbler","Chipping.Sparrow","Herring.Gull","Savannah.Sparrow","Mourning.Dove","Eastern.Towhee","Pine.Warbler","Golden.crowned.Kinglet","Ruby.crowned.Kinglet","Brown.Thrasher","Red.headed.Woodpecker","American.Robin","Cedar.Waxwing","Pine.Siskin","count","Red.winged.Blackbird","Common.Grackle","Rusty.Blackbird","Ring.necked.Duck","American.Coot","Hooded.Merganser","American.Black.Duck","Bufflehead","Yellow.rumped.Warbler..Myrtle.","Great.Blue.Heron..Blue.form.","Pied.billed.Grebe","Fox.Sparrow","Swamp.Sparrow","Hairy.Woodpecker","Brown.Creeper","Hermit.Thrush","Song.Sparrow","Field.Sparrow","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Dark.eyed.Junco..Slate.colored.","Blue.Jay","Yellow.bellied.Sapsucker","White.throated.Sparrow","Tufted.Titmouse","Downy.Woodpecker","White.breasted.Nuthatch","Carolina.Chickadee","Northern.Cardinal","Northern.Mockingbird","Spinus.sp...goldfinch.sp..","Evening.Grosbeak","gull.sp.","Rock.Pigeon..Feral.Pigeon.","blackbird.sp.","House.Finch","American.Pipit","Bonaparte.s.Gull","Brown.headed.Cowbird","Ring.billed.Gull"
"European.Starling",1,0.0613588309425464,0.00476194300362614,0.00563691822995585,0.00739430813983699,0.0215751864686811,0.00900089401386162,0.00683290918287305,0.0129521561980058,0.00834487342799796,0.0035196177152135,0.00379493243795563,0.00436616036739406,-0.000228827873450587,0.000603732725410343,0.000242756650893609,0.0042620234895735,0.00639698225676966,0.00833190070724614,0.00986263825708677,0.00811544244995763,0.0124772646725845,0.0137891148846139,0.00901298039942812,0.000195555463210222,0.000832210126740036,-0.000841915284436533,0.0537788823643563,0.000387790313731031,-0.0015285499613068,-0.0005206649067141,-0.000454778243876806,0.000462928750437643,0.00189118457658421,0.00467509714158303,0.00760066126647014,0.0089491592498438,0.00449201539499088,0.00806210329296866,0.0105926601588176,0.00930594536835011,-0.0109458798429356,0.0112272904449479,0.0117317057785528,0.00940973633692756,0.0165562318908179,0.0163720177829609,0.0200640237073268,0.0202858327844228,0.0176385806013642,0.017986618241653,0.0195973461771074,0.0223578249650764,0.0269317890506083,0.0237253908300423,0.0270448214886419,0.0270198875370875,0.0226125447261745,0.0236369386051526,-0.000666292271828158,-0.000771571685158753,-0.000812634271308271,-0.000722275982880687,-0.000670962953122987,-0.000591967549681024,-0.000371267043282622,-0.00063494232590473,-0.000609402085215279
"House.Sparrow",0.0613588309425464,1,0.0111071232332481,0.0134379638389687,0.017025152942794,0.0469575081138364,0.0205114979336286,0.0718917832691317,0.0285246504333262,0.0188165716569085,0.00139603139534597,0.0119086278053539,0.0104644350372023,-0.000203153896805874,0.00225356493627788,0.00207218877289176,0.0127943801205687,0.0183522725582254,0.0182337205052983,0.0224252717869097,0.0234754079689974,0.0281744058108773,0.0305856493267921,0.0207176455537937,0.00230897828115399,0.0029142850703213,-0.00056847746506374,-0.00263073833134284,0.00143401480915714,-0.00135705006745661,1.13527525556126e-05,0.000334908047691433,0.00227613204355404,0.00566556610799508,0.0113712391231205,0.0174473213043315,0.0220616354442318,0.0129166038957504,0.0185337407027079,0.023987366360502,0.0213021865666678,0.025967308100769,0.0249130385178313,0.0264533809272226,0.0265839677141633,0.0290853489645962,0.0362075611893075,0.0438163050965708,0.0387522486388549,0.0388498714803339,0.039767254539822,0.042740215323092,0.0485317803480082,0.0582691496433158,0.0517582997110889,0.0585214025698074,0.0583096253327179,0.0490953870079317,0.0501921883106074,-0.000237594131463407,-0.000685003064274586,-0.000721458519912149,-0.000641238229761405,-0.000595682407408961,-0.000422824856073537,1.78075022084928e-05,-0.000563703214164603,-0.000541028531473224
"Eastern.Meadowlark",0.00476194300362614,0.0111071232332481,1,0.0201194791716928,0.0252599028220435,0.0339943509363751,0.0302468234307378,0.0229505050995311,0.0426349870500986,0.0277604946099554,0.000858751723609141,0.00666996370444485,0.00475747776066845,-0.000173223757319505,-0.000589290779496263,-0.000947288608716606,0.00723301979958332,0.0106732400952527,0.02667674693655,0.0162425317044827,0.0133783020617192,0.0203062395092231,0.0220912049122649,0.0149006320135554,0.0015478317967149,0.00201193757399855,-0.000545945040380273,0.00342266020612154,0.000919379764185126,-0.00115711938216116,-0.000289746542380379,0.000431369846868021,0.000761586432543418,-0.000996925718643719,0.00812599856795655,0.00811229174344515,0.0194774574730473,0.0145022547854222,0.00861078652483933,0.0172826431906096,0.0153285118971393,0.0187477944891079,0.0179931776563959,0.0190690455359737,0.0191774375546573,0.020992091360747,0.0261610944668902,0.0310394792895902,0.0280530671137261,0.0280841030326615,0.0287340511359675,0.0309335389937838,0.0351454778718619,0.0422140405730453,0.0374591012186903,0.0423961025530806,0.0422567582877175,0.0355526767896751,0.000100619634712417,0.000160912097272142,-0.000584083330099522,-0.000615167897511712,-0.000546766255743331,-0.000507922055165649,-0.000510700948053873,0.000371987464584651,-0.000480654273956852,-0.000461320193766405
"Eastern.Phoebe",0.00563691822995585,0.0134379638389687,0.0201194791716928,1,0.0307650922551726,0.0415167265291713,0.0369059292492743,0.0279821699953902,0.0511049392596058,0.0338674695185324,0.000170065997761781,0.00797739534125859,0.00564854999142218,-0.00025726644885493,-0.000875196038521986,-0.00140688309834852,0.0066571546670281,0.0198912838307381,0.0326266022057882,0.0192551421790945,0.0196809714169955,0.0570040305001837,0.0268456565213815,0.0350092365850837,0.00158782186119311,0.00228616060159864,-0.000857237490305069,-0.00831976388075788,0.000947338192707204,-0.00171851713042206,-0.000532193449132793,0.000322885953526025,0.000729893299170435,-0.00609912250993623,0.00973873295990722,0.00974667853806371,0.0179769284947828,0.0222360082629829,0.00682476090871039,0.0209623894678631,0.0185579682548871,0.0320281778447171,0.0234433058556217,0.0217706892753992,0.0233027129296965,0.025525573834392,0.0318610404374013,0.0378425575700359,0.0342586743761889,0.0342272984551653,-0.016573199607401,0.0377650609190864,0.0429425922646598,0.051609051718071,0.0457294167821397,0.0518304332572094,0.0516846709506295,0.0434384682464313,0.000149437100938645,-0.000161133126150673,-0.000867462099282923,-0.000913627916235977,-0.000812039960023144,-0.000754349781170905,-0.000825655894182962,0.000328275207560899,-0.00071385253444017,-0.00120519640363089
"American.Goldfinch",0.00739430813983699,0.017025152942794,0.0252599028220435,0.0307650922551726,1,0.192174229291758,0.12444705749275,0.110875463821907,0.0636827351878011,0.0423363304686708,0.0123004033959462,0.00978462058619038,0.00737442881011674,-0.000229024846481359,-0.000779120788022064,-0.00125244153308937,0.0111202658582629,0.0146299375311181,0.0406213468718149,0.0248859103960351,0.0204998511294014,0.0310688190747501,0.0337365616987693,0.0228401770971949,0.00259049367266365,0.00314644940367641,-0.000686292183645598,0.0061207154325055,0.00153548122988967,-0.00152986572373612,-0.000305128778842262,0.000813495859072165,0.00131392143268406,-0.00131806839430493,0.0125264382408813,0.0124866580832122,0.0228139471322188,0.022210226020026,0.0132571276887346,0.0264505440656046,0.023485997038641,0.0286410047557964,0.0274794037681834,0.0291715880363318,0.0293182531756334,0.0839647182134277,0.039939379892131,0.0473562779314886,0.042756295806721,0.0909309177867548,0.0438661419329764,0.0471551129439081,0.0875890478048319,0.0642958349360146,0.0571044800461503,0.0645740498536202,0.0643429958284269,0.0541703938127487,0.0001330325398178,0.000387523778433529,-0.00077223584731254,-0.000813333779776862,-0.000722897711725375,-0.000671540512160739,-0.000675214578160722,0.000663372711583701,-0.000635488878701758,-0.000609926653196781
"Carolina.Wren",0.0215751864686811,0.0469575081138364,0.0339943509363751,0.0415167265291713,0.192174229291758,1,0.165870010135084,0.130333604102287,0.0775275030170225,0.0567218347876775,0.00659828632988985,0.02859210023463,0.0324032218122009,-0.00017872993594035,0.00803019344359136,0.00836039117218723,0.0310855330411789,0.0453894128251141,0.0559635670539519,0.0685035768345835,0.056459293061966,0.0849859058777547,0.0914964669225898,0.062999563767826,0.00985001685305237,0.0102236649837529,-2.44844728205783e-05,-0.00112691936118835,0.0058018904198987,-0.00119390016848258,0.00167753373381051,0.00289546932009592,0.0085696524872563,0.0190211318077081,0.0372285594117912,0.0530224426231985,0.0791338110961009,0.0610223813331076,0.0563610849013656,0.072450868231027,0.0646562031816111,0.0778055481632241,0.0745407201139367,0.0797426429799293,0.0799053961602985,0.180453004179898,0.10816320885389,0.128616828037049,0.114900914508337,0.179720850504005,0.118781456846903,0.126829732158285,0.188926109972761,0.172241970921208,0.153612228212128,0.189077172260947,0.172144703797567,0.145376111475551,0.146996621648247,0.00103719847931553,-0.000602649300464871,-0.000634721937776831,-0.000564146046567333,-0.000524067124436066,-1.02956744071028e-05,0.00123892928024402,-0.000578035687315685,-0.000475983952523095
"Northern.Flicker..Yellow.shafted.",0.00900089401386162,0.0205114979336286,0.0302468234307378,0.0369059292492743,0.12444705749275,0.165870010135084,1,0.157481018315174,0.0758653835365605,0.0505447846489694,0.00224039512267499,0.0137752960581558,0.00906030181774093,-0.000197793209260135,-0.000672873722794259,-0.00646071230322403,0.0134689195514095,0.0197689642115531,0.0970628455130731,0.0299586839317927,0.0246836096336722,0.0373092271135598,0.0403770880744396,0.027517902141702,0.00358757676425034,0.00409430549881053,-0.000504543832204968,-0.00288704055618597,0.00212017971504748,-0.00132124114865261,-7.00353566571796e-05,0.001306103358121,0.00189672632652934,-0.00113832617613093,0.0152431150622594,0.0151550046693884,0.0275164766892353,0.0267176059048036,0.0160968850513468,0.0317802115240249,0.0282744757551627,0.034300743538149,0.0328907546182852,0.0340305946494863,0.0351566793798875,0.0384376468006654,0.0421356713334908,0.0543668617722482,0.0509897475630883,0.124512282267562,0.0524682124055831,0.0562542055335544,0.115717322621907,0.092046246545217,0.0681272744306984,0.0769167700775388,0.0766010112037082,0.0645668975182074,0.000114891171813293,0.000768473719748914,0.00363298138208787,-0.000702421160731752,-0.00062431766930888,-0.000579963943167086,-0.000583136984504176,0.000998711742141838,-0.000548828595232279,-0.000526752236722804
"Spotted.Eastern.Towhee..Rufous.sided.Towhee.",0.00683290918287305,0.0718917832691317,0.0229505050995311,0.0279821699953902,0.110875463821907,0.130333604102287,0.157481018315174,1,0.0645131106358261,0.0383991790477063,0.00156471927471384,0.00870125992451287,0.0143166604063608,-0.000174125368084765,-0.000592357973735738,-0.000952219142614192,0.010171667118307,0.014950488221325,-0.000295772823724268,0.0226816451426028,0.0186863212989222,0.0282757239454145,0.0306433442704143,0.0208268661744623,0.00256940524683143,0.00302300621710816,-0.000482616930072301,-0.00118575148610063,0.00152017841460396,-0.00116314206235025,0.000394143371962642,0.000886611296870953,-0.000789869443911529,-0.00100211460828508,0.0114894436014621,-0.000768188346034646,0.0208163539544444,0.0202340835718089,-0.000831468909960171,0.0240801296598651,0.0214062020690688,0.026024845546536,0.0249609773904365,0.0265449501653512,0.026660159119948,0.0291574075271942,0.0362655007442471,0.0429707444821423,0.0387550211682116,0.109882231182223,0.0398298167456937,0.0427504337911046,0.0987842042166674,0.0582372014644425,0.0517721635099245,0.0584900785905252,0.0582627837716264,0.0490854345043404,0.000101143348937459,0.00169843109577147,0.00596082438853505,-0.000618369779328424,5.24954071134773e-05,-0.000510565734069089,-0.000513359090791846,-0.000495258172167092,-0.000483156027032893,-0.000463721315063614
"American.Crow",0.0129521561980058,0.0285246504333262,0.0426349870500986,0.0511049392596058,0.0636827351878011,0.0775275030170225,0.0758653835365605,0.0645131106358261,1,0.0696567283976453,0.00369182306779285,0.0178418245473252,0.0128416523882615,-0.000167582936062414,-0.000570101241022942,-0.000916441305763534,0.0188291180119941,0.0275437215500633,0.0664647518773971,0.0416305267329815,0.0343072390703001,0.0517172076164832,0.0557824952552875,0.0382690491618866,0.00563102444374449,0.00602732164967666,-0.000258296110430583,0.00100926167969761,0.00332026196574206,-0.00111943919493406,0.000311970121849803,0.00226485277353893,0.00306932209440325,-0.000964462043496125,0.021406585192311,0.0212287729766374,0.0383085786367813,0.0370992255100039,0.0225573742961756,0.0440763012464937,0.0392916209229777,0.0474185276562227,0.0454432317830258,0.0485335157046688,0.0486638797717395,0.0531648594702749,0.0659643271455804,0.0780310782178089,0.0701916059332014,0.0706720412159965,0.0724421059196033,0.0774643807946581,0.0878061487020493,0.105293200315096,0.0938194574127521,0.105754286072101,0.105263733980815,0.113174636216799,9.73430785220362e-05,0.00148358365833601,-0.000565063365890591,-0.000595135702120851,-0.000528961476735045,-0.000491382190368369,-0.000494070591985153,0.00166331491155369,-0.000465002351334827,-0.000446297861982369
"Eastern.Bluebird",0.00834487342799796,0.0188165716569085,0.0277604946099554,0.0338674695185324,0.0423363304686708,0.0567218347876775,0.0505447846489694,0.0383991790477063,0.0696567283976453,1,0.00202581710349734,0.0115056542257209,0.00829926435579683,-0.000186942132921511,-0.000635959391105554,-0.00102230869336823,0.0123509163434245,0.0181327540492457,0.0444075309124996,0.0274847443328894,0.0226449221847475,0.0342348139267287,0.0370594453656843,0.0252439734619115,0.0032583182252124,0.00373893583941585,0.00682835319762077,-0.000460243585586088,0.00192598099848172,-0.0012487569181797,-8.51700227868927e-05,0.0011752542417255,0.00171793549620217,-0.00107587679133233,0.0139728750724346,0.0138948707603048,0.0252405442113165,0.0245127150449416,0.0147579619716052,0.0291602186004841,0.0117392331756159,0.0314808017734696,0.0301880640654306,0.0321364240934682,0.0322631965592304,0.035276203844318,0.0438504408323907,0.0519375781909828,0.0468130143639061,0.047019531609384,0.0431999897745135,0.0516449245066632,0.0601164627490146,0.0703168702265212,0.0634214784196824,0.0706228140037808,0.0703357760649002,0.0592804973230982,0.00010858816029609,0.000683768064257682,-0.000630339540154591,-0.000663885835552542,-0.000590067157298619,-0.000548146708164026,-0.000551145674193317,0.000902159112587458,-0.000518719467593093,-0.000497854233835454
