"","Gray.Catbird","Blue.Jay","Red.bellied.Woodpecker","Common.Grackle","Downy.Woodpecker","Pine.Warbler","Eastern.Towhee","Northern.Cardinal","Brown.Thrasher","Eastern.Phoebe","Northern.Mockingbird","White.breasted.Nuthatch","Brown.headed.Nuthatch","Pileated.Woodpecker","Carolina.Wren","Chipping.Sparrow","Carolina.Chickadee","Tufted.Titmouse","American.Crow","Red.winged.Blackbird","Song.Sparrow","American.Robin","European.Starling","American.Goldfinch","Northern.Bobwhite","Common.Yellowthroat","Blue.gray.Gnatcatcher","Eastern.Meadowlark","House.Sparrow","Field.Sparrow","Fish.Crow","Eastern.Bluebird","House.Finch","Brown.headed.Cowbird","Mourning.Dove"
"Gray.Catbird",1,0.511252173334933,0.509713415853113,-0.045008656343256,0.00807847677955877,-0.158107331257079,0.275052899875453,-0.251202158907232,-0.0850163508705946,-0.0734756697569393,0.0273129453023177,0.46047317643485,0.0696287760523875,0.310059632586875,0.155414505663892,0.330063479850544,0.166185808036637,0.0211619853789919,0.294287368398212,0.372763999971069,0.282361997914102,0.427389890575704,-0.0465474138250767,0.282361997914102,0.121645923856545,0.0257841066924518,-0.118614599310248,-0.233121758495839,-0.120023083582016,-0.0873244870933257,-0.114087664376894,-0.319676866848254,-0.182342761595755,-0.305828049511868,0.0688593973114771
"Blue.Jay",0.511252173334933,1,0.656923076923077,0.0838461538461539,0.156923076923077,-0.126153846153846,0.0507692307692308,-0.0746153846153846,0.00692307692307692,-0.170769230769231,0.288461538461538,0.496923076923077,0.384615384615385,0.6,0.398461538461538,0.44,-0.19,-0.036545490193242,0.196923076923077,0.184615384615385,0.127692307692308,0.0692307692307692,-0.0653846153846154,0.257692307692308,0.0548266634879312,0.355521380683265,-0.391936134129752,-0.338461538461538,0.0492307692307692,-0.170769230769231,-0.292100734889249,-0.117692307692308,0.05,-0.226923076923077,-0.0161538461538462
"Red.bellied.Woodpecker",0.509713415853113,0.656923076923077,1,0.08,0.194615384615385,-0.151538461538462,0.31,0.0253846153846154,-0.0423076923076923,0.146923076923077,0.235384615384615,0.618461538461539,0.436923076923077,0.579230769230769,0.502307692307692,0.489230769230769,0.151538461538462,0.0373148689341524,0.0930769230769231,0.01,-0.00461538461538462,0.350769230769231,-0.443846153846154,-0.04,-0.107336707391865,0.0634859608362973,-0.578572388477253,-0.493076923076923,0.290769230769231,-0.218461538461538,-0.379576812488008,-0.142307692307692,-0.210769230769231,-0.222307692307692,-0.158461538461538
"Common.Grackle",-0.045008656343256,0.0838461538461539,0.08,1,0.350769230769231,0.236923076923077,0.164615384615385,-0.193076923076923,0.197692307692308,-0.0407692307692308,-0.181538461538462,-0.263076923076923,-0.115384615384615,-0.225384615384615,-0.06,-0.313846153846154,-0.323076923076923,-0.22504328171628,0.0661538461538462,-0.303846153846154,-0.270769230769231,-0.0438461538461538,0.116153846153846,0.187692307692308,0.450968612351434,-0.309349772802321,-0.124424169565001,-0.245384615384615,-0.233846153846154,-0.155384615384615,-0.306744307350715,0.220769230769231,0.137692307692308,-0.000769230769230769,0.119230769230769
"Downy.Woodpecker",0.00807847677955877,0.156923076923077,0.194615384615385,0.350769230769231,1,0.517692307692308,-0.0323076923076923,-0.176153846153846,0.257692307692308,0.368461538461538,0.333076923076923,0.00384615384615385,0.201538461538462,-0.0115384615384615,0.377692307692308,0.151538461538462,0.155384615384615,0.286593580989109,0.112307692307692,-0.252307692307692,-0.0253846153846154,-0.119230769230769,0.09,0.15,-0.0903481637758866,0.0380915765017784,0.157863165135594,-0.0430769230769231,0.208461538461538,0.327692307692308,0.2127171578613,0.339230769230769,0.406153846153846,0.0246153846153846,0.116923076923077
"Pine.Warbler",-0.158107331257079,-0.126153846153846,-0.151538461538462,0.236923076923077,0.517692307692308,1,-0.205384615384615,-0.343076923076923,0.163846153846154,0.146153846153846,0.186153846153846,-0.276923076923077,0.0653846153846154,-0.328461538461538,-0.106923076923077,-0.12,-0.306153846153846,0.125408734768388,0.130769230769231,-0.211538461538462,-0.106153846153846,-0.232307692307692,-0.126153846153846,-0.0346153846153846,-0.325871154815591,0.265101981916417,0.449482312553565,0.381538461538462,-0.108461538461538,0.0976923076923077,0.0874760775987593,0.300769230769231,0.288461538461538,0.0338461538461538,-0.18
"Eastern.Towhee",0.275052899875453,0.0507692307692308,0.31,0.164615384615385,-0.0323076923076923,-0.205384615384615,1,0.318461538461538,0.222307692307692,0.309230769230769,-0.214615384615385,0.353846153846154,0.117692307692308,0.0969230769230769,0.166923076923077,-0.102307692307692,0.22,0.229274864791287,0.130769230769231,-0.0461538461538462,-0.0192307692307692,0.176153846153846,-0.18,-0.150769230769231,0.00463323916799418,-0.210850342656308,-0.244182432771314,-0.333846153846154,0.0392307692307692,-0.253076923076923,-0.104431793080457,0.0476923076923077,-0.179230769230769,0.23,0.361538461538462
"Northern.Cardinal",-0.251202158907232,-0.0746153846153846,0.0253846153846154,-0.193076923076923,-0.176153846153846,-0.343076923076923,0.318461538461538,1,0.255384615384615,0.153076923076923,-0.108461538461538,0.0423076923076923,0.0115384615384615,0.12,0.418461538461538,0.0923076923076923,0.226153846153846,0.263896908132253,-0.0338461538461538,-0.200769230769231,-0.350769230769231,0.0269230769230769,0.0330769230769231,-0.346923076923077,-0.271816697855659,-0.123509051081524,-0.139199539700844,-0.232307692307692,0.0246153846153846,-0.291538461538462,-0.144123581594432,-0.234615384615385,-0.226923076923077,0.0715384615384615,0.0730769230769231
"Brown.Thrasher",-0.0850163508705946,0.00692307692307692,-0.0423076923076923,0.197692307692308,0.257692307692308,0.163846153846154,0.222307692307692,0.255384615384615,1,0.314615384615385,0.265384615384615,0.0769230769230769,-0.0738461538461539,-0.28,0.157692307692308,0.00692307692307692,0.0953846153846154,0.289286406582295,-0.0946153846153846,-0.518461538461538,-0.360769230769231,-0.0953846153846154,-0.00769230769230769,-0.256923076923077,-0.183785153663769,-0.167756841967428,0.0894298718748442,0.0746153846153846,-0.387692307692308,-0.0761538461538462,-0.155298939525551,0.297692307692308,0.0553846153846154,0.110769230769231,0.249230769230769
"Eastern.Phoebe",-0.0734756697569393,-0.170769230769231,0.146923076923077,-0.0407692307692308,0.368461538461538,0.146153846153846,0.309230769230769,0.153076923076923,0.314615384615385,1,0.108461538461538,0.116153846153846,0.153076923076923,-0.0430769230769231,0.364615384615385,0.0107692307692308,0.229230769230769,0.094248895761519,0.243076923076923,-0.375384615384615,0.146923076923077,0.186923076923077,0.0853846153846154,0.126153846153846,0.0270272284799661,-0.325894598959659,-0.0738768506792191,-0.187692307692308,0.263076923076923,0.573076923076923,0.218882872581917,0.44,0.25,0.396153846153846,0.233076923076923
