"","Yellow.billed.Cuckoo","Great.Blue.Heron","Brown.Thrasher","Red.bellied.Woodpecker","Song.Sparrow","Blue.Grosbeak","White.breasted.Nuthatch","Acadian.Flycatcher","Summer.Tanager","Northern.Parula","Fish.Crow","White.eyed.Vireo","Chipping.Sparrow","Great.Crested.Flycatcher","Hooded.Warbler","Pileated.Woodpecker","Red.shouldered.Hawk","Yellow.throated.Warbler","Carolina.Wren","Eastern.Bluebird","Eastern.Phoebe","Purple.Martin","Turkey.Vulture","Tufted.Titmouse","Eastern.Wood.Pewee","Ovenbird","Red.eyed.Vireo","Yellow.throated.Vireo","Blue.gray.Gnatcatcher","Grasshopper.Sparrow","American.Crow","Northern.Mockingbird","European.Starling","Eastern.Whip.poor.will","American.Robin","Common.Grackle","Barn.Swallow","Blue.Jay","Scarlet.Tanager","Eastern.Meadowlark","Mourning.Dove","Field.Sparrow","Northern.Cardinal","Chimney.Swift","Ruby.throated.Hummingbird","Gray.Catbird","Red.winged.Blackbird","Prairie.Warbler","American.Goldfinch","House.Sparrow","Eastern.Towhee","Indigo.Bunting","Yellow.breasted.Chat","Common.Yellowthroat","Northern.Bobwhite","Wood.Thrush","Eastern.Kingbird","Canada.Goose","Killdeer","House.Finch","Orchard.Oriole","Downy.Woodpecker","Carolina.Chickadee","Pine.Warbler","Brown.headed.Cowbird","Brown.headed.Nuthatch"
"Yellow.billed.Cuckoo",1,0.234447719872833,0.337015103502373,0.336185819070905,0.126132738179441,0.352590558909385,0.00994340481365514,0.017895388386118,0.0404889233144566,0.0368157332159738,0.107579462102689,0.022303697955156,0.0186430317848411,0.0713303878154984,-0.187635736445546,0.108100045725247,0.220471401380011,0.069603833695586,0.124007353620287,-0.206201335226816,-0.190367008083312,0.228405466616069,0.182779844727249,0.273976837924624,-0.376625579249522,-0.341851892669235,-0.394652411023553,-0.437130700096719,0.0319327734819677,0.070264373713026,-0.0569726652145201,-0.0877944695182201,-0.303604210587599,-0.309689494902203,-0.27781173594132,-0.206780734977671,-0.085880195599022,-0.183651644618781,-0.0856531409933855,-0.128687148071826,-0.212889471609212,-0.106269133026427,0.0946998724745375,-0.0638753056234719,-0.0291817601627031,-0.18812498419464,-0.0793456741457428,-0.261959348925308,-0.234270049819606,-0.320527011832097,-0.131032400746559,-0.189247003219277,-0.242780751496874,-0.179271582371548,-0.356005971280595,-0.0878533241728776,-0.13495751320921,-0.0804948916033569,-0.485539863670315,-0.259853357683016,-0.259152161955767,-0.238269909553416,-0.430317848410758,-0.611611924633094,-0.405939653953544,-0.238954313467815
"Great.Blue.Heron",0.234447719872833,1,0.384532668047349,0.477936234172135,0.0561625403892662,-0.173180664397727,-0.119190229506581,0.0489264632350751,0.174353427553617,-0.091216788765473,0.252222841118094,0.149816879593857,0.278732289182146,0.257927509703411,-0.203384769427576,0.242284732842353,0.200982132824158,0.118423239612716,0.192650404225289,-0.0526882798919083,0.111009148732394,0.34156153469345,0.0980181299015872,0.171210772594494,-0.242062010503712,0.00322234464098841,-0.720854900386441,-0.198306786755259,0.0862574514171236,-0.212456933269398,0.206005047833188,0.0414111130829789,-0.378256358057602,-0.0430626323297695,-0.172847730729775,-0.139663886052038,-0.329759145860351,-0.261989772510269,-0.188190502788204,0.033716589528761,-0.0474734700396181,-0.119902146835266,-0.074743838916428,-0.182807927979275,-0.0651472553158398,-0.018002786919299,-0.28238615211191,-0.379618146648823,-0.333233131632932,-0.27828105088117,0.0765701129671259,-0.330067567346112,-0.144170980077288,-0.203868677210036,-0.20399386523363,-0.233952270539872,-0.171428579518622,-0.240313695204663,-0.096363449263844,0.0174633172532717,-0.160190463940061,-0.297778788429012,-0.17928355049099,-0.434964306524358,0.0554106229278006,-0.226890067929222
"Brown.Thrasher",0.337015103502373,0.384532668047349,1,0.595526233850418,-0.0424942389195708,0.104432377130507,0.0873371462971861,-0.106200442940407,0.0666875217092137,-0.230875813438651,0.127568956375785,-0.0843046783594469,0.0167127599098083,-0.0602303271424978,-0.133312833155539,-0.114457015235752,-0.01258830048897,-0.103760827586815,-0.067116683447239,0.073563758341982,-0.125805941518603,0.190674226024785,0.0803997162945456,0.152621499345776,-0.0337683166702653,-0.0422233299260278,-0.401198262788534,-0.349407206916548,-0.0266750086836855,0.00123687351734557,0.255634060238388,0.315378483009445,0.145266246365257,0.130348461926236,0.0717575379613789,0.089182442388797,0.257744489985209,0.0758858005656569,0.052025939532945,-0.0092010904960799,0.224028747031652,-0.0676590490362243,0.0591575223333439,0.226925547399232,0.182308784057912,-0.142725215501602,-0.38180864728535,-0.127588454878975,-0.086117753646914,-0.0732607403988481,0.0419862357637979,-0.0868971895414663,-0.115285095000756,-0.253302910213826,-0.0654780481335141,-0.0898365234979292,-0.066246569825222,-0.0153257829879129,0.0316291125991336,-0.168609356718894,0.051022005856291,-0.0265298109303637,0.00981299664429113,-0.245747350114643,0.0469974561049214,-0.0194815983146804
"Red.bellied.Woodpecker",0.336185819070905,0.477936234172135,0.595526233850418,1,0.140403230455217,0.142900811694961,0.0532354596177229,0.171000377911795,0.262337665399706,-0.0589051731455581,0.285299511002445,0.252215104958648,0.303484107579462,0.261493841413562,0.0418843467290549,0.0457817474105509,0.164626806304574,0.130946992622905,-0.108430075209857,-0.195051188951588,0.133027547817254,0.310197250176709,0.0741537676848187,0.51557737170208,0.0878079132775085,0.219281003668314,-0.540718111735328,-0.254417130333777,0.0319327734819677,-0.180745856064429,0.24026274097169,0.290608871227558,-0.265424606640466,-0.0651086761151251,-0.129278728606357,0.0143555310841219,0.0487469437652812,-0.0899923616309998,-0.00489446519962203,-0.100259820825555,0.029932809494552,-0.129816538042355,0.0598747580806753,0.0282701711491442,0.0316391715448255,0.0443459383623581,-0.344137018308414,-0.200213971465667,-0.138973758367563,-0.206490419752387,-0.0482590193891757,-0.238429840214118,-0.195110773858721,-0.329761732218885,-0.395221775345927,-0.362414060761853,-0.231311969291609,-0.213074713067709,-0.325325480669111,0.0944088036731945,0.0185327491705956,0.000611340370887534,0.142420537897311,-0.202444616572283,0.0379611742761987,0.146155037540135
"Song.Sparrow",0.126132738179441,0.0561625403892662,-0.0424942389195708,0.140403230455217,1,0.408996503327136,0.458681120064381,0.480727427468089,0.471314566666107,0.286198411609607,0.578952337166702,0.513734182842381,0.412309814462478,0.58313500724863,0.20397473666802,0.448955529629909,0.453527819439479,0.535332787483044,0.13955072578681,0.0285279093498804,0.132812128613777,0.0698500288996731,-0.0920001088759329,0.247817552606027,0.0101382966926487,0.0318071284201832,-0.262966525802639,-0.100678403357903,0.077171623383155,0.105834127936671,-0.448624380905377,-0.361083125232421,-0.546241412365513,-0.262134173583462,-0.53644775264638,-0.35424415007421,-0.284028830133996,-0.619367482301782,-0.567196929597333,-0.305557988039147,-0.458830518191357,-0.324430089897007,-0.155829870427304,-0.418294214449094,-0.47578675521512,-0.161633281972265,-0.13248478008883,-0.49892969317693,-0.412211374631808,-0.492469979855733,-0.485820548673202,-0.614883809589626,-0.525012515342259,-0.558341223087334,-0.566682860129539,-0.51059078055495,-0.170897029751335,0.000766879283598935,-0.0974189343883872,0.125327210326135,-0.157028874017718,0.114948735831904,0.127053415100458,-0.114913610166964,0.22702189770503,0.188057770114504
"Blue.Grosbeak",0.352590558909385,-0.173180664397727,0.104432377130507,0.142900811694961,0.408996503327136,1,0.509333139946839,0.498393904394224,0.552720074713361,0.422525110382932,0.513067406267362,0.541482104246726,0.433593158051983,0.427131152154863,0.405250795221671,0.574579836958957,0.515838092410109,0.462209497080024,0.249274549554428,0.0123739711461173,0.20981803706871,0.262538238575982,0.0740118681673354,0.357415714434658,0.151315853231428,-0.0419345279113448,-0.0628056264050847,0.0431515635636816,0.102842303091538,0.0403773677843916,-0.41521547623638,-0.329662020862355,-0.270658395717186,-0.389480208624657,-0.36924958401607,-0.358637648501102,-0.232003670751819,-0.478912002806655,-0.385651023013456,-0.426169367166004,-0.537650989235042,-0.506040732259739,-0.276352022263286,-0.380100875599324,-0.418899070026249,-0.239105648098941,-0.539602471714992,-0.44267808009783,-0.450893670517569,-0.558941255126656,-0.58561190134294,-0.508249407446076,-0.49511004757293,-0.673404721803318,-0.60931676149168,-0.494498800600618,-0.227670281009966,-0.164680751796474,-0.335323177568454,0.00947288105623505,-0.21262303798329,0.23784775298074,0.200213971465667,-0.0849633291514041,0.0330680118070002,0.233944965067707
"White.breasted.Nuthatch",0.00994340481365514,-0.119190229506581,0.0873371462971861,0.0532354596177229,0.458681120064381,0.509333139946839,1,0.503291997937683,0.507342074513309,0.401721436379526,0.467645977159135,0.562777716107353,0.398959996215579,0.525688687924926,0.405776570279571,0.482832822219046,0.359473124142894,0.459264931087289,0.421648662280831,0.392813914857224,0.457829529367499,-0.0993266179387867,-0.173006338456519,0.0590124668746921,-0.0672281776416539,0.0543811300031994,0.135056693335921,-0.077160070034333,0.376720991717299,0.111679627789319,-0.351529462925947,-0.340529785036023,-0.379453219645041,-0.52358467505343,-0.563255638828896,-0.383733916724034,-0.00535414105350661,-0.402111038256101,-0.330883482672143,-0.318084589351,-0.173368231699225,-0.530384259197053,-0.449388904540825,-0.552700332180554,-0.332874738454808,-0.390938864890774,-0.373737443769672,-0.21328038362448,-0.413393032199916,-0.48789466719176,-0.554961799883763,-0.545719292380471,-0.429642414021068,-0.605517419156356,-0.503757572257414,-0.575558705575394,-0.0880233931433047,-0.00779817425368564,0.0761335820044792,0.327573333669008,-0.0536645604574788,0.510863128351606,0.396206437959489,0.221780526995568,0.479773304955214,0.464034369168569
"Acadian.Flycatcher",0.017895388386118,0.0489264632350751,-0.106200442940407,0.171000377911795,0.480727427468089,0.498393904394224,0.503291997937683,1,0.88530407050225,0.736069460974598,0.603548739928391,0.832110714295299,0.763842475216012,0.786730602539832,0.536550442085502,0.583601868398876,0.645329279885241,0.864798662717381,0.24243378980492,-0.012842085233841,0.241046843247983,-0.0125478207559951,0.0729950432798526,0.346989093856979,0.114683816992797,0.431919175630696,-0.0489371743929383,0.211927182708416,0.387827107064036,0.0112587909246556,-0.599297310912581,-0.666411512553582,-0.581474234815836,-0.640746105239093,-0.807280853862658,-0.715684113408976,-0.422606479579864,-0.614161538631376,-0.713563992651562,-0.700933354798753,-0.612963112936778,-0.647535996052202,-0.571167028971786,-0.622973648689391,-0.60277229450881,-0.248503826723121,-0.440703948503242,-0.500382584798499,-0.665546482226117,-0.631224331066593,-0.759095964799012,-0.761963723874567,-0.696437163079504,-0.550720428899218,-0.668354051494294,-0.699801593819018,-0.348973117963068,-0.258982052215794,-0.401592935639605,0.0877676497621282,-0.275180393766785,0.275814674531242,0.165188200487243,0.0102462208885215,0.414432479498819,0.509257896048191
"Summer.Tanager",0.0404889233144566,0.174353427553617,0.0666875217092137,0.262337665399706,0.471314566666107,0.552720074713361,0.507342074513309,0.88530407050225,1,0.586047604465679,0.625668456500754,0.80128303974258,0.670129877951724,0.729993925315668,0.530300606087043,0.699021813759882,0.643873946630649,0.760477779463422,0.279737393833463,0.0638362888665166,0.252102198711682,0.0683277412955962,0.0753679335703883,0.190868854962789,0.144539722766077,0.295746980178645,-0.157500763825237,0.184067311600656,0.344637946837764,-0.0741052638952163,-0.558033013201559,-0.530050770143513,-0.464498445437443,-0.462308704472767,-0.720550046607462,-0.64070857233909,-0.35737204389628,-0.644057439657806,-0.678697437362064,-0.692237196143634,-0.53504357423169,-0.648677761754802,-0.569945047966124,-0.654392673795539,-0.672613590457666,-0.158332237239395,-0.542953326805275,-0.495262859316008,-0.677660782659885,-0.668198249628454,-0.662085884094922,-0.758704983466159,-0.649862511457378,-0.612736556765153,-0.637618948050739,-0.716315307057745,-0.464850710385297,-0.455100815364161,-0.325275778509984,0.127997557625673,-0.159265409172953,0.087102693554497,0.120397251214309,-0.0106935533150015,0.356749912937226,0.49449718812361
"Northern.Parula",0.0368157332159738,-0.091216788765473,-0.230875813438651,-0.0589051731455581,0.286198411609607,0.422525110382932,0.401721436379526,0.736069460974598,0.586047604465679,1,0.613288755822764,0.710019887698135,0.648723899043139,0.707458221626892,0.531033426904784,0.43452271883492,0.561820376074286,0.687809752883752,0.128776376131772,0.0300524082008823,0.0442059088490689,-0.0182628419693063,-0.0104583284329956,0.338804513394305,0.133907145459842,0.223349368896307,0.0765343508579884,0.132090068813889,0.471169390452386,0.111215349383579,-0.571302413043303,-0.650394292175302,-0.450104095622479,-0.671820939538758,-0.693362975567507,-0.76560621714532,-0.535668918292419,-0.547550365857753,-0.636422176833481,-0.672603516310376,-0.669023935046491,-0.607063782979401,-0.672499297801376,-0.513579478362835,-0.54424956601402,-0.582871253784043,-0.49601264911595,-0.601722397575112,-0.690486664401787,-0.686387574662496,-0.845938147017997,-0.714971323677112,-0.649084915493,-0.499155752581925,-0.58911328139894,-0.62393134126312,-0.268184171955038,-0.340696178685512,-0.528573025015264,0.00475391285499831,-0.488469212045947,0.162013985680601,0.124866695157511,-0.118405849423581,0.166718271436939,0.384133558396418
