"","Brown.headed.Cowbird","Orchard.Oriole","Yellow.throated.Warbler","Red.headed.Woodpecker","White.eyed.Vireo","Carolina.Wren","Ruby.throated.Hummingbird","Prothonotary.Warbler","Scarlet.Tanager","Fish.Crow","Northern.Cardinal","Chipping.Sparrow","Pine.Warbler","Common.Yellowthroat","Eastern.Bluebird","Prairie.Warbler","Blue.gray.Gnatcatcher","Ovenbird","Eastern.Kingbird","Northern.Parula","Wood.Thrush","Red.eyed.Vireo","Summer.Tanager","Hooded.Warbler","Blue.Jay","Red.bellied.Woodpecker","American.Redstart","Barn.Swallow","Cliff.Swallow","American.Crow","N..Rough.winged.Swallow","Blue.Grosbeak","Yellow.breasted.Chat","Eastern.Wood.Pewee","House.Finch","Mourning.Dove","Carolina.Chickadee","Tufted.Titmouse","Brown.Thrasher","European.Starling","Indigo.Bunting","Northern.Mockingbird","Chimney.Swift","Brown.headed.Nuthatch","Great.Crested.Flycatcher","American.Goldfinch","Eastern.Phoebe","American.Robin","Eastern.Towhee","Acadian.Flycatcher","White.breasted.Nuthatch","Purple.Martin","Bobolink","Downy.Woodpecker","Gray.Catbird","Black.throated.Blue.Warbler","Yellow.rumped..Myrtle..Warbler","Black.thr.Blue.Warbler","Yellow.rumped.Warbler","Black.and.white.Warbler","House.Wren","Ring.billed.Gull","White.throated.Sparrow","Cedar.Waxwing","Red.winged.Blackbird","Common.Grackle","House.Sparrow"
"Brown.headed.Cowbird",1,0.598632478632479,0.471452991452991,0.466666666666667,0.389401709401709,0.365470085470085,0.509059829059829,0.262222222222222,0.121367521367521,0.294358974358974,0.201367521367521,0.684786324786325,0.473504273504273,-0.200683760683761,0.0899145299145299,0.24034188034188,0.403076923076923,0.398974358974359,0.241025641025641,-0.135042735042735,-0.0741880341880342,0.254700854700855,0.227350427350427,0.272478632478632,0.231452991452991,0.184273504273504,0.137094017094017,0.213675213675214,0.223931623931624,0.561025641025641,0.405811965811966,0.383931623931624,0.167863247863248,0.66017094017094,0.557606837606837,0.486495726495726,0.518632478632479,0.202735042735043,0.294358974358974,0.318290598290598,0.0776068376068376,0.347008547008547,0.426324786324786,0.361367521367521,0.357264957264957,0.597948717948718,0.435213675213675,-0.0215384615384615,-0.0694017094017094,0.294358974358974,0.364102564102564,-0.0126495726495726,-0.155555555555556,0.251282051282051,-0.273846153846154,-0.0981196581196581,0.00102564102564103,0.115897435897436,0.123418803418803,-0.0276923076923077,0.126153846153846,-0.0605128205128205,0.0748717948717949,-0.256068376068376,0.161025641025641,0.291623931623932,0.363418803418803
"Orchard.Oriole",0.598632478632479,1,0.671111111111111,0.596581196581196,0.344957264957265,0.360683760683761,0.323076923076923,0.357264957264957,0.0707692307692308,0.488547008547008,0.124102564102564,0.476923076923077,0.365470085470085,0.122735042735043,0.222564102564103,0.267692307692308,0.286837606837607,0.297777777777778,0.312820512820513,-0.0386324786324786,0.0803418803418803,0.342222222222222,0.390769230769231,0.154188034188034,0.193162393162393,0.142564102564103,0.158974358974359,0.258119658119658,0.29025641025641,0.309401709401709,0.336068376068376,0.388717948717949,0.0222222222222222,0.603418803418803,0.444786324786325,0.493333333333333,0.515213675213675,0.303247863247863,-0.0974358974358974,0.418119658119658,0.0844444444444444,0.29982905982906,0.207521367521368,0.355897435897436,0.594529914529914,0.580854700854701,0.407863247863248,0.167863247863248,-0.0427350427350427,0.234871794871795,0.128888888888889,-0.212991452991453,-0.419487179487179,0.0844444444444444,0.101538461538462,0.04,0.0523076923076923,0.104273504273504,0.0557264957264957,-0.0317948717948718,0.174700854700855,0.04,0.206153846153846,0.0611965811965812,0.254700854700855,0.218461538461538,0.318290598290598
"Yellow.throated.Warbler",0.471452991452991,0.671111111111111,1,0.587692307692308,0.372307692307692,0.375042735042735,0.491282051282051,0.48991452991453,0.175384615384615,0.290940170940171,0.156239316239316,0.565811965811966,0.53982905982906,0.196581196581197,0.213675213675214,0.494700854700855,0.535042735042735,0.515897435897436,0.282735042735043,-0.0434188034188034,-0.0126495726495726,0.445470085470085,0.395555555555555,0.327179487179487,0.254700854700855,0.145982905982906,0.241709401709402,0.179487179487179,0.206837606837607,0.456410256410256,0.523418803418803,0.193162393162393,0.0646153846153846,0.452991452991453,0.329230769230769,0.241025641025641,0.271111111111111,0.0967521367521367,-0.201367521367521,0.206153846153846,-0.0536752136752137,0.262905982905983,0.204786324786325,0.473504273504273,0.597264957264957,0.606837606837607,0.632136752136752,0.155555555555556,0.0201709401709402,0.171965811965812,0.19042735042735,-0.406495726495726,-0.507692307692308,-0.0769230769230769,-0.13982905982906,-0.121367521367521,0.0447863247863248,0.148717948717949,0.0461538461538461,0.0748717948717949,0.0133333333333333,-0.0625641025641026,0.161025641025641,-0.147350427350427,0.132991452991453,0.132307692307692,-0.0598290598290598
"Red.headed.Woodpecker",0.466666666666667,0.596581196581196,0.587692307692308,1,0.61025641025641,0.47008547008547,0.42974358974359,0.528888888888889,0.361367521367521,0.521367521367521,0.426324786324786,0.614358974358974,0.594529914529914,0.276581196581197,0.557606837606837,0.534358974358974,0.570598290598291,0.558290598290598,0.278632478632479,0.318290598290598,0.0666666666666667,0.515897435897436,0.638290598290598,0.468717948717949,0.472820512820513,0.507008547008547,0.247863247863248,0.13982905982906,-0.0830769230769231,0.398290598290598,0.192478632478632,0.113162393162393,-0.0509401709401709,0.56991452991453,0.337435897435897,0.329230769230769,0.45025641025641,0.463247863247863,0.218461538461538,0.245811965811966,0.140512820512821,0.29982905982906,0.0762393162393162,0.455726495726496,0.496752136752137,0.541196581196581,0.483760683760684,0.280683760683761,0.34974358974359,0.0557264957264957,0.280683760683761,-0.27042735042735,-0.414017094017094,0.260854700854701,0.273846153846154,-0.0461538461538461,0.272478632478632,0.303247863247863,0.0844444444444444,0.317606837606838,0.18017094017094,0.230769230769231,0.360683760683761,-0.179487179487179,0.0188034188034188,-0.0639316239316239,0.143247863247863
"White.eyed.Vireo",0.389401709401709,0.344957264957265,0.372307692307692,0.61025641025641,1,0.346324786324786,0.40034188034188,0.381880341880342,0.273162393162393,0.252649572649573,0.301880341880342,0.431111111111111,0.32034188034188,-0.0926495726495726,0.236923076923077,0.165128205128205,0.388034188034188,0.446153846153846,0.236239316239316,0.464615384615385,0.0694017094017094,0.293675213675214,0.301880341880342,0.485128205128205,0.314871794871795,0.446153846153846,0.195897435897436,-0.162393162393162,-0.148034188034188,0.122735042735043,0.0967521367521367,0.0064957264957265,-0.128205128205128,0.563760683760684,0.412649572649573,0.238974358974359,0.548717948717949,0.503589743589744,0.318974358974359,0.0748717948717949,-0.106324786324786,0.149401709401709,0.166495726495726,0.394871794871795,0.261538461538461,0.435897435897436,0.226666666666667,0.138461538461538,0.425641025641026,0.324444444444444,0.462564102564102,-0.0516239316239316,-0.0988034188034188,0.323076923076923,0.094017094017094,-0.0167521367521367,0.325811965811966,0.251282051282051,0.052991452991453,0.334700854700855,0.377094017094017,0.055042735042735,0.0222222222222222,0.00991452991452991,-0.0618803418803419,-0.141880341880342,-0.134358974358974
"Carolina.Wren",0.365470085470085,0.360683760683761,0.375042735042735,0.47008547008547,0.346324786324786,1,0.564444444444444,0.424957264957265,0.498803418803419,0.467350427350427,0.441367521367521,0.629401709401709,0.337435897435897,0.243760683760684,0.463931623931624,0.13025641025641,0.444786324786325,0.431794871794872,0.186324786324786,0.117264957264957,0.052991452991453,0.474188034188034,0.415384615384615,0.308034188034188,0.403076923076923,0.357264957264957,0.517264957264957,0.135726495726496,0.148717948717949,0.228717948717949,0.0632478632478632,0.0591452991452991,-0.052991452991453,0.317606837606838,0.158290598290598,0.122735042735043,0.165811965811966,0.126153846153846,0.0830769230769231,0.245811965811966,-0.0468376068376068,0.078974358974359,0.29025641025641,0.29025641025641,0.238290598290598,0.353162393162393,0.427692307692308,0.137777777777778,0.104957264957265,0.123418803418803,0.206837606837607,0.0194871794871795,-0.182905982905983,0.390769230769231,0.0639316239316239,0.113846153846154,0.318290598290598,0.366153846153846,0.154188034188034,0.273846153846154,0.152820512820513,0.0844444444444444,0.184273504273504,-0.236239316239316,-0.164444444444444,0.0598290598290598,-0.00581196581196581
"Ruby.throated.Hummingbird",0.509059829059829,0.323076923076923,0.491282051282051,0.42974358974359,0.40034188034188,0.564444444444444,1,0.264957264957265,0.385982905982906,0.247863247863248,0.305299145299145,0.487179487179487,0.483076923076923,0.108376068376068,0.204102564102564,0.316923076923077,0.468034188034188,0.334700854700855,0.0311111111111111,-0.158974358974359,-0.0864957264957265,0.457777777777778,0.171282051282051,0.111111111111111,0.31965811965812,0.330598290598291,0.267692307692308,0.00102564102564103,-0.0297435897435897,0.38051282051282,0.148717948717949,0.142564102564103,0.179487179487179,0.445470085470085,0.196581196581197,0.103589743589744,0.194529914529915,0.0235897435897436,-0.0502564102564102,-0.0536752136752137,-0.139145299145299,0.275897435897436,0.337435897435897,0.332649572649573,0.184273504273504,0.351794871794872,0.344273504273504,0.0885470085470085,0.055042735042735,0.21982905982906,0.472820512820513,-0.205470085470085,0.0769230769230769,0.347008547008547,0.042051282051282,0.0358974358974359,0.212991452991453,0.288888888888889,0.141196581196581,-0.0153846153846154,0.096068376068376,-0.0782905982905983,0.0523076923076923,-0.396239316239316,0.262222222222222,0.148034188034188,-0.0625641025641026
"Prothonotary.Warbler",0.262222222222222,0.357264957264957,0.48991452991453,0.528888888888889,0.381880341880342,0.424957264957265,0.264957264957265,1,0.625299145299145,0.385982905982906,0.49059829059829,0.474188034188034,0.454358974358974,0.176068376068376,0.344273504273504,0.0741880341880342,0.576752136752137,0.384615384615385,0.440683760683761,0.292307692307692,0.349059829059829,0.642393162393162,0.556239316239316,0.427692307692308,0.29025641025641,0.330598290598291,-0.137094017094017,0.135042735042735,-0.0413675213675214,0.225982905982906,0.158290598290598,0.00307692307692308,-0.171965811965812,0.309401709401709,0.109059829059829,0.065982905982906,0.244444444444444,0.237606837606838,-0.16991452991453,0.0652991452991453,0.113162393162393,0.0851282051282051,0.425641025641026,0.184273504273504,0.45982905982906,0.425641025641026,0.246495726495726,0.306666666666667,0.15008547008547,-0.0112820512820513,0.162393162393162,-0.185641025641026,-0.130940170940171,0.368888888888889,0.0632478632478632,0.0584615384615385,0.352478632478632,-0.0502564102564102,-0.13982905982906,0.184957264957265,0.175384615384615,0.103589743589744,0.396923076923077,-0.0167521367521367,-0.235555555555556,-0.0324786324786325,0.00786324786324786
"Scarlet.Tanager",0.121367521367521,0.0707692307692308,0.175384615384615,0.361367521367521,0.273162393162393,0.498803418803419,0.385982905982906,0.625299145299145,1,0.489230769230769,0.632136752136752,0.306666666666667,0.260854700854701,-0.128888888888889,0.45025641025641,-0.00376068376068376,0.324444444444444,0.10017094017094,0.143247863247863,0.349059829059829,0.258119658119658,0.631452991452991,0.469401709401709,0.311452991452991,0.353162393162393,0.411282051282051,-0.137777777777778,0.00444444444444444,0.0878632478632479,0.374358974358974,0.0523076923076923,-0.112478632478632,0.119316239316239,-0.00376068376068376,-0.322393162393162,-0.215042735042735,0.0885470085470085,0.106324786324786,-0.116581196581197,-0.18974358974359,-0.0105982905982906,-0.122735042735043,0.12957264957265,-0.0297435897435897,0.0133333333333333,0.165811965811966,-0.121367521367521,0.193162393162393,0.254700854700855,-0.28,0.10974358974359,0.135726495726496,-0.0181196581196581,0.496068376068376,0.176068376068376,0.0516239316239316,0.556923076923077,-0.186324786324786,-0.230769230769231,0.21025641025641,-0.101538461538462,0.141196581196581,0.271111111111111,-0.293675213675214,-0.277948717948718,-0.443418803418803,-0.211623931623932
"Fish.Crow",0.294358974358974,0.488547008547008,0.290940170940171,0.521367521367521,0.252649572649573,0.467350427350427,0.247863247863248,0.385982905982906,0.489230769230769,1,0.727863247863248,0.500854700854701,0.53025641025641,0.0837606837606838,0.502905982905983,0.403760683760684,0.237606837606838,0.15008547008547,0.179487179487179,0.24034188034188,0.284102564102564,0.36,0.473504273504273,0.409230769230769,0.283418803418803,0.476239316239316,-0.0769230769230769,0.00307692307692308,0.153504273504273,0.503589743589744,0.134358974358974,0.406495726495726,0.43042735042735,0.32991452991453,0.246495726495726,0.305982905982906,0.513162393162393,0.353846153846154,0.266324786324786,0.548034188034188,0.513846153846154,0.484444444444444,0.273162393162393,0.262222222222222,0.524786324786325,0.217777777777778,0.0912820512820513,0.485128205128205,0.429059829059829,0.0632478632478632,0.134358974358974,0.0126495726495726,-0.163076923076923,0.28,0.0994871794871795,-0.35042735042735,0.0557264957264957,-0.308717948717949,-0.255384615384615,-0.137777777777778,-0.156923076923077,0.0577777777777778,0.0652991452991453,-0.357948717948718,-0.269059829059829,-0.202735042735043,0.0598290598290598
