"","Common.Grackle","Eastern.Bluebird","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Blue.Jay","Northern.Mockingbird","Brown.headed.Cowbird","House.Finch","Mourning.Dove","House.Sparrow","Red.winged.Blackbird","American.Robin","American.Goldfinch","European.Starling","Brown.Thrasher","Eastern.Phoebe","Downy.Woodpecker","White.breasted.Nuthatch","American.Crow","Carolina.Chickadee","Chipping.Sparrow","Eastern.Towhee","Tufted.Titmouse","Northern.Cardinal","Carolina.Wren","Pine.Warbler"
"Red.winged.Blackbird",0.00307692307692308,-0.0523076923076923,0.091965811965812,0.232136752136752,0.139145299145299,-0.00376068376068376,0.152820512820513,0.259487179487179,0.104957264957265,0.277948717948718,1,0.130940170940171,0.133675213675214,-0.261538461538461,0.096068376068376,0.263589743589744,0.176068376068376,0.144615384615385,0.119316239316239,-0.119316239316239,0.04,0.11042735042735,-0.150769230769231,-0.15008547008547,0.0167521367521367,0.00444444444444444
"American.Robin",0.18017094017094,0.0639316239316239,0.171282051282051,0.0564102564102564,-0.0317948717948718,0.0201709401709402,0.0475213675213675,0.161709401709402,0.185641025641026,0.216410256410256,0.130940170940171,1,0.21025641025641,0.285470085470085,-0.00991452991452991,0.407179487179487,-0.180854700854701,-0.055042735042735,0.143247863247863,0.10974358974359,-0.0652991452991453,0.0967521367521367,-0.178119658119658,-0.0338461538461538,0.0475213675213675,-0.0707692307692308
"American.Goldfinch",0.274529914529914,0.0967521367521367,-0.096068376068376,-0.0324786324786325,0.199316239316239,0.437264957264957,0.167863247863248,0.550769230769231,0.433162393162393,0.120683760683761,0.133675213675214,0.21025641025641,1,0.502222222222222,-0.0735042735042735,0.16034188034188,-0.128205128205128,-0.195213675213675,0.176068376068376,-0.00102564102564103,-0.122735042735043,-0.143931623931624,-0.115897435897436,-0.15965811965812,-0.0235897435897436,0.055042735042735
"European.Starling",0.182905982905983,0.118632478632479,-0.518632478632479,-0.444102564102564,-0.052991452991453,0.011965811965812,0.0844444444444444,0.314188034188034,0.563076923076923,0.173333333333333,-0.261538461538461,0.285470085470085,0.502222222222222,1,-0.154188034188034,-0.0735042735042735,-0.302564102564102,-0.357264957264957,0.0256410256410256,0.0605128205128205,-0.340854700854701,-0.195213675213675,-0.116581196581197,-0.106324786324786,-0.0666666666666667,-0.145982905982906
"Brown.Thrasher",0.0352136752136752,0.143931623931624,0.174017094017094,0.339487179487179,0.108376068376068,0.24034188034188,0.269059829059829,0.137777777777778,0.364786324786325,-0.217777777777778,0.096068376068376,-0.00991452991452991,-0.0735042735042735,-0.154188034188034,1,0.659487179487179,0.481709401709402,0.433846153846154,0.153504273504273,0.583589743589744,0.55008547008547,0.61982905982906,0.595213675213675,0.55965811965812,0.303931623931624,0.295042735042735
"Eastern.Phoebe",0.203418803418803,0.0618803418803419,0.339487179487179,0.489230769230769,0.114529914529915,0.255384615384615,0.274529914529914,0.152820512820513,0.21025641025641,0.0256410256410256,0.263589743589744,0.407179487179487,0.16034188034188,-0.0735042735042735,0.659487179487179,1,0.566495726495726,0.420854700854701,0.206837606837607,0.425641025641026,0.494017094017094,0.553504273504273,0.317606837606838,0.120683760683761,0.282735042735043,0.195213675213675
"Downy.Woodpecker",0.39965811965812,0.202051282051282,0.284102564102564,0.504273504273504,0.288205128205128,0.0953846153846154,0.348376068376068,0.113846153846154,0.0864957264957265,0.176752136752137,0.176068376068376,-0.180854700854701,-0.128205128205128,-0.302564102564102,0.481709401709402,0.566495726495726,1,0.518632478632479,0.0543589743589744,0.223247863247863,0.42974358974359,0.424957264957265,0.245128205128205,0.0817094017094017,0.32991452991453,0.142564102564103
"White.breasted.Nuthatch",0.0748717948717949,0.219145299145299,0.403076923076923,0.685470085470085,0.336752136752137,0.251282051282051,0.411965811965812,0.0317948717948718,0.00102564102564103,-0.0577777777777778,0.144615384615385,-0.055042735042735,-0.195213675213675,-0.357264957264957,0.433846153846154,0.420854700854701,0.518632478632479,1,0.432478632478632,0.527521367521367,0.62051282051282,0.598632478632479,0.357264957264957,0.359316239316239,0.450940170940171,0.103589743589744
"American.Crow",0.0523076923076923,0.401025641025641,0.390769230769231,0.565128205128205,0.335384615384615,0.171282051282051,0.014017094017094,0.416068376068376,0.141196581196581,0.0482051282051282,0.119316239316239,0.143247863247863,0.176068376068376,0.0256410256410256,0.153504273504273,0.206837606837607,0.0543589743589744,0.432478632478632,1,0.44957264957265,0.410598290598291,0.465982905982906,0.513162393162393,0.225299145299145,0.496068376068376,0.232136752136752
"Carolina.Chickadee",-0.0605128205128205,0.237606837606838,0.338803418803419,0.483760683760684,0.162393162393162,0.285470085470085,0.0317948717948718,0.0947008547008547,0.420854700854701,-0.125470085470085,-0.119316239316239,0.10974358974359,-0.00102564102564103,0.0605128205128205,0.583589743589744,0.425641025641026,0.223247863247863,0.527521367521367,0.44957264957265,1,0.776410256410256,0.65059829059829,0.685470085470085,0.591794871794872,0.546666666666667,0.24991452991453
"Chipping.Sparrow",-0.04,0.116581196581197,0.594529914529914,0.673162393162393,0.271794871794872,0.147350427350427,-0.112478632478632,-0.128888888888889,0.00991452991452991,-0.136410256410256,0.04,-0.0652991452991453,-0.122735042735043,-0.340854700854701,0.55008547008547,0.494017094017094,0.42974358974359,0.62051282051282,0.410598290598291,0.776410256410256,1,0.595213675213675,0.621196581196581,0.496068376068376,0.71008547008547,0.381196581196581
"Eastern.Towhee",0.261538461538461,0.468034188034188,0.398974358974359,0.661538461538462,0.176068376068376,0.248547008547009,0.0311111111111111,0.142564102564103,0.178119658119658,-0.235555555555556,0.11042735042735,0.0967521367521367,-0.143931623931624,-0.195213675213675,0.61982905982906,0.553504273504273,0.424957264957265,0.598632478632479,0.465982905982906,0.65059829059829,0.595213675213675,1,0.653333333333333,0.37982905982906,0.378461538461538,0.183589743589744
"Tufted.Titmouse",0.00717948717948718,0.364102564102564,0.428376068376068,0.548717948717949,0.179487179487179,0.232136752136752,-0.189059829059829,0.114529914529915,0.199316239316239,-0.238974358974359,-0.150769230769231,-0.178119658119658,-0.115897435897436,-0.116581196581197,0.595213675213675,0.317606837606838,0.245128205128205,0.357264957264957,0.513162393162393,0.685470085470085,0.621196581196581,0.653333333333333,1,0.507008547008547,0.472136752136752,0.362735042735043
"Northern.Cardinal",-0.171965811965812,-0.0618803418803419,0.185641025641026,0.334017094017094,0.252649572649573,0.327179487179487,-0.00102564102564103,-0.152136752136752,0.181538461538462,-0.326495726495727,-0.15008547008547,-0.0338461538461538,-0.15965811965812,-0.106324786324786,0.55965811965812,0.120683760683761,0.0817094017094017,0.359316239316239,0.225299145299145,0.591794871794872,0.496068376068376,0.37982905982906,0.507008547008547,1,0.497435897435897,0.398974358974359
"Carolina.Wren",0.0427350427350427,0.197264957264957,0.36,0.566495726495726,0.374358974358974,-0.00102564102564103,-0.170598290598291,0.0564102564102564,0.0837606837606838,0.0441025641025641,0.0167521367521367,0.0475213675213675,-0.0235897435897436,-0.0666666666666667,0.303931623931624,0.282735042735043,0.32991452991453,0.450940170940171,0.496068376068376,0.546666666666667,0.71008547008547,0.378461538461538,0.472136752136752,0.497435897435897,1,0.554188034188034
"Pine.Warbler",0.204786324786325,0.186324786324786,0.203418803418803,0.39965811965812,0.31965811965812,0.182222222222222,-0.174700854700855,-0.00239316239316239,-0.0317948717948718,-0.474871794871795,0.00444444444444444,-0.0707692307692308,0.055042735042735,-0.145982905982906,0.295042735042735,0.195213675213675,0.142564102564103,0.103589743589744,0.232136752136752,0.24991452991453,0.381196581196581,0.183589743589744,0.362735042735043,0.398974358974359,0.554188034188034,1
