"","Common.Grackle","Eastern.Bluebird","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Blue.Jay","Northern.Mockingbird","Brown.headed.Cowbird","House.Finch","Mourning.Dove","House.Sparrow","Red.winged.Blackbird","American.Robin","American.Goldfinch","European.Starling","Brown.Thrasher","Eastern.Phoebe","Downy.Woodpecker","White.breasted.Nuthatch","American.Crow","Carolina.Chickadee","Chipping.Sparrow","Eastern.Towhee","Tufted.Titmouse","Northern.Cardinal","Carolina.Wren","Pine.Warbler"
"Common.Grackle",1,0.602051282051282,0.147350427350427,0.276581196581197,0.303931623931624,0.179487179487179,0.111111111111111,0.397606837606838,0.267692307692308,0.0126495726495726,0.00307692307692308,0.18017094017094,0.274529914529914,0.182905982905983,0.0352136752136752,0.203418803418803,0.39965811965812,0.0748717948717949,0.0523076923076923,-0.0605128205128205,-0.04,0.261538461538461,0.00717948717948718,-0.171965811965812,0.0427350427350427,0.204786324786325
"Eastern.Bluebird",0.602051282051282,1,0.327179487179487,0.331282051282051,0.48034188034188,0.267008547008547,0.127521367521368,0.654700854700855,0.411282051282051,0.0632478632478632,-0.0523076923076923,0.0639316239316239,0.0967521367521367,0.118632478632479,0.143931623931624,0.0618803418803419,0.202051282051282,0.219145299145299,0.401025641025641,0.237606837606838,0.116581196581197,0.468034188034188,0.364102564102564,-0.0618803418803419,0.197264957264957,0.186324786324786
"Brown.headed.Nuthatch",0.147350427350427,0.327179487179487,1,0.740854700854701,0.42974358974359,0.382564102564103,-0.0652991452991453,0.0427350427350427,-0.137777777777778,0.169230769230769,0.091965811965812,0.171282051282051,-0.096068376068376,-0.518632478632479,0.174017094017094,0.339487179487179,0.284102564102564,0.403076923076923,0.390769230769231,0.338803418803419,0.594529914529914,0.398974358974359,0.428376068376068,0.185641025641026,0.36,0.203418803418803
"Red.bellied.Woodpecker",0.276581196581197,0.331282051282051,0.740854700854701,1,0.570598290598291,0.453675213675214,0.115213675213675,0.094017094017094,-0.0222222222222222,-0.0878632478632479,0.232136752136752,0.0564102564102564,-0.0324786324786325,-0.444102564102564,0.339487179487179,0.489230769230769,0.504273504273504,0.685470085470085,0.565128205128205,0.483760683760684,0.673162393162393,0.661538461538462,0.548717948717949,0.334017094017094,0.566495726495726,0.39965811965812
"Blue.Jay",0.303931623931624,0.48034188034188,0.42974358974359,0.570598290598291,1,0.614358974358974,0.355213675213675,0.372307692307692,0.277948717948718,0.0352136752136752,0.139145299145299,-0.0317948717948718,0.199316239316239,-0.052991452991453,0.108376068376068,0.114529914529915,0.288205128205128,0.336752136752137,0.335384615384615,0.162393162393162,0.271794871794872,0.176068376068376,0.179487179487179,0.252649572649573,0.374358974358974,0.31965811965812
"Northern.Mockingbird",0.179487179487179,0.267008547008547,0.382564102564103,0.453675213675214,0.614358974358974,1,0.472820512820513,0.381196581196581,0.392820512820513,-0.154871794871795,-0.00376068376068376,0.0201709401709402,0.437264957264957,0.011965811965812,0.24034188034188,0.255384615384615,0.0953846153846154,0.251282051282051,0.171282051282051,0.285470085470085,0.147350427350427,0.248547008547009,0.232136752136752,0.327179487179487,-0.00102564102564103,0.182222222222222
"Brown.headed.Cowbird",0.111111111111111,0.127521367521368,-0.0652991452991453,0.115213675213675,0.355213675213675,0.472820512820513,1,0.378461538461538,0.422222222222222,0.128205128205128,0.152820512820513,0.0475213675213675,0.167863247863248,0.0844444444444444,0.269059829059829,0.274529914529914,0.348376068376068,0.411965811965812,0.014017094017094,0.0317948717948718,-0.112478632478632,0.0311111111111111,-0.189059829059829,-0.00102564102564103,-0.170598290598291,-0.174700854700855
"House.Finch",0.397606837606838,0.654700854700855,0.0427350427350427,0.094017094017094,0.372307692307692,0.381196581196581,0.378461538461538,1,0.704615384615385,0.316239316239316,0.259487179487179,0.161709401709402,0.550769230769231,0.314188034188034,0.137777777777778,0.152820512820513,0.113846153846154,0.0317948717948718,0.416068376068376,0.0947008547008547,-0.128888888888889,0.142564102564103,0.114529914529915,-0.152136752136752,0.0564102564102564,-0.00239316239316239
"Mourning.Dove",0.267692307692308,0.411282051282051,-0.137777777777778,-0.0222222222222222,0.277948717948718,0.392820512820513,0.422222222222222,0.704615384615385,1,0.229401709401709,0.104957264957265,0.185641025641026,0.433162393162393,0.563076923076923,0.364786324786325,0.21025641025641,0.0864957264957265,0.00102564102564103,0.141196581196581,0.420854700854701,0.00991452991452991,0.178119658119658,0.199316239316239,0.181538461538462,0.0837606837606838,-0.0317948717948718
"House.Sparrow",0.0126495726495726,0.0632478632478632,0.169230769230769,-0.0878632478632479,0.0352136752136752,-0.154871794871795,0.128205128205128,0.316239316239316,0.229401709401709,1,0.277948717948718,0.216410256410256,0.120683760683761,0.173333333333333,-0.217777777777778,0.0256410256410256,0.176752136752137,-0.0577777777777778,0.0482051282051282,-0.125470085470085,-0.136410256410256,-0.235555555555556,-0.238974358974359,-0.326495726495727,0.0441025641025641,-0.474871794871795
