"","Eastern.Phoebe","Great.Crested.Flycatcher","Eastern.Meadowlark","Red.winged.Blackbird","Chimney.Swift","Common.Yellowthroat","Brown.headed.Nuthatch","Ovenbird","Brown.Thrasher","White.breasted.Nuthatch","American.Goldfinch","Northern.Mockingbird","Purple.Martin","White.eyed.Vireo","Fish.Crow","House.Finch","Yellow.billed.Cuckoo","Barn.Swallow","Downy.Woodpecker","European.Starling","Carolina.Wren","Eastern.Bluebird","Acadian.Flycatcher","Carolina.Chickadee","Chipping.Sparrow","Red.bellied.Woodpecker","Summer.Tanager","American.Crow","Indigo.Bunting","Pine.Warbler","Eastern.Towhee","Mourning.Dove","Brown.headed.Cowbird","American.Robin","Common.Grackle","Blue.Jay","Northern.Cardinal","Red.eyed.Vireo","Eastern.Wood.Pewee","Yellow.breasted.Chat","Blue.Grosbeak","Wood.Thrush","Blue.gray.Gnatcatcher","Tufted.Titmouse"
"Eastern.Phoebe",1,0.0870410289983034,0.520769971748809,0.202734869908994,0.0672291563000846,0.0633450702991342,0.210353756131562,0.251622355246493,0.12714248136727,0.216925681098412,0.257496518070039,0.172675699474355,0.145406964000642,0.370585459824173,0.056162596266022,-0.124143735572248,-0.165624234733378,0.146089455035712,0.17855584554163,-0.275846091928007,0.297181682879521,0.157520711054881,-0.00998986895972229,-0.117451151666717,-0.146375245208496,-0.29440759830697,0.0464588041677011,-0.088887143475144,0.0446405567412591,0.212955003341374,0.0770348590020271,-0.0886035446724666,0.243445914875486,0.100369059523761,0.170384182774169,-0.0448422087564027,-0.18133983200582,0.0454589962080984,0.175880883875992,0.150033834394816,0.160409048285733,-0.0203285300354315,-0.173225673094631,-0.2401682627996
"Great.Crested.Flycatcher",0.0870410289983034,1,0.47646796286141,0.560627431728823,0.629233662557333,0.629748663993204,0.596645667698198,0.629414785239694,0.570789847960991,0.610584326322099,0.519005894069875,0.553927908155378,0.49409761114618,0.546290881877692,0.0547151085356171,0.310289758469438,0.0989076085742021,0.140798212598505,0.0293809648865887,-0.0702712891164278,0.0278961606805308,-0.152570620378073,0.33522755712219,0.376332515910345,0.486650774591419,-0.0625383259525737,-0.0344817470261443,-0.134801386968125,0.0756650566381319,0.052434532420436,-0.0219959796766099,-0.0886335348521073,0.315195258997704,-0.0504771619863052,0.384342053685567,0.36293667829708,0.171163078451832,0.379890223950342,0.518814797897172,0.434748162308354,0.055560671201178,0.0693873617936649,0.406154147243859,0.239176490734411
"Eastern.Meadowlark",0.520769971748809,0.47646796286141,1,0.702108581596119,0.611328768375229,0.620500369127234,0.570290464518376,0.770722851921391,0.668534774701948,0.765096701440072,0.71604750111361,0.638016820437305,0.64230585689241,0.708239375812806,0.433197808393377,0.177564965239443,0.194468218826528,0.292829989995853,0.300324476601103,-0.369238481828284,0.287406922483072,0.00080444348923337,0.0748657312925099,-0.112315847204799,-0.126756879318352,-0.434799441020832,-0.034793912152053,-0.272100358722902,0.078039862856316,0.127302351140103,0.0367254114588751,-0.148777141402877,0.331972743974252,0.0749139166377305,0.47108890191123,0.327835000056395,0.0848065475278144,0.369977154173821,0.388041009750825,0.326503677518243,0.411704925655151,0.0626220715062072,0.00435404543121513,0.0188366793998847
"Red.winged.Blackbird",0.202734869908994,0.560627431728823,0.702108581596119,1,0.889648021739054,0.90271197722239,0.820966545169011,0.863341618495867,0.848914509994002,0.900790961951742,0.884831807745327,0.857986289221892,0.690808627287484,0.694503206782373,0.532578046496632,0.433275406611846,0.37693398485361,0.314475488747097,0.137277131448267,-0.188116747613987,0.196498891050775,0.0685524336364836,0.114187123277589,-0.144245592499955,0.115114260737772,-0.143981642136854,-0.00630513026037542,-0.251106090272065,0.2090454233588,0.0700739787873055,0.10614033940773,-0.00673629252053126,0.299141574724405,0.167588567308003,0.641711747673299,0.528304265498736,0.281085531508917,0.529404476314645,0.349851820935881,0.311935565960357,0.21012598709774,0.114417845096759,0.069743286113275,-0.136992248992012
"Chimney.Swift",0.0672291563000846,0.629233662557333,0.611328768375229,0.889648021739054,1,0.933563069614935,0.874817806257087,0.905957264383514,0.932149594505544,0.920069907110264,0.903757018286811,0.940937587322376,0.760166802860303,0.746733136075352,0.405753263868852,0.41815228053397,0.471894585769387,0.402222550662508,0.151280568503169,0.00894548580051998,0.197617348122612,0.0412349933274589,0.184768105547055,0.064286080730266,0.239746913232677,0.0465793986085656,0.150621223911422,-0.176777513772705,0.246978071370735,0.179887933004182,0.163114513228273,0.0949121295008459,0.392799158087721,0.39887923790405,0.752470933688078,0.687825168509437,0.456797327936925,0.607557582227966,0.562520546753212,0.37178977567576,0.336001345596878,0.195914057741332,0.227340276370014,0.101163316830573
"Common.Yellowthroat",0.0633450702991342,0.629748663993204,0.620500369127234,0.90271197722239,0.933563069614935,1,0.824796852508421,0.88356874304551,0.895926636298468,0.908196981148625,0.876175039243884,0.929506798794638,0.740574974187933,0.728902270948261,0.405292327258423,0.421650910825584,0.468146075798854,0.389973987827776,0.23912829742516,0.028334764325323,0.250702993553772,0.0442416190047406,0.185767256624167,-0.0185084476639847,0.235282109900936,-0.00433891295390941,0.121974716602001,-0.114408208245418,0.336726777890434,0.166306912638582,0.249182776756645,0.167922478071412,0.266988913320807,0.329631992487945,0.715621771913861,0.722778171751759,0.416690444608711,0.65321672227699,0.468576231256144,0.39414546403445,0.322777082179986,0.216883668355017,0.272893499332791,0.053776394545433
"Brown.headed.Nuthatch",0.210353756131562,0.596645667698198,0.570290464518376,0.820966545169011,0.874817806257087,0.824796852508421,1,0.890597606387855,0.882521736111097,0.861814961756502,0.891415461105758,0.904562159199001,0.649811166936534,0.78064089662863,0.495507076486382,0.557198289735404,0.235721827981475,0.522050267637534,0.22315596141264,-0.0542074666470668,0.124330856817695,0.0869753069321623,0.210208625830302,0.101215141942029,0.225016662172315,0.168705978467652,0.346082856411762,-0.14502910968942,0.23546972663046,0.244984527003896,0.211772758807812,0.0797789424987308,0.482589231998703,0.284969698044824,0.703980977385796,0.580626760456278,0.339821806903517,0.516780524647261,0.572512450043479,0.432879419662366,0.260511527225414,0.152491603840426,0.21096431988396,-0.0679296083406325
"Ovenbird",0.251622355246493,0.629414785239694,0.770722851921391,0.863341618495867,0.905957264383514,0.88356874304551,0.890597606387855,1,0.9001388054998,0.915844855716785,0.899582528813382,0.896833445445557,0.75088379979915,0.860415586424386,0.434419313232271,0.372033775334992,0.341142428827041,0.465769840030411,0.27278375702528,-0.14422028607986,0.198516440339594,0.0355278418543112,0.283153281015598,0.106114011199645,0.241706987553631,-0.00279461076281262,0.242484299539785,-0.107688690995221,0.299254096804208,0.313198326500048,0.183300978383117,0.0697509652870421,0.467119478785097,0.274333942027005,0.739377062056981,0.64992614344042,0.360374363106305,0.636202422588931,0.583420288144242,0.500939976099648,0.374458693620828,0.237557129912373,0.225361365982601,0.0857896235063066
"Brown.Thrasher",0.12714248136727,0.570789847960991,0.668534774701948,0.848914509994002,0.932149594505544,0.895926636298468,0.882521736111097,0.9001388054998,1,0.969431082043983,0.918995527926849,0.95812045195578,0.801808110618603,0.797306191609111,0.455261255702764,0.390271974928072,0.472439789469996,0.477730291941461,0.265608138773756,-0.00175230652079581,0.227622493245884,0.0923735353010632,0.100487179997565,-0.0518845198212981,0.0747546196415647,0.0113149380931896,0.218173005043209,-0.150301830400355,0.212569461557343,0.141364186886395,0.15163202610212,0.0710913608896113,0.350456800065294,0.362358160049427,0.669758472476602,0.585638696485267,0.356296310244287,0.572243919820771,0.546205732119222,0.360521696622777,0.44493426720319,0.140202893712088,0.267774722873611,0.0341535790967734
"White.breasted.Nuthatch",0.216925681098412,0.610584326322099,0.765096701440072,0.900790961951742,0.920069907110264,0.908196981148625,0.861814961756502,0.915844855716785,0.969431082043983,1,0.941235078704286,0.93862988145918,0.807558996145222,0.797086631238788,0.487279794398185,0.385811540666766,0.44103871319397,0.464446609263225,0.253984746501975,-0.120191633043384,0.253562788244527,0.0403352880146977,0.0604305432165711,-0.111439166766776,0.00206410886125938,-0.114603164236094,0.116895956817849,-0.23181675663091,0.216312957672487,0.0857927278072804,0.0909111620660988,-0.0154770297749425,0.338419828131317,0.273116108640613,0.661483893860152,0.562932382836265,0.290138499923575,0.545960101401266,0.521757204732495,0.357752246742624,0.41429065813959,0.0596018487522311,0.225485724375803,-0.00195912446575006
