"","Chipping.Sparrow","Carolina.Chickadee","Great.Crested.Flycatcher","Chimney.Swift","Ruby.throated.Hummingbird","Tufted.Titmouse","Field.Sparrow","Northern.Cardinal","Northern.Parula","Eastern.Wood.Pewee","Grasshopper.Sparrow","European.Starling","Turkey.Vulture","Blue.Jay","Common.Yellowthroat","Prairie.Warbler","Northern.Bobwhite","Wood.Thrush","Acadian.Flycatcher","House.Sparrow","Gray.Catbird","Ovenbird","Fish.Crow","Eastern.Bluebird","Eastern.Kingbird","Carolina.Wren","Eastern.Meadowlark","Eastern.Phoebe","Pileated.Woodpecker","Red.shouldered.Hawk","American.Robin","Purple.Martin","Canada.Goose","Downy.Woodpecker","Killdeer","Great.Blue.Heron","Red.winged.Blackbird","Song.Sparrow","Eastern.Towhee","Pine.Warbler","American.Goldfinch","Brown.headed.Cowbird","Eastern.Whip.poor.will","House.Finch","Brown.headed.Nuthatch","Orchard.Oriole","Hooded.Warbler","Barn.Swallow","White.breasted.Nuthatch","Red.bellied.Woodpecker","Summer.Tanager","Mourning.Dove","Brown.Thrasher","Northern.Mockingbird","Blue.Grosbeak","Red.eyed.Vireo","White.eyed.Vireo","Yellow.throated.Vireo","Common.Grackle","Yellow.throated.Warbler","Blue.gray.Gnatcatcher","Yellow.billed.Cuckoo","Indigo.Bunting","Scarlet.Tanager","American.Crow","Yellow.breasted.Chat"
"Chipping.Sparrow",1,0.526613048958341,0.525342496560243,0.412157558416071,0.262674287983028,0.0586826424600705,0.0252187966348111,-0.195927458427878,0.101029373534377,0.1548861908701,-0.0382304171575369,0.259538100909408,0.0296182164929588,0.150487932354397,0.306703605266976,0.103016894936054,0.1663239756449,0.076330653180182,0.43589345061961,0.483539805483112,0.301147068272338,0.383073637203457,-0.211545099329756,-0.181351606436369,-0.0564420686588629,-0.172425630509254,0.087797365653438,0.076554214591334,-0.265019880299384,-0.330193569870452,-0.175513708922506,0.188078153088318,0.181351606436369,-0.254834848845944,-0.299315086045406,0.151454037550047,0.237932214994865,-0.196226830769657,-0.120828343374907,0.101848681958233,-0.272416169272648,0.0640301327651247,-0.18994564070206,-0.0049632039063347,0.0948467742028853,0.0772003978616666,-0.514076775580734,-0.562628369703811,-0.749186500666689,-0.024974347276142,-0.0958083958531763,-0.398905327725774,-0.321465251626155,-0.106696366197765,-0.338182445479909,-0.078595895019932,0.174987568486444,0.236282926225436,0.216082149933146,0.288024246788512,-0.161986310868967,-0.352165730208186,0.0581693831965713,-0.0334362631451088,-0.00650017257872188,0.277520976503388
"Carolina.Chickadee",0.526613048958341,1,0.587057088217466,0.351652160746187,0.290718957079546,0.537290486454797,0.32538687300735,0.264499576155028,0.135140106051578,0.315023956194387,-0.129651250923063,0.137358885903598,-0.365970579474407,0.044162960479138,-0.0349674836625401,-0.112082395535604,0.0546889366081463,-0.107289527720739,0.235304478700894,0.1769247102809,0.0621362583485546,0.304213932505507,0.130501846099584,-0.288915514683907,-0.0713552657728296,-0.101248516833152,0.178473648186174,0.0763698809274465,-0.147761054442854,-0.308219250379829,-0.191405606482102,0.0777530684110382,0.292165600402672,0.13911704312115,0.0893682706472783,0.104160545083531,-0.0722231740852843,0.19653624560293,0.155030800821355,0.454732164797631,0.0769888805108426,0.418007556163004,-0.0219592423769445,0.253593429158111,0.0826771701993165,0.115266198556109,-0.274585002448974,-0.122326776811672,-0.185508833842041,0.16076622605264,-0.015395142878361,-0.162134449253088,-0.0561355476302684,0.0816781013506547,-0.184462696783025,0.0128402687711607,0.260549636319539,0.123778721727529,0.358535771922717,0.320277637260769,-0.160246554264085,-0.402944220805778,-0.147109143059894,0.146751503876405,-0.160424170252528,0.0917494062667363
"Great.Crested.Flycatcher",0.525342496560243,0.587057088217466,1,0.194587187392943,0.378628816080228,0.330309893314401,0.127338479855598,-0.109209200539275,0.170556187928807,0.286937206139537,0.23910808409109,-0.0160876321096133,-0.246960099528595,-0.0904264442101929,0.206139747236101,-0.182784733221975,-0.00943397114608648,0.0116418436858523,0.236454171775895,-0.0267581727052635,0.0118170921411047,0.10077122154509,-0.0313570957412769,-0.312681956002804,-0.394371734108037,-0.077344325500845,0.0941619709885116,0.10878876294653,-0.539493316968692,-0.769059459633026,-0.33795820486468,0.00788211149780731,0.254834938417173,-0.206300318256648,-0.32151421719767,0.129665674629688,-0.0789383607934394,-0.0482155823018055,0.00616332901015712,-0.13458904898838,-0.218418401078551,0.214591542794264,-0.289392992865817,0.149289524912695,0.0774105166344833,-0.104170427590765,-0.430976519920883,-0.0605957006127013,-0.195544156093448,0.150924104185277,-0.0674311388424218,-0.144763936667511,-0.128767130838756,-0.139797843408454,-0.414312672349451,-0.192874272010963,0.0585207838689472,0.0248713784760462,-0.0135204567729729,-0.0101427513277937,0.382322713257965,-0.211508823105281,-0.102687013465617,0.347513191672204,-0.0465434879120129,0.311868475202199
"Chimney.Swift",0.412157558416071,0.351652160746187,0.194587187392943,1,0.499838314124127,0.149580749614915,0.435730997780812,0.286032247807412,0.229066912359112,0.223763083785427,0.0606383613833312,0.133150827460417,-0.213735231769547,0.321116634269151,0.259303908336925,0.168895836982782,-0.0102916048866398,-0.0416024708185606,0.0692730133411614,0.244425616057695,-0.00137009763954838,0.175664119189995,-0.336189190406477,-0.195105325584672,0.188605106955932,-0.197125360568525,-0.352336975080649,-0.336131579371797,-0.230426489933795,-0.100394039506561,0.218225419664269,0.239204948933457,-0.0961835026127946,-0.280431469962149,-0.471223021582734,-0.0426486569073776,0.186130147901233,-0.0320865263004898,-0.220852622863964,-0.0614726063445656,-0.060082177726153,0.125706458428564,-0.0283213783053735,0.0758431875416557,0.247645148348369,0.140381235204689,-0.0580358819654417,-0.0782266530508602,-0.294601581353758,0.299794819197965,-0.0696560241341769,-0.142710547494922,0.226883574948606,0.331677236322018,-0.246533160406285,-0.124357656731757,0.148618764898851,0.290909364795685,0.395687291887511,0.493900416351717,-0.0447070914696814,0.100359652096919,-0.178161968362845,-0.0876501682845489,-0.374743523997457,-0.0553176921967657
"Ruby.throated.Hummingbird",0.262674287983028,0.290718957079546,0.378628816080228,0.499838314124127,1,0.216715678630819,0.270343240982892,0.144042365534809,0.0892929266716154,0.263318652292558,0.266689886951918,-0.0103362008885923,-0.293231932870143,0.0703342907766129,-0.0317629267379093,-0.0372805133590877,-0.208566333620519,-0.161989223268982,0.130999581664572,0.050587695157957,-0.184455125321019,0.0483017256365395,-0.350817386800295,-0.064601255553702,-0.0521684720618744,0.0413377354624201,-0.0585918467143127,-0.102088644666408,-0.379540078086761,-0.334547247724378,-0.0582771128575215,-0.0282861609809481,-0.100950228678585,-0.467183813066181,-0.498803809162159,0.147135687258464,0.111860638386473,-0.0184803542627908,-0.121319588490812,-0.173564965878549,0.20658707688545,0.437693049710343,-0.251557479301387,0.0137863168739559,0.0782641372857408,-0.138021884693502,-0.180782751219833,0.0077534766137158,-0.00172506162987641,0.296253770814011,-0.0463406339838556,-0.0623510843224837,0.110309412276337,-0.0813950004772713,-0.387050846236313,-0.440354278810976,-0.184662571636237,-0.0830466940988986,0.0527146245318208,0.378267772685788,0.0339662462512773,0.0913656228225608,-0.12162263045577,-0.0830466940988986,-0.244926082614839,-0.0375805769345628
"Tufted.Titmouse",0.0586826424600705,0.537290486454797,0.330309893314401,0.149580749614915,0.216715678630819,1,0.337792766434664,0.354369767454003,0.233499829157514,0.400957943409757,0.109468778600117,-0.142612859097127,-0.392539448555319,-0.0592060371404273,-0.133653469656209,-0.257495745918023,-0.201200156589394,-0.104002743000483,0.220661690447381,-0.106255619323189,-0.164955548564659,0.0592466309313743,0.117274523524511,-0.613201094391245,-0.0457820652985052,-0.235937770587976,0.154635657355981,-0.0857583471813166,-0.0895527145452425,-0.175282529967402,0.109361669340882,0.0203732383933092,0.341313269493844,0.292678771831951,-0.0937874722985969,0.148970796190704,-0.47955523852938,0.0437169283664949,0.0497776286400338,0.071343037626383,0.0171027880045368,0.0331964485700662,-0.137198319321827,0.229045514601392,-0.220568155705234,-0.307614326387709,-0.164351533590694,0.0547289216145178,0.0907535098081745,0.237989403375697,-0.0622435020519836,0.00752265355497893,0.0631308894103965,0.0160903884931013,0.103318514428111,0.236180130970919,0.214678448515837,0.070608572840571,0.178351573187415,0.328756284138655,0.128016476787136,-0.0564681857119682,-0.189124487004104,0.234619262666849,0.114891436112406,0.0484257471408697
"Field.Sparrow",0.0252187966348111,0.32538687300735,0.127338479855598,0.435730997780812,0.270343240982892,0.337792766434664,1,0.494256480178254,0.045212309418295,0.197256143362389,0.20866563953077,-0.28892426976772,-0.0866508357067196,0.174159600479842,0.236426172677744,0.00532554740355068,0.441484849873337,0.144597329438691,0.0158048503589246,0.115827477156337,-0.00326013045233202,0.235233738408942,0.147296313153803,-0.126372217696623,0.163858321870702,0.096005893767203,0.211321364019534,-0.0540680508108688,-0.0497161600699505,0.220906607598692,0.164235748277368,0.160171865002911,0.091221193778295,0.0591768430087168,-0.0334649643825358,0.242936425514704,0.217190452650822,0.304796291249571,0.208919984882948,0.0711959224724259,0.356715294507553,0.220659355878894,-0.134135857529425,0.350086772697945,0.268017040344348,0.281980742778542,-0.00103216941321697,0.249357710679799,-0.0152816078236466,0.376823133036272,-0.0384089236961242,0.14915201353119,0.211700646580659,0.376588265012845,-0.24888579479898,-0.0925005938573681,0.33751719394773,0.146245078724099,0.11094006085443,0.2449194125377,0.0454780285198563,0.055593803502925,-0.469823441640091,-0.190410748797064,-0.357964832474857,-0.162320179363479
"Northern.Cardinal",-0.195927458427878,0.264499576155028,-0.109209200539275,0.286032247807412,0.144042365534809,0.354369767454003,0.494256480178254,1,0.100651867513786,0.0893071013925775,-0.0290933772138527,-0.312296908962842,-0.396542924079834,0.334075005526041,-0.109683142630156,0.0635710323245342,0.0455948856200626,0.00513259203405618,0.0575737651241065,-0.117929628972192,-0.00479205950549649,0.178284080847185,-0.00616438681503894,-0.129297077314298,0.30406548902014,0.275991808205959,0.196065015700946,-0.11693207502823,0.350379159138237,0.307995319144635,0.271653606984059,0.258390547330382,0.211048403975984,0.343712579880629,0.011297503504063,-0.28939991888659,0.0311430545274007,0.17866992495633,0.318905051716024,0.236995222639835,0.410537119397879,0.351702938706974,-0.199657698726159,0.129683492060486,0.123566677248874,-0.0346425430242912,0.208305729281988,0.424905918576805,0.279328852893141,0.240766087951667,-0.0369420220897995,-0.0348837229702699,0.0802532558975327,0.255949417521528,0.257142860906214,0.0742896442539898,0.0890073258891443,0.233630936466712,0.395074402904801,0.370558305014573,0.0599110034306369,0.165497197921968,0.18128955284809,0.167638338858727,-0.187756508928217,0.0135204536047937
"Northern.Parula",0.101029373534377,0.135140106051578,0.170556187928807,0.229066912359112,0.0892929266716154,0.233499829157514,0.045212309418295,0.100651867513786,1,0.331676351654508,0.246076140059909,0.0771475206467556,-0.356665586187153,0.288386171419242,-0.13708986531165,-0.227413313721792,-0.0180412381786492,-0.0440748823036238,-0.210580606210662,-0.156701040180267,-0.413450727614738,-0.0827468408642144,0.224682669772906,0.0929199026456479,0.306171570623511,0.0675353928270347,0.0576231924280841,-0.0720783423672296,-0.15892676619909,-0.0315771785608816,0.22992484086982,0.213010842771716,-0.0462885123880534,-0.142514502701601,-0.533459947958411,-0.437899461542654,-0.477874082626104,-0.302853214162943,-0.521524190993463,-0.210292040667482,-0.212449171805079,-0.0476926565464303,-0.368638261135994,-0.147830928193478,-0.08800839139683,-0.382327665955468,-0.0070519452534228,-0.0430385327869853,0.0266094612737619,-0.169009891694051,-0.140408487577095,-0.257457258949762,-0.0295026353954379,-0.0365540164862379,0.211628034095999,0.0718944091973542,0.0276774974005532,0.143814441481232,-0.230928245135955,0.0334080158533503,0.221517141464879,0.191971520415308,-0.0354878594975076,0.0671821345509699,-0.0308537327636199,0.247384211294793
"Eastern.Wood.Pewee",0.1548861908701,0.315023956194387,0.286937206139537,0.223763083785427,0.263318652292558,0.400957943409757,0.197256143362389,0.0893071013925775,0.331676351654508,1,0.430104681017014,0.00461854286350829,-0.363060616962216,-0.144642254282448,-0.191978341676691,-0.277121152264637,0.025201484894663,0.203456536618754,0.294773272662446,0.246871688764046,0.238445751734261,0.344981340127304,0.109950374272878,-0.381628486240259,-0.113036346500708,-0.275696974890272,0.139459274469541,0.258561704485301,-0.250558814734689,-0.384417898390398,0.382297602213357,0.130501846099584,-0.083475885829335,-0.2217659137577,-0.354733825251265,-0.126161452295893,-0.242512411561251,0.0241811611082139,-0.0224161533196441,0.0997775130135563,0.182549190011265,0.334303340371149,0.277921661333204,0.0371321013004791,0.19017460888497,0.10137250498015,0.0374122065836727,-0.00393498722610974,0.062350152833336,0.134769985244128,0.473486172081146,-0.262356798685904,0.0773575229539064,0.0234589096122425,0.255475701574264,0.0768704090433485,0.289709240120935,0.534031465625002,0.379746857666237,0.44089721953387,0.150830357165234,-0.324204058711191,-0.200136857418692,-0.0891481098314611,-0.161792393452976,0.388394408244822
