"","Common.Yellowthroat","Great.Crested.Flycatcher","Downy.Woodpecker","Acadian.Flycatcher","Fish.Crow","Brown.Thrasher","Brown.headed.Nuthatch","Chimney.Swift","Common.Grackle","Yellow.billed.Cuckoo","Brown.headed.Cowbird","Barn.Swallow","Wood.Thrush","House.Finch","Eastern.Phoebe","Ovenbird","Chipping.Sparrow","Red.bellied.Woodpecker","count","Northern.Cardinal","Carolina.Wren","Blue.Grosbeak","Summer.Tanager","Carolina.Chickadee","Eastern.Bluebird","Northern.Mockingbird","Pine.Warbler","American.Crow","Yellow.breasted.Chat","American.Goldfinch","Mourning.Dove","Red.eyed.Vireo","Red.winged.Blackbird","American.Robin","Eastern.Towhee","European.Starling","Indigo.Bunting","Purple.Martin","White.eyed.Vireo","Blue.gray.Gnatcatcher","White.breasted.Nuthatch","Tufted.Titmouse","Blue.Jay","Eastern.Meadowlark","Eastern.Wood.Pewee"
"Eastern.Phoebe",-0.00132694579899537,-0.00609183939775826,-0.00172834150489604,-0.00251442704777802,0.0160459354837952,-0.00160546786264331,-0.00234687342022178,-0.00125319035658247,-0.000806952001219193,-0.00180086937922213,-0.00197817655214041,-0.00145204472075155,-0.000761210451317426,-0.00185916969348927,1,0.00830336201839614,-0.00224111115175107,-0.00185695922950635,-0.025754259810443,-0.00152567764633123,-0.00203553864401611,-0.00153982258683349,-0.00179489651420804,-0.00162418743620893,-0.00128998684303862,-0.00147098339660364,-0.0013656598453246,-0.00130215892370394,-0.0012524965282612,-0.00121993523929327,-0.00120848288936786,-0.0011996227498929,-0.00115524025391107,-0.00110179899550655,-0.0011532403660578,-0.00107944862993332,-0.00102670326181154,-0.00239872671105347,-0.00231521703425105,-0.00191013302769397,-0.00872066162642733,-0.00164677455037588,-0.00141880580481338,-0.000123406114676362,0.00907628203236458
"Ovenbird",-0.00134731078157334,-0.00232154648103106,-0.00175486681185489,-0.00255301661417958,-0.00227052933306339,-0.0016301073958307,-0.00238289149748744,-0.00127242339518731,-0.000819336503629508,-0.001828507790347,-0.00200853614260072,0.0144416784173666,-0.000772892946255035,-0.00188770285471264,0.00830336201839614,1,-0.00227550606795288,-0.00188545846616355,-0.020589542656902,-0.00154909261829967,-0.00206677858543166,-0.00156345464488564,-0.00182244325821881,-0.00164911426356446,-0.0013097846068992,-0.0014935589616847,-0.00138661898244876,-0.00132214349565487,-0.00127171891850222,-0.00123865790295685,-0.00122702979083619,-0.00121803367249441,-0.0449220620176746,-0.00111870859148621,-0.00117093944614134,-0.00109601520903474,-0.00104246034401899,-0.00243554059427078,-0.00235074927272108,-0.0019394483364729,-0.00178773191049566,-0.00167204802805191,-0.00144058058681153,-0.00012530006044062,-0.00154896740335212
"Chipping.Sparrow",-0.00168441861468902,-0.00290241580561536,-0.00219394839306216,-0.0031918016001569,-0.00283863376298606,-0.00203797318260388,-0.00297910983126312,-0.00159079381085067,-0.00102434098894103,-0.00228601492787556,-0.0025110878003376,-0.00184321858424544,-0.000966276885510753,-0.00236002106638406,-0.00224111115175107,-0.00227550606795288,1,-0.00235721511403633,0.0445356161808541,-0.00193668786580496,-0.00258390296385524,-0.00195464338524174,-0.00227843300175591,-0.00206173571924766,-0.00163750309376853,-0.00186725924827791,-0.00173356203888627,-0.00165295427441784,-0.001589913068517,-0.0015485799249195,-0.00153404236700959,-0.00152279534857698,-0.00146645642165567,-0.00139861834528729,-0.00146391777363405,-0.001370246898733,-0.00130329218214237,-0.00304493214923258,-0.00293892536717776,-0.00242471367769171,-0.00223503659979324,-0.00209040769332798,-0.00180102526423126,-0.000156651128391736,-0.00193653132108533
"Red.bellied.Woodpecker",-0.00139569012025794,-0.00240490874979179,-0.00181788070367414,-0.00264469053020116,-0.00235205967416941,-0.00168864141698874,-0.00246845654779527,-0.00131811367186876,-0.000848757301523996,-0.0018941659880594,-0.00208065881216736,-0.00152726997022786,-0.000800646045335943,-0.00195548663332784,-0.00185695922950635,-0.00188545846616355,-0.00235721511403633,1,0.0135975415237596,-0.00160471755462433,-0.00214099262909413,-0.00161959529396037,-0.00188788369024728,-0.00170833078478418,-0.00135681645283081,-0.0015471897912164,-0.0014364098030195,-0.00136961912551002,-0.0013173838987809,-0.00128313572575841,-0.00127109007049756,-0.00126177091884972,-0.00121508912430984,-0.00115887926522911,-0.00121298562941157,-0.00113537100706333,-0.00107989308985481,-0.00252299617237625,-0.00243516015756139,-0.00200909019580839,-0.00185192592479284,-0.00173208805664246,-0.00149230906480261,-0.000129799344602931,-0.00160458784344883
"count",-0.0201707700559177,-0.0314032364539844,-0.0229733976999774,-0.0485824543066826,-0.0262291539497166,-0.0224268470609337,-0.040001835964134,0.00705358299996656,0.0212633152703285,-0.0255338400401903,-0.0209785664563375,-0.0052385519876571,0.0101134017471687,-0.00815634449334247,-0.025754259810443,-0.020589542656902,0.0445356161808541,0.0135975415237596,1,0.112559043159616,0.086013589419915,-0.0124179911635072,-0.0192700396617907,0.0183537588153605,0.0181775823897071,0.0228996384445942,0.0123116450147129,0.107084358370125,-0.0147796223742481,0.0150363599520845,0.0663263545790277,0.0239354669517564,-0.0149669353782329,0.00793062996863994,0.00865396576848371,0.0314293559520335,0.0264028868920405,-0.0423626489487097,-0.045440975691939,0.0183935875640187,-0.0287756766253901,0.0650030001793178,-0.00756219831521894,0.00818355141710969,-0.00977943667337726
"Northern.Cardinal",-0.00114669896023998,-0.00197587295548714,-0.00149357073069929,-0.00217287765895888,-0.00193245215656746,-0.00138738773669996,-0.00202808382438875,-0.00108296215260925,-0.000697338973047814,-0.00155624671802377,-0.00170946921662346,-0.00125480496096244,-0.00065781076643094,-0.00160662775830621,-0.00152567764633123,-0.00154909261829967,-0.00193668786580496,-0.00160471755462433,0.112559043159616,1,-0.00175903947877048,-0.00133065944412551,-0.00155108518233294,-0.00140356452068019,-0.00111476035626736,-0.00127117108527922,-0.00118015425035506,-0.00112527903175021,-0.00108236257106252,-0.00105422427315174,-0.00104432756315675,-0.00103667094844706,-0.000998317187476724,-0.000952135168970233,-0.000996588956132459,-0.000932820784778142,-0.000887240129691529,-0.00207289357828122,-0.00200072751118808,-0.00165066844360555,-0.00152154228333216,-0.00142308349451445,-0.00122608108213134,-0.000106643137567317,-0.00131832932324289
"Carolina.Wren",-0.00152991036621298,-0.00263618318471935,-0.00199270202799424,-0.00289902421665945,-0.00257825173742599,-0.00185103410217606,-0.00270584222543653,-0.00144487357269984,-0.000930380300865503,-0.002076323489289,-0.00228075089096343,-0.00167414394179813,-0.000877642297991282,-0.00214354119721525,-0.00203553864401611,-0.00206677858543166,-0.00258390296385524,-0.00214099262909413,0.086013589419915,-0.00175903947877048,1,-0.00177534797540992,-0.00206943703762832,-0.00187261695030051,-0.00148729830934863,-0.00169597940525891,-0.00157454596537753,-0.00150133218503693,-0.00144407361904553,-0.00140653187953587,-0.00139332782185577,-0.00138311246924743,-0.00133194139599605,-0.00127032596658028,-0.00132963561292618,-0.00124455697435386,-0.00118374387594386,-0.00276562679781717,-0.00266934379943413,-0.00220229968859858,-0.00203002129819149,-0.00189865890328236,-0.00163582092808189,-0.000142281843192365,-0.00175889729357546
"Blue.Grosbeak",-0.00115733029419544,-0.00199419176972844,-0.00150741799992567,-0.00219302295326671,-0.0019503684056806,-0.00140025055673035,-0.00204688669870398,-0.00109300256661911,-0.000703804177743797,-0.00157067507206438,-0.00172531813491724,-0.00126643857279226,-0.000663909495199238,-0.0016215232076202,-0.00153982258683349,-0.00156345464488564,-0.00195464338524174,-0.00161959529396037,-0.0124179911635072,-0.00133065944412551,-0.00177534797540992,1,0.0056417958174593,-0.0014165773197363,-0.0011250955794067,-0.00128295643155636,-0.00119109575670453,-0.00113571177617072,-0.000489634159903626,-0.00106399825106602,-0.001054009786188,-0.00104628218508105,-0.00100757283676354,-0.000960962653168871,-0.00100582858255255,-0.000941469200471722,-0.000895465955688154,-0.00209211189507478,-0.00201927675825531,-0.00166597220516992,-0.00153564888384564,-0.00143627725887744,-0.00123744838766878,-0.000107631852869976,-0.00225487685123632
"Summer.Tanager",-0.00134904379803299,-0.00232453263561271,-0.0482339544401933,-0.00255630050374292,-0.00227344986540086,-0.00163220416740449,-0.00238595655882523,-0.0012740600856359,-0.000820390398295974,-0.00183085976001912,-0.00201111967881402,-0.00697345276149136,-0.000853445561564066,-0.00189013096570439,-0.00179489651420804,-0.00182244325821881,-0.00227843300175591,-0.00188788369024728,-0.0192700396617907,-0.00155108518233294,-0.00206943703762832,0.0056417958174593,1,-0.00165123548325755,-0.00131146935425913,-0.00149548009398725,-0.00138840256018942,-0.00132384413998376,-0.00127335470279779,-0.00124025116158956,-0.00122860809248194,-0.00121960040262946,-0.00117447879254498,-0.00112014756193686,-0.00117244560000067,-0.00109742498948274,-0.00104380123801268,-0.00243867337699289,-0.00235377299021654,-0.00194194300654875,-0.00179003143104327,-0.00167419874694582,0.00241309279926967,-0.00012546123117427,-0.0015509598063241
"Carolina.Chickadee",-0.00122073889514878,-0.00210345090757812,-0.00159000744470807,-0.0023131757895164,-0.00205722651919243,-0.00147696843859323,-0.00215903292223726,-0.00115288673619059,-0.000742364680721852,-0.00165673028842871,-0.00181984604080847,-0.00133582507247768,-0.000700284221119232,-0.00171036432629162,-0.00162418743620893,-0.00164911426356446,-0.00206173571924766,-0.00170833078478418,0.0183537588153605,-0.00140356452068019,-0.00187261695030051,-0.0014165773197363,-0.00165123548325755,1,-0.00118673808283628,-0.00135324792294577,-0.0012563543228312,-0.00119793592702423,-0.00115224844092713,-0.00112229331242877,-0.00111175759272909,-0.00110360660654585,-0.00106277642406979,-0.00101361252996846,-0.00106093660447036,-0.000993051056698975,-0.000944527354786029,-0.00220673594749094,-0.00212991026955362,-0.00175724862581395,-0.00161978506153729,-0.0015149689962521,-0.00130524655333304,-0.000113528860183045,-0.0014034510689371
"Eastern.Bluebird",-0.000969553807904778,-0.00167063476496714,-0.00126283989044662,-0.00183720564978427,-0.00163392172833371,-0.00117306033213491,-0.00171477995783199,-0.000915663234454594,-0.000589612165146993,-0.00131583352197637,-0.00144538579517537,-0.00106095930166741,-0.00055619038264446,-0.00135843156308894,-0.00128998684303862,-0.0013097846068992,-0.00163750309376853,-0.00135681645283081,0.0181775823897071,-0.00111476035626736,-0.00148729830934863,-0.0011250955794067,-0.00131146935425913,-0.00118673808283628,1,0.0161261184244484,-0.000997840834448193,-0.000951442887818128,-0.000915156277884516,-0.000891364860229694,-0.000882997020723357,-0.000876523220532719,-0.000844094452141381,-0.000805046756580251,-0.000842633202642725,-0.000788716110621638,-0.000750176878235174,-0.0017526673799227,-0.00169164972177724,-0.00139566872437991,-0.00128649032208425,-0.00120324171287655,-0.00103667276521438,-9.01686176585171e-05,-0.00111467024889879
"Northern.Mockingbird",-0.00110559077500533,-0.00190503958572692,-0.00144002748666797,-0.00209498183765449,-0.00186317538562442,-0.00133765106295206,-0.00195537873925733,-0.00104413887787438,-0.000672339962261763,-0.00150045659300094,-0.00164818619497048,-0.00120982126728425,-0.000634228808329119,-0.0015490315157163,-0.00147098339660364,-0.0014935589616847,-0.00186725924827791,-0.0015471897912164,0.0228996384445942,-0.00127117108527922,-0.00169597940525891,-0.00128295643155636,-0.00149548009398725,-0.00135324792294577,0.0161261184244484,1,-0.00113784672134247,-0.00108493873278615,-0.00104356079081764,-0.00101643122702343,-0.00100688930568859,-0.000999507174122856,-0.000962528362956381,-0.000918001930647365,-0.000960862087240115,-0.000899379950748505,-0.000855433323490761,-0.00199858210147491,-0.00192900312668461,-0.00159149337979756,-0.00146699628286097,-0.00137206715812166,-0.0011821271151491,-0.00010282007152721,-0.00127106833505052
"Pine.Warbler",-0.0010264296186294,-0.00176863727489244,-0.0013369204025326,-0.0019449795143677,-0.00172977058396398,-0.00124187421010137,-0.00181537210601483,-0.00096937772496119,-0.000624199899868318,-0.00139302273801672,-0.00153017478598776,-0.00112319712687755,-0.000588817534095205,-0.00143811965861778,-0.0013656598453246,-0.00138661898244876,-0.00173356203888627,-0.0014364098030195,0.0123116450147129,-0.00118015425035506,-0.00157454596537753,-0.00119109575670453,-0.00138840256018942,-0.0012563543228312,-0.000997840834448193,-0.00113784672134247,1,-0.00100725627863943,-0.000968841029385732,-0.000943653963385901,-0.000934795251014113,-0.000927941685789968,-0.000893610586163335,-0.000852272280917777,-0.000892063617079823,-0.000834983649212563,-0.000794183634527242,-0.00185548207401293,-0.00179088500774465,-0.00147754122032082,-0.00136195821201609,-0.00127382608618273,-0.00109748589749956,-9.5458074715403e-05,-0.00118005885712237
"American.Crow",-0.000978702340870718,-0.00168639857002546,-0.00127475581741654,-0.00185454118734328,-0.00164933911587182,-0.00118412911556091,-0.00173096030888172,-0.000924303265794533,-0.000595175638041439,-0.0013282494871919,-0.00145902419202127,-0.00107097032020787,-0.000561438493692492,-0.00137124947565411,-0.00130215892370394,-0.00132214349565487,-0.00165295427441784,-0.00136961912551002,0.107084358370125,-0.00112527903175021,-0.00150133218503693,-0.00113571177617072,-0.00132384413998376,-0.00119793592702423,-0.000951442887818128,-0.00108493873278615,-0.00100725627863943,1,-0.000923791525674759,-0.000899775616540609,-0.000891328819626191,-0.000884793933837202,-0.000852059173499603,-0.000812643031002191,-0.000850584135917104,-0.000796158292045694,-0.000757255410488743,-0.00176920522977991,-0.00170761182013671,-0.00140883800001001,-0.00129862941021526,-0.00121459528230868,-0.00104645462042463,-9.10194322955441e-05,-0.00112518807414484
"Yellow.breasted.Chat",-0.00491882430115631,-0.00162208184866826,-0.00122613853549721,-0.00321150618277922,-0.00158643578671545,-0.00113896820062053,-0.00166494406939625,-0.0008890517204883,-0.000572476528619193,-0.00127759203664667,-0.00140337918965972,-0.00103012511262109,-0.00054002606853998,-0.00131895206980683,-0.0012524965282612,-0.00127171891850222,-0.001589913068517,-0.0013173838987809,-0.0147796223742481,-0.00108236257106252,-0.00144407361904553,-0.000489634159903626,-0.00127335470279779,-0.00115224844092713,-0.000915156277884516,-0.00104356079081764,-0.000968841029385732,-0.000923791525674759,1,-0.000865459519123428,-0.000857334870420776,-0.000851049215410235,-0.000819562909914085,-0.000781650040189197,-0.000818144128060705,-0.000765794004542204,-0.000728374820752523,-0.00170173038616341,-0.00164248605712064,-0.00135510702401505,-0.0108566074502821,-0.00116827243329628,-0.00218144453992927,-8.75480871645084e-05,-0.00108227508244436
