"","Pied.billed.Grebe","Rusty.Blackbird","Carolina.Chickadee","Field.Sparrow","Golden.crowned.Kinglet","European.Starling","Mourning.Dove","American.Robin","Cedar.Waxwing","American.Coot","Northern.Mockingbird","American.Goldfinch","Dark.eyed.Junco","Rock.Pigeon..Feral.Pigeon.","Yellow.rumped.Warbler","House.Sparrow","Ring.necked.Duck","Brown.headed.Cowbird","Swamp.Sparrow","Eastern.Meadowlark","Pine.Warbler","Ruby.crowned.Kinglet","Carolina.Wren","White.breasted.Nuthatch","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Brown.Thrasher","Chipping.Sparrow","Tufted.Titmouse","Downy.Woodpecker","Red.headed.Woodpecker","Hermit.Thrush","Yellow.bellied.Sapsucker","Bufflehead","Horned.Grebe","Ruddy.Duck","Bonaparte.s.Gull","Eastern.Phoebe","Blue.Jay","Fox.Sparrow","Common.Grackle","Eastern.Bluebird","House.Finch","American.Crow","Herring.Gull","Ring.billed.Gull","American.Pipit","Pine.Siskin","Hooded.Merganser","Eastern.Towhee","Northern.Cardinal","Red.winged.Blackbird","White.throated.Sparrow","Northern.Flicker","Song.Sparrow"
"Pied.billed.Grebe",1,0.318290598290598,0.21982905982906,-0.00786324786324786,0.00444444444444444,0.114529914529915,0.00923076923076923,-0.0721367521367521,-0.106324786324786,0.0566041066599578,-0.0577777777777778,-0.0776068376068376,-0.00854700854700855,-0.128205128205128,0.00307692307692308,0.10974358974359,-0.183589743589744,-0.126153846153846,0.0728205128205128,-0.225299145299145,-0.231452991452991,-0.0646153846153846,0.0229059829059829,-0.0167521367521367,0.0167521367521367,-0.0803418803418803,-0.0577777777777778,-0.0536752136752137,0.204786324786325,0.0406837606837607,0.0543589743589744,0.273162393162393,0.0482051282051282,0.0837606837606838,0.358632478632479,0.16034188034188,0.332649572649573,0.210940170940171,-0.194529914529915,-0.124102564102564,0.130940170940171,-0.00307692307692308,0.0276923076923077,0.405128205128205,0.264273504273504,0.125470085470085,0.094017094017094,-0.12864569695445,0.243760683760684,0.234871794871795,-0.18974358974359,0.0297435897435897,0.0147008547008547,-0.327179487179487,-0.154214397877068
"Rusty.Blackbird",0.318290598290598,1,-0.00717948717948718,0.0864957264957265,0.0064957264957265,0.268376068376068,-0.0762393162393162,0.15008547008547,0.261538461538461,0.248715014111936,0.475555555555556,0.137094017094017,0.36957264957265,0.217777777777778,0.295042735042735,0.329230769230769,-0.295042735042735,-0.278632478632479,-0.236923076923077,0.16034188034188,-0.15965811965812,-0.157606837606838,-0.101538461538462,-0.162393162393162,0.0352136752136752,-0.253333333333333,-0.155555555555556,-0.151452991452991,0.0495726495726496,-0.250598290598291,-0.163076923076923,0.163076923076923,-0.0543589743589744,-0.0905982905982906,-0.22051282051282,-0.186324786324786,0.0147008547008547,-0.15008547008547,-0.0782905982905983,0.332649572649573,-0.00376068376068376,0.182905982905983,0.426324786324786,0.213675213675214,0.0482051282051282,-0.00581196581196581,0.236923076923077,0.151287339618433,0.0379487179487179,-0.166495726495726,-0.232820512820513,-0.186324786324786,0.0317948717948718,-0.0229059829059829,0.175072664552237
"Carolina.Chickadee",0.21982905982906,-0.00717948717948718,1,0.498119658119658,0.227350427350427,0.29982905982906,0.29982905982906,0.208888888888889,0.176068376068376,0.191081741876342,0.168547008547009,0.0557264957264957,-0.104273504273504,-0.158974358974359,0.245128205128205,0.349059829059829,0.204102564102564,-0.27042735042735,0.0386324786324786,-0.243076923076923,-0.225982905982906,-0.127521367521368,0.418803418803419,0.0837606837606838,0.154188034188034,0.126837606837607,-0.0974358974358974,0.225982905982906,0.362735042735043,0.0953846153846154,-0.133675213675214,-0.283418803418803,-0.312820512820513,-0.301880341880342,-0.10974358974359,-0.13982905982906,-0.0215384615384615,0.132991452991453,0.0953846153846154,-0.318290598290598,-0.158290598290598,0.135726495726496,0.0899145299145299,0.333333333333333,0.384615384615385,0.131623931623932,-0.12,-0.026415249774647,-0.104957264957265,0.294358974358974,0.000341880341880342,0.042051282051282,0.0611965811965812,0.398974358974359,0.298170631815529
"Field.Sparrow",-0.00786324786324786,0.0864957264957265,0.498119658119658,1,0.318290598290598,0.563760683760684,0.258803418803419,-0.0714529914529914,0.118632478632479,0.438767590412643,0.532307692307692,0.605470085470085,0.391452991452991,0.176752136752137,0.385299145299145,0.344957264957265,0.182222222222222,-0.0181196581196581,0.288888888888889,0.0167521367521367,-0.042051282051282,-0.0974358974358974,0.145299145299145,-0.344273504273504,-0.0858119658119658,-0.204786324786325,-0.273846153846154,-0.150769230769231,0.00239316239316239,-0.223247863247863,-0.291623931623932,-0.176752136752137,-0.393504273504273,-0.362051282051282,-0.498803418803419,-0.375726495726496,-0.181538461538462,0.0974358974358974,0.065982905982906,-0.0488888888888889,-0.120683760683761,0.262222222222222,0.440683760683761,0.354529914529914,0.195897435897436,0.115213675213675,0.124102564102564,0.300173292893716,-0.147350427350427,-0.0652991452991453,-0.04,-0.381880341880342,0.078974358974359,0.482393162393162,0.368610024193968
"Golden.crowned.Kinglet",0.00444444444444444,0.0064957264957265,0.227350427350427,0.318290598290598,1,0.429059829059829,0.444786324786325,0.0475213675213675,-0.014017094017094,0.354376013210524,0.457777777777778,0.398290598290598,0.36957264957265,0.215042735042735,0.386666666666667,0.119316239316239,0.271111111111111,-0.0755555555555555,0.143931623931624,0.238974358974359,0.406495726495726,0.42974358974359,0.0441025641025641,-0.294358974358974,-0.275897435897436,-0.225982905982906,-0.0297435897435897,-0.271111111111111,-0.101538461538462,-0.153504273504273,-0.0584615384615385,-0.0406837606837607,-0.28957264957265,-0.273162393162393,-0.358632478632479,-0.323760683760684,-0.394188034188034,-0.0447863247863248,0.27042735042735,0.0652991452991453,-0.181538461538462,0.0160683760683761,0.317606837606838,0.28,0.0208547008547009,0.00854700854700855,-0.0584615384615385,0.058662437811229,0.23965811965812,0.0502564102564102,0.00239316239316239,-0.107008547008547,0.0803418803418803,0.176752136752137,0.0714652087722999
"European.Starling",0.114529914529915,0.268376068376068,0.29982905982906,0.563760683760684,0.429059829059829,1,0.654017094017094,0.232136752136752,0.246495726495726,0.608922965584394,0.48034188034188,0.615042735042735,0.448888888888889,0.34974358974359,0.56034188034188,0.482393162393162,0.15008547008547,-0.0796581196581197,0.34974358974359,0.178803418803419,-0.104957264957265,0.0741880341880342,-0.10974358974359,-0.555555555555555,-0.491282051282051,-0.533675213675214,-0.359316239316239,-0.504273504273504,-0.322393162393162,-0.342222222222222,-0.280683760683761,-0.141196581196581,-0.406495726495726,-0.171282051282051,-0.315555555555556,-0.511111111111111,-0.264957264957265,-0.198632478632479,0.0311111111111111,0.0331623931623932,0.128205128205128,0.192478632478632,0.368888888888889,0.121367521367521,-0.124102564102564,-0.336068376068376,0.136410256410256,0.369470441653179,0.238290598290598,-0.212307692307692,-0.0878632478632479,-0.342222222222222,-0.0878632478632479,0.331965811965812,0.184988889692891
"Mourning.Dove",0.00923076923076923,-0.0762393162393162,0.29982905982906,0.258803418803419,0.444786324786325,0.654017094017094,1,0.15008547008547,0.184273504273504,0.335164922465326,0.135726495726496,0.471452991452991,0.384615384615385,0.155555555555556,0.392820512820513,0.372991452991453,0.314871794871795,0.0796581196581197,0.00786324786324786,0.189059829059829,0.0892307692307692,0.18974358974359,-0.0694017094017094,-0.258803418803419,-0.353846153846154,-0.315555555555556,-0.0673504273504273,-0.367521367521367,-0.235555555555556,-0.117264957264957,-0.162393162393162,-0.333333333333333,-0.410598290598291,0.055042735042735,-0.115213675213675,-0.356581196581197,-0.00239316239316239,-0.0803418803418803,0.195897435897436,0.0769230769230769,0.210940170940171,0.359316239316239,0.427692307692308,0.00923076923076923,-0.0707692307692308,-0.276581196581197,-0.0188034188034188,0.134134580024506,0.28,0.207521367521368,0.158974358974359,0.105641025641026,0.171282051282051,0.385299145299145,0.275602671150592
"American.Robin",-0.0721367521367521,0.15008547008547,0.208888888888889,-0.0714529914529914,0.0475213675213675,0.232136752136752,0.15008547008547,1,0.524102564102564,0.00240138634314972,-0.00991452991452991,0.138461538461538,0.0803418803418803,0.258803418803419,0.415384615384615,0.267692307692308,0.0851282051282051,-0.109059829059829,0.262905982905983,-0.145299145299145,-0.151452991452991,0.014017094017094,0.286837606837607,0.0331623931623932,0.0673504273504273,0.126837606837607,-0.0673504273504273,-0.0741880341880342,-0.0694017094017094,0.00786324786324786,-0.122051282051282,0.272478632478632,0.259487179487179,0.117948717948718,0.0926495726495726,0.146666666666667,0.096068376068376,0.187692307692308,0.0994871794871795,0.0235897435897436,0.140512820512821,0.101538461538462,0.142564102564103,0.0844444444444444,-0.158290598290598,0.0393162393162393,-0.195213675213675,0.342026026302897,0.0174358974358974,0.00307692307692308,0.0215384615384615,0.182905982905983,0.198632478632479,0.202735042735043,0.107368782557427
"Cedar.Waxwing",-0.106324786324786,0.261538461538461,0.176068376068376,0.118632478632479,-0.014017094017094,0.246495726495726,0.184273504273504,0.524102564102564,1,0.227445592215467,0.04,0.140512820512821,0.224615384615385,0.28,0.543931623931624,0.20957264957265,0.148034188034188,0.101538461538462,-0.0331623931623932,0.22051282051282,-0.189059829059829,-0.117264957264957,-0.0064957264957265,-0.393504273504273,-0.235555555555556,-0.231452991452991,-0.247863247863248,-0.21025641025641,-0.145982905982906,-0.10017094017094,-0.276581196581197,0.10017094017094,0.0475213675213675,0.00786324786324786,-0.0830769230769231,-0.269059829059829,-0.0584615384615385,0.042051282051282,-0.16034188034188,-0.0064957264957265,0.042051282051282,0.0673504273504273,0.264273504273504,0.11042735042735,-0.210940170940171,-0.185641025641026,-0.0748717948717949,0.217840046842868,-0.0666666666666667,-0.0112820512820513,-0.0694017094017094,0.0933333333333333,-0.0365811965811966,0.0393162393162393,0.00615489836316458
"American.Coot",0.0566041066599578,0.248715014111936,0.191081741876342,0.438767590412643,0.354376013210524,0.608922965584394,0.335164922465326,0.00240138634314972,0.227445592215467,1,0.69400065317027,0.52110083646349,0.503948076869564,0.37152877280445,0.396914857003462,0.457292570774083,0.264495552938348,-0.161578995374789,-0.0854207427777545,0.213037274156568,-0.220584488377896,-0.21029283262154,-0.274101098310947,-0.720758958136796,-0.324187156325213,-0.29674274097493,-0.511495291090891,-0.516984174160948,-0.466898116146682,-0.465525895379168,-0.178045644584958,-0.252831676414478,-0.407206512759818,-0.455234239622812,-0.455234239622812,-0.534823044138631,-0.435337038493857,-0.320756604406428,-0.0559179962762007,0.169812319979873,0.224701150680438,0.0970846193016246,0.38319264932832,0.241853910274365,-0.069640203951342,-0.158148443456003,0.158148443456003,0.0685025817555938,0.221270598761653,-0.125215145035664,-0.153345670769704,-0.331734370546541,-0.29674274097493,0.291253857904874,-0.0675934282199723
