"","Pine.Warbler","Acadian.Flycatcher","Yellow.throated.Vireo","Ovenbird","Barn.Swallow","Eastern.Bluebird","Tufted.Titmouse","American.Crow","Blue.Jay","Hooded.Warbler","White.breasted.Nuthatch","Mourning.Dove","Northern.Cardinal","Brown.headed.Cowbird","Chimney.Swift","Carolina.Chickadee","Wood.Thrush","Red.winged.Blackbird","Eastern.Meadowlark","Field.Sparrow","Common.Grackle","Yellow.breasted.Chat","Black.and.white.Warbler","Gray.Catbird","Great.Crested.Flycatcher","Rock.Pigeon","Blue.gray.Gnatcatcher","White.eyed.Vireo","Carolina.Wren","Indigo.Bunting","Yellow.rumped.Warbler","Northern.Flicker","Ruby.thr.Hummingbird","Brown.Thrasher","Red.eyed.Vireo","American.Robin","Eastern.Towhee","Orchard.Oriole","Prothonotary.Warbler","American.Redstart","N..Rough.winged.Swallow","Chipping.Sparrow","White.throated.Sparrow","Bobolink","count","American.Goldfinch","Cliff.Swallow","House.Finch","Blue.Grosbeak","Yellow.throated.Warbler","Eastern.Wood.Pewee","Ruby.throated.Hummingbird","Purple.Martin","Eastern.Kingbird","Northern.Parula","Summer.Tanager","Northern..Yellow.shafted..Flicker","Red.bellied.Woodpecker","Black.thr.Blue.Warbler","Eastern.Whip.poor.will","Brown.headed.Nuthatch","Spotted.Sandpiper","Common.Yellowthroat","Cedar.Waxwing","European.Starling","Fish.Crow","Scarlet.Tanager","Tree.Swallow","House.Sparrow","Northern.Mockingbird","Downy.Woodpecker","Prairie.Warbler","Black.throated.Blue.Warbler","Yellow.billed.Cuckoo","Yellow.rumped..Myrtle..Warbler","Eastern.Phoebe","Red.headed.Woodpecker","Northern.Bobwhite","Ring.billed.Gull"
"Pine.Warbler",1,0.021152532550203,0.0096405163912956,-0.000957184837238177,-0.00110563143181872,-0.000676607037575033,-0.000823654135999272,-0.000746009710250371,-0.00076823468390781,0.00187054094250874,0.00672515642792598,-0.000697833876122176,-0.000691922318232238,-0.000644401802060517,-0.000638210513704223,-0.000671120193007202,-0.000513856704866589,-0.000638720086952902,-0.000554704993147708,-0.000534486432553939,0.00120687968496569,-0.000517045703678778,-0.00106378344569761,-0.000801827794197096,-0.000871614847217493,-0.000978563837577915,-0.000949473191115233,-0.000892621595407311,-0.000861819245499097,-0.000208638615787676,-0.000702209700700068,-0.000790823305664097,-0.000736169962498446,-0.000703485050282839,-0.000734665995367402,-0.000688752796418303,-0.000740006497712693,-0.00096343462029434,-0.00295509021637256,-0.00077196131708281,-0.00118052228191557,-0.000525673231063905,-0.00106066259385381,-0.000702051739687247,0.0128066605127915,-0.000792049014394856,-0.00101296399895145,-0.00366896722684864,-0.000760818931463508,-0.000798106102142894,-0.000849433326361556,-0.00658407376419671,-0.000855431863921152,-0.011765846171894,-0.000936220401307042,-0.000747882029063197,-0.000354545826983641,-0.000868835229268171,-0.00111769477818861,0.0066114779717717,-0.000867745039781196,0.000118881415489746,-0.00078003478319524,-0.0011826996567777,-0.00074827213076293,-0.000942736230100458,-0.000777391175182435,-0.00378077954851769,-0.00838723856298563,-0.000730605741267201,-0.00079145838370606,-0.00178043289249862,-0.00122264421318152,-0.00103572145440182,-0.00128903916106841,0.000789629112865093,-0.00114865464451958,-0.000766886203956457,-0.00106941860284555
"Acadian.Flycatcher",0.021152532550203,1,0.152548520210785,-0.000997340326370136,-0.00115201450143788,-0.000704991823341355,-0.000858207791071829,-0.000777306053074579,-0.000800463401184082,0.000154918458792775,-0.000712117787358264,-0.000727109162919772,-0.000720949605386105,-0.000671435524861529,-0.00066498450170517,-0.000699274796557257,-0.000535413844642462,-0.000665515452395545,-0.000577975786266438,0.00602617774933062,-0.000600775123894154,-0.000538736627236089,-0.00110841092299461,-0.000835465798084187,0.000750471894217391,-0.00101961621118008,-0.000989305163920626,-0.00151608839644379,-0.00089797399012077,-0.000503993311262234,-0.000731668560585665,-0.000823999653032314,-0.000767053511608688,0.00743982651444686,-0.00076548645056557,-0.000717647116883199,-0.000771050995829003,0.0236453432344554,0.0178224858420681,-0.00122136195807041,-0.00123004714672489,-0.000705074500977045,-0.001105159146247,8.05586857825585e-05,-0.0153853112198972,0.0260306370656938,-0.00105545951629405,-0.000918666346969778,-0.000792736545643527,-0.000831587974884559,0.0224992082980346,-0.00203183502178298,-0.00090921979282519,-0.000755664416883914,-0.000975496397632004,-0.000779256918762305,0.00784546599395579,-0.000905284306028562,-0.00116458392516657,0.00642622900987001,-0.00474974102657788,-0.00129530857694654,-0.00566370790920997,-0.00123231586606836,-0.00077966338587435,-0.000982285576234645,-0.0113181859943299,-0.000849617249455851,-0.00443539524685565,-0.000761255862081844,-0.000824661373650105,-0.0008110070388798,-0.00127393616276551,0.00735610192451597,-0.00134311648867442,0.0253911267588167,0.00981183587979728,-0.000799058350265283,-0.0041795472484602
"Yellow.throated.Vireo",0.0096405163912956,0.152548520210785,1,-0.00085896550180959,-0.000992179588206553,-0.00060717855209188,-0.000739136748433571,-0.000669459628057563,-0.000689404036815404,-0.000659310273988989,-0.00347042125764778,-0.000626227247093157,-0.000620922290211373,-0.000578277983248222,-0.000572721999802876,-0.000602254727544841,-0.000461128472978633,-0.000573179284356734,-0.000497785207473805,0.0235735467296128,-0.000517421277497801,-0.000463990239962817,-0.00172332642729405,-0.000719550066834145,0.0117882046372236,-0.00270818349629193,-0.000852045168636583,-0.000801027269547393,-0.000773385632408406,-0.00043406734498806,-0.000674235347035841,-0.00070967477875271,0.0131594612062227,-0.000631298538927199,-0.000659279922563286,-0.000618078001637934,-0.00066407242146051,0.00240860802155131,-0.00099397518071599,-0.00069274827004016,-0.0153999500354454,-0.000607249758714889,-0.000951825124820216,-0.000630012304223873,-0.0172852911700489,-0.000710774714182078,-0.000909021012268515,-0.000791207052252925,-0.000682749234867191,-0.000716210267708044,-0.000762270666068266,-0.000670023808467338,-0.00163711504556905,-0.000650820635530338,-0.00314433274576021,-0.00067113982315276,0.00712527086489042,-0.000779681687030761,-0.00100300508184713,-0.049993049590483,0.0159078306334218,0.00350385096914561,-0.000726335916334004,-0.00665732439249531,-0.000671489895457863,0.00073635293943193,-0.0217646457174135,0.000934563971528286,-0.000734874376090607,-0.000655636302162138,-0.000710244689712295,0.0089014212939689,-0.00264263566027933,-0.0080767407969519,-0.0202642904240642,-0.000755024632140489,-0.00103078807222064,-0.000688193928053503,-0.000959682655951923
"Ovenbird",-0.000957184837238177,-0.000997340326370136,-0.00085896550180959,1,-0.000334077180692826,-0.000706366810097437,-0.000859881603884206,-0.000778822078498751,-0.000802024591737962,0.0164969157332909,-0.000713506672298176,-0.000728527286415719,-0.000722355715536889,-0.000672745064807406,-0.000666281459843334,-0.000700638633061553,-0.000536458093555524,-0.000666813446077995,-0.000579103046221856,-0.000557995195788417,-0.000601946850730194,1.61009168016282e-05,-0.00111057272159771,-0.000837095255858387,-0.000909951811126939,-0.00102160482826775,-0.00379383797132972,0.00984319725417068,-0.000899725361275398,-0.000504976278872662,-0.00073309557654124,-0.000825606747713947,-0.00076854954090227,-0.000734427020890104,-0.000766979423528547,-0.000719046785997561,-0.000772554821649468,-0.00100581016998242,0.0186452926863113,-0.000805915136532615,-0.00123244617956404,-0.000706449648983935,-0.00110731460272021,-0.00098047549546103,-0.00208718109576668,-0.000826886367815328,-3.45895878924285e-05,-0.000920458075636977,-0.000794282666059411,0.027233850536132,-0.0117468474159753,-0.000779478423020438,-0.000893057038158039,-0.000757138233360507,0.00850458144888337,-0.00078077674907406,-0.000623975440361432,-0.000907049934919284,-0.00116685528125942,-0.00102948120644977,0.00175459903224323,-0.00129783489296752,-0.000844989636923979,-0.0114117860797731,-0.000781184008942767,-0.00120044375836289,-3.74835632768655e-05,-0.000851274307632974,-0.000854922933415758,-0.000762740583880732,-0.000826269758923797,-0.000905806811733607,-0.00127642079491867,-0.00108127645629774,-0.00113835948803458,-0.00372695463029754,0.0368332938917877,-0.000800616800466342,-0.00111645573456965
"Barn.Swallow",-0.00110563143181872,-0.00115201450143788,-0.000992179588206553,-0.000334077180692826,1,-0.000111968500659867,-0.000993237765487281,-0.000899606989457812,-0.000926407902861984,-0.000885968482405486,0.00696533803813561,-0.000841512146308883,-0.000834383447146748,-0.000589140221481594,-0.000757277166116444,-0.000809298334994716,-0.00061965558480836,-0.000770227312908845,-0.000668914200534443,-0.000644532804183786,-0.00069530077427023,-0.000623501172313945,-0.00128280773007409,-0.000966917558967538,-0.0010510731936842,0.00378460825239498,-0.00114496193185445,-0.0042836389704315,-0.00103926075793338,-0.000583291360794289,-0.000846788917268939,-0.000953647336524431,-0.000887741318367543,-0.00084832685086821,-0.000885927696742359,-0.000830561346793519,-0.00678826182846017,-0.00116179790476386,-0.00133568475594863,-0.000930901819234958,-0.00142358213496426,-0.000816010561938536,-0.00127904432043819,-0.000846598433379537,0.0097342444800605,-0.000955125408627322,-0.00122152497615653,-0.0010632088396132,-0.000917465307826861,-0.000962429601051564,-0.00102432467965715,-0.000900365124255699,-0.00103155826688952,-0.000874560269310419,-0.00326345256244841,-0.000901864803354212,-0.000720745704180816,-0.0010477212752027,-0.00134781896364602,-0.00118914000309661,-0.00104640662464366,-0.00149911176520108,-0.000976036253185704,-0.00142620781344775,-0.000902335223793826,-0.00113683788583533,-0.000937449640571684,0.00717475488451076,-0.000987510071402912,-0.000881031469632747,0.000762888478169609,-0.000938610471114145,-0.00147437662631672,-0.00124896800498564,-0.00155444174928098,-0.00101458759844421,-0.00138515321246454,-0.000924781781950889,-0.00128960311984853
"Eastern.Bluebird",-0.000676607037575033,-0.000704991823341355,-0.00060717855209188,-0.000706366810097437,-0.000111968500659867,1,-0.000510243552006525,0.00240274989867315,-0.000566928624406373,-0.000542181140128427,-0.000504357797002546,-0.000514975446619641,-0.000510612936760511,-0.000475544563217202,-0.0014207237853167,0.00359577842452791,-0.00037920713674392,-0.000471351668783037,-0.00040935165425885,-0.000394431108512836,-0.000425499297111055,-0.000381560499261495,-0.000785032618506639,-0.00059171909039927,-0.000643219339996123,-0.000722143717216673,-0.000700675902071579,-0.0006587215388735,-0.000635990550247592,0.00233313719316774,-0.000518204642411705,-0.000583598187142606,-0.000543266052563038,-0.000519145802970792,-0.000542156180756129,-0.000508273947543395,0.0016827064618182,-0.00071097891754978,-0.000817391474092109,-0.000569678741087796,-0.00087118153786446,0.00288353940773725,-0.000782729545917054,-0.000518088073059112,0.00823444673594905,-0.000584502714599206,-0.000747529756893518,-0.000650645922856128,-0.000561456074910591,-0.000588972620080928,-0.000626850202583454,-0.000550991371922764,-0.000631276900203591,-0.000535199720241041,-0.000690895836093007,-0.000551909122090529,-0.000441070687497172,-0.000641168085329515,-0.000824817176805391,-0.000727711307405201,-0.000640363566034496,-0.000917402980103643,-0.000597299406319846,-0.0008727883595313,-0.000552197002636206,-0.00069570427540489,-0.000573685774417203,-0.000601741863267684,-0.00060432097420434,-0.000539159864239829,-0.000584066851117738,-0.00057439616134357,-0.000902265956532509,-0.000764323912616606,-0.000951262958700558,-0.000620891455857655,-0.000847664406692837,-0.00056593349635525,-0.000789191154897915
"Tufted.Titmouse",-0.000823654135999272,-0.000858207791071829,-0.000739136748433571,-0.000859881603884206,-0.000993237765487281,-0.000510243552006525,1,-0.000670173618727588,0.00052523493799042,-0.000660013440191244,-0.000613969944819757,-0.000626895129655413,-0.000621584514942193,-0.000578894727062763,-0.00057333281806164,-0.00060289704298607,-0.000461620274744622,-0.000573790590317652,-0.000498316104302969,-0.000480152874344404,-0.000517973116546914,-0.000464485093854497,-0.000955643863008869,-0.000720317479853155,-0.000783010285617512,-0.000879087308348269,-0.000852953890051962,-0.000801881579460726,-0.000774210462021297,-0.000434530285576934,-0.000630826127002929,-0.000710431659600375,-0.000661334136791191,-0.000631971830112888,-0.000659983056395227,-0.000618737192883964,-0.000664780666578263,-0.000865496061268999,-0.00099503527302846,-0.000693487098463573,-0.00106051553859066,-0.000607897401446292,-0.000952840263343984,-0.000630684223617327,0.0486405558980252,-0.00071153276813045,-0.000909990499440486,-0.000792050888728861,-0.000683477399140499,-0.000716974118771471,-0.00076308364137062,-0.000670738400845809,-0.000768472393779755,-0.000651514747381323,-0.000841048321019884,-0.000671855605780844,-0.000536928639298717,-0.00131581857746693,-0.00100407480471051,-0.000885864903661054,-0.000779533865917153,-0.00111678229308491,-0.000727110566583005,-0.00106247157102652,-0.000672206051444317,-0.000846901779093646,-0.000698364980884974,-0.000732518503296417,-0.000735658132759605,0.000434834429028862,-0.000711002178380085,-0.000699229756297463,-0.00109835553814604,-0.000930434531284388,-0.00115800106538172,-0.000755829879418093,-0.00103188742614048,0.00265502891262072,-0.000960706174673264
"American.Crow",-0.000746009710250371,-0.000777306053074579,-0.000669459628057563,-0.000778822078498751,-0.000899606989457812,0.00240274989867315,-0.000670173618727588,1,0.00511353336842255,-0.000597795134824382,-0.000556092078723891,-0.000567798829133721,-0.000562988836722591,-0.000524323340011483,-0.000519285742382874,0.00391152825241942,-0.000418104143907569,-0.000519700361254046,-0.00045134072219899,-0.000434889707960777,-0.000469144702495486,-0.000420698901562112,-0.000865556997999806,-0.000652414418803726,-0.000709197284109676,-0.00079621729500555,-0.000772547428056811,-0.000726289614296242,-0.000701227004396023,-0.000393567880339672,-0.000571359258279995,-0.000643460517427154,-0.000598991331680241,-0.000572396957974008,-0.0005977676152554,-0.000560409926703618,0.0122517102464113,-0.000783907270867524,-0.00090123504912671,-0.000628113290245639,-0.00498304263033931,-0.000550591983326241,-0.00735749371501667,-0.00057123073187685,0.029618390138835,-0.000644457826393935,-0.000824207296663833,-0.00071738564547743,-0.000619047187660797,-0.000649386230487091,-0.000691149089544557,-0.00060750907231419,-0.000696029853748572,-0.000590097598827799,-0.000761764176063259,-0.000608520960306328,-0.000486313321479698,-0.000706935622887662,-0.000909422440067149,-0.000802355978336828,-0.000706048580375913,-0.00101150519188018,-0.000658567133203791,-0.000962314246001948,-0.000608838370073856,-0.000767065838946506,-0.000632531343276588,-0.000663465273241191,-0.000666308935360969,-0.000594463952875335,-0.000643977254405499,-0.000633314597833,-0.000994815494697855,-0.000842724105607982,-0.00104883834305862,-0.000684579126964659,-0.000934613214625325,-0.000623983878662998,-0.000870142094453239
"Blue.Jay",-0.00076823468390781,-0.000800463401184082,-0.000689404036815404,-0.000802024591737962,-0.000926407902861984,-0.000566928624406373,0.00052523493799042,0.00511353336842255,1,-0.000615604529181415,-0.000572659063886416,-0.0005847145794878,-0.000579761288734768,-0.00053994387719732,0.00165652242379776,0.010001162850163,0.00112368766809717,0.00235278575982972,-0.000464786975677607,-0.000447845856078756,-0.000483121368631707,-0.000433232279984013,-0.000891343500796669,-0.000671851020060725,-0.000730325549252794,-0.000819938043092587,-0.000795563008151529,-0.000747927090757669,-0.000722117820542855,-0.000405292976746341,-0.000588381080234585,-0.000662630365825929,-0.000616836362897439,-0.000589449694872689,-0.000615576189754901,-0.00057710554833871,-0.0006200509934152,-0.000807261281151515,-0.000928084465361936,-0.000646825917089758,-0.000989158900513767,-0.000566995110735482,-0.000888728540938571,-0.000588248724798068,0.0491018411141789,-0.000663657386424184,-0.000848761917341353,-0.000738757856662031,-0.000637489718970252,-0.000668732616556683,-0.000711739666446823,-0.000625607862374795,-0.000716765837411862,0.00354399369144853,-0.000784458503648638,-0.000745880025625406,-0.000500801471715238,-0.000727996509066967,-0.000936515773433111,-0.000826259608863033,-0.000727083039960229,-0.00104163975438687,-0.000678187034910171,-0.000990983321583537,-0.000626976762310278,-0.000789918112623347,-0.000651375591881768,-0.000683231099366621,-0.000686159479305316,-0.000612174105319125,-0.000663162497330231,-0.000652182181002982,-0.0010244528410488,-0.000867830375393072,-0.00108008512741705,-0.000704973972841623,-0.000962457026562028,0.000386923820909268,-0.00089606519553631
"Hooded.Warbler",0.00187054094250874,0.000154918458792775,-0.000659310273988989,0.0164969157332909,-0.000885968482405486,-0.000542181140128427,-0.000660013440191244,-0.000597795134824382,-0.000615604529181415,1,0.0213618859286877,-0.000559190705334821,-0.000554453634895548,-0.000516374327104328,-0.000511413102060242,-0.00053778440246783,-0.000411765468928126,-0.000511821435094924,-0.00044449816350954,-0.000428296555152428,-0.000462032226260115,0.000434805719293135,0.0426804282103551,-0.000642523478919954,-0.00069844548663119,-0.00185730579942084,-0.000760835209644298,0.027796958917469,-0.000690596040478434,-0.00010748855659575,-0.000562697156534522,-0.000633705323317038,-0.000589910313416454,-0.000563719124164794,-0.000588705149165178,-0.000551913822485538,-0.000592984619359177,-0.000772022831365138,-0.000887571859847864,0.00494724241407165,-0.000945980282809139,-0.000542244724205817,-0.000849933894403767,-0.000562570578657943,-0.00662428244381719,-0.000634687512564428,0.186571575677556,-0.000706509708207295,0.00238034681435386,0.00191975298216563,-0.00137924895130415,-0.00797927039178051,0.00119949608474845,0.0134334582980645,-0.000750215437325701,0.0103250742404323,-0.000478940560104409,-0.000696218113362524,-0.000895635125708631,-0.000790191846891439,-0.00405684437205261,-0.000996170250227987,-0.000648582914988497,-0.00094772506452111,-0.00059960806561719,-0.000755436724258871,-0.0143551041621997,-0.000653406796690713,-0.00065620734742227,-0.000585451572014676,0.00175214981279005,0.00599029965862647,-0.00692633709756547,-0.000829947972482688,-0.0010329374115336,-0.000674200553475725,-0.000920443995101465,-0.000614523960465915,-0.000856950290442335
