"year","common_name","sci_name","count"
"1994","Common Redpoll","Acanthis flammea",NA
"1995","Common Redpoll","Acanthis flammea",NA
"1996","Common Redpoll","Acanthis flammea",NA
"1997","Common Redpoll","Acanthis flammea",NA
"1998","Common Redpoll","Acanthis flammea",NA
"1999","Common Redpoll","Acanthis flammea",NA
"2000","Common Redpoll","Acanthis flammea",NA
"2001","Common Redpoll","Acanthis flammea",NA
"2002","Common Redpoll","Acanthis flammea",NA
"2003","Common Redpoll","Acanthis flammea",NA
"2004","Common Redpoll","Acanthis flammea",NA
"2005","Common Redpoll","Acanthis flammea",NA
"2006","Common Redpoll","Acanthis flammea",NA
"2007","Common Redpoll","Acanthis flammea",NA
"2008","Common Redpoll","Acanthis flammea",NA
"2009","Common Redpoll","Acanthis flammea",NA
"2010","Common Redpoll","Acanthis flammea",NA
"2011","Common Redpoll","Acanthis flammea",NA
"2012","Common Redpoll","Acanthis flammea",NA
"2013","Common Redpoll","Acanthis flammea",NA
"2014","Common Redpoll","Acanthis flammea",NA
"2015","Common Redpoll","Acanthis flammea",NA
"2016","Common Redpoll","Acanthis flammea",NA
"2017","Common Redpoll","Acanthis flammea",NA
"2018","Common Redpoll","Acanthis flammea",NA
"2019","Common Redpoll","Acanthis flammea",NA
"2020","Common Redpoll","Acanthis flammea",NA
"2021","Common Redpoll","Acanthis flammea",NA
"2022","Common Redpoll","Acanthis flammea",NA
"2023","Common Redpoll","Acanthis flammea",NA
"2024","Common Redpoll","Acanthis flammea",NA
"1923","Cooper's Hawk","Accipiter cooperii",NA
"1928","Cooper's Hawk","Accipiter cooperii",NA
"1929","Cooper's Hawk","Accipiter cooperii",NA
"1930","Cooper's Hawk","Accipiter cooperii",1
"1931","Cooper's Hawk","Accipiter cooperii",1
"1932","Cooper's Hawk","Accipiter cooperii",1
"1933","Cooper's Hawk","Accipiter cooperii",1
"1934","Cooper's Hawk","Accipiter cooperii",1
"1935","Cooper's Hawk","Accipiter cooperii",2
"1936","Cooper's Hawk","Accipiter cooperii",1
"1937","Cooper's Hawk","Accipiter cooperii",1
"1938","Cooper's Hawk","Accipiter cooperii",2
"1940","Cooper's Hawk","Accipiter cooperii",1
"1941","Cooper's Hawk","Accipiter cooperii",NA
"1943","Cooper's Hawk","Accipiter cooperii",1
"1944","Cooper's Hawk","Accipiter cooperii",NA
"1945","Cooper's Hawk","Accipiter cooperii",NA
"1946","Cooper's Hawk","Accipiter cooperii",NA
"1947","Cooper's Hawk","Accipiter cooperii",1
"1948","Cooper's Hawk","Accipiter cooperii",3
"1950","Cooper's Hawk","Accipiter cooperii",1
"1951","Cooper's Hawk","Accipiter cooperii",NA
"1952","Cooper's Hawk","Accipiter cooperii",NA
"1953","Cooper's Hawk","Accipiter cooperii",NA
"1954","Cooper's Hawk","Accipiter cooperii",NA
"1956","Cooper's Hawk","Accipiter cooperii",NA
"1957","Cooper's Hawk","Accipiter cooperii",1
"1958","Cooper's Hawk","Accipiter cooperii",NA
"1959","Cooper's Hawk","Accipiter cooperii",NA
"1960","Cooper's Hawk","Accipiter cooperii",1
"1961","Cooper's Hawk","Accipiter cooperii",NA
"1962","Cooper's Hawk","Accipiter cooperii",NA
"1963","Cooper's Hawk","Accipiter cooperii",NA
"1964","Cooper's Hawk","Accipiter cooperii",NA
"1965","Cooper's Hawk","Accipiter cooperii",1
"1966","Cooper's Hawk","Accipiter cooperii",2
"1967","Cooper's Hawk","Accipiter cooperii",2
"1968","Cooper's Hawk","Accipiter cooperii",NA
"1969","Cooper's Hawk","Accipiter cooperii",2
"1970","Cooper's Hawk","Accipiter cooperii",NA
"1971","Cooper's Hawk","Accipiter cooperii",NA
"1972","Cooper's Hawk","Accipiter cooperii",NA
"1973","Cooper's Hawk","Accipiter cooperii",NA
"1974","Cooper's Hawk","Accipiter cooperii",NA
"1975","Cooper's Hawk","Accipiter cooperii",1
"1976","Cooper's Hawk","Accipiter cooperii",1
"1977","Cooper's Hawk","Accipiter cooperii",1
"1978","Cooper's Hawk","Accipiter cooperii",1
"1979","Cooper's Hawk","Accipiter cooperii",NA
"1980","Cooper's Hawk","Accipiter cooperii",3
"1981","Cooper's Hawk","Accipiter cooperii",1
"1982","Cooper's Hawk","Accipiter cooperii",NA
"1983","Cooper's Hawk","Accipiter cooperii",NA
"1984","Cooper's Hawk","Accipiter cooperii",NA
"1985","Cooper's Hawk","Accipiter cooperii",3
"1986","Cooper's Hawk","Accipiter cooperii",1
"1987","Cooper's Hawk","Accipiter cooperii",1
"1988","Cooper's Hawk","Accipiter cooperii",1
"1989","Cooper's Hawk","Accipiter cooperii",1
"1990","Cooper's Hawk","Accipiter cooperii",NA
"1991","Cooper's Hawk","Accipiter cooperii",2
