"","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutch","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_mig","dif_habDen","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_habitat","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Northern.Bobwhite","Northern.Bobwhite",1
"2",53,-65.4,-9,-12.2,-22.8,-34.6,10,5,4.3,-0.700000000000001,-4.7,5,-0.0791812460476249,1,-2,0,0,69.0166666666667,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,"Northern.Bobwhite","Mourning.Dove",0.345948524543566
"3",-24.4,-6.6,-3,-11.4,-9.7,-20,-1.7,-1,0.6,-52,-57,4,0.1249387366083,0,-1,2000,2000,4.01666666666665,-1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,"Northern.Bobwhite","American.Woodcock",-0.423941383871468
"4",100.3,-26.5,-1.5,-19.5,-10.3,-29.9,9,1,-0.6,-11.7,-12.4,-2,0.602059991327962,-1,-5,100,100,119.466666666667,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"Northern.Bobwhite","Red.headed.Woodpecker",-0.0718152071039098
"5",102.4,-20,-0.599999999999998,-11,-5.2,-17.4,8.5,0.800000000000001,-0.0999999999999996,-13,-17.7,-1,0.301029995663981,-1,-1,1900,1900,131.283333333333,-1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,"Northern.Bobwhite","Red.bellied.Woodpecker",-0.107336707391865
"6",121.6,-17.2,-6.3,-3.19999999999999,-11.9,-15,9.1,2.1,0.3,-10.6,-9.9,2,0.522878745280338,-3,-1,-500,-500,147.533333333333,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Northern.Bobwhite","Yellow.bellied.Sapsucker",0.125869664063842
"7",146.3,-1.8,0.600000000000001,13.5,6,18.5,13.8,3.6,2.1,-3.6,-2.5,1,0.301029995663981,-1,-1,-250,-250,169.983333333333,-1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,"Northern.Bobwhite","Downy.Woodpecker",-0.0903481637758866
"8",-114.7,-110.5,2.3,-87.2,-26.1,-118.6,0.300000000000001,-3.5,-7.6,-28.8,-37.2,0,0.301029995663981,-1,-1,200,200,-91.75,-1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Pileated.Woodpecker",-0.114286566143857
"9",152.2,-13.3,7,12.7,12.9,25.9,11.9,4.3,1.5,-1.1,-2.5,1,-0.477121254719662,1,1,0,0,176.883333333333,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Eastern.Phoebe",0.0270272284799661
"10",156.6,5.4,-1.7,26.2,8.2,34.5,11,4,3,1.1,1.2,3,-0.477121254719662,0,2,100,100,179.566666666667,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Blue.headed.Vireo",0.0625487287679215
"11",83.9,-64.6,10.2,-28.9,7.4,-20.2,-5.1,-0.5,-3.1,-10,-15,0,0.176091259055681,-1,0,1500,1500,120.31,-1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,"Northern.Bobwhite","Blue.Jay",0.0548266634879312
"12",-276.9,-110.3,-8.9,-106.8,-76.6,-183.7,-25.4,-8.2,-6.9,-24.6,-35,1,0.823908740944319,-3,-5,700,700,-259.916666666667,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,"Northern.Bobwhite","American.Crow",0.025482815423968
"13",-112.7,-100.3,-8.7,-96.8,-70.3,-166.9,-17.5,-6.4,-6.8,-18.6,-28.4,1,0.698970004336019,-3,-3,1500,1500,-76.8083333333333,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"Northern.Bobwhite","Fish.Crow",0.0193423959504769
"14",-756.1,-171.9,-12.2,-173.3,-136.9,-309.9,-37.5,-19.5,-14.9,-40.6,-62.1,-2,0.823908740944319,-3,-5,-3500,-3500,-682.316666666667,-1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,"Northern.Bobwhite","Common.Raven",-0.0749433016635823
"15",140.3,-3,-7.5,17.4,-3.2,14.4,12.9,3.5,2.5,2,-0.199999999999999,1,0.477121254719662,-1,-3,-500,-500,162.991666666667,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,"Northern.Bobwhite","Cedar.Waxwing",0.166024403519792
"16",150.3,-11.8,11.5,14.2,17.8,31.9,9.1,2.9,2.1,-0.200000000000001,1.6,3,0.477121254719662,-1,-3,1890,1890,174.216666666667,-1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Tufted.Titmouse",-0.517477898310383
"17",161.9,7.2,8.1,32.4,18.9,51,14.8,4.7,3.5,2,6,4,0.477121254719662,-1,-3,650,650,185.6,-1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Carolina.Chickadee",-0.203090316863745
"18",165.7,14.6,5.6,34.5,17.7,51.8,11.2,6.2,4.3,2.3,4.3,-2,0.397940008672038,-1,-2,-500,-500,189.041666666667,-1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,"Northern.Bobwhite","Ruby.crowned.Kinglet",-0.3984585684475
"19",165.7,14,4,36,16.9,52.6,13.4,5.9,4.9,3.2,5.9,-1,-0.477121254719662,0,2,-1000,-1000,189.791666666667,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Golden.crowned.Kinglet",-0.498845417087374
"20",152.9,6.09999999999999,16.2,26.8,23.5,50.4,8.2,4.5,3.8,-2.5,-2,2,-0.301029995663981,1,0,500,500,176.216666666667,-1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Carolina.Wren",-0.155213512127805
"21",163,29.2,10.6,41.4,22.6,64,11.5,6.1,4.7,0.0999999999999996,2.4,-1,-0.477121254719662,1,1,500,500,187.016666666667,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,"Northern.Bobwhite","Winter.Wren",-0.419308144703473
"22",150.9,8,-3.6,18.5,2.7,21.2,11.1,4.2,3,-3.6,-4.2,-2,-0.176091259055681,0,1,-1000,-1000,174.296666666667,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,"Northern.Bobwhite","White.breasted.Nuthatch",-0.305793785087616
"23",161.7,21.4,4.3,29.5,15.2,44.8,14.8,4.5,3.7,-1.8,-0.4,-1,0.1249387366083,0,-1,1900,1900,185.940666666667,-1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Brown.headed.Nuthatch",-0.383786644415518
"24",162.1,21.2,1.4,30.5,13,43.4,15.1,5.2,3.7,-1.8,0.9,-1,0.221848749616356,0,-2,-575,-575,185.416666666667,-1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,"Northern.Bobwhite","Red.breasted.Nuthatch",0.314734691882808
"25",123.4,-60.8,7,-11.1,7.2,-2.5,-2.6,3.1,2.4,-3.6,-7.2,1,0.1249387366083,0,-1,-500,-500,147.866666666667,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,"Northern.Bobwhite","Northern.Mockingbird",-0.525100439039341
"26",103.1,-65,13.7,-7.3,16.3,7.3,-4.6,2.1,1.6,-10.7,-15.2,1,0,-1,1,1980,1980,125.85,-1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,"Northern.Bobwhite","Brown.Thrasher",-0.183785153663769
"27",144.4,-5.7,-5.2,15,-1.1,14,9.9,3.9,2.8,-0.5,-0.5,4,0,0,0,60,60,166.133333333333,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Eastern.Bluebird",0.112742153087858
"28",141.8,-10.9,0.700000000000003,14.1,6.3,20.8,0.700000000000003,4.7,3.6,-0.6,-3.9,2,0.477121254719662,-1,-3,-1000,-1000,168.016666666667,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,"Northern.Bobwhite","Hermit.Thrush",-0.00386103263999515
"29",93.4,-38.9,-1.4,-10.9,-6.6,-17.2,-3.1,1.6,1.4,-3.9,-8.5,3,0.367976785294594,0,-4,-1000,-1000,116.383333333333,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","American.Robin",0.115830979199855
"30",145.4,-0.400000000000006,0.300000000000001,25,9.9,34.9,11.7,1,0.7,-0.5,1.4,-2,-0.301029995663981,1,0,-2100,-2100,168.576666666667,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,"Northern.Bobwhite","House.Sparrow",-0.173746468799782
"31",148.6,-2.7,-0.5,21.2,7.5,28.7,13,-0.6,-0.5,-0.5,2.7,0,0.602059991327962,-2,-3,1500,1500,171.738333333333,-1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,"Northern.Bobwhite","Purple.Finch",0.576066069887277
"32",150.5,-9.40000000000001,0.100000000000001,23.6,9.1,32.6,12.2,0.200000000000001,0.4,0.199999999999999,4.3,0,0.367976785294594,0,-4,-1000,-1000,174.291666666667,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,"Northern.Bobwhite","House.Finch",0.196912664639753
"33",159.1,8.5,0,29.1,11.2,40,16.1,2.1,2.7,0.4,3.4,0,-0.176091259055681,1,-1,1500,1500,183.066666666667,-1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,"Northern.Bobwhite","American.Goldfinch",0.637842592127199
"34",159.2,8.5,-7.6,32.4,4.7,37.4,15.7,2.9,2.7,-0.4,0.9,4,0.301029995663981,-1,-1,-1500,-1500,181.45,-1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,"Northern.Bobwhite","Pine.Siskin",0.297299513279627
"35",159.7,0.799999999999997,3.4,28.4,14,41.8,13.3,3.5,3,1.6,1.8,0,0.221848749616356,0,-2,-1300,-1300,182.666666666667,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,"Northern.Bobwhite","Chipping.Sparrow",-0.213901208255731
"36",159.4,-5.2,10.9,25.9,19.5,45.4,11.7,3.2,2.7,2,4.5,1,0.1249387366083,0,-1,1500,1500,182.2,-1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Field.Sparrow",0.305021578559617
"37",152.4,-7,5.7,20.8,13.9,34.6,8.5,3.1,2.5,0.8,3.3,3,0.301029995663981,-1,-1,-1500,-1500,175.483333333333,-2,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,"Northern.Bobwhite","Dark.eyed.Junco",0.193051631999758
"38",143.9,-13.8,4.2,18.5,11.8,31.1,6.8,2.4,2.5,0.199999999999999,-0.5,1,0.544068044350276,-1,-4,-100,-100,166.155,-3,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,"Northern.Bobwhite","White.crowned.Sparrow",0.395725685697257
"39",147.5,-13.6,7.9,21.3,16,37,6.6,2.1,1.9,0.199999999999999,1.3,-1,0.301029995663981,-2,0,1500,1500,168.533333333333,-1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,"Northern.Bobwhite","White.throated.Sparrow",0.193051631999758
