"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Chimney.Swift","Chimney.Swift",1
"2",0,1,20.5,19.5,5.3,21.9,59.2,83.7,8.2,0.5,1.1,11.6,14.4,0,5,0.0791812460476249,1,2,200,200,18.6666666666667,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,"Chimney.Swift","Ruby.throated.Hummingbird",0.337435897435897
"3",2,2,95.3,78.4,33.7,55,33.7,20,8,1,0.2,5.8,13.3,0,5,0,0,0,700,700,104.333333333333,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Chimney.Swift","Mourning.Dove",0.403760683760684
"4",1,2,492.7,89.4,14.1,123.4,118.7,241.6,39.6,10.6,3.3,16.1,41.8,1,4,0.602059991327962,4,1,3100,3100,477.333333333333,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,"Chimney.Swift","Ring.billed.Gull",-0.217777777777778
"5",2,0,48,39.5,41.2,62.3,46.2,15.3,9,5,4.7,16.8,21,1,3,0.681241237375587,2,3,800,800,53.8833333333333,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,"Chimney.Swift","Red.headed.Woodpecker",0.0762393162393162
"6",2,0,45.9,33,42.1,53.8,51.3,2.8,9.5,5.2,4.2,18.1,26.3,0,1,0.380211241711606,2,1,2600,2600,42.0666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Chimney.Swift","Red.bellied.Woodpecker",0.275213675213675
"7",2,1,2,14.8,43.3,29.3,62.5,33.1,4.2,2.4,2,8.7,11.1,1,0,0.380211241711606,2,1,450,450,3.36666666666667,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,"Chimney.Swift","Downy.Woodpecker",0.254700854700855
"8",0,1,3.9,26.3,49.7,30.1,69.4,40.5,6.1,1.7,2.6,6.2,11.1,0,1,0.397940008672037,0,3,700,700,3.53333333333333,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"Chimney.Swift","Eastern.Phoebe",0.372991452991453
"9",0,1,11,15,42.8,15.5,66.9,53.4,5.5,1.6,3.2,5.6,7,1,3,0.0791812460476249,1,2,1700,1700,10.0333333333333,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,"Chimney.Swift","Acadian.Flycatcher",0.450940170940171
"10",0,1,16.3,43.8,37,40.6,48.2,7.7,6.9,4.1,5.3,11.3,15.2,0,2,0.301029995663981,1,0,1350,1350,19.5333333333333,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,"Chimney.Swift","Eastern.Kingbird",0.375726495726496
