"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"877",1,1,1.6,8.8,3.6,3,3.5,3.8,0.199999999999999,4.5,4.2,4.2,3.8,1,1,0.1249387366083,0,1,60,60,1.12333333333333,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,"Eastern.Bluebird","Summer.Tanager",-0.0311217510259918
"878",1,0,15.1,39.3,17.3,13.3,17.2,2.3,4.8,7.8,5.1,5.6,2.2,3,0,0.1249387366083,2,1,440,440,14.75,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,"Eastern.Bluebird","Northern.Cardinal",-0.129297077314298
"879",1,0,0.100000000000001,1.90000000000001,9.9,2.8,11.5,9.7,0.600000000000001,6.4,3.2,3.2,1.6,1,0,0.301029995663981,0,3,60,60,0.883333333333336,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,"Eastern.Bluebird","Blue.Grosbeak",0.0126582285888746
"880",1,0,12.8,13.6,10.3,14.1,16.7,31,2.5,1.7,0.9,1.5,3.7,1,1,0.602059991327962,2,3,140,140,14.2333333333333,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"Eastern.Bluebird","Indigo.Bunting",0.0595075239398085
"903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Wood.Thrush","Wood.Thrush",1
"904",0,2,28.4,24.4,2.1,11.4,7.9,20.5,0.600000000000001,1.4,0.5,0.6,4.4,1,0,0.0669467896306132,2,4,2175,2225,25.7583333333333,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,"Wood.Thrush","American.Robin",-0.0677966191117283
"905",1,1,28.7,5.09999999999999,0.600000000000001,23.1,7.8,29.3,14.7,2.8,1.5,3.5,8.4,1,3,0.0669467896306132,2,4,2175,2225,32.15,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,"Wood.Thrush","House.Finch",-0.469028062970568
"906",2,0,37.3,23,0.700000000000003,28.6,9.9,36.7,18.6,0.9,0.8,3.7,7.5,1,3,0.477121254719662,3,1,325,275,40.925,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Wood.Thrush","American.Goldfinch",-0.172455092344288
"907",0,1,37.9,15.3,2.7,27.9,12.7,38.5,15.8,0.5,1.1,4.9,5.9,1,3,0.0791812460476248,2,2,2475,2525,40.525,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Wood.Thrush","Chipping.Sparrow",0.076330653180182
"908",1,1,10.1,20.4,13.3,8.10000000000001,17.9,24.2,5.1,2.8,0.4,2.1,3.6,1,2,0.221848749616356,0,2,655,705,12.7583333333333,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,"Wood.Thrush","Eastern.Towhee",-0.0326830937713895
"909",2,1,25.2,0.5,5.6,18.4,12.7,30,6,0.9,0.3,1.4,2.7,0,1,0.477121254719662,2,1,775,825,26.375,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,"Wood.Thrush","Yellow.breasted.Chat",0.162102029355596
"910",1,2,41.7,3.89999999999999,2.1,7.19999999999999,0.600000000000001,1.59999999999999,7.7,2.8,1,8.1,14.5,1,3,0.176091259055681,2,1,1175,1225,44.625,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,"Wood.Thrush","Eastern.Meadowlark",0.0458590006844627
"911",0,2,0.699999999999996,17.6,2.9,10,1.2,11.5,4.1,3.4,0.5,3.5,3.7,1,0,0.176091259055681,2,1,1175,1225,2.525,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,"Wood.Thrush","Red.winged.Blackbird",0.122026358110919
"912",0,1,9.8,1.5,6.1,10.1,4.9,1.5,7.4,3.5,0.7,0.800000000000001,1.4,1,1,0.176091259055681,2,1,1570,1620,11.125,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,"Wood.Thrush","Brown.headed.Cowbird",-0.0380006869239094
"913",1,2,55.1,46.9,1,19.3,5.3,26.4,3.5,5.1,2.2,9.9,14,2,3,0.176091259055681,1,3,325,275,53.875,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Wood.Thrush","Common.Grackle",0.0821074286845918
"914",0,0,31.3,20.9,2,23.8,10.7,33.3,9.8,1.3,1.5,3,3.9,0,2,0.477121254719662,2,1,575,625,33.1416666666667,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,"Wood.Thrush","Ovenbird",0.365022460680876
"915",0,0,40.6,21.9,10.8,34.6,20.5,51.8,11.9,2.1,2.1,4,6.3,2,2,0.778151250383644,3,1,3275,3325,42.6,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,"Wood.Thrush","Common.Yellowthroat",0.189235793938452
"916",0,1,38.3,17.3,1.7,27.7,8.4,34.7,13.5,1.6,2,3.9,5.6,0,0,0,1,1,1725,1775,41.625,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,"Wood.Thrush","Pine.Warbler",-0.0501454739502092
