nameCode,common_name,migDistanceKM,Final_Fraction_Diet_Wt
acafly,Acadian Flycatcher,3461.9854028810432,0.9604
amecro,American Crow,500.8251487062727,0.2459
amegfi,American Goldfinch,496.04976836350096,0.458
amerob,American Robin,1609.8680480038,0.2631
barswa,Barn Swallow,8234.90539108336,0.9994
blugrb1,Blue Grosbeak,1585.4641769458815,0.6
blujay,Blue Jay,111.74684928690179,0.388
bnhcow,Brown-headed Cowbird,684.8323262763473,0.2135
bnhnut,Brown-headed Nuthatch,0,0.819
brnthr,Brown Thrasher,755.2498147750789,0.4821
carchi,Carolina Chickadee,0,0.8233
carwre,Carolina Wren,0,0.985
chispa,Chipping Sparrow,1797.427426572758,0.605
chiswi,Chimney Swift,6036.999366226476,0.68
comgra,Common Grackle,617.3052058901458,0.3988
comyel,Common Yellowthroat,2176.491561736767,0.687
dowwoo,Downy Woodpecker,0,0.7933
easblu,Eastern Bluebird,242.423975411341,0.25
easkin,Eastern Kingbird,5917.736012887003,0.8133
easmea,Eastern Meadowlark,502.75634108276483,0.9549
easpho,Eastern Phoebe,1030.4338359248031,0.8054
eastow,Eastern Towhee,329.5073311801617,0.4554
easwpw1,Eastern Whip-poor-will,1566.3991524557719,1
fiespa,Field Sparrow,471.1802033269652,0.3833
fiscro,Fish Crow,147.4354197209235,0.476538306306122
graspa,Grasshopper Sparrow,1742.4944194620505,0.7463
grcfly,Great Crested Flycatcher,2888.5383155204436,0.928
hoowar,Hooded Warbler,2103.0147449585666,0.725843037691044
houfin,House Finch,0,0.04
houspa,House Sparrow,0,0.0991
indbun,Indigo Bunting,2272.302813196019,0.309616406125
moudov,Mourning Dove,633.4792475995417,0
norbob,Northern Bobwhite,0,0.1756
norcar,Northern Cardinal,0,0.4233
normoc,Northern Mockingbird,293.7773184484627,0.525
norpar,Northern Parula,2192.2627909282696,1
orcori,Orchard Oriole,2516.579226064702,0.9533
ovenbi1,Ovenbird,3157.4515585496797,0.9538
pilwoo,Pileated Woodpecker,0,0.7567
pinwar,Pine Warbler,655.3144840740432,1
prawar,Prairie Warbler,1524.8242328069134,1
purmar,Purple Martin,6220.350934611463,1
rebwoo,Red-bellied Woodpecker,0,0.3767
reevir1,Red-eyed Vireo,5598.913167629872,0.7781
rewbla,Red-winged Blackbird,692.6373361297227,0.3442
rthhum,Ruby-throated Hummingbird,2648.8812732469028,0.9015
scatan,Scarlet Tanager,5532.108545928595,0.9335
sonspa,Song Sparrow,1029.0717822432887,0.4429
sumtan,Summer Tanager,2633.9118545667916,1
tuftit,Tufted Titmouse,0,0.8296
whbnut,White-breasted Nuthatch,0,0.7433
whevir,White-eyed Vireo,912.0481794485902,0.82
woothr,Wood Thrush,2678.499270671646,0.199196665834166
yebcha,Yellow-breasted Chat,1996.4421266532413,0.08
yebcuc,Yellow-billed Cuckoo,6823.074406158916,0.9925
yetvir,Yellow-throated Vireo,2621.5872835805303,0.9826
yetwar,Yellow-throated Warbler,1636.449729353431,0.725843037691044
