"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mourning.Dove","Mourning.Dove",1
"2",1,0,397.4,11,19.6,68.4,152.4,221.6,31.6,9.6,3.5,10.3,28.5,1,1,0.602059991327962,4,1,2400,2400,373,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,"Mourning.Dove","Ring.billed.Gull",0.00923076923076923
"3",0,2,47.3,38.9,7.5,7.30000000000001,12.5,4.70000000000002,1,4,4.9,11,7.7,1,8,0.681241237375587,2,3,100,100,50.45,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"Mourning.Dove","Red.headed.Woodpecker",-0.113162393162393
"4",0,2,49.4,45.4,8.4,1.19999999999999,17.6,17.2,1.5,4.2,4.4,12.3,13,0,6,0.380211241711606,2,1,1900,1900,62.2666666666667,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Mourning.Dove","Red.bellied.Woodpecker",0.0372649572649573
"5",0,1,93.3,63.6,9.6,25.7,28.8,53.1,3.8,1.4,2.2,2.9,2.2,1,5,0.380211241711606,2,1,250,250,100.966666666667,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,"Mourning.Dove","Downy.Woodpecker",0.154188034188034
"6",2,1,99.2,52.1,16,24.9,35.7,60.5,1.9,0.7,2.8,0.399999999999999,2.2,0,4,0.397940008672037,0,3,0,0,107.866666666667,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Eastern.Phoebe",0.462564102564102
"7",0,1,30.9,0.799999999999997,19.2,16.7,30.2,14.4,15.1,5.5,7.4,9.3,10.3,0,5,0.255272505103306,2,2,1500,1500,51.2933333333333,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"Mourning.Dove","Blue.Jay",-0.00307692307692308
"8",1,1,329.9,44.9,0.100000000000001,94.6,53.8,149.1,35.4,13.2,11.2,23.9,30.3,1,5,0.903089986991944,4,3,700,700,328.933333333333,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"Mourning.Dove","American.Crow",0.0974358974358974
"9",2,1,87.3,62.4,1.5,29.6,19.6,49,2.9,1.5,1.8,2.7,4.5,0,4,0.556302500767287,2,1,500,500,93.975,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,"Mourning.Dove","Cedar.Waxwing",0.255384615384615
"10",0,2,97.3,53.6,20.5,26.4,40.6,66.5,0.899999999999999,2.1,2.2,0.5,6.3,3,5,0.556302500767287,2,1,1890,1890,105.2,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Tufted.Titmouse",0.258119658119658
"11",0,1,108.9,72.6,17.1,44.6,41.7,85.6,4.8,0.3,0.8,2.7,10.7,3,4,0.556302500767287,2,1,650,650,116.583333333333,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Carolina.Chickadee",0.482393162393162
"12",0,1,99.9,71.5,25.2,39,46.3,85,1.8,0.5,0.5,1.8,2.7,1,4,0.221848749616356,0,2,500,500,107.2,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Mourning.Dove","Carolina.Wren",-0.109059829059829
"13",0,2,97.9,73.4,5.4,30.7,25.5,55.8,1.1,0.8,1.3,2.9,0.5,1,8,0.0969100130080562,1,3,1000,1000,105.28,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,"Mourning.Dove","White.breasted.Nuthatch",0.0796581196581197
"14",0,2,108.7,86.8,13.3,41.7,38,79.4,4.8,0.5,0.6,1.1,4.3,1,7,0.204119982655925,1,1,1900,1900,116.924,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Brown.headed.Nuthatch",-0.16034188034188
"15",2,1,70.4,4.60000000000001,16,1.09999999999999,30,32.1,12.6,1.9,1.9,2.9,2.5,0,4,0.204119982655925,1,1,500,500,78.85,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,"Mourning.Dove","Northern.Mockingbird",0.427008547008547
"16",1,2,50.1,0.400000000000006,22.7,4.89999999999999,39.1,41.9,14.6,2.9,2.7,10,10.5,0,4,0.0791812460476249,2,3,1980,1980,56.8333333333333,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Mourning.Dove","Brown.Thrasher",0.473504273504273
"17",1,1,91.4,59.7,3.8,27.2,21.7,48.6,0.0999999999999979,1.1,1.5,0.200000000000001,4.2,2,3,0.0791812460476249,1,2,60,60,97.1166666666667,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Mourning.Dove","Eastern.Bluebird",0.38051282051282
"18",2,0,40.4,26.5,7.6,1.3,16.2,17.4,13.1,3.4,2.9,3.2,3.8,0,2,0.447158031342219,1,2,1000,1000,47.3666666666667,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","American.Robin",0.183589743589744
"19",0,0,92.4,65,9.3,37.2,32.7,69.5,1.7,4,3.6,0.200000000000001,6.1,1,6,0.221848749616356,0,2,2100,2100,99.56,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"Mourning.Dove","House.Sparrow",0.258119658119658
"20",1,1,97.5,56,9.1,35.8,31.9,67.2,2.2,4.8,3.9,0.9,9,0,5,0.447158031342219,1,2,1000,1000,105.275,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,"Mourning.Dove","House.Finch",0.563760683760684
"21",0,2,106.1,73.9,9,41.3,34,74.6,6.1,2.9,1.6,1.1,8.1,0,5,0.0969100130080562,0,1,1500,1500,114.05,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,"Mourning.Dove","American.Goldfinch",0.51042735042735
"22",2,1,106.7,66.2,12.4,40.6,36.8,76.4,3.3,1.5,1.3,2.3,6.5,0,5,0.301029995663981,1,0,1300,1300,113.65,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Chipping.Sparrow",0.0851282051282051
"23",1,1,78.9,30.5,23,20.8,42,62.1,7.4,4.8,2.8,0.5,4.2,0,4,0.602059991327962,3,0,520,520,85.8833333333333,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,"Mourning.Dove","Eastern.Towhee",0.115897435897436
"24",2,0,68.1,33.3,12.6,2.69999999999999,25.3,26.4,8.4,5.4,2.9,6.1,3.1,0,2,0.204119982655925,1,1,0,0,70.6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,"Mourning.Dove","Red.winged.Blackbird",0.139145299145299
"25",2,1,78.6,52.4,3.6,22.8,19.2,39.4,5.1,5.5,3.1,1.8,2,2,3,0.204119982655925,1,1,395,395,84.25,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,"Mourning.Dove","Brown.headed.Cowbird",0.647863247863248
"26",1,0,13.7,4,10.7,6.60000000000001,18.8,11.5,16,7.1,4.6,12.5,13.4,1,5,0.556302500767287,2,1,1500,1500,19.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Mourning.Dove","Common.Grackle",0.112478632478632
"27",2,1,107.1,68.2,8,40.4,32.5,72.6,1,0.4,0.4,1.3,6.2,1,2,0.380211241711606,2,1,550,550,114.75,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mourning.Dove","Pine.Warbler",-0.271794871794872
"28",0,1,76.3,20.4,21.1,13.9,38.9,50.9,4.9,8.9,6.6,5.4,2,1,3,0.204119982655925,3,3,500,500,82.3666666666667,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,"Mourning.Dove","Northern.Cardinal",0.0988034188034188
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Ring.billed.Gull","Ring.billed.Gull",1
"31",1,2,444.7,49.9,27.1,61.1,164.9,226.3,30.6,5.6,1.4,0.699999999999999,20.8,0,7,0.0791812460476249,2,4,2300,2300,423.45,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Ring.billed.Gull","Red.headed.Woodpecker",0.148717948717949
"32",1,2,446.8,56.4,28,69.6,170,238.8,30.1,5.4,0.9,2,15.5,1,5,0.221848749616356,2,0,500,500,435.266666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Ring.billed.Gull","Red.bellied.Woodpecker",0.302564102564102
