year,common_name,sci_name,count
1999,Eastern Bluebird,Sialia sialis,1
2000,Eastern Bluebird,Sialia sialis,2
2001,Eastern Bluebird,Sialia sialis,3
2002,Eastern Bluebird,Sialia sialis,4
2003,Eastern Bluebird,Sialia sialis,5
2004,Eastern Bluebird,Sialia sialis,6
2005,Eastern Bluebird,Sialia sialis,7
2006,Eastern Bluebird,Sialia sialis,8
2007,Eastern Bluebird,Sialia sialis,9
2008,Eastern Bluebird,Sialia sialis,10
1999,American Robin,Turdus migratorius,1
2000,American Robin,Turdus migratorius,2
2001,American Robin,Turdus migratorius,3
2002,American Robin,Turdus migratorius,4
2003,American Robin,Turdus migratorius,5
2004,American Robin,Turdus migratorius,6
2005,American Robin,Turdus migratorius,7
2006,American Robin,Turdus migratorius,8
2007,American Robin,Turdus migratorius,9
2008,American Robin,Turdus migratorius,10
1999,Northern Mockingbird,Mimus polyglottos,10
2000,Northern Mockingbird,Mimus polyglottos,9
2001,Northern Mockingbird,Mimus polyglottos,8
2002,Northern Mockingbird,Mimus polyglottos,7
2003,Northern Mockingbird,Mimus polyglottos,6
2004,Northern Mockingbird,Mimus polyglottos,5
2005,Northern Mockingbird,Mimus polyglottos,4
2006,Northern Mockingbird,Mimus polyglottos,3
2007,Northern Mockingbird,Mimus polyglottos,2
2008,Northern Mockingbird,Mimus polyglottos,1
1999,Tufted Titmouse,Baeolophus bicolor,3
2000,Tufted Titmouse,Baeolophus bicolor,4
2001,Tufted Titmouse,Baeolophus bicolor,1
2002,Tufted Titmouse,Baeolophus bicolor,12
2003,Tufted Titmouse,Baeolophus bicolor,7
2004,Tufted Titmouse,Baeolophus bicolor,4
2005,Tufted Titmouse,Baeolophus bicolor,2
2006,Tufted Titmouse,Baeolophus bicolor,1
2007,Tufted Titmouse,Baeolophus bicolor,8
2008,Tufted Titmouse,Baeolophus bicolor,3
