year,common_name,count
1999,Eastern Bluebird,1
2000,Eastern Bluebird,2
2001,Eastern Bluebird,3
2002,Eastern Bluebird,4
2003,Eastern Bluebird,5
2005,Eastern Bluebird,7
2006,Eastern Bluebird,8
2007,Eastern Bluebird,9
2008,Eastern Bluebird,10
1999,American Robin,1
2000,American Robin,2
2001,American Robin,3
2002,American Robin,4
2003,American Robin,5
2005,American Robin,7
2006,American Robin,8
2007,American Robin,9
2008,American Robin,10
1999,Northern Mockingbird,10
2000,Northern Mockingbird,9
2001,Northern Mockingbird,8
2002,Northern Mockingbird,7
2003,Northern Mockingbird,6
2005,Northern Mockingbird,4
2006,Northern Mockingbird,3
2007,Northern Mockingbird,2
2008,Northern Mockingbird,1
1999,Tufted Titmouse,3
2000,Tufted Titmouse,4
2001,Tufted Titmouse,1
2002,Tufted Titmouse,12
2003,Tufted Titmouse,7
2005,Tufted Titmouse,2
2006,Tufted Titmouse,1
2007,Tufted Titmouse,8
2008,Tufted Titmouse,3
1999,Eastern Bluebird,1
2000,Eastern Bluebird,2
2001,Eastern Bluebird,3
2002,Eastern Bluebird,4
2003,Eastern Bluebird,5
2004,Eastern Bluebird,6
2005,Eastern Bluebird,7
2006,Eastern Bluebird,8
2007,Eastern Bluebird,9
2008,Eastern Bluebird,10
1999,American Robin,1
2000,American Robin,2
2001,American Robin,3
2002,American Robin,4
2003,American Robin,5
2004,American Robin,6
2005,American Robin,7
2006,American Robin,8
2007,American Robin,9
2008,American Robin,10
1999,Northern Mockingbird,10
2000,Northern Mockingbird,9
2001,Northern Mockingbird,8
2002,Northern Mockingbird,7
2003,Northern Mockingbird,6
2004,Northern Mockingbird,5
2005,Northern Mockingbird,4
2006,Northern Mockingbird,3
2007,Northern Mockingbird,2
2008,Northern Mockingbird,1
1999,Tufted Titmouse,3
2000,Tufted Titmouse,4
2001,Tufted Titmouse,1
2002,Tufted Titmouse,12
2003,Tufted Titmouse,7
2004,Tufted Titmouse,4
2005,Tufted Titmouse,2
2006,Tufted Titmouse,1
2007,Tufted Titmouse,8
2008,Tufted Titmouse,3
2004,Eastern Bluebird,6
2004,American Robin,6
2004,Northern Mockingbird,5
2004,Tufted Titmouse,4.540541
