"common_name","year","count"
"American Robin",1999,2
"American Robin",2000,4
"American Robin",2001,6
"American Robin",2002,8
"American Robin",2003,10
"American Robin",2004,12
"American Robin",2005,14
"American Robin",2006,16
"American Robin",2007,18
"American Robin",2008,20
"Eastern Bluebird",1999,2
"Eastern Bluebird",2000,4
"Eastern Bluebird",2001,6
"Eastern Bluebird",2002,8
"Eastern Bluebird",2003,10
"Eastern Bluebird",2004,12
"Eastern Bluebird",2005,14
"Eastern Bluebird",2006,16
"Eastern Bluebird",2007,18
"Eastern Bluebird",2008,20
"Northern Mockingbird",1999,20
"Northern Mockingbird",2000,18
"Northern Mockingbird",2001,16
"Northern Mockingbird",2002,14
"Northern Mockingbird",2003,12
"Northern Mockingbird",2004,10
"Northern Mockingbird",2005,8
"Northern Mockingbird",2006,6
"Northern Mockingbird",2007,4
"Northern Mockingbird",2008,2
"Tufted Titmouse",1999,6
"Tufted Titmouse",2000,8
"Tufted Titmouse",2001,2
"Tufted Titmouse",2002,24
"Tufted Titmouse",2003,14
"Tufted Titmouse",2004,8.540541
"Tufted Titmouse",2005,4
"Tufted Titmouse",2006,2
"Tufted Titmouse",2007,16
"Tufted Titmouse",2008,6
