"common_name","year","count"
"Canada Goose",1999,NA
"Canada Goose",2000,NA
"Canada Goose",2001,NA
"Canada Goose",2002,NA
"Canada Goose",2003,NA
"Canada Goose",2004,NA
"Canada Goose",2005,NA
"Canada Goose",2006,NA
"Canada Goose",2007,NA
"Canada Goose",2008,NA
"Canada Goose",2009,NA
"Canada Goose",2010,NA
"Canada Goose",2011,NA
"Canada Goose",2012,NA
"Canada Goose",2013,NA
"Canada Goose",2014,NA
"Canada Goose",2015,NA
"Canada Goose",2016,NA
"Canada Goose",2017,NA
"Canada Goose",2018,NA
"Canada Goose",2019,NA
"Canada Goose",2021,NA
"Canada Goose",2022,NA
"Wood Duck",1999,NA
"Wood Duck",2000,NA
"Wood Duck",2001,NA
"Wood Duck",2002,NA
"Wood Duck",2003,NA
"Wood Duck",2004,NA
"Wood Duck",2005,NA
"Wood Duck",2006,NA
"Wood Duck",2007,NA
"Wood Duck",2008,NA
"Wood Duck",2009,NA
"Wood Duck",2010,NA
"Wood Duck",2011,NA
"Wood Duck",2012,NA
"Wood Duck",2013,NA
"Wood Duck",2014,NA
"Wood Duck",2015,NA
"Wood Duck",2016,NA
"Wood Duck",2017,NA
"Wood Duck",2018,NA
"Wood Duck",2019,NA
"Wood Duck",2021,NA
"Wood Duck",2022,NA
"Blue-winged Teal",1999,NA
"Blue-winged Teal",2000,NA
"Blue-winged Teal",2001,NA
"Blue-winged Teal",2002,NA
"Blue-winged Teal",2003,NA
"Blue-winged Teal",2004,NA
"Blue-winged Teal",2005,NA
"Blue-winged Teal",2006,NA
"Blue-winged Teal",2007,NA
"Blue-winged Teal",2008,NA
"Blue-winged Teal",2009,NA
"Blue-winged Teal",2010,NA
"Blue-winged Teal",2011,NA
"Blue-winged Teal",2012,NA
"Blue-winged Teal",2013,NA
"Blue-winged Teal",2014,NA
"Blue-winged Teal",2015,NA
"Blue-winged Teal",2016,NA
"Blue-winged Teal",2017,NA
"Blue-winged Teal",2018,NA
"Blue-winged Teal",2019,NA
"Blue-winged Teal",2021,NA
"Blue-winged Teal",2022,NA
"Northern Shoveler",1999,NA
"Northern Shoveler",2000,NA
"Northern Shoveler",2001,NA
"Northern Shoveler",2002,NA
"Northern Shoveler",2003,NA
"Northern Shoveler",2004,NA
"Northern Shoveler",2005,NA
"Northern Shoveler",2006,NA
"Northern Shoveler",2007,NA
"Northern Shoveler",2008,NA
"Northern Shoveler",2009,NA
"Northern Shoveler",2010,NA
"Northern Shoveler",2011,NA
"Northern Shoveler",2012,NA
"Northern Shoveler",2013,NA
"Northern Shoveler",2014,NA
"Northern Shoveler",2015,NA
"Northern Shoveler",2016,NA
"Northern Shoveler",2017,NA
"Northern Shoveler",2018,NA
"Northern Shoveler",2019,NA
"Northern Shoveler",2021,NA
"Northern Shoveler",2022,NA
"Mallard",1999,NA
"Mallard",2000,NA
"Mallard",2001,NA
"Mallard",2002,NA
"Mallard",2003,NA
"Mallard",2004,NA
"Mallard",2005,NA
"Mallard",2006,NA
"Mallard",2007,NA
"Mallard",2008,NA
"Mallard",2009,NA
"Mallard",2010,NA
"Mallard",2011,NA
"Mallard",2012,NA
"Mallard",2013,NA
"Mallard",2014,NA
"Mallard",2015,NA
"Mallard",2016,NA
"Mallard",2017,NA
"Mallard",2018,NA
"Mallard",2019,NA
"Mallard",2021,NA
"Mallard",2022,NA
"American Black Duck",1999,NA
"American Black Duck",2000,NA
"American Black Duck",2001,NA
"American Black Duck",2002,NA
"American Black Duck",2003,NA
"American Black Duck",2004,NA
"American Black Duck",2005,NA
"American Black Duck",2006,NA
"American Black Duck",2007,NA
"American Black Duck",2008,NA
"American Black Duck",2009,NA
"American Black Duck",2010,NA
"American Black Duck",2011,NA
"American Black Duck",2012,NA
"American Black Duck",2013,NA
"American Black Duck",2014,NA
"American Black Duck",2015,NA
"American Black Duck",2016,NA
"American Black Duck",2017,NA
"American Black Duck",2018,NA
"American Black Duck",2019,NA
"American Black Duck",2021,NA
"American Black Duck",2022,NA
"Northern Pintail",1999,NA
"Northern Pintail",2000,NA
"Northern Pintail",2001,NA
"Northern Pintail",2002,NA
"Northern Pintail",2003,NA
