"year","Acadian Flycatcher","American Crow","American Goldfinch","American Redstart","American Robin","Barn Swallow","Black-and-white Warbler","Black-thr Blue Warbler","Black-throated Blue Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Bobolink","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chimney Swift","Chipping Sparrow","Cliff Swallow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","Eastern Whip-poor-will","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","Great Crested Flycatcher","Hooded Warbler","House Finch","House Sparrow","Indigo Bunting","Mourning Dove","N. Rough-winged Swallow","Northern ""Yellow-shafted"" Flicker","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Northern Parula","Orchard Oriole","Ovenbird","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-headed Woodpecker","Red-winged Blackbird","Ring-billed Gull","Rock Pigeon","Ruby-thr Hummingbird","Ruby-throated Hummingbird","Scarlet Tanager","Spotted Sandpiper","Summer Tanager","Tree Swallow","Tufted Titmouse","White-breasted Nuthatch","White-eyed Vireo","White-throated Sparrow","Wood Thrush","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-rumped (Myrtle) Warbler","Yellow-rumped Warbler","Yellow-throated Vireo","Yellow-throated Warbler"
2006,49,13,-110,-31,78,-37,-99,-42,1,-12,-501,-79,72,44,-30,7,55,68,100,246,-113,-166,30,-68,10,-36,-36,12,16,18,2,-2,-176,-2,5,-13,-15,-39,41,0,56,59,28,-22,-11,-17,-5,14,-69,-12,-111,1,-26,-6,8,-73,-214,-3,-50,-388,-117,0,0,-45,-37,-42,23,-80,-3,4,-300,-1,-8,1,-220,-12,-32,-40
2007,-63,8,-119,36,-89,192,11,18,32,13,-46,-12,-69,-68,9,-12,-112,-255,-78,-342,-18,28,-99,81,-10,-44,-8,-25,2,-91,6,-30,-83,-8,-21,7,-12,-15,-55,-26,-90,-97,58,4,4,-275,-11,-70,36,16,-18,-71,3,-23,0,-28,-89,10,25,52,-21,4,-5,-16,28,-13,64,-56,-19,-8,-13,-28,-3,1,2,-97,-9,6
2008,25,-7,160,-57,26,-264,6,-10,-41,-2,108,105,-20,28,-19,40,35,62,-101,8,109,-58,4,-34,-15,109,7,0,16,66,2,9,9,2,3,-55,52,32,99,-30,95,-10,-35,-5,-3,86,8,78,66,-18,72,71,50,34,-5,61,171,16,-55,43,-6,13,-14,4,-45,82,-76,153,21,45,-12,-14,-8,29,8,-55,6,39
2009,30,62,-154,39,27,12,20,15,12,-2,-11,93,-14,5,-15,-4,-77,-45,101,41,-94,-29,11,9,16,-99,-7,17,23,-52,9,8,25,-3,6,50,46,20,-47,42,2,90,-6,-4,-1,38,2,-19,4,14,6,-31,-5,-5,17,15,48,-2,12,-128,17,-6,12,8,7,18,50,-50,-1,-36,3,30,16,-15,-43,-20,-1,15
2010,-52,-96,-240,-31,-60,-16,-14,-24,-14,9,-54,-292,14,-11,20,-15,61,116,-127,-65,99,31,-172,-89,-7,22,-33,8,-43,9,-13,-3,54,-10,40,-28,-118,-23,-78,-44,-94,-131,-35,6,0,-19,-6,21,-40,-2,-31,2,3,-8,129,-47,-110,3,-39,-180,-33,-6,5,5,17,-100,-51,-5,4,8,-12,-61,5,-10,27,-23,5,-47
2011,32,-3,142,10,115,76,-12,1,-8,17,33,-52,78,-16,-28,25,-3,-100,338,78,-31,-26,92,27,-9,69,11,-4,28,-62,-10,47,49,6,5,-14,53,-27,128,25,170,18,42,0,3,44,3,86,-86,14,-98,-80,-14,-21,-131,29,3,0,89,34,20,-4,0,-26,27,-1,21,127,-5,-23,-23,-14,16,14,-61,-10,-4,-16
2012,45,156,3,49,102,46,2,21,-53,14,59,87,-20,30,110,59,136,136,144,36,97,25,40,52,71,13,21,0,2,24,2,20,-14,30,-15,-10,94,30,-22,-19,-59,161,102,2,1,10,15,-1,54,13,98,126,13,31,36,81,-22,31,-51,-14,24,13,-3,8,-2,84,-24,77,23,40,-5,5,-21,-8,-16,-12,10,55
2013,-50,-188,-101,-19,-270,333,11,-18,7,-70,-157,-162,-44,-57,-97,-98,-297,-225,-434,-87,-179,177,68,-62,-75,-99,-52,-15,-4,-134,-5,-85,-83,-39,-39,-40,-161,-4,-138,-16,-107,-237,6,-7,-4,-421,-24,-176,-12,-47,-47,-176,-38,-21,114,-170,-136,-48,-68,240,3,-13,-18,-27,-47,-118,58,-360,-19,-44,107,-24,3,-24,6,95,-14,-26
2014,35,7,33,27,158,-466,18,83,37,1,129,203,-8,25,-10,76,156,95,14,-37,11,-243,-186,101,43,-6,21,-5,-7,179,1,76,-80,18,49,88,82,0,-13,-16,-1,80,-88,13,0,407,9,49,63,6,76,77,28,-8,-157,161,183,34,45,404,-35,5,8,22,43,118,-66,208,4,40,-49,54,0,8,14,20,13,5
2015,4,132,77,-79,-102,12,-5,-79,-54,23,-30,-3,-20,-15,-35,-15,38,-63,-108,8,83,164,58,-49,-10,-46,12,9,-51,-5,3,12,26,21,24,25,32,17,72,29,85,30,17,-16,-1,73,2,-16,-76,35,-23,77,39,17,-16,-56,-45,2,16,-111,10,4,8,-8,-12,30,9,86,-3,9,40,-23,-26,24,-15,-47,-9,21
2016,-32,-100,-50,28,-38,58,45,19,92,-15,-100,-90,74,9,-48,-37,-108,-150,181,100,-98,-72,-19,24,-14,-46,30,-10,33,-65,4,-46,-41,-23,-74,-34,-102,-35,-57,-28,-101,-89,81,3,2,-283,-1,-64,21,-45,-15,-91,-67,-31,-20,-87,-129,-32,2,-374,-23,-5,-10,-17,-10,-126,201,-163,-31,8,-81,-14,27,-41,22,49,-7,-35
2017,29,126,-5,21,53,71,-64,-23,-61,19,49,35,-22,-19,82,18,50,250,-32,7,167,29,-58,-26,0,97,-46,5,24,0,-2,51,55,1,28,-42,81,30,57,-18,36,52,125,-2,-2,116,-5,52,13,19,-17,96,10,24,-24,40,167,8,-67,-163,8,7,24,19,82,84,-187,181,23,-7,-13,-14,7,40,-17,-111,7,59
2018,46,-242,-51,-38,-118,-154,-12,-3,-29,4,-6,-13,-58,33,2,-28,-85,-126,-47,-96,-18,-50,-106,-79,-13,-68,-19,-4,-44,-24,1,11,-17,-10,14,-20,-14,34,46,34,57,15,-208,2,0,29,4,-41,-5,5,12,-134,17,-24,17,46,-33,16,-10,51,-3,4,-26,-15,-94,66,-24,-155,-2,39,-7,8,28,2,-8,-2,10,-7
2019,-52,19,-51,7,123,56,-17,-9,-2,49,8,16,10,13,79,11,-26,97,-115,-1,34,-55,55,48,-7,91,54,30,52,-28,-2,-10,120,0,46,-1,33,-45,-49,44,-1,128,40,0,4,-4,-2,56,-15,10,-81,72,3,3,6,-67,22,6,88,-18,84,-3,21,1,0,-17,34,-26,-13,-36,2,-15,-7,29,2,-1,-4,-10
2020,13,-209,-91,-19,-98,-83,69,-13,107,-86,-30,-2,170,-59,-138,-29,-32,-145,311,-71,-266,-97,-111,-36,62,-121,-50,-44,-59,-74,-3,-75,-143,-6,-80,114,-103,-34,-83,-41,-157,-324,-111,4,-3,-157,-12,-135,75,-20,-49,-99,-70,0,9,18,-64,-17,-50,-28,-80,-22,-12,11,1,-129,-37,-179,28,-9,20,-1,-16,-82,77,-14,-8,-60
2021,-20,334,265,28,31,91,28,58,17,62,91,34,-164,48,121,95,273,294,-156,99,335,47,85,181,35,180,68,17,60,107,13,80,30,12,97,44,153,68,80,2,141,224,97,-5,0,343,10,139,171,35,179,213,97,48,-40,129,266,71,72,63,-3,19,5,23,49,202,31,311,2,93,105,15,-9,32,49,160,18,183
2022,20,-79,-188,55,17,-54,32,18,-72,-17,-39,18,0,0,-69,19,-58,-11,-12,-57,-15,172,10,-43,-43,-44,-26,13,-27,15,-12,-42,37,13,7,-65,-45,-23,25,10,36,-19,-59,-3,7,-50,16,-47,-96,-29,7,37,49,-42,16,-53,-81,-16,-74,112,52,4,-19,-28,-43,-71,-10,34,15,-7,-84,8,-19,35,-100,-27,-11,-108
2023,-24,-225,-32,-75,-67,-77,-145,0,-52,-43,-136,-253,-16,-57,-124,-137,-201,-329,-72,-58,-333,-245,-89,-177,-39,-174,-81,-29,-28,-148,-1,-43,-28,-40,-128,-121,-102,-63,-28,-33,-168,-187,-77,1,-8,-630,0,-70,-226,-25,-243,-311,-146,-29,25,-169,-333,-86,-25,-203,-65,0,5,-50,-21,-201,-15,-390,-22,-79,-39,-48,-10,-72,-29,0,-9,-80
2024,-40,-107,-102,-27,-64,31,4,0,14,-8,-56,-11,70,-17,-25,-31,-155,-48,71,3,-49,3,-61,48,-11,-87,12,-7,-25,-45,-6,-14,-88,-3,-5,-2,-28,-10,-28,2,-27,-54,2,-3,0,-3,0,-56,-8,-14,3,-39,-8,5,-20,-41,-36,-7,-22,0,10,0,-14,6,14,-15,-1,-63,-45,-13,15,-8,11,4,16,0,-5,-10
