"year","Acadian Flycatcher","American Crow","American Goldfinch","American Redstart","American Robin","Barn Swallow","Black-and-white Warbler","Black-thr Blue Warbler","Black-throated Blue Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Bobolink","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chimney Swift","Chipping Sparrow","Cliff Swallow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","Eastern Whip-poor-will","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","Great Crested Flycatcher","Hooded Warbler","House Finch","House Sparrow","Indigo Bunting","Mourning Dove","N. Rough-winged Swallow","Northern ""Yellow-shafted"" Flicker","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Northern Parula","Orchard Oriole","Ovenbird","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-headed Woodpecker","Red-winged Blackbird","Ring-billed Gull","Rock Pigeon","Ruby-thr Hummingbird","Ruby-throated Hummingbird","Scarlet Tanager","Spotted Sandpiper","Summer Tanager","Tree Swallow","Tufted Titmouse","White-breasted Nuthatch","White-eyed Vireo","White-throated Sparrow","Wood Thrush","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-rumped (Myrtle) Warbler","Yellow-rumped Warbler","Yellow-throated Vireo","Yellow-throated Warbler"
1986,4,127,596,47,25,22,-36,-5,3,49,-12,24,241,-5,47,-10,65,89,-258,83,75,39,58,-22,6,63,52,43,39,-6,-51,32,-41,-1,1,21,22,9,42,124,-59,48,73,8,-51,164,3,-7,-14,9,46,29,21,39,23,67,155,8,32,47,29,-26,-4,5,37,11,51,100,14,42,74,-38,-6,1,-101,-35,17,51
1987,-36,-115,-556,-53,-76,-280,-19,-5,0,-49,-29,-72,286,-9,-39,-9,-43,-47,32,-63,-53,-40,65,-49,-42,-69,-30,-13,-44,5,-15,-32,-73,51,1,-42,-2,-60,-30,-128,-77,-56,-57,2,35,-124,-3,-23,-68,-18,-81,-47,94,-44,116,-62,-174,7,-98,229,48,-8,-9,-46,-12,-37,-167,-57,-21,-51,-35,-30,7,18,-119,6,-29,-65
1988,33,122,564,72,110,190,7,3,-13,3,236,85,-297,11,101,1,46,85,45,90,52,72,12,43,31,73,70,-6,-16,0,-26,4,72,-57,-3,21,-4,44,52,77,83,110,34,9,-26,217,17,38,89,14,81,89,-80,32,89,108,240,-5,147,-125,17,10,2,48,-1,43,-4,139,11,50,176,42,44,-12,182,37,32,53
1989,18,-99,-361,7,28,10,35,23,17,38,-197,-15,-124,-6,-1,9,-7,-74,220,33,31,-32,-41,33,1,-28,-50,-37,25,28,6,-13,-26,31,4,41,12,-31,13,-95,-65,-83,-51,-13,-6,-117,-17,16,-27,-6,-3,18,-10,12,-214,-50,-108,17,13,-94,-26,11,2,-31,-1,-16,45,-64,-1,-7,-3,-49,-55,3,-46,217,-2,-39
1990,-16,162,18,-50,39,3,-15,8,-5,2,43,31,35,2,-17,27,97,129,-142,62,53,99,-14,-19,29,35,-19,43,-12,54,10,9,183,11,-1,-69,-4,46,32,3,41,35,56,-5,-20,138,16,60,39,17,25,89,27,-39,64,37,42,4,-68,54,16,-8,-23,64,-32,12,-47,84,-10,3,-184,-22,24,49,-53,-158,-7,17
1991,13,-99,202,-16,-31,-45,0,-26,33,-15,191,90,-125,8,45,4,-37,-42,-157,-181,-84,-95,564,10,-22,-22,48,-38,32,-29,-27,-6,-32,-33,8,-32,-5,7,89,-88,-8,96,-37,9,-26,-65,-7,-107,1,10,43,3,13,10,-74,13,-78,-18,186,-131,-64,0,21,-57,13,18,35,-22,-2,1,-15,12,-18,-54,48,306,2,38
1992,55,45,-145,54,-32,25,14,34,-18,-7,-268,43,72,18,-80,11,51,63,170,130,8,1,-551,40,8,51,30,15,18,26,19,57,167,18,-1,99,13,8,9,8,101,-62,78,0,11,50,6,62,25,-11,-25,39,0,24,64,-115,47,22,-143,163,37,-5,14,38,59,27,-14,6,-1,3,46,81,8,39,139,-111,5,-27
1993,-43,97,-16,-25,57,-124,-10,-38,-7,-36,153,8,-55,27,105,10,-61,153,0,28,77,63,317,-13,2,-55,-48,1,41,25,0,-30,-81,27,35,-16,-5,-44,115,143,-125,-53,-88,-2,-21,98,2,9,-45,-16,34,-53,-45,-11,51,150,-33,0,-39,-133,-10,2,-16,-37,-60,3,10,108,18,-23,-39,20,22,-18,-92,-307,-5,28
1994,6,-136,-193,-4,-17,-59,-23,29,9,7,-148,-65,-11,-48,-47,-18,-67,-225,-95,-78,-142,-11,-433,-75,-16,-19,-50,-43,-53,-72,-12,-15,-213,-60,-17,-84,15,-7,-159,-182,-21,-87,-2,-2,-2,-178,-7,-106,22,17,-31,-90,4,-2,-138,-151,-49,-17,-42,478,-25,6,-13,3,21,8,-16,-140,-17,-19,-65,-91,-34,-44,-175,6,-1,-15
1995,-41,74,229,9,-36,36,31,25,-6,16,30,44,274,56,-80,31,51,117,-40,-51,71,32,51,17,21,57,84,14,-23,67,28,-7,343,33,-7,77,31,-2,74,-23,47,44,31,-1,14,74,8,110,-20,-2,23,152,21,21,124,91,68,18,-23,-502,70,-12,-6,24,26,-45,21,189,9,-9,88,46,27,14,86,167,-3,-22
