COMMON NAME,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Virginia Rail,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0
Sora,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Common Gallinule,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
American Coot,7,0,2,9,3,9,6,5,1,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,1,0,2,2,5,7,10,0,2,0,0,0,0,0,0,0,0,,0,0
Black-bellied Plover,0,0,0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Wilson's Plover,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Semipalmated Plover,0,0,0,6,0,2,9,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Killdeer,3,5,33,78,29,39,20,22,8,19,15,27,23,25,29,32,37,27,23,33,39,34,50,56,28,39,31,29,33,24,17,29,38,27,20,34,24,32,14,21,24,22,50,,32,43
Whimbrel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Ruddy Turnstone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Sanderling,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Dunlin,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
Least Sandpiper,0,0,39,47,18,37,66,19,10,14,2,0,2,15,0,5,0,0,11,4,0,1,0,0,5,3,0,0,1,4,9,0,4,0,7,0,0,0,0,2,0,0,0,,0,0
White-rumped Sandpiper,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0
Pectoral Sandpiper,0,0,2,10,11,5,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Semipalmated Sandpiper,0,0,0,0,0,1,9,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,0
Western Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
American Woodcock,1,5,9,8,0,3,2,5,0,8,0,2,0,0,0,0,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0
Wilson's Snipe,1,0,15,31,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
Spotted Sandpiper,14,27,26,73,19,28,49,31,11,32,36,22,33,4,11,70,7,31,58,18,25,11,36,24,30,39,37,11,41,20,17,5,16,9,44,31,4,48,38,14,19,14,13,,51,15
Solitary Sandpiper,5,12,26,58,36,11,5,1,1,5,10,3,3,6,3,20,3,2,21,4,6,10,8,3,9,16,2,4,20,17,7,8,13,5,9,16,4,12,17,0,0,1,2,,11,8
Greater Yellowlegs,0,3,53,10,30,6,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Willet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Lesser Yellowlegs,0,1,208,40,63,15,0,0,1,0,1,0,0,6,0,6,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,0,0,6,0,2,0,0,0,,0,0
Bonaparte's Gull,0,0,0,0,0,5,4,2,1,0,24,0,1,6,0,3,0,11,12,0,0,1,9,0,0,0,0,1,0,6,2,2,2,0,4,1,1,4,0,3,0,4,0,,3,1
Laughing Gull,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,0,0
Ring-billed Gull,0,2,1,11,0,51,230,172,139,169,348,299,186,257,121,282,115,640,146,175,218,139,150,150,40,206,105,56,567,189,234,257,145,5,41,27,267,664,560,180,20,74,56,,89,203
Herring Gull,0,0,0,0,0,0,3,5,6,1,1,4,4,2,1,1,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,0,1
Glaucous Gull,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Caspian Tern,0,0,0,0,0,0,2,2,0,0,0,0,1,6,0,2,2,0,5,0,0,21,1,0,0,6,0,0,4,0,0,0,1,0,1,3,0,0,3,0,0,0,0,,0,0
Black Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Common Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Forster's Tern,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0
Common Loon,0,0,1,0,0,2,2,9,0,1,6,0,1,0,4,2,2,0,1,1,1,2,2,1,0,1,2,0,1,1,0,0,0,3,1,1,5,0,0,5,0,0,3,,0,6
Anhinga,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
Double-crested Cormorant,0,1,5,0,0,73,182,360,164,120,306,200,132,172,225,142,145,151,225,240,275,230,178,632,395,538,380,306,443,436,360,318,295,127,404,484,449,363,432,733,179,151,509,,579,571
American Bittern,0,1,1,3,4,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
Great Blue Heron,5,6,12,18,9,11,3,10,7,6,10,10,7,6,6,24,9,14,12,7,13,12,36,35,76,104,83,102,139,133,170,266,185,124,126,200,163,163,122,126,203,124,172,,165,183
Great Egret,0,2,1,0,0,1,1,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,6,5,0,8,2,3,1,2,1,0,0,0,5,1,0,9,2,0,0,0,1,,0,0
Snowy Egret,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Little Blue Heron,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Cattle Egret,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0
Green Heron,7,8,11,29,22,47,18,19,9,12,12,14,10,17,21,24,17,8,15,10,9,7,16,21,18,14,13,6,12,8,3,6,8,2,5,8,5,9,9,2,7,5,0,,6,1
Black-crowned Night-Heron,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Yellow-crowned Night-Heron,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Black Vulture,5,24,21,9,9,24,13,12,10,38,11,17,42,16,7,8,15,4,6,11,20,13,26,30,32,18,42,32,16,22,53,85,44,146,53,120,34,51,63,54,68,36,82,,104,123
Turkey Vulture,47,21,105,71,50,69,46,56,89,87,51,78,90,70,84,114,118,127,164,110,120,106,96,124,205,210,197,119,127,96,193,170,225,195,147,196,152,173,164,59,186,107,159,,178,192
Osprey,0,4,12,2,1,5,4,16,4,12,13,18,24,8,17,12,12,20,24,18,20,15,20,24,44,45,32,35,21,36,46,30,45,43,40,69,58,52,45,52,54,54,69,,67,63
Mississippi Kite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
Northern Harrier,0,2,2,1,13,2,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0
Sharp-shinned Hawk,0,2,7,0,2,3,2,1,2,0,1,1,1,1,3,1,3,1,3,0,5,0,1,4,1,3,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,1,,5,0
Cooper's Hawk,0,0,1,0,0,0,0,1,0,0,1,1,3,3,0,1,0,2,2,2,6,1,4,0,0,4,2,3,2,0,6,3,4,0,1,1,2,2,1,0,4,2,5,,2,2
Bald Eagle,0,0,2,0,0,0,0,3,0,8,2,4,14,10,3,5,6,2,4,0,5,6,6,7,34,31,20,11,19,17,54,29,23,31,31,58,51,40,41,29,48,30,38,,44,55
Red-shouldered Hawk,4,5,8,16,16,12,4,5,13,5,1,9,11,8,5,22,20,15,16,18,10,12,32,16,29,40,16,15,25,15,17,23,28,16,12,26,9,24,20,8,26,20,25,,38,23
Broad-winged Hawk,3,3,12,4,4,9,5,3,12,5,3,4,2,9,0,7,6,2,4,3,6,3,4,10,8,0,1,2,1,1,4,0,3,2,0,0,0,0,1,0,2,0,0,,3,1
Red-tailed Hawk,13,9,26,30,57,41,27,10,34,24,11,13,26,41,14,31,26,22,27,25,17,24,24,16,41,26,14,20,16,6,22,19,21,15,12,20,24,16,34,8,28,6,20,,24,17
Rough-legged Hawk,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Barn Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Eastern Screech-Owl,0,0,4,4,2,1,1,4,3,4,1,2,1,1,1,3,9,2,2,1,0,2,1,1,2,1,0,0,1,0,1,2,2,4,1,2,0,0,0,0,1,1,1,,2,0
Great Horned Owl,0,4,2,5,17,4,2,4,6,5,9,2,9,3,4,3,2,0,8,0,0,4,4,3,2,3,1,3,4,1,0,0,0,0,1,0,0,0,2,0,3,1,0,,6,0
Barred Owl,4,18,13,32,26,17,6,5,11,6,7,7,9,4,6,12,13,11,13,12,1,14,14,14,11,4,5,9,8,2,4,11,10,5,5,10,2,4,2,1,8,4,2,,11,3
Belted Kingfisher,5,19,16,7,12,14,8,9,6,6,8,7,4,2,12,10,13,11,7,5,4,2,8,7,4,11,9,4,4,7,7,6,9,1,8,10,4,4,8,2,0,8,10,,6,3
