"common_name","year","count"
"Acadian Flycatcher",1952,4
"Acadian Flycatcher",1957,0
"Acadian Flycatcher",1958,16
"Acadian Flycatcher",1960,16
"Acadian Flycatcher",1961,23
"Acadian Flycatcher",1962,21
"Acadian Flycatcher",1963,21
"Acadian Flycatcher",1964,2
"Acadian Flycatcher",1965,10
"Acadian Flycatcher",1966,17
"Acadian Flycatcher",1967,31
"Acadian Flycatcher",1968,21
"Acadian Flycatcher",1969,14
"Acadian Flycatcher",1970,22
"Acadian Flycatcher",1971,0
"Acadian Flycatcher",1972,18
"Acadian Flycatcher",1973,42
"Acadian Flycatcher",1974,22
"Acadian Flycatcher",1975,56
"Acadian Flycatcher",1976,67
"Acadian Flycatcher",1977,26
"Acadian Flycatcher",1978,37
"Acadian Flycatcher",1979,41
"Acadian Flycatcher",1980,106
"Acadian Flycatcher",1981,63
"Acadian Flycatcher",1982,54
"Acadian Flycatcher",1983,59
"Acadian Flycatcher",1984,76
"Acadian Flycatcher",1985,46
"Acadian Flycatcher",1986,50
"Acadian Flycatcher",1987,14
"Acadian Flycatcher",1988,47
"Acadian Flycatcher",1989,65
"Acadian Flycatcher",1990,49
"Acadian Flycatcher",1991,62
"Acadian Flycatcher",1992,117
"Acadian Flycatcher",1993,74
"Acadian Flycatcher",1994,80
"Acadian Flycatcher",1995,39
"Acadian Flycatcher",1996,82
"Acadian Flycatcher",1997,40
"Acadian Flycatcher",1998,53
"Acadian Flycatcher",1999,39
"Acadian Flycatcher",2000,77
"Acadian Flycatcher",2001,68
"Acadian Flycatcher",2002,86
"Acadian Flycatcher",2003,102
"Acadian Flycatcher",2004,90
"Acadian Flycatcher",2005,52
"Acadian Flycatcher",2006,101
"Acadian Flycatcher",2007,38
"Acadian Flycatcher",2008,63
"Acadian Flycatcher",2009,93
"Acadian Flycatcher",2010,41
"Acadian Flycatcher",2011,73
"Acadian Flycatcher",2012,118
"Acadian Flycatcher",2013,68
"Acadian Flycatcher",2014,103
"Acadian Flycatcher",2015,107
"Acadian Flycatcher",2016,75
"Acadian Flycatcher",2017,104
"Acadian Flycatcher",2018,150
"Acadian Flycatcher",2019,98
"Acadian Flycatcher",2020,111
"Acadian Flycatcher",2021,91
"Acadian Flycatcher",2022,111
"Acadian Flycatcher",2023,87
"Acadian Flycatcher",2024,47
"American Crow",1952,51
"American Crow",1957,104
"American Crow",1958,74
"American Crow",1960,67
"American Crow",1961,117
"American Crow",1962,73
"American Crow",1963,46
"American Crow",1964,37
"American Crow",1965,92
"American Crow",1966,58
"American Crow",1967,200
"American Crow",1968,112
"American Crow",1969,83
"American Crow",1970,100
"American Crow",1971,39
"American Crow",1972,54
"American Crow",1973,80
"American Crow",1974,63
"American Crow",1975,94
"American Crow",1976,213
"American Crow",1977,279
"American Crow",1978,324
"American Crow",1979,382
"American Crow",1980,378
"American Crow",1981,342
"American Crow",1982,481
"American Crow",1983,355
"American Crow",1984,469
"American Crow",1985,360
"American Crow",1986,487
"American Crow",1987,372
"American Crow",1988,494
"American Crow",1989,395
"American Crow",1990,557
"American Crow",1991,458
"American Crow",1992,503
"American Crow",1993,600
"American Crow",1994,464
"American Crow",1995,538
"American Crow",1996,409
"American Crow",1997,548
"American Crow",1998,591
"American Crow",1999,573
"American Crow",2000,699
"American Crow",2001,805
"American Crow",2002,856
"American Crow",2003,714
"American Crow",2004,480
"American Crow",2005,533
"American Crow",2006,546
"American Crow",2007,554
"American Crow",2008,547
"American Crow",2009,609
"American Crow",2010,513
"American Crow",2011,510
"American Crow",2012,666
"American Crow",2013,478
"American Crow",2014,485
"American Crow",2015,617
"American Crow",2016,517
"American Crow",2017,643
"American Crow",2018,401
"American Crow",2019,420
"American Crow",2020,211
"American Crow",2021,545
"American Crow",2022,466
"American Crow",2023,241
"American Crow",2024,134
"American Goldfinch",1952,122
"American Goldfinch",1957,0
"American Goldfinch",1958,0
"American Goldfinch",1960,0
"American Goldfinch",1961,0
"American Goldfinch",1962,0
"American Goldfinch",1963,142
"American Goldfinch",1964,256
"American Goldfinch",1965,116
"American Goldfinch",1966,127
"American Goldfinch",1967,113
"American Goldfinch",1968,192
"American Goldfinch",1969,195
"American Goldfinch",1970,37
"American Goldfinch",1971,137
"American Goldfinch",1972,264
"American Goldfinch",1973,192
"American Goldfinch",1974,268
"American Goldfinch",1975,228
"American Goldfinch",1976,357
"American Goldfinch",1977,432
"American Goldfinch",1978,738
"American Goldfinch",1979,507
"American Goldfinch",1980,263
"American Goldfinch",1981,374
"American Goldfinch",1982,673
"American Goldfinch",1983,482
"American Goldfinch",1984,999
"American Goldfinch",1985,255
"American Goldfinch",1986,851
"American Goldfinch",1987,295
"American Goldfinch",1988,859
"American Goldfinch",1989,498
"American Goldfinch",1990,516
"American Goldfinch",1991,718
"American Goldfinch",1992,573
"American Goldfinch",1993,557
"American Goldfinch",1994,364
"American Goldfinch",1995,593
"American Goldfinch",1996,436
"American Goldfinch",1997,404
"American Goldfinch",1998,663
"American Goldfinch",1999,579
"American Goldfinch",2000,672
"American Goldfinch",2001,613
"American Goldfinch",2002,946
"American Goldfinch",2003,972
"American Goldfinch",2004,620
"American Goldfinch",2005,776
"American Goldfinch",2006,666
"American Goldfinch",2007,547
"American Goldfinch",2008,707
"American Goldfinch",2009,553
"American Goldfinch",2010,313
"American Goldfinch",2011,455
"American Goldfinch",2012,458
"American Goldfinch",2013,357
"American Goldfinch",2014,390
"American Goldfinch",2015,467
"American Goldfinch",2016,417
"American Goldfinch",2017,412
"American Goldfinch",2018,361
"American Goldfinch",2019,310
"American Goldfinch",2020,219
"American Goldfinch",2021,484
"American Goldfinch",2022,296
"American Goldfinch",2023,264
"American Goldfinch",2024,162
"American Redstart",1952,20
"American Redstart",1957,11
"American Redstart",1958,24
"American Redstart",1960,48
"American Redstart",1961,43
"American Redstart",1962,54
"American Redstart",1963,55
"American Redstart",1964,36
"American Redstart",1965,31
"American Redstart",1966,70
"American Redstart",1967,53
"American Redstart",1968,51
"American Redstart",1969,55
"American Redstart",1970,35
"American Redstart",1971,34
"American Redstart",1972,29
"American Redstart",1973,102
"American Redstart",1974,64
"American Redstart",1975,87
"American Redstart",1976,113
"American Redstart",1977,74
"American Redstart",1978,136
"American Redstart",1979,150
"American Redstart",1980,153
"American Redstart",1981,97
"American Redstart",1982,101
"American Redstart",1983,124
"American Redstart",1984,134
"American Redstart",1985,74
"American Redstart",1986,121
"American Redstart",1987,68
"American Redstart",1988,140
"American Redstart",1989,147
"American Redstart",1990,97
"American Redstart",1991,81
"American Redstart",1992,135
"American Redstart",1993,110
"American Redstart",1994,106
"American Redstart",1995,115
"American Redstart",1996,92
"American Redstart",1997,117
"American Redstart",1998,91
"American Redstart",1999,95
"American Redstart",2000,97
"American Redstart",2001,63
"American Redstart",2002,123
"American Redstart",2003,81
"American Redstart",2004,90
"American Redstart",2005,98
"American Redstart",2006,67
"American Redstart",2007,103
"American Redstart",2008,46
"American Redstart",2009,85
"American Redstart",2010,54
"American Redstart",2011,64
"American Redstart",2012,113
"American Redstart",2013,94
"American Redstart",2014,121
"American Redstart",2015,42
"American Redstart",2016,70
"American Redstart",2017,91
"American Redstart",2018,53
"American Redstart",2019,60
"American Redstart",2020,41
"American Redstart",2021,69
"American Redstart",2022,124
"American Redstart",2023,49
"American Redstart",2024,22
"American Robin",1952,48
"American Robin",1957,77
"American Robin",1958,48
"American Robin",1960,59
"American Robin",1961,181
"American Robin",1962,78
"American Robin",1963,90
"American Robin",1964,82
"American Robin",1965,100
"American Robin",1966,115
"American Robin",1967,142
"American Robin",1968,106
"American Robin",1969,93
"American Robin",1970,164
"American Robin",1971,83
