"common_name","year","count"
"Blue-winged Teal",1990,0
"Blue-winged Teal",1991,0
"Blue-winged Teal",1992,0
"Blue-winged Teal",1993,0
"Blue-winged Teal",1994,0
"Blue-winged Teal",1995,0
"Blue-winged Teal",1996,0
"Blue-winged Teal",1997,2
"Blue-winged Teal",1998,0
"Blue-winged Teal",1999,0
"Blue-winged Teal",2000,0
"Blue-winged Teal",2001,0
"Blue-winged Teal",2002,0
"Blue-winged Teal",2003,0
"Blue-winged Teal",2004,0
"Blue-winged Teal",2005,3
"Blue-winged Teal",2006,0
"Blue-winged Teal",2007,0
"Blue-winged Teal",2008,0
"Blue-winged Teal",2009,0
"Blue-winged Teal",2010,0
"Blue-winged Teal",2011,0
"Blue-winged Teal",2012,0
"Blue-winged Teal",2013,0
"Blue-winged Teal",2014,0
"Blue-winged Teal",2015,2
"Blue-winged Teal",2016,0
"Blue-winged Teal",2017,0
"Blue-winged Teal",2018,0
"Blue-winged Teal",2019,0
"Blue-winged Teal",2020,0
"Blue-winged Teal",2021,0
"Blue-winged Teal",2022,0
"Blue-winged Teal",2023,5
"Blue-winged Teal",2024,0
"Northern Shoveler",1952,0
"Northern Shoveler",1957,0
"Northern Shoveler",1958,0
"Northern Shoveler",1960,0
"Northern Shoveler",1961,0
"Northern Shoveler",1962,0
"Northern Shoveler",1963,0
"Northern Shoveler",1964,0
"Northern Shoveler",1965,0
"Northern Shoveler",1966,2
"Northern Shoveler",1967,1
"Northern Shoveler",1968,0
"Northern Shoveler",1969,0
"Northern Shoveler",1970,0
"Northern Shoveler",1971,0
"Northern Shoveler",1972,0
"Northern Shoveler",1973,0
"Northern Shoveler",1974,0
"Northern Shoveler",1975,0
"Northern Shoveler",1976,0
"Northern Shoveler",1977,0
"Northern Shoveler",1978,0
"Northern Shoveler",1979,0
"Northern Shoveler",1980,0
"Northern Shoveler",1981,0
"Northern Shoveler",1982,0
"Northern Shoveler",1983,0
"Northern Shoveler",1984,0
"Northern Shoveler",1985,0
"Northern Shoveler",1986,0
"Northern Shoveler",1987,0
"Northern Shoveler",1988,0
"Northern Shoveler",1989,0
"Northern Shoveler",1990,0
"Northern Shoveler",1991,0
"Northern Shoveler",1992,0
"Northern Shoveler",1993,0
"Northern Shoveler",1994,0
"Northern Shoveler",1995,0
"Northern Shoveler",1996,0
"Northern Shoveler",1997,0
"Northern Shoveler",1998,0
"Northern Shoveler",1999,0
"Northern Shoveler",2000,0
"Northern Shoveler",2001,0
"Northern Shoveler",2002,0
"Northern Shoveler",2003,0
"Northern Shoveler",2004,0
"Northern Shoveler",2005,0
"Northern Shoveler",2006,0
"Northern Shoveler",2007,0
"Northern Shoveler",2008,0
"Northern Shoveler",2009,0
"Northern Shoveler",2010,0
"Northern Shoveler",2011,0
"Northern Shoveler",2012,0
"Northern Shoveler",2013,0
"Northern Shoveler",2014,0
"Northern Shoveler",2015,0
"Northern Shoveler",2016,0
"Northern Shoveler",2017,0
"Northern Shoveler",2018,0
"Northern Shoveler",2019,0
"Northern Shoveler",2020,0
"Northern Shoveler",2021,0
"Northern Shoveler",2022,0
"Northern Shoveler",2023,0
"Northern Shoveler",2024,0
"American Wigeon",1952,0
"American Wigeon",1957,14
"American Wigeon",1958,0
"American Wigeon",1960,0
"American Wigeon",1961,0
"American Wigeon",1962,0
"American Wigeon",1963,0
"American Wigeon",1964,0
"American Wigeon",1965,0
"American Wigeon",1966,0
"American Wigeon",1967,0
"American Wigeon",1968,0
"American Wigeon",1969,0
"American Wigeon",1970,0
"American Wigeon",1971,0
"American Wigeon",1972,0
"American Wigeon",1973,0
"American Wigeon",1974,0
"American Wigeon",1975,0
"American Wigeon",1976,0
"American Wigeon",1977,0
"American Wigeon",1978,1
"American Wigeon",1979,0
"American Wigeon",1980,0
"American Wigeon",1981,0
"American Wigeon",1982,0
"American Wigeon",1983,0
"American Wigeon",1984,0
"American Wigeon",1985,0
"American Wigeon",1986,0
"American Wigeon",1987,0
"American Wigeon",1988,2
"American Wigeon",1989,0
"American Wigeon",1990,0
"American Wigeon",1991,0
"American Wigeon",1992,0
"American Wigeon",1993,0
"American Wigeon",1994,0
"American Wigeon",1995,0
"American Wigeon",1996,0
"American Wigeon",1997,0
"American Wigeon",1998,0
"American Wigeon",1999,0
"American Wigeon",2000,0
"American Wigeon",2001,0
"American Wigeon",2002,0
"American Wigeon",2003,0
"American Wigeon",2004,0
"American Wigeon",2005,0
"American Wigeon",2006,0
"American Wigeon",2007,0
"American Wigeon",2008,0
"American Wigeon",2009,0
"American Wigeon",2010,0
"American Wigeon",2011,0
"American Wigeon",2012,0
"American Wigeon",2013,0
"American Wigeon",2014,0
"American Wigeon",2015,0
"American Wigeon",2016,0
"American Wigeon",2017,0
"American Wigeon",2018,0
"American Wigeon",2019,0
"American Wigeon",2020,0
"American Wigeon",2021,0
"American Wigeon",2022,0
"American Wigeon",2023,1
"American Wigeon",2024,0
"Mallard",1952,0
"Mallard",1957,0
"Mallard",1958,0
"Mallard",1960,0
"Mallard",1961,0
"Mallard",1962,0
"Mallard",1963,0
"Mallard",1964,0
"Mallard",1965,6
"Mallard",1966,0
"Mallard",1967,0
"Mallard",1968,0
"Mallard",1969,0
"Mallard",1970,0
"Mallard",1971,3
"Mallard",1972,2
"Mallard",1973,3
"Mallard",1974,1
"Mallard",1975,9
"Mallard",1976,10
"Mallard",1977,61
"Mallard",1978,33
"Mallard",1979,38
"Mallard",1980,39
"Mallard",1981,31
"Mallard",1982,33
"Mallard",1983,35
"Mallard",1984,18
"Mallard",1985,49
"Mallard",1986,65
"Mallard",1987,71
"Mallard",1988,43
"Mallard",1989,42
"Mallard",1990,37
"Mallard",1991,80
"Mallard",1992,51
"Mallard",1993,67
"Mallard",1994,35
"Mallard",1995,41
"Mallard",1996,38
"Mallard",1997,63
"Mallard",1998,90
"Mallard",1999,64
"Mallard",2000,98
"Mallard",2001,74
"Mallard",2002,111
"Mallard",2003,89
"Mallard",2004,92
"Mallard",2005,87
"Mallard",2006,87
"Mallard",2007,57
"Mallard",2008,90
"Mallard",2009,50
"Mallard",2010,38
"Mallard",2011,106
"Mallard",2012,44
"Mallard",2013,7
"Mallard",2014,61
"Mallard",2015,52
"Mallard",2016,40
"Mallard",2017,54
"Mallard",2018,38
"Mallard",2019,34
"Mallard",2020,30
"Mallard",2021,61
