"year","Acadian Flycatcher","American Crow","American Goldfinch","American Robin","Barn Swallow","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Chimney Swift","Chipping Sparrow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","Eastern Whip-poor-will","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Grasshopper Sparrow","Gray Catbird","Great Crested Flycatcher","Hooded Warbler","House Finch","House Sparrow","Indigo Bunting","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Mockingbird","Northern Parula","Orchard Oriole","Ovenbird","Pileated Woodpecker","Pine Warbler","Prairie Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-winged Blackbird","Ruby-throated Hummingbird","Scarlet Tanager","Song Sparrow","Summer Tanager","Tufted Titmouse","White-breasted Nuthatch","White-eyed Vireo","Wood Thrush","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-throated Vireo","Yellow-throated Warbler"
2000,5.11485406642638,16.6277673871383,-31.6721691288756,-13.7929530829455,1.46012087080513,8.85192963565446,-26.7647939726746,-5.46981364228566,12.0110522278953,-7.92739840685161,0.363408713529115,-17.5286015039476,-138.903517469247,-20.6171739532305,-41.1773428881811,-150.983532618951,-19.9031072422324,12.4427916159785,9.19965172172894,2.64744467170721,-59.9818826702013,-31.4218743594857,-39.7298605954515,15.5874865255669,-3.90356894400557,-13.2678310730811,-31.3440341459266,3.39103308529794,-0.457397168635904,-12.0763459131735,-9.94271276157453,1.80681930173597,-22.801884355117,-14.4130737382782,-43.984673576512,-25.8953357291199,-3.00419441601936,-61.6917820029812,-39.9418253278562,2.4713017078325,-2.72132633739653,-18.782161409422,-0.293113420113936,-22.3033655549634,-0.877200364854971,-20.9137325664843,-36.7266615542465,20.165923102323,-28.9125913854335,-3.78359682130624,-5.87680742220769,4.59338942882683,6.42298591037346,20.486663082925,12.3628056822923,4.42738670723939,20.6124591207367,4.89838422255215,-7.90887449568332,0.0126062549338428,4.58370890262015
2001,9.45758479964914,74.5350606846124,23.9860125423806,3.09885082218796,10.4870209446101,-10.4221183612263,56.3470740640666,8.1351036481125,-19.8600498694509,26.3222441195367,16.9967861188031,10.5140809477634,95.8611899501585,18.9449907675995,55.1061098962361,-13.7341406758434,7.88172581743838,1.33943542320371,29.0116668686398,1.14664415311698,28.9317693378462,14.2299342520905,11.7354203984498,-21.025652173913,8.46766026971402,-36.6833267232381,8.82328199305137,0.905726537306816,0.960488617368693,3.00337028144169,18.6807597928503,3.94266062618128,10.2471737671534,4.83272939453499,37.5849363184815,-17.5134024018639,17.7174825562769,36.5295420274992,21.0939596438259,17.4780281161284,-2.97122572710066,34.139247891271,2.10618592718773,15.977223021572,6.8024219057819,17.0168526684598,15.4098438926455,-4.0039277316734,1.12431013340245,3.88614843409727,8.88483344631548,-6.68490585223195,-1.41236537855978,12.4643949863069,-9.81791962575996,5.45551018076384,2.50910619640206,-14.7391446207583,25.6630728627904,4.06916645159158,4.21310790216677
2002,-2.35900341681645,-96.9450814511316,86.8797153293246,18.4489069777833,-4.84624256628214,-15.5937160862723,-14.7289244708516,-69.6408523204838,17.1817123159367,5.64784041725309,11.134381059501,-12.8206938740075,-40.4944294963793,70.6762345257479,-5.52941061803051,50.7885034729951,15.9349757276853,-14.2557454028003,-39.0985016682678,-3.3689336451541,-35.911469878198,-6.73010208037477,35.7052746008092,12.4710144927536,0.157259654987371,20.6474604425379,20.3453037472781,-10.5902724305782,-3.38798404190982,-0.640847356819396,-15.6497032391203,12.1353414200862,32.8944779049754,2.05516404164531,-31.0583207526439,53.5546050405624,-8.47787826931391,-2.62987207302376,83.4778580308143,-16.4490035374317,21.3565905700775,-6.46042502448168,-0.611262782166618,16.4226605964085,4.52185514409986,-12.2885573314922,50.7899189106293,-18.912088507493,19.3899934294731,4.33685206398503,-8.22218406646488,1.59464850999868,12.6890506719456,-3.83867639936892,-1.62936706931438,4.07329604517922,-39.703345616277,-8.76227622945438,-30.6276682149645,4.1646828621989,5.35355513154198
2003,-5.24082060846251,-35.1685802541089,-104.013754516844,2.1225375917939,-48.3880114232428,29.5667035785057,-11.0571744958621,40.3721004779113,-21.328476512414,-45.4033686909896,-32.404068073202,-35.6113474763958,38.6736216342231,-59.0629735400396,-3.59788436880751,-60.2516027509034,3.25664413101761,-13.3091269378716,-43.7188483506236,-11.2781792749738,9.80854411936122,-2.61143489917242,-22.031239072153,-9,-3.36662198391426,-24.8704977270079,-26.7905933092435,-0.743443291758936,2,-2.64990092085326,3.51264716167388,-1.96835295488984,-18.9471092201889,-10.8841356801492,28.7157302715933,-127.575154446905,-21,-6.61073551695995,-101.226774682364,11.0572619186385,-19.0987877374985,-27.4078272525935,-0.00877141858026675,-60.2351672689125,-15.9155495978552,15.9891887166336,-53.2447254924816,-0.437754983098273,-16.8773167035785,-2.16231495512298,1.83564518009091,-5,-14.3204918988227,12.2244142673973,-2.70465671989743,-0.992481641216912,-32.7152348758597,10.0907157011307,5.56679100128218,10.1824513346544,-8.03971908147802
2004,3.07467915500223,-42.4840674505884,-17.6080201430112,-59.6450871813925,39.6959043641633,-15.8429243103285,-4.21171980401431,79.7091637076014,26.9297268388766,12.5732144778503,11.9812605435807,-11.4774310922897,75.3516956040644,-12.1682888026193,-8.6980673777615,-63.5356911517092,10.407776830587,5.00956686461721,20.4212483401609,-1.77209158483814,3.30120879561663,-3.46556426976015,25.8039985092464,-1.81313457070039,-21.1248004254203,-76.5416958589906,20.1455468792468,3.32391039365611,3,-3.99539815839384,24.2683348691189,-15.7566318960629,13.0944885440084,-14.1158643198508,-69.6794168462285,62.9745825084495,12.8214918115882,14.0687143982565,11.3173539961965,-7.18108026323301,7.92210595547122,-3.42226156897507,-0.731228327779682,-23.1677389306443,-0.56311273632269,-14.6625072912876,28.7108216474178,-29.826046700517,7.8294576037866,1.27533893480643,1.15344919024965,5.22958445440246,4.86313423744726,-38.8933633971147,5.67822742859545,-0.728186672524657,25.5586659557201,34.7833973018444,-6.71588497134732,-10.9531516308187,-4.07059332774147
2005,8.16614145346029,-12.3473522953027,22.6217746598549,2.52254958959855,-35.3078929409205,6.2762207318228,-2.73110570012363,-82.0812641855127,-7.60125032646252,43.8301542131393,-0.577192470378641,-0.911221431314516,15.9746827617124,1.23126234265899,34.295951746569,68.7872939026127,-12.6644209616046,-17.7004399267457,32.2976000104627,11.0502708598119,4.89024708502215,10.0769991689326,-7.77275943709333,0.81313457070039,7.4914224093346,8.41219358599844,-11.3549535700033,-4.58046710189717,1,11.6452990792471,-15.7809820307927,-4.27501514904722,-24.1473793238195,21,36.9636865746352,-43.3994280615442,-1.82149181158822,34.5420211187035,-34.0905793138325,-1.87618165540554,2.17668178202731,11.8300888215686,2.73999974635995,25.4029061995568,5.47866233417793,-4.326681425346,-12.4660961549361,-13.7361983163847,21.0478590997919,3.88697602031655,-10.9890943703406,0.770415545597544,18.4573576613754,-83.3310508702826,-1.97357070869802,-8.27933168625843,11.1565689201396,-2.87411300297508,20.1490939700651,0.770700296164293,13.1103124092195
2006,-12,118,76,21,21,4,-14,-7,-6,4,-7,10,140,-102,-42,-23,-14,40,19,0,8,15,63,-2,-19,-23,-3,17,-10,-12,-4,10,25,-29,30,12,-15,50,33,-2,-8,-16,8,24,1,23,-4,2,-23,-8,31,0,-27,35,10,4,-45,-13,-12,-8,-3
2007,6,-15,-65,8,-15,-2,0,22,-2,-53,9,-14,-78,14,43,-24,12,-19,3,-2,-22,-3,-47,1,14,32,3,-5,5,13,11,-4,-8,21,-59,-29,11,-71,32,2,5,3,-6,-35,8,38,12,10,8,-4,-28,-1,21,-68,-12,12,27,8,19,8,-3
2008,5,57,-23,-10,-11,-12,-12,36,-5,20,-8,63,-145,3,20,59,-4,6,-31,0,34,9,17,2,11,-98,2,15,1,8,17,-4,47,6,-13,124,-5,-14,-22,0,-1,22,1,50,-8,-49,19,-18,-8,-2,2,8,8,191,3,7,-40,-32,13,0,1
2009,-11.4112393458668,-37.0330329105666,-64.9275722849802,23.896904693936,-3.43986786835774,0.175115207373381,13.3026793360793,12.5754659271644,13.6739529382978,-1.45817870396795,-5.94151951388602,-41.8081644304882,134.172382855512,23.8482932996207,-9.15929203539798,-3.46556013213183,-9.07034786509522,-22.7345132743363,80.2602667101668,1.1569267158762,-26,-7.82753558174623,-53.6538477223604,0,-18.0759349129318,180.242812283349,-14.4995717956038,0.38477223604275,-1,-17.8050242649158,-5.91077036009938,4.12585131112108,-34.2318828759019,-19.6933240895559,-6.76648586925512,3.92846947514386,-12.6578850780963,-18.8498837730925,23.426042983565,3.33881163084708,-7.70290771175725,-24.8161983605889,4.07401818849152,-44.8564903552056,-6.83487622853881,49.0361322947678,-21.5532808613024,-25.3454182129603,-20,2.13771869010235,3.38016394111169,-10.9090575425146,-15.6985441050528,-112.572284980221,-0.163370172505182,-16.843766567432,-43.7411606378207,19.7313731087639,-38.1667142449329,-7.86297459320581,-1.98568573875453
